# hostmass phase wavelength flux
0.000000 -7.000000 3500.000000 -0.075457
0.000000 -7.000000 3510.000000 -0.083748
0.000000 -7.000000 3520.000000 -0.079778
0.000000 -7.000000 3530.000000 -0.068540
0.000000 -7.000000 3540.000000 -0.062247
0.000000 -7.000000 3550.000000 -0.060959
0.000000 -7.000000 3560.000000 -0.067448
0.000000 -7.000000 3570.000000 -0.093081
0.000000 -7.000000 3580.000000 -0.130925
0.000000 -7.000000 3590.000000 -0.147019
0.000000 -7.000000 3600.000000 -0.155863
0.000000 -7.000000 3610.000000 -0.141845
0.000000 -7.000000 3620.000000 -0.174990
0.000000 -7.000000 3630.000000 -0.159237
0.000000 -7.000000 3640.000000 -0.159242
0.000000 -7.000000 3650.000000 -0.129321
0.000000 -7.000000 3660.000000 -0.088858
0.000000 -7.000000 3670.000000 -0.018821
0.000000 -7.000000 3680.000000 0.052561
0.000000 -7.000000 3690.000000 0.065286
0.000000 -7.000000 3700.000000 0.020329
0.000000 -7.000000 3710.000000 -0.033991
0.000000 -7.000000 3720.000000 -0.073793
0.000000 -7.000000 3730.000000 -0.096479
0.000000 -7.000000 3740.000000 -0.117072
0.000000 -7.000000 3750.000000 -0.150145
0.000000 -7.000000 3760.000000 -0.178969
0.000000 -7.000000 3770.000000 -0.179757
0.000000 -7.000000 3780.000000 -0.176091
0.000000 -7.000000 3790.000000 -0.177215
0.000000 -7.000000 3800.000000 -0.156528
0.000000 -7.000000 3810.000000 -0.145006
0.000000 -7.000000 3820.000000 -0.124820
0.000000 -7.000000 3830.000000 -0.104653
0.000000 -7.000000 3840.000000 -0.084370
0.000000 -7.000000 3850.000000 -0.046366
0.000000 -7.000000 3860.000000 -0.024723
0.000000 -7.000000 3870.000000 -0.011804
0.000000 -7.000000 3880.000000 0.012511
0.000000 -7.000000 3890.000000 0.027097
0.000000 -7.000000 3900.000000 0.025756
0.000000 -7.000000 3910.000000 0.038406
0.000000 -7.000000 3920.000000 0.045975
0.000000 -7.000000 3930.000000 0.052396
0.000000 -7.000000 3940.000000 0.060856
0.000000 -7.000000 3950.000000 0.054491
0.000000 -7.000000 3960.000000 0.048703
0.000000 -7.000000 3970.000000 0.042204
0.000000 -7.000000 3980.000000 0.051270
0.000000 -7.000000 3990.000000 0.062038
0.000000 -7.000000 4000.000000 0.068651
0.000000 -7.000000 4010.000000 0.073800
0.000000 -7.000000 4020.000000 0.077968
0.000000 -7.000000 4030.000000 0.091586
0.000000 -7.000000 4040.000000 0.097427
0.000000 -7.000000 4050.000000 0.105117
0.000000 -7.000000 4060.000000 0.109450
0.000000 -7.000000 4070.000000 0.119046
0.000000 -7.000000 4080.000000 0.126730
0.000000 -7.000000 4090.000000 0.117593
0.000000 -7.000000 4100.000000 0.120446
0.000000 -7.000000 4110.000000 0.122494
0.000000 -7.000000 4120.000000 0.125899
0.000000 -7.000000 4130.000000 0.135231
0.000000 -7.000000 4140.000000 0.153176
0.000000 -7.000000 4150.000000 0.170331
0.000000 -7.000000 4160.000000 0.191166
