# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 26.000000 and phase < 30.000000 and ((dm15_source >= .7 and dm15_source < 1.6) or (dm15_from_fits >= .7 and dm15_from_fits < 1.6)) and HOST_LOGMASS > 10.7
# N = 13
# N_spec = 17
# phase = 28.13
# dm15 = 1.12
# z = 0.021

  Wavelength         Flux    1-Sigma Lower    1-Sigma Upper    Phase      Dm15    Redshift    SNe per Bin
------------  -----------  ---------------  ---------------  -------  --------  ----------  -------------
        3072   18.2506         0.199813         1.7144       28.4747  1.19       0.049                  1
        3074   10.3341         0.113141         0.97075      28.4747  1.19       0.049                  1
        3076   -2.43127        0.228385         0.0266182    28.4747  1.19       0.049                  1
        3078  -10.4519         0.981817         0.11443      28.4747  1.19       0.049                  1
        3080  -14.3162         1.34481          0.156738     28.4747  1.19       0.049                  1
        3082  -13.7866         1.29506          0.150939     28.4747  1.19       0.049                  1
        3084    0.973811       0.0106616        0.0914765    28.4747  1.19       0.049                  1
        3086   15.1917         0.166323         1.42706      28.4747  1.19       0.049                  1
        3088    0.266965       0.0029228        0.0250778    28.4747  1.19       0.049                  1
        3090   -4.50171        0.422876         0.049286     28.4747  1.19       0.049                  1
        3092   -7.76365        0.72929          0.0849985    28.4747  1.19       0.049                  1
        3094   -3.24781        0.305088         0.0355579    28.4747  1.19       0.049                  1
        3096    6.99954        0.0766329        0.657513     28.4747  1.19       0.049                  1
        3098    8.62963        0.0944796        0.810638     28.4747  1.19       0.049                  1
        3100    8.62091        0.0943841        0.809819     28.4747  1.19       0.049                  1
        3102    8.11159        0.0888079        0.761975     28.4747  1.19       0.049                  1
        3104    7.72382        0.0845626        0.72555      28.4747  1.19       0.049                  1
        3106   -5.17691        0.486301         0.0566782    28.4747  1.19       0.049                  1
        3108   -7.12409        0.669213         0.0779965    28.4747  1.19       0.049                  1
        3110    4.94705        0.0541617        0.464709     28.4747  1.19       0.049                  1
        3112   -0.869837       0.0817096        0.00952322   28.4747  1.19       0.049                  1
        3114    4.33171        0.0474248        0.406906     28.4747  1.19       0.049                  1
        3116   16.7937         0.183862         1.57754      28.4747  1.19       0.049                  1
        3118    7.34065        0.0803674        0.689555     28.4747  1.19       0.049                  1
        3120    6.52361        0.0714222        0.612805     28.4747  1.19       0.049                  1
        3122   10.4785         0.114722         0.984315     28.4747  1.19       0.049                  1
        3124   -7.23633        0.679756         0.0792254    28.4747  1.19       0.049                  1
        3126   -1.51953        0.142739         0.0166362    28.4747  1.19       0.049                  1
        3128    4.31881        0.0472835        0.405694     28.4747  1.19       0.049                  1
        3130   -2.80267        0.263273         0.0306844    28.4747  1.19       0.049                  1
        3132    8.44578        0.0924667        0.793368     28.4747  1.19       0.049                  1
        3134   -0.38519        0.536269         2.8147       27.5971  1.29908    0.0533831              2
        3136   -3.13918        1.26709          6.69206      27.5973  1.29904    0.0533818              2
        3138   -4.94718        0.634066         2.34295      27.5963  1.29917    0.053387               2
        3140   -6.68505        0.862151         2.91299      27.5965  1.29914    0.0533859              2
        3142   -4.17138        2.95318          0.52007      27.597   1.29909    0.0533838              2
        3144   -0.841973      13.5418           2.61057      27.5976  1.299      0.0533803              2
        3146    3.20101        5.33984          1.01033      27.5978  1.29898    0.0533794              2
        3148    1.77349        0.837021         0.226494     27.598   1.29897    0.0533788              2
        3150    0.480206       1.43747          7.42679      27.5982  1.29893    0.0533775              2
        3152    6.04817        0.375253         2.33231      27.5976  1.29901    0.0533804              2
        3154    6.66886        0.0736736        0.902996     27.5977  1.299      0.05338                2
        3156    1.02956        0.422664         2.22957      27.5973  1.29905    0.0533821              2
        3158   -1.07761        0.345956         1.83444      27.5973  1.29905    0.053382               2
        3160   -0.859073       0.185259         0.959844     27.5972  1.29906    0.0533825              2
        3162    0.24874        0.594475         3.09042      27.5972  1.29905    0.0533823              2
        3164    2.51844        1.21668          6.37821      27.5975  1.29903    0.0533812              2
        3166    2.81599        2.04614         10.6479       27.5972  1.29906    0.0533825              2
        3168    2.39115        1.60638          8.35358      27.5975  1.29902    0.053381               2
        3170    5.05466       12.906            2.45204      27.5981  1.29895    0.0533781              2
        3172    1.20098       15.5791           2.9926       27.5979  1.29897    0.053379               2
        3174   -4.01353        8.89188          1.69479      27.5979  1.29897    0.0533789              2
        3176   -1.33279        1.69441          0.315082     27.5979  1.29898    0.0533792              2
        3178   -0.201662       0.144665         0.76156      27.5974  1.29904    0.0533817              2
        3180   -2.69398        7.78977          1.48805      27.5972  1.29906    0.0533826              2
        3182   -0.0249118      7.15672          1.3745       27.5974  1.29903    0.0533813              2
        3184   -1.50507       10.3311           1.99356      27.5973  1.29904    0.0533819              2
        3186   -2.92744        5.51595          1.03623      27.5967  1.29912    0.0533849              2
        3188    1.82139        2.97865          0.560309     27.5971  1.29908    0.0533832              2
        3190    2.95267        5.99178          1.12925      27.5968  1.29911    0.0533845              2
        3192    2.98265        1.80115          0.423132     27.5974  1.29903    0.0533814              2
        3194    0.274937       1.40768          7.23758      27.599   1.29883    0.0533733              2
        3196   -4.22164        0.613162         2.95443      27.6001  1.2987     0.053368               2
        3198   -4.38308        0.601492         2.48716      27.5993  1.2988     0.053372               2
        3200    0.657435       0.934506         4.7977       27.5987  1.29887    0.053375               2
        3202    4.84878        0.037972         0.718347     27.5984  1.29891    0.0533767              2
        3204    5.07964        1.28034          6.87034      27.5977  1.299      0.05338                2
        3206    2.46277        0.541417         2.93381      27.5974  1.29904    0.0533816              2
        3208    0.67801        7.27836          1.38282      27.5964  1.29915    0.0533863              2
        3210   -4.55843        1.37782          7.41416      27.5951  1.29932    0.053393               2
        3212    0.0324423      2.29988         12.297        27.5937  1.29949    0.0533999              2
        3214   -0.150888       1.31768          7.0282       27.5942  1.29943    0.0533975              2
        3216   -4.12899        0.860185         4.55807      27.594   1.29945    0.0533983              2
        3218   -4.24629        0.673808         0.113794     27.5937  1.29949    0.0533999              2
        3220    0.881304       0.207633         1.14631      27.5942  1.29943    0.0533974              2
        3222    0.771117       0.0214132        0.122008     27.594   1.29945    0.0533983              2
        3224   -0.586153       1.32616          0.246067     27.5942  1.29944    0.0533976              2
        3226    0.408312       1.6229           2.24084      27.6257  1.23308    0.0457347              3
        3228   -1.18706        1.90924          1.15219      27.6251  1.23388    0.045825               3
        3230   -0.407974       1.66394          4.25538      27.6247  1.23424    0.0458646              3
        3232   -0.472891       1.53276          4.45311      27.6242  1.23479    0.0459258              3
        3234   -0.985722       1.30216          3.23501      27.6239  1.2353     0.0459841              3
        3236   -0.878073       0.720422         2.02405      27.6235  1.23571    0.0460293              3
        3238   -2.33457        1.28084          3.5042       27.6234  1.23611    0.0460765              3
        3240   -1.20388        2.00181          1.02018      27.6232  1.23635    0.0461038              3
        3242   -1.13548        2.11435          1.24582      27.6227  1.23687    0.0461603              3
        3244    1.72144        0.46174          1.6879       27.6222  1.23737    0.0462162              3
        3246    0.674696       0.876858         1.08286      27.6219  1.23759    0.0462391              3
        3248   -2.6954         1.23913          1.34811      27.6215  1.2379     0.0462736              3
        3250   -0.425087       1.15724          1.64595      27.4511  1.17908    0.0327865              4
        3252    0.0264376      1.00216          1.25006      27.4516  1.17957    0.0328745              4
        3254   -0.148325       0.312348         0.661853     27.4521  1.18012    0.0329713              4
        3256    0.139835       0.409956         0.160491     27.4528  1.1794     0.0328766              4
        3258   -0.599217       1.8073           2.55707      27.4535  1.17998    0.03298                4
        3260    0.537539       1.4843           1.62777      27.454   1.18173    0.0332647              4
        3262    1.6288         0.462652         0.75297      27.4545  1.18208    0.0333316              4
        3264    0.493051       1.12802          1.19768      27.455   1.18268    0.0334373              4
        3266    1.15472        0.858943         0.626797     27.4557  1.18304    0.0335114              4
        3268    2.28094        0.251217         0.274979     27.4561  1.18339    0.0335764              4
        3270    0.870978       1.39993          2.369        27.4567  1.18379    0.0336529              4
        3272    0.511989       1.30456          1.9002       27.4561  1.18403    0.0336924              4
        3274    1.91333        0.247334         0.267253     27.4563  1.18434    0.0337497              4
        3276    1.17193        0.873678         0.993891     27.458   1.18469    0.0338325              4
        3278   -0.335466       1.44327          1.81113      27.4582  1.18519    0.0339192              4
        3280    0.0254478      1.0467           0.601297     27.4586  1.18559    0.0339969              4
        3282    0.60985        1.51187          0.699612     27.4588  1.186      0.0340692              4
        3284    0.873057       1.10334          0.75218      27.4588  1.18647    0.034151               4
        3286    0.314764       0.716517         0.601428     27.4589  1.18662    0.0341792              4
        3288    0.985268       0.58287          0.499064     27.4586  1.18731    0.0342818              4
        3290    1.35669        0.468885         0.399399     27.4584  1.18777    0.0343508              4
        3292    2.99388        1.5761           1.28047      27.4585  1.1879     0.0343804              4
        3294    1.54135        0.882592         1.04857      27.4587  1.18814    0.0344328              4
        3296    0.938646       1.41125          1.89399      27.4589  1.1881     0.0344395              4
        3298    1.41845        1.10221          1.84446      27.4591  1.18778    0.0344042              4
        3300    0.737416       1.86431          2.53414      27.4593  1.18771    0.0344053              4
        3302    0.208481       2.3768           1.9937       27.4591  1.18776    0.03442                4
