# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 14.000000 and phase < 18.000000 and ((dm15_source >= .7 and dm15_source < 1.6) or (dm15_from_fits >= .7 and dm15_from_fits < 1.6)) and HOST_LOGMASS > 10.7
# N = 25
# N_spec = 41
# phase = 15.91
# dm15 = 1.25
# z = 0.022

  Wavelength        Flux    1-Sigma Lower    1-Sigma Upper    Phase      Dm15    Redshift    SNe per Bin
------------  ----------  ---------------  ---------------  -------  --------  ----------  -------------
        3076   1.27892          0.0480332      0.00342337   17.1051  0.98       0.057756               1
        3078   0.484679         0.0182034      0.00129737   17.1051  0.98       0.057756               1
        3080   0.280183         0.010523       0.000749986  17.1051  0.98       0.057756               1
        3082   1.5328           0.0575683      0.00410294   17.1051  0.98       0.057756               1
        3084   0.974403         0.0365963      0.00260825   17.1051  0.98       0.057756               1
        3086   1.46202          0.0549101      0.00391349   17.1051  0.98       0.057756               1
        3088   2.86791          0.107712       0.00767674   17.1051  0.98       0.057756               1
        3090   1.91033          0.0717476      0.00511351   17.1051  0.98       0.057756               1
        3092   2.34881          0.0882157      0.00628721   17.1051  0.98       0.057756               1
        3094   2.45359          0.0921513      0.0065677    17.1051  0.98       0.057756               1
        3096   1.70659          0.0640956      0.00456815   17.1051  0.98       0.057756               1
        3098   1.61839          0.0607829      0.00433205   17.1051  0.98       0.057756               1
        3100   1.66652          0.0625907      0.0044609    17.1051  0.98       0.057756               1
        3102   2.41764          0.090801       0.00647147   17.1051  0.98       0.057756               1
        3104   2.32487          0.0873168      0.00622315   17.1051  0.98       0.057756               1
        3106   1.66145          0.0624001      0.00444731   17.1051  0.98       0.057756               1
        3108   1.69937          0.0638242      0.00454881   17.1051  0.98       0.057756               1
        3110   1.1861           0.044547       0.00317491   17.1051  0.98       0.057756               1
        3112   1.45962          0.0548199      0.00390706   17.1051  0.98       0.057756               1
        3114   2.51759          0.0945548      0.00673901   17.1051  0.98       0.057756               1
        3116   2.86382          0.107558       0.00766579   17.1051  0.98       0.057756               1
        3118   2.74139          0.10296        0.00733806   17.1051  0.98       0.057756               1
        3120   2.32734          0.0874096      0.00622976   17.1051  0.98       0.057756               1
        3122   1.96487          0.0737959      0.0052595    17.1051  0.98       0.057756               1
        3124   2.09853          0.0788161      0.00561729   17.1051  0.98       0.057756               1
        3126   2.35001          0.088261       0.00629044   17.1051  0.98       0.057756               1
        3128   2.60976          0.0980164      0.00698572   17.1051  0.98       0.057756               1
        3130   2.72254          0.102252       0.00728762   17.1051  0.98       0.057756               1
        3132   3.05492          0.114736       0.00817731   17.1051  0.98       0.057756               1
        3134   3.03959          0.11416        0.00813629   17.1051  0.98       0.057756               1
        3136   2.1903           0.0822625      0.00586292   17.1051  0.98       0.057756               1
        3138   1.65159          0.0620299      0.00442093   17.1051  0.98       0.057756               1
        3140   1.87242          0.0703238      0.00501204   17.1051  0.98       0.057756               1
        3142   2.55891          0.0961067      0.00684961   17.1051  0.98       0.057756               1
        3144   2.84105          0.106703       0.00760483   17.1051  0.98       0.057756               1
        3146   2.01788          0.0757867      0.00540139   17.1051  0.98       0.057756               1
        3148   1.67556          0.0629302      0.00448509   17.1051  0.98       0.057756               1
        3150   2.01053          0.0687595      2.93311      17.106   0.980338   0.0576501              2
        3152   1.78495          4.14822       -0.000541337  17.106   0.980338   0.0576499              2
        3154   1.52697          2.21416        0.0790961    16.9793  1.00633    0.0552579              3
        3156   2.55789          1.50933        0.0444537    16.9316  1.01259    0.0542951              4
        3158   2.37636          0.793163       0.0135645    16.9318  1.01255    0.0542976              4
        3160   1.69427          0.0695499      0.729378     16.9319  1.01253    0.0542989              4
        3162   2.30617          0.0782008      0.25657      16.9319  1.01251    0.0542991              4
        3164   2.57493          0.092976       0.626413     16.9319  1.0125     0.0542982              4
        3166   1.88259          0.697631       0.202575     16.9319  1.0125     0.054296               4
        3168   1.74453          0.465986       0.319302     16.9318  1.01251    0.0542925              4
        3170   1.83207          0.493699       0.210665     16.9316  1.01253    0.0542878              4
        3172   2.34797          1.36101        0.0309012    16.9313  1.01257    0.0542817              4
        3174   2.11985          1.18308        0.0481694    16.931   1.01261    0.0542742              4
        3176   1.59453          0.187603       0.143127     16.9306  1.01267    0.0542653              4
        3178   1.45076          2.08046        0.130376     16.9302  1.01274    0.0542549              4
        3180   1.50516          2.74802        0.221906     16.9296  1.01283    0.054243               4
        3182   1.34207          1.04054        0.304392     16.929   1.01292    0.0542295              4
        3184   1.03114          1.14008        0.125322     16.9283  1.01304    0.0542145              4
        3186   1.48567          1.25411        0.0787244    16.9276  1.01316    0.0541979              4
        3188   2.54562          0.173532       0.0862284    16.9267  1.0133     0.0541796              4
        3190   2.32328          0.167527       0.0679383    16.9258  1.01346    0.0541596              4
        3192   2.14868          1.47101        0.115198     16.9248  1.01362    0.054138               4
        3194   1.9226           1.74832        0.0823874    16.9237  1.01381    0.0541146              4
        3196   1.89408          2.93695        0.0627387    16.9239  1.01491    0.0540113              5
        3198   2.43877          3.16161        0.161015     16.9226  1.01513    0.0539844              5
        3200   2.20561          3.34201        0.171011     16.9213  1.01537    0.053955               5
        3202   1.8587           3.477          0.18016      16.9199  1.01562    0.0539241              5
        3204   1.44988          1.55561        0.0856086    16.9184  1.01589    0.0538915              5
        3206   1.24038          0.104694       1.27118      16.9169  1.01617    0.0538573              5
        3208   1.85318          0.075655       0.9936       16.9152  1.01646    0.0538213              5
        3210   2.29169          1.07833        0.1454       16.9135  1.01678    0.0537833              5
        3212   2.17002          0.643004       0.105222     16.9117  1.01711    0.0537439              5
        3214   2.04108          0.645728       0.065448     16.9098  1.01745    0.0537027              5
        3216   1.66181          0.123626       0.479675     16.9079  1.01781    0.0536597              5
        3218   1.61189          0.0891195      0.0331393    15.4686  1.29097    0.0369077              6
        3220   1.44278          0.57711        0.596742     15.4645  1.29176    0.0368499              6
