# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= -2.000000 and phase < 2.000000 and ((dm15_source >= .7 and dm15_source < 1.6) or (dm15_from_fits >= .7 and dm15_from_fits < 1.6)) and HOST_LOGMASS > 10.7
# N = 28
# N_spec = 64
# phase = 0.59
# dm15 = 1.19
# z = 0.023

  Wavelength       Flux    1-Sigma Lower    1-Sigma Upper      Phase     Dm15    Redshift    SNe per Bin
------------  ---------  ---------------  ---------------  ---------  -------  ----------  -------------
        3000   2.51038        0.0166919        0.0212513   0.0575855  1.44      0.024564               1
        3002   3.03318        0.0201681        0.025677    0.0575855  1.44      0.024564               1
        3004   2.79468        0.0185822        0.0236579   0.0575855  1.44      0.024564               1
        3006   2.63147        0.017497         0.0222763   0.0575855  1.44      0.024564               1
        3008   3.0452         0.020248         0.0257787   0.0575855  1.44      0.024564               1
        3010   3.98571        0.0265016        0.0337404   0.0575855  1.44      0.024564               1
        3012   4.07112        0.0270695        0.0344635   0.0575855  1.44      0.024564               1
        3014   3.48852        0.0231957        0.0295315   0.0575855  1.44      0.024564               1
        3016   3.46834        0.0230615        0.0293607   0.0575855  1.44      0.024564               1
        3018   3.31601        0.0220487        0.0280712   0.0575855  1.44      0.024564               1
        3020   3.40188        0.0226196        0.0287981   0.0575855  1.44      0.024564               1
        3022   3.35603        0.0223147        0.0284099   0.0575855  1.44      0.024564               1
        3024   2.98155        0.0198248        0.0252398   0.0575855  1.44      0.024564               1
        3026   2.77137        0.0184273        0.0234607   0.0575855  1.44      0.024564               1
        3028   3.18588        0.0211834        0.0269696   0.0575855  1.44      0.024564               1
        3030   3.20572        0.0213153        0.0271376   0.0575855  1.44      0.024564               1
        3032   3.85406        0.0256262        0.032626    0.0575855  1.44      0.024564               1
        3034   3.10906        0.0206726        0.0263193   0.0575855  1.44      0.024564               1
        3036   2.87638        7.5747           0.0561162   0.0481395  1.43839   0.0246225              2
        3038   3.51214        2.93807          0.0325672   0.0482392  1.43841   0.0246219              2
        3040   3.46537        0.0285383        4.32777     0.0483393  1.43842   0.0246213              2
        3042   3.40487        0.0246338        3.78459     0.0484634  1.43844   0.0246205              2
        3044   3.90475        2.631            0.0328085   0.0483852  1.43843   0.024621               2
        3046   3.50636       12.3618           0.0885585   0.0481645  1.43839   0.0246224              2
        3048   3.29517       11.8448           0.0844095   0.0482046  1.4384    0.0246221              2
        3050   3.77811        0.0233181        0.443586    0.0482849  1.43841   0.0246216              2
        3052   3.77538        0.0900712        0.0396785   0.048526   1.43845   0.0246202              2
        3054   3.66227        0.0674592        0.038638    0.0486628  1.43848   0.0246193              2
        3056   3.537          0.0472714        7.72288     0.0487286  1.43849   0.0246189              2
        3058   3.41773        0.0478174        7.77004     0.0486918  1.43848   0.0246191              2
        3060   3.29094        0.0698321        0.510838    0.0355035  1.40705   0.0231482              3
        3062   2.88293        0.136563         0.718794    0.0361413  1.40817   0.0231977              3
        3064   3.19063        0.144353         0.507635    0.0364405  1.40878   0.0232259              3
        3066   3.52706        0.280523         0.0762015   0.0366541  1.40929   0.0232498              3
        3068   3.35634        1.46331          0.133063    0.0371055  1.41014   0.0232878              3
        3070   3.30189        1.7137           0.174462    0.0376692  1.41114   0.0233328              3
        3072   3.21594        1.02012          0.102461    0.0381075  1.41197   0.02337                3
        3074   3.42333        1.32427          0.10732     0.0384753  1.41266   0.0234011              3
        3076   3.44539        0.639518         0.08178     0.0391084  1.41392   0.0234584              3
        3078   3.20456        0.0374448        0.184316    0.0396092  1.41495   0.0235055              3
        3080   3.2366         0.0362277        0.183725    0.0400591  1.41581   0.0235444              3
        3082   3.08355        0.037301         0.281669    0.040385   1.41642   0.0235721              3
        3084   3.29365        0.0694111        0.560058    0.0407396  1.41701   0.0235981              3
        3086   3.35909        0.127022         0.231998    0.0411654  1.41776   0.0236315              3
        3088   3.3034         0.451181         0.143704    0.0413126  1.41815   0.02365                3
        3090   3.4611         0.130443         0.0231725   0.0415475  1.41874   0.0236777              3
        3092   3.74711        0.373613         0.0295766   0.0419027  1.41939   0.0237067              3
        3094   3.57154        0.677429         0.0737882   0.0420851  1.41976   0.0237237              3
        3096   3.68106        0.726089         0.148942    0.0423961  1.42039   0.0237524              3
        3098   3.59854        0.248654         0.127394    0.0426379  1.42092   0.023777               3
        3100   3.55929        0.146054         0.202221    0.0429061  1.42142   0.0237997              3
        3102   3.5896         0.614794         0.160853    0.0431315  1.42184   0.0238185              3
        3104   3.82894        0.45027          0.162594    0.0433426  1.42228   0.0238386              3
        3106   3.97769        0.169168         0.18266     0.0436986  1.42288   0.0238651              3
        3108   3.83674        0.32262          0.109005    0.0438577  1.42322   0.0238809              3
        3110   3.9696         0.199375         0.115148    0.0440305  1.42362   0.0238992              3
        3112   4.31149        0.416563         0.145385    0.0441347  1.42391   0.0239132              3
