# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 2.000000 and phase < 6.000000 and ((dm15_source >= .7 and dm15_source < 1.6) or (dm15_from_fits >= .7 and dm15_from_fits < 1.6)) and HOST_LOGMASS > 10.7
# N = 28
# N_spec = 71
# phase = 3.59
# dm15 = 1.19
# z = 0.022

  Wavelength       Flux    1-Sigma Lower    1-Sigma Upper    Phase      Dm15    Redshift    SNe per Bin
------------  ---------  ---------------  ---------------  -------  --------  ----------  -------------
        3030   2.7956          0.0480691       0.0134757   2.98566  1.44       0.024564               1
        3032   2.81106         0.048335        0.0135502   2.98566  1.44       0.024564               1
        3034   2.8767          0.0494635       0.0138666   2.98566  1.44       0.024564               1
        3036   2.88307         0.0495731       0.0138973   2.98566  1.44       0.024564               1
        3038   2.46997         4.40297         0.109427    3.03188  1.44258    0.0249847              2
        3040   2.89448         8.10328         0.224043    3.03224  1.4426     0.024988               2
        3042   2.38318         7.85841         0.224608    3.03239  1.44261    0.0249893              2
        3044   2.28064         5.58019         0.156271    3.0338   1.44268    0.0250022              2
        3046   2.83597         0.311322        0.0533247   4.51605  1.32059    0.019197               3
        3048   2.82761         0.374864        0.518779    4.51744  1.32052    0.0191957              3
        3050   2.49833         0.358412        0.53687     4.51436  1.32078    0.0192085              3
        3052   2.42944         0.0556211       0.0969053   4.49619  1.32224    0.0192759              3
        3054   2.46117         0.22702         0.553009    4.48737  1.32297    0.019311               3
        3056   2.51812         0.41184         0.968089    4.48617  1.3231     0.0193189              3
        3058   2.46765         0.172546        0.543402    4.49431  1.32251    0.0192945              3
        3060   2.18221         0.205599        0.480183    4.49158  1.32277    0.0193082              3
        3062   2.44997         0.302925        0.413797    4.47724  1.32393    0.0193631              3
        3064   2.45705         0.179456        0.251588    4.47843  1.32389    0.0193632              3
        3066   2.56384         0.178029        0.271031    4.49621  1.32603    0.0197793              4
        3068   2.53682         0.49664         0.516384    4.48934  1.32657    0.0198012              4
        3070   2.63566         0.287867        0.105998    4.47667  1.32753    0.0198404              4
        3072   2.5371          0.64033         0.116909    4.46859  1.32817    0.0198678              4
        3074   2.08818         0.647675        0.348505    4.4683   1.32814    0.0198608              4
        3076   2.26678         0.450827        0.26345     4.42807  1.3315     0.0200243              4
        3078   2.41002         0.358503        0.172958    4.3974   1.33412    0.0201533              4
        3080   2.53197         0.541735        0.236221    4.38137  1.3354     0.0202115              4
