# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 6.000000 and phase < 10.000000 and ((dm15_source >= .7 and dm15_source < 1.6) or (dm15_from_fits >= .7 and dm15_from_fits < 1.6)) and HOST_LOGMASS > 10.7
# N = 39
# N_spec = 74
# phase = 8.16
# dm15 = 1.2
# z = 0.023

  Wavelength        Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  ----------  ---------------  ---------------  -------  -------  ----------  -------------
        2982   2.97329         0.0404941      -0.00253583   8.69085  1.22      0.0144                 1
        2984   2.0156          0.027451       -0.00171904   8.69085  1.22      0.0144                 1
        2986   2.54456         0.0346551      -0.00217018   8.69085  1.22      0.0144                 1
        2988   2.39767         0.0326546      -0.0020449    8.69085  1.22      0.0144                 1
        2990   4.05486         0.0552244      -0.00345827   8.69085  1.22      0.0144                 1
        2992   3.34362         0.0455378      -0.00285168   8.69085  1.22      0.0144                 1
        2994   0.299632        0.00408078     -0.000255547  8.69085  1.22      0.0144                 1
        2996   2.00587         0.0273186      -0.00171075   8.69085  1.22      0.0144                 1
        2998   3.00078         0.0408685      -0.00255927   8.69085  1.22      0.0144                 1
        3000   2.70003         0.0367725      -0.00230278   8.69085  1.22      0.0144                 1
        3002   2.27443         0.0309761      -0.00193979   8.69085  1.22      0.0144                 1
        3004   1.93206         0.0263133      -0.0016478    8.69085  1.22      0.0144                 1
        3006   0.898797        0.230312        0.702463     7.21932  1.19726   0.0406236              2
        3008   1.09094         0.186803        0.543638     7.23269  1.19747   0.0403854              2
        3010   0.0420247       0.6379          1.84376      7.24652  1.19768   0.0401389              2
        3012  -0.224967        0.969136        2.70284      7.26081  1.1979    0.0398842              2
        3014   1.29207         0.210061        0.542853     7.27557  1.19813   0.0396213              2
        3016   1.19856         0.464752        1.17589      7.29079  1.19837   0.03935                2
        3018   0.685318        0.797021        1.95627      7.30647  1.19861   0.0390706              2
        3020  -0.10199         0.620741        1.47714      7.32261  1.19886   0.038783               2
        3022  -0.0123747       0.821519        1.87437      7.33919  1.19911   0.0384875              2
        3024   0.289696        0.332682        0.722315     7.35621  1.19938   0.0381842              2
        3026   1.00215         0.234953        0.478967     7.37366  1.19965   0.0378733              2
        3028   1.15322         0.523071        1.03528      7.39151  1.19992   0.0375552              2
        3030   0.934107        0.401288        0.760502     7.40975  1.20021   0.0372301              2
        3032   1.21243         0.397083        0.283207     7.30029  1.25185   0.0282954              3
        3034   2.26806         0.790795        1.31236      7.68496  1.22045   0.028352               4
        3036   2.85748         0.692327        1.14777      7.69012  1.2207    0.0282276              4
        3038   3.29717         0.413006        0.69735      7.69664  1.22084   0.0281043              4
        3040   2.26531         0.186206        0.279802     7.70123  1.22078   0.027979               5
        3042   1.7091          0.283117        0.352733     7.70345  1.22129   0.0278531              5
        3044   2.04062         0.585963        0.566373     7.70339  1.222     0.0277257              5
        3046   1.27036         1.00629         0.868338     7.70906  1.22223   0.0276018              5
        3048   2.09642         0.410614        0.575962     7.71399  1.22249   0.0274831              5
        3050   2.453           0.306881        0.354408     7.7138   1.2233    0.0273389              5
        3052   2.40352         0.346406        0.511734     7.72471  1.22271   0.0272987              5
        3054   2.16141         0.284871        0.399579     7.74342  1.22127   0.0273085              5
        3056   2.01529         0.309477        0.405725     7.75168  1.22119   0.0272082              5
        3058   2.2222          0.371566        0.540773     7.75624  1.22153   0.0270842              5
        3060   2.04265         0.218639        0.295857     7.75504  1.22259   0.0269017              5
        3062   1.62259         0.274283        0.368098     7.75826  1.2231    0.0267637              5
        3064   1.58327         0.418761        0.534737     7.76453  1.22321   0.0266561              5
        3066   1.60285         0.524405        0.242393     7.71526  1.23254   0.0273197              6
        3068   2.17441         0.473546        0.202875     7.72216  1.2325    0.0271916              6
        3070   2.29031         0.145645        0.104544     7.72613  1.23281   0.0270222              6
        3072   1.87511         0.0893172       0.0936355    7.73421  1.23259   0.0269204              6
        3074   1.82811         0.620454        0.281349     7.74309  1.23238   0.0268108              6
        3076   2.22961         0.733362        0.44376      7.74353  1.23254   0.0267444              6
        3078   2.32651         0.436063        0.277894     7.73465  1.23305   0.026746               6
        3080   2.17373         0.161813        0.206297     7.73755  1.23317   0.0266497              6
        3082   2.11669         0.335268        0.411466     7.74337  1.23322   0.0265265              6
        3084   2.19642         0.340118        0.397575     7.75229  1.23332   0.0263401              6
        3086   2.40114         0.238748        0.263296     7.75985  1.23322   0.0262215              6
        3088   2.02882         0.242213        0.198471     7.76143  1.23341   0.0261351              6
        3090   2.0633          0.33801         0.24536      7.76316  1.23336   0.0260994              6
        3092   2.19381         0.25303         0.270563     7.76641  1.23353   0.0259899              6
        3094   2.41489         0.219167        0.234976     7.77275  1.23373   0.0258292              6
        3096   2.1282          0.197835        0.189894     7.77946  1.23326   0.0258155              6
        3098   2.10306         0.343964        0.306547     7.78278  1.23306   0.0257992              6
        3100   2.05315         0.311939        0.306607     7.7871   1.2332    0.0256865              6
        3102   2.11113         0.250699        0.279227     7.79895  1.2328    0.0255729              6
        3104   2.12205         0.189771        0.194523     7.80369  1.23283   0.0254826              6
        3106   1.82953         0.495143        0.255769     7.81018  1.23267   0.0254067              6
        3108   1.83408         0.344785        0.159825     7.8163   1.23264   0.0253056              6
        3110   2.09333         0.137973        0.168979     7.82038  1.23268   0.0252249              6
        3112   2.33034         0.257374        0.261645     7.81984  1.23019   0.0251622              7
        3114   2.19581         0.256226        0.273886     7.82077  1.23062   0.0250634              7
        3116   2.02819         0.270232        0.211304     7.82954  1.2305    0.0249598              7
        3118   2.14282         0.236542        0.26863      7.83639  1.23058   0.0248487              7
        3120   2.21956         0.249383        0.292341     7.83609  1.23059   0.0248554              7
        3122   2.43967         0.352166        0.273632     7.84229  1.23011   0.0248634              7
        3124   2.15416         0.358713        0.18103      7.84708  1.23028   0.0247585              7
        3126   2.17524         0.315151        0.144128     7.84733  1.23062   0.0246903              7
        3128   2.32237         0.21013         0.269268     7.85722  1.23013   0.0246455              7
        3130   2.31864         0.18034         0.233471     7.86133  1.23012   0.0245911              7
        3132   2.4587          0.263045        0.341758     7.86858  1.23001   0.02451                7
        3134   2.60048         0.304248        0.34146      7.87839  1.22967   0.0244359              7
        3136   2.55968         0.258493        0.368821     7.8882   1.22929   0.0243722              7
        3138   2.54915         0.414703        0.353304     7.9014   1.22904   0.0242347              7
        3140   2.56738         0.26699         0.248863     7.91105  1.22869   0.0241662              7
        3142   2.64461         0.283088        0.329917     7.92459  1.22801   0.0241092              7
        3144   2.54032         0.299984        0.271318     7.93064  1.22796   0.0240344              7
        3146   2.39059         0.33107         0.242068     7.92864  1.22818   0.0240231              7
        3148   2.5102          0.338497        0.296886     7.94384  1.22766   0.0239064              7
        3150   2.55436         0.252384        0.314477     7.95891  1.22737   0.0237473              7
        3152   2.48805         0.244421        0.34814      7.95999  1.22746   0.0237171              7
        3154   2.51024         0.237593        0.361483     7.96972  1.22717   0.0236354              7
        3156   2.5655          0.213385        0.312709     7.97801  1.2271    0.0235314              7
        3158   2.56613         0.249826        0.209109     7.98299  1.22704   0.023473               7
        3160   2.62929         0.188504        0.155249     7.9887   1.22682   0.0234373              7
        3162   2.66524         0.227485        0.184422     7.99654  1.22651   0.0233882              7
        3164   2.52229         0.226296        0.118427     8.00224  1.22647   0.0233168              7
        3166   2.69059         0.102035        0.127902     8.00082  1.22641   0.0233537              7
        3168   2.8228          0.131698        0.195206     8.01338  1.22584   0.0232864              7
        3170   2.70158         0.119472        0.11016      8.0282   1.2256    0.0231174              7
        3172   2.7352          0.263534        0.134108     8.03426  1.22555   0.0230399              7
        3174   2.79635         0.254669        0.125436     8.04166  1.22508   0.0230277              7
        3176   2.78883         0.125172        0.213379     8.05888  1.22467   0.0228584              7
        3178   2.66498         0.0642652       0.0523801    8.06743  1.22428   0.0228118              7
        3180   2.68533         0.100244        0.119463     8.08148  1.2238    0.0227042              7
        3182   2.61485         0.123977        0.0484951    8.09252  1.22364   0.022576               7
        3184   2.57856         0.180062        0.0582984    8.10458  1.22324   0.0224789              7
        3186   2.69284         0.113711        0.0375219    8.11439  1.22265   0.0224523              7
        3188   2.61889         0.0833789       0.0364953    8.12551  1.22236   0.0223508              7
