# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 14.000000 and phase < 18.000000 and ((dm15_source >= .9 and dm15_source < 1.8) or (dm15_from_fits >= .9 and dm15_from_fits < 1.8)) and HOST_LOGMASS <= 10.7
# N = 16
# N_spec = 24
# phase = 15.17
# dm15 = 1.13
# z = 0.023

  Wavelength         Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  -----------  ---------------  ---------------  -------  -------  ----------  -------------
        3068   1.78942         0.0300099        0.0112609    15.7052  1.12      0.011639               1
        3070   4.58697         0.0769267        0.0288659    15.7052  1.12      0.011639               1
        3072   1.02287         0.0171543        0.00643697   15.7052  1.12      0.011639               1
        3074   1.31904         0.0221213        0.00830078   15.7052  1.12      0.011639               1
        3076   7.27575         0.122019         0.0457865    15.7052  1.12      0.011639               1
        3078   3.52246         0.059074         0.0221669    15.7052  1.12      0.011639               1
        3080   4.51505         0.0757204        0.0284133    15.7052  1.12      0.011639               1
        3082   3.96122         0.0664324        0.0249281    15.7052  1.12      0.011639               1
        3084  -0.703578        0.00442764       0.0117995    15.7052  1.12      0.011639               1
        3086  -2.49014         0.0156705        0.0417614    15.7052  1.12      0.011639               1
        3088  -0.29323         0.00184531       0.00491767   15.7052  1.12      0.011639               1
        3090  -6.34656         0.0399391        0.106436     15.7052  1.12      0.011639               1
        3092  -3.43711         0.0216299        0.0576428    15.7052  1.12      0.011639               1
        3094  -3.14064         0.0197641        0.0526706    15.7052  1.12      0.011639               1
        3096  -4.88081         0.0307151        0.0818546    15.7052  1.12      0.011639               1
        3098   0.969204        0.0162542        0.00609923   15.7052  1.12      0.011639               1
        3100   0.605898        0.0101613        0.00381293   15.7052  1.12      0.011639               1
        3102  -0.313839        0.001975         0.0052633    15.7052  1.12      0.011639               1
        3104   4.29691         0.0720622        0.0270406    15.7052  1.12      0.011639               1
        3106   3.28265         0.0550522        0.0206578    15.7052  1.12      0.011639               1
        3108  -1.19006         0.0074891        0.0199582    15.7052  1.12      0.011639               1
        3110   5.15621         0.0864732        0.0324482    15.7052  1.12      0.011639               1
        3112   4.7079          0.0789547        0.0296269    15.7052  1.12      0.011639               1
        3114   0.909517        0.0152532        0.00572362   15.7052  1.12      0.011639               1
        3116  -1.54476         0.00972122       0.0259067    15.7052  1.12      0.011639               1
        3118  -1.49214         0.00939008       0.0250242    15.7052  1.12      0.011639               1
        3120   0.975486        0.0163596        0.00613876   15.7052  1.12      0.011639               1
        3122   3.72255         0.0624298        0.0234261    15.7052  1.12      0.011639               1
        3124   2.26582         0.0379993        0.0142589    15.7052  1.12      0.011639               1
        3126   1.30807         0.0219372        0.00823173   15.7052  1.12      0.011639               1
        3128  -1.3829          0.00870263       0.0231922    15.7052  1.12      0.011639               1
        3130  -5.45927         0.0343554        0.0915558    15.7052  1.12      0.011639               1
        3132  -5.57558         0.0350873        0.0935064    15.7052  1.12      0.011639               1
        3134  -2.6135          0.0164468        0.0438302    15.7052  1.12      0.011639               1
        3136  -1.02043         0.00642158       0.0171133    15.7052  1.12      0.011639               1
        3138  -1.01583         0.00639264       0.0170362    15.7052  1.12      0.011639               1
        3140   0.976283        0.0163729        0.00614378   15.7052  1.12      0.011639               1
        3142   4.10679         0.0688738        0.0258442    15.7052  1.12      0.011639               1
        3144   2.55217         0.0428017        0.0160609    15.7052  1.12      0.011639               1
        3146  -0.602131        0.00378923       0.0100982    15.7052  1.12      0.011639               1
        3148  -1.39662         0.00878898       0.0234223    15.7052  1.12      0.011639               1
        3150  -0.732305        0.00460841       0.0122813    15.7052  1.12      0.011639               1
        3152  -0.396649        0.00249613       0.00665208   15.7052  1.12      0.011639               1
        3154   0.92188         0.0154606        0.00580142   15.7052  1.12      0.011639               1
        3156   2.25947         0.0378928        0.0142189    15.7052  1.12      0.011639               1
        3158   1.23933         0.0207844        0.00779915   15.7052  1.12      0.011639               1
        3160   1.47379         0.0247165        0.00927461   15.7052  1.12      0.011639               1
        3162   2.91403         0.0488702        0.0183381    15.7052  1.12      0.011639               1
        3164   3.20409         0.0537348        0.0201634    15.7052  1.12      0.011639               1
        3166   3.55003         0.0595364        0.0223404    15.7052  1.12      0.011639               1
        3168   3.89049         0.0652462        0.024483     15.7052  1.12      0.011639               1
        3170   1.98907         0.033358         0.0125173    15.7052  1.12      0.011639               1
        3172  -0.0262227       0.00016502       0.000439773  15.7052  1.12      0.011639               1
        3174  -1.78929         0.0112601        0.0300077    15.7052  1.12      0.011639               1
        3176  -3.18425         0.0200386        0.053402     15.7052  1.12      0.011639               1
        3178  -2.34861         0.0147799        0.0393878    15.7052  1.12      0.011639               1
        3180   1.15799         0.0194203        0.00728725   15.7052  1.12      0.011639               1
        3182   5.20879         0.0873551        0.0327791    15.7052  1.12      0.011639               1
        3184   4.92858         0.0826557        0.0310157    15.7052  1.12      0.011639               1
        3186   1.59373         0.026728         0.0100294    15.7052  1.12      0.011639               1
        3188  -0.952251        0.00599255       0.0159699    15.7052  1.12      0.011639               1
        3190  -0.16005         0.0010072        0.00268416   15.7052  1.12      0.011639               1
        3192   3.09867         0.0519669        0.0195       15.7052  1.12      0.011639               1
        3194   2.96648         0.04975          0.0186682    15.7052  1.12      0.011639               1
        3196   1.03674         0.0173868        0.00652423   15.7052  1.12      0.011639               1
        3198   0.0573991       0.000962623      0.000361215  15.7052  1.12      0.011639               1
        3200  -0.0979131       0.00061617       0.00164207   15.7052  1.12      0.011639               1
        3202   1.85062         2.48297          0.486473     14.4381  1.42773   0.0310682              2
        3204   3.49102         5.69002          1.14418      14.4422  1.42672   0.0310043              2
        3206   4.5434          6.13057          1.24007      14.4447  1.42611   0.0309662              2
        3208   6.07731         4.88541          0.983109     14.4477  1.42538   0.0309199              2
        3210   4.02674         1.77567          0.351314     14.4509  1.42462   0.0308721              2
        3212   1.43372         0.212716         0.036681     14.4532  1.42404   0.0308356              2
        3214  -0.00568837      0.022044         0.00492145   14.4568  1.42318   0.0307813              2
        3216   0.0277306       0.264984         0.0591564    14.4602  1.42234   0.0307284              2
        3218   0.609888        0.204859         0.874951     14.4636  1.42152   0.0306762              2
        3220   1.26956         0.068122         0.242964     14.4673  1.42064   0.0306206              2
        3222   1.4097          0.28683          0.245874     14.7037  1.37187   0.0297324              3
        3224   1.30266         1.14333          0.379561     14.7014  1.37219   0.0296931              3
        3226   2.10142         2.74857          0.955882     14.7     1.37234   0.0296536              3
        3228   1.79988         2.85017          0.944611     14.6994  1.37232   0.0296098              3
        3230   1.97084         2.17279          0.626828     14.6983  1.3724    0.0295629              3
        3232   2.79389         1.11901          0.356393     14.6962  1.3727    0.0295306              3
        3234   2.75761         0.150928         0.490072     14.6953  1.3727    0.0294772              3
        3236   2.55395         0.401333         1.20085      14.6945  1.37271   0.0294317              3
        3238   2.64075         0.503599         0.413694     14.6549  1.26894   0.0281551              4
        3240   1.81115         1.12095          0.578271     14.6548  1.26986   0.0281314              4
        3242   1.71353         0.373446         0.287004     14.6566  1.27025   0.0280833              4
        3244   1.57124         0.393531         0.276331     14.9443  1.24201   0.0273013              5
        3246   2.83287         0.614968         0.513124     14.9422  1.2427    0.0272935              5
        3248   2.4041          0.375235         0.283051     14.9407  1.24339   0.0272741              5
        3250   2.0372          0.700265         0.762564     14.9393  1.24403   0.0272578              5
        3252   2.42982         0.617195         0.531754     14.9387  1.24436   0.0272351              5
        3254   1.5329          0.237912         0.228633     14.9389  1.24452   0.027206               5
        3256   2.48016         0.710107         0.499909     14.9384  1.24484   0.0271763              5
        3258   3.3292          0.668178         0.445386     14.9364  1.24577   0.0271602              5
        3260   3.37835         1.10185          0.71981      14.9357  1.24641   0.0271355              5
        3262   2.83153         0.42793          0.333385     14.9339  1.24714   0.0271175              5
        3264   2.45396         0.414458         0.342299     14.9329  1.24783   0.0270911              5
        3266   2.43282         0.343537         0.274133     14.9326  1.24837   0.0270607              5
        3268   1.34616         0.684717         0.405378     14.9316  1.24892   0.0270397              5
        3270   1.01785         0.579265         0.45629      14.9312  1.24942   0.0270004              5
        3272   1.92733         0.214681         0.16039      14.9306  1.25003   0.0269706              5
        3274   2.89988         0.668804         0.482874     14.9312  1.25034   0.0269296              5
        3276   2.39233         0.468908         0.542915     14.9304  1.25089   0.0269011              5
        3278   1.40677         0.352677         0.274452     14.93    1.25145   0.0268699              5
        3280   1.43479         0.578869         0.432287     14.9304  1.25168   0.0268182              5
        3282   2.02198         0.527589         0.421775     14.9294  1.25232   0.0267802              5
        3284   1.97089         0.364334         0.264223     14.9294  1.25286   0.0267311              5
        3286   1.9253          0.264252         0.307425     14.931   1.25326   0.0266753              5
        3288   2.92328         0.62007          0.594583     14.9326  1.25345   0.0266206              5
        3290   2.68456         0.684223         0.592304     14.9347  1.25337   0.0265586              5
        3292   1.8388          0.514878         0.433895     14.936   1.25355   0.0265121              5
        3294   2.20468         0.502121         0.479829     14.9376  1.25359   0.0264572              5
        3296   3.0005          0.541282         0.551179     14.94    1.25345   0.0263944              5
        3298   2.96401         0.455446         0.484432     14.9426  1.25327   0.0263281              5
        3300   2.27942         0.707121         0.707081     14.9459  1.253     0.0262555              5
        3302   1.98741         0.466806         0.514947     14.9478  1.25298   0.0261981              5
        3304   2.54108         0.582878         0.475817     14.9497  1.25303   0.0261399              5
        3306   2.61911         0.595878         0.624713     14.9538  1.25266   0.0260588              5
        3308   1.95899         0.161182         0.11505      14.9562  1.25245   0.0259964              5
        3310   2.36467         0.456532         0.534417     14.9588  1.25238   0.0259316              5
        3312   2.26383         0.582094         0.591266     14.9631  1.25188   0.0258426              5
        3314   1.77353         1.02187          0.556208     14.9655  1.25182   0.0257788              5
        3316   2.69039         0.729942         0.598695     14.9732  1.25027   0.0256643              5
        3318   2.99247         0.718091         0.67623      14.979   1.24916   0.0255651              5
        3320   2.03766         0.384655         0.30272      14.9774  1.25044   0.0255502              5
        3322   1.91878         0.283468         0.305813     14.9814  1.24998   0.0254795              5
        3324   1.3872          0.331131         0.280879     14.985   1.24957   0.0254081              5
        3326   2.09529         1.00622          0.873828     14.9874  1.24934   0.0253572              5
        3328   1.58877         0.526662         0.409453     14.989   1.24926   0.0253301              5
        3330   1.50133         0.336572         0.310916     14.9904  1.24923   0.0253074              5
        3332   2.17385         0.343684         0.351889     14.9949  1.24863   0.0252361              5
        3334   2.49906         0.348182         0.460427     15.0012  1.24759   0.0251312              5
        3336   2.21055         0.177383         0.203615     15.0059  1.24683   0.0250493              5
        3338   2.47592         0.484256         0.40711      15.0113  1.24606   0.024961               5
        3340   2.36461         0.436095         0.379519     15.0155  1.2455    0.0248911              5
        3342   1.93189         0.612017         0.438349     15.0198  1.24484   0.0248222              5
        3344   1.91281         0.546281         0.446892     15.0233  1.2444    0.0247629              5
        3346   2.10131         0.490124         0.456943     15.0262  1.24382   0.0246758              5
        3348   2.21325         0.41874          0.384563     15.0311  1.24344   0.0246124              5
        3350   2.35318         0.429477         0.312483     15.0357  1.24295   0.0245869              5
        3352   2.42588         0.515303         0.449158     15.0405  1.24164   0.0245056              5
        3354   2.80031         0.51033          0.507757     15.0447  1.24098   0.0244506              5
        3356   2.38291         0.241831         0.253863     15.0475  1.24049   0.0244164              5
        3358   2.53956         0.392765         0.423151     15.0523  1.23951   0.0243506              5
        3360   2.12594         0.380349         0.425549     15.0563  1.2387    0.0243056              5
        3362   1.94499         0.622268         0.628965     15.0604  1.23794   0.0242506              5
        3364   1.69894         0.530391         0.504122     15.0642  1.23726   0.0241985              5
        3366   1.91967         0.406206         0.506438     15.0667  1.23684   0.02417                5
        3368   2.0606          0.499505         0.55524      15.0697  1.23636   0.024136               5
        3370   1.84            0.428941         0.603211     15.073   1.23573   0.0241034              5
        3372   2.74132         0.640683         0.860694     15.0751  1.23523   0.0240921              5
        3374   3.21355         0.763716         0.962089     15.0765  1.23498   0.024098               5
        3376   2.93166         0.658276         0.892466     15.0775  1.23465   0.0240966              5
        3378   2.73774         0.721771         0.842403     15.0808  1.23393   0.0240712              5
        3380   2.67962         0.881293         0.973068     15.085   1.23296   0.0240327              5
        3382   2.68197         0.785656         0.99131      15.0844  1.23311   0.0240524              5
        3384   2.38657         0.511339         0.769473     15.0856  1.23282   0.024056               5
        3386   2.31504         0.53049          0.649929     15.0882  1.23217   0.0240333              5
        3388   2.26936         0.652695         0.846871     15.0886  1.23187   0.0240387              5
        3390   1.84454         0.707306         0.753797     15.0918  1.23111   0.0239969              5
        3392   1.73715         0.332192         0.355774     15.0885  1.2316    0.0240884              5
        3394   2.40696         0.323305         0.454158     15.0829  1.23244   0.0242297              5
        3396   2.89689         0.334108         0.411073     15.5124  1.18638   0.0239963              6
        3398   2.73083         0.400403         0.309082     15.525   1.18453   0.023947               6
        3400   2.75694         0.510174         0.397762     15.5226  1.18455   0.0239635              6
        3402   2.25786         0.461428         0.368176     15.5283  1.18366   0.0239619              6
        3404   2.67799         0.339419         0.266825     15.5284  1.18339   0.0239803              6
        3406   2.91392         0.364302         0.279097     15.5378  1.18206   0.0239937              6
        3408   2.90522         0.442045         0.503886     15.5237  1.18313   0.0240003              6
        3410   2.95745         0.516849         0.427073     15.5285  1.18244   0.0240216              6
        3412   2.98281         0.435704         0.270919     15.5444  1.18058   0.0240421              6
        3414   2.25113         0.466602         0.324265     15.5506  1.17948   0.0240586              6
        3416   2.02343         0.370825         0.282855     15.5527  1.17879   0.0240528              6
        3418   2.71219         0.413057         0.376611     15.5282  1.18092   0.0240568              6
        3420   2.59384         0.597838         0.445775     15.5462  1.17846   0.0240402              6
        3422   2.35345         0.519367         0.431048     15.55    1.17748   0.024018               6
        3424   2.73166         0.514967         0.498419     15.5218  1.18001   0.024049               6
        3426   2.59975         0.379641         0.365259     15.5351  1.17822   0.0240353              6
        3428   2.52188         0.254295         0.169282     15.5366  1.17772   0.0240309              6
        3430   2.98512         0.376331         0.263214     15.5339  1.17768   0.0240503              6
        3432   3.10426         0.472341         0.35156      15.5374  1.17671   0.0240399              6
        3434   3.368           0.357577         0.286471     15.5382  1.17628   0.0240532              6
        3436   3.2623          0.346038         0.247804     15.5395  1.17581   0.0240866              6
        3438   3.00348         0.469257         0.388866     15.5231  1.17714   0.0241158              6
        3440   3.0876          0.456118         0.397111     15.5371  1.17543   0.0241228              6
        3442   2.81249         0.208642         0.207525     15.514   1.17728   0.0241265              6
        3444   2.76154         0.334535         0.350451     15.534   1.17481   0.0241131              6
        3446   3.37023         0.434913         0.29131      15.5491  1.17289   0.0240962              6
        3448   3.48028         0.417738         0.325708     15.5366  1.17368   0.0240935              6
        3450   2.97615         0.3475           0.236986     15.5618  1.17062   0.0240745              6
        3452   2.91632         0.269449         0.182576     15.5432  1.17207   0.0240537              6
        3454   3.05012         0.266237         0.224258     15.5523  1.1709    0.0240402              6
        3456   2.78251         0.384828         0.29867      15.5383  1.17201   0.0240524              6
        3458   2.81235         0.193364         0.152701     15.513   1.17419   0.0240775              6
        3460   2.95154         0.290651         0.18861      15.5229  1.17256   0.0240118              6
        3462   3.0697          0.353106         0.297362     15.5303  1.17129   0.02398                6
