# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 26.000000 and phase < 30.000000 and ((dm15_source >= .9 and dm15_source < 1.8) or (dm15_from_fits >= .9 and dm15_from_fits < 1.8)) and HOST_LOGMASS <= 10.7
# N = 17
# N_spec = 25
# phase = 27.66
# dm15 = 1.26
# z = 0.019

  Wavelength        Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  ----------  ---------------  ---------------  -------  -------  ----------  -------------
        3142   1.31963         0.034856         0.00745021  29.9058  1.2       0.0193                 1
        3144   1.25211         0.0330725        0.007069    29.9058  1.2       0.0193                 1
        3146   1.09357         0.0288851        0.00617397  29.9058  1.2       0.0193                 1
        3148   1.22266         0.0322947        0.00690275  29.9058  1.2       0.0193                 1
        3150   1.27062         0.0335615        0.00717352  29.9058  1.2       0.0193                 1
        3152   1.04686         0.0276513        0.00591025  29.9058  1.2       0.0193                 1
        3154   1.17699         0.0310884        0.00664491  29.9058  1.2       0.0193                 1
        3156   1.51307         0.0399656        0.00854234  29.9058  1.2       0.0193                 1
        3158   1.63553         0.0432001        0.0092337   29.9058  1.2       0.0193                 1
        3160   1.33964         0.0353846        0.00756318  29.9058  1.2       0.0193                 1
        3162   1.2393          0.0327344        0.00699672  29.9058  1.2       0.0193                 1
        3164   1.18174         0.031214         0.00667176  29.9058  1.2       0.0193                 1
        3166   1.42246         0.0375723        0.00803079  29.9058  1.2       0.0193                 1
        3168   1.88939         0.0499055        0.0106669   29.9058  1.2       0.0193                 1
        3170   1.78522         0.0471539        0.0100788   29.9058  1.2       0.0193                 1
        3172   1.27617         0.0337081        0.00720486  29.9058  1.2       0.0193                 1
        3174   1.56882         0.041438         0.00885707  29.9058  1.2       0.0193                 1
        3176   1.96584         0.0519248        0.0110985   29.9058  1.2       0.0193                 1
        3178   1.68824         0.0445924        0.00953129  29.9058  1.2       0.0193                 1
        3180   1.78979         0.0472748        0.0101046   29.9058  1.2       0.0193                 1
        3182   1.98662         0.0524736        0.0112158   29.9058  1.2       0.0193                 1
        3184   1.61383         0.042627         0.0091112   29.9058  1.2       0.0193                 1
        3186   1.85262         0.0489342        0.0104593   29.9058  1.2       0.0193                 1
        3188   1.78605         0.047176         0.0100835   29.9058  1.2       0.0193                 1
        3190   1.46687         0.0387452        0.0082815   29.9058  1.2       0.0193                 1
        3192   1.93558         0.0511254        0.0109277   29.9058  1.2       0.0193                 1
        3194   2.34089         0.0618313        0.013216    29.9058  1.2       0.0193                 1
        3196   2.22491         0.0587679        0.0125612   29.9058  1.2       0.0193                 1
        3198   1.45345         0.0383909        0.00820575  29.9058  1.2       0.0193                 1
        3200   1.14775         0.0303162        0.00647985  29.9058  1.2       0.0193                 1
        3202   1.6087          0.0424914        0.0090822   29.9058  1.2       0.0193                 1
        3204   1.68529         0.0445144        0.00951462  29.9058  1.2       0.0193                 1
        3206   1.272           0.0335981        0.00718135  29.9058  1.2       0.0193                 1
        3208   1.16672         0.0308171        0.00658693  29.9058  1.2       0.0193                 1
        3210   1.281           0.0338357        0.00723213  29.9058  1.2       0.0193                 1
