# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= -6.000000 and phase < -2.000000 and ((dm15_source >= .9 and dm15_source < 1.8) or (dm15_from_fits >= .9 and dm15_from_fits < 1.8)) and HOST_LOGMASS <= 10.7
# N = 19
# N_spec = 36
# phase = -3.89
# dm15 = 1.12
# z = 0.024

  Wavelength       Flux    1-Sigma Lower    1-Sigma Upper     Phase     Dm15    Redshift    SNe per Bin
------------  ---------  ---------------  ---------------  --------  -------  ----------  -------------
        3020   0.172595       0.00184935      3.22192e-05  -2.67713  1.46      0.028341               1
        3022   3.63684        0.0389686       0.000678908  -2.67713  1.46      0.028341               1
        3024   1.87413        0.0200812       0.000349853  -2.67713  1.46      0.028341               1
        3026   2.53093        0.0271188       0.000472463  -2.67713  1.46      0.028341               1
        3028   6.74322        0.0722534       0.00125879   -2.67713  1.46      0.028341               1
        3030   4.11007        0.0440393       0.00076725   -2.67713  1.46      0.028341               1
        3032   5.02256        0.0538166       0.000937589  -2.67713  1.46      0.028341               1
        3034   3.33638        0.0357492       0.00062282   -2.67713  1.46      0.028341               1
        3036   2.71623        0.0291043       0.000507053  -2.67713  1.46      0.028341               1
        3038   5.58202        0.0598111       0.00104203   -2.67713  1.46      0.028341               1
        3040   6.23531        0.0668112       0.00116398   -2.67713  1.46      0.028341               1
        3042   1.47318        0.0157851       0.000275007  -2.67713  1.46      0.028341               1
        3044   1.56978        0.0168201       0.00029304   -2.67713  1.46      0.028341               1
        3046   2.12372        0.0227556       0.000396447  -2.67713  1.46      0.028341               1
        3048   2.96613        0.031782        0.000553705  -2.67713  1.46      0.028341               1
        3050   5.24958        0.0562491       0.000979968  -2.67713  1.46      0.028341               1
        3052   6.071          0.0650505       0.00113331   -2.67713  1.46      0.028341               1
        3054   5.88692        0.0630782       0.00109894   -2.67713  1.46      0.028341               1
        3056   6.35465        0.0680899       0.00118626   -2.67713  1.46      0.028341               1
        3058   5.24652        0.0562163       0.000979396  -2.67713  1.46      0.028341               1
        3060   2.32723        0.0249362       0.000434437  -2.67713  1.46      0.028341               1
        3062   2.28799        0.0245157       0.000427111  -2.67713  1.46      0.028341               1
        3064   4.22771        0.0452998       0.00078921   -2.67713  1.46      0.028341               1
        3066   3.69909        0.0396356       0.000690529  -2.67713  1.46      0.028341               1
        3068   3.62184        0.0388079       0.00067611   -2.67713  1.46      0.028341               1
        3070   5.64336        0.0604684       0.00105348   -2.67713  1.46      0.028341               1
        3072   6.85816        0.073485        0.00128025   -2.67713  1.46      0.028341               1
        3074   5.79218        0.0620631       0.00108126   -2.67713  1.46      0.028341               1
        3076   4.48806        0.0480894       0.000837812  -2.67713  1.46      0.028341               1
        3078   4.43374        0.0475074       0.000827671  -2.67713  1.46      0.028341               1
        3080   4.71372        0.0505074       0.000879937  -2.67713  1.46      0.028341               1
        3082   4.28919        0.0459585       0.000800687  -2.67713  1.46      0.028341               1
        3084   3.82877        0.0410252       0.000714738  -2.67713  1.46      0.028341               1
        3086   3.70802        0.0397313       0.000692196  -2.67713  1.46      0.028341               1
        3088   4.04622        0.0433551       0.00075533   -2.67713  1.46      0.028341               1
        3090   5.36316        0.0574661       0.00100117   -2.67713  1.46      0.028341               1
        3092   5.04315        0.0540372       0.000941433  -2.67713  1.46      0.028341               1
        3094   3.16269        0.0338881       0.000590397  -2.67713  1.46      0.028341               1
        3096   2.3628         0.0253173       0.000441077  -2.67713  1.46      0.028341               1
        3098   3.12716        0.0335074       0.000583763  -2.67713  1.46      0.028341               1
        3100   3.52505        0.0377708       0.00065804   -2.67713  1.46      0.028341               1
        3102   4.56722        0.0489376       0.000852588  -2.67713  1.46      0.028341               1
        3104   5.13319        0.0550019       0.00095824   -2.67713  1.46      0.028341               1
        3106   4.48178        0.0480221       0.000836638  -2.67713  1.46      0.028341               1
        3108   3.51343        0.0376463       0.000655872  -2.67713  1.46      0.028341               1
        3110   3.705          0.039699        0.000691633  -2.67713  1.46      0.028341               1
        3112   4.81038        0.0515431       0.00089798   -2.67713  1.46      0.028341               1
        3114   5.31202        0.0569181       0.000991624  -2.67713  1.46      0.028341               1
        3116   5.67692        0.060828        0.00105974   -2.67713  1.46      0.028341               1
        3118   6.7882         0.0727354       0.00126719   -2.67713  1.46      0.028341               1
        3120   7.1326         0.0764256       0.00133148   -2.67713  1.46      0.028341               1
        3122   5.44414        0.0583338       0.00101629   -2.67713  1.46      0.028341               1
        3124   5.68355        0.0608991       0.00106098   -2.67713  1.46      0.028341               1
        3126   6.02146        0.0645197       0.00112406   -2.67713  1.46      0.028341               1
        3128   5.61867        0.0602039       0.00104887   -2.67713  1.46      0.028341               1
        3130   6.25536        0.067026        0.00116772   -2.67713  1.46      0.028341               1
        3132   7.2885         0.078096        0.00136058   -2.67713  1.46      0.028341               1
        3134   6.39583        0.0685311       0.00119395   -2.67713  1.46      0.028341               1
        3136   5.97914        0.0640663       0.00111616   -2.67713  1.46      0.028341               1
        3138   5.97428        0.0640142       0.00111525   -2.67713  1.46      0.028341               1
        3140   5.57179        0.0597015       0.00104012   -2.67713  1.46      0.028341               1
        3142   5.88707        0.0630797       0.00109897   -2.67713  1.46      0.028341               1
        3144   6.62867        0.071026        0.00123741   -2.67713  1.46      0.028341               1
        3146   6.37819        0.0683421       0.00119065   -2.67713  1.46      0.028341               1
        3148   6.17251        0.0661382       0.00115226   -2.67713  1.46      0.028341               1
        3150   6.4786         0.069418        0.0012094    -2.67713  1.46      0.028341               1
        3152   6.47801        0.0694117       0.00120929   -2.67713  1.46      0.028341               1
        3154   6.29248        0.0674238       0.00117465   -2.67713  1.46      0.028341               1
        3156   6.36212        0.0681699       0.00118765   -2.67713  1.46      0.028341               1
        3158   6.56909        0.0703876       0.00122629   -2.67713  1.46      0.028341               1
        3160   6.78225        0.0726716       0.00126608   -2.67713  1.46      0.028341               1
        3162   6.80724        0.0729393       0.00127075   -2.67713  1.46      0.028341               1
        3164   6.85154        0.073414        0.00127901   -2.67713  1.46      0.028341               1
        3166   6.93552        0.0743139       0.00129469   -2.67713  1.46      0.028341               1
        3168   7.0146         0.0751612       0.00130945   -2.67713  1.46      0.028341               1
        3170   7.08594        0.0759256       0.00132277   -2.67713  1.46      0.028341               1
        3172   7.11186        0.0762034       0.00132761   -2.67713  1.46      0.028341               1
        3174   7.08573        0.0759234       0.00132273   -2.67713  1.46      0.028341               1
        3176   6.30802        0.0675902       0.00117755   -2.67713  1.46      0.028341               1
        3178   5.81434        0.0623004       0.00108539   -2.67713  1.46      0.028341               1
        3180   6.51602        0.069819        0.00121638   -2.67713  1.46      0.028341               1
        3182   5.83694        0.0625426       0.00108961   -2.67713  1.46      0.028341               1
        3184   5.19695        0.0556851       0.000970143  -2.67713  1.46      0.028341               1
        3186   5.43347        0.0582194       0.0010143    -2.67713  1.46      0.028341               1
        3188   5.99641        0.0642513       0.00111938   -2.67713  1.46      0.028341               1
        3190   6.19642        0.0663945       0.00115672   -2.67713  1.46      0.028341               1
        3192   6.13693        0.065757        0.00114561   -2.67713  1.46      0.028341               1
        3194   5.71972        0.0612866       0.00106773   -2.67713  1.46      0.028341               1
        3196   5.84625        0.0626423       0.00109135   -2.67713  1.46      0.028341               1
        3198   5.85206        0.0627047       0.00109244   -2.67713  1.46      0.028341               1
        3200   5.88007        0.0630048       0.00109767   -2.67713  1.46      0.028341               1
        3202   6.13079        0.0656912       0.00114447   -2.67713  1.46      0.028341               1
        3204   5.49273        0.0588544       0.00102536   -2.67713  1.46      0.028341               1
        3206   5.26136        0.0563753       0.000982167  -2.67713  1.46      0.028341               1
        3208   4.68344        0.954191        0.828568     -3.79331  1.19953   0.0296337              2
        3210   4.59198        0.694979        0.576683     -3.78025  1.20258   0.0296186              2
        3212   4.17141        0.397532        0.304442     -3.76544  1.20603   0.0296014              2
        3214   4.1157         0.535901        0.416967     -3.75398  1.20871   0.0295881              2
        3216   4.15053        0.760104        0.593078     -3.73966  1.21205   0.0295716              2
        3218   3.95048        0.730499        0.557889     -3.7279   1.21479   0.029558               2
        3220   4.00858        0.859593        0.649291     -3.7165   1.21745   0.0295447              2
        3222   3.8106         1.04508         0.785925     -3.70641  1.21981   0.0295331              2
        3224   3.63858        0.609133        0.437891     -3.70038  1.22121   0.0295261              2
        3226   3.89039        0.0540525       0.0065526    -3.75375  1.21395   0.0291352              3
        3228   3.8903         0.236537        0.112035     -3.74645  1.21563   0.0291288              3
        3230   4.01699        0.623765        0.348448     -3.73773  1.21767   0.0291186              3
        3232   3.67867        0.837967        0.47365      -3.72783  1.21997   0.0291082              3
        3234   3.17899        0.776476        0.387729     -3.71835  1.22216   0.0290989              3
        3236   3.4374         0.43629         0.347781     -3.70931  1.22426   0.029089               3
