# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 2.000000 and phase < 6.000000 and ((dm15_source >= .9 and dm15_source < 1.8) or (dm15_from_fits >= .9 and dm15_from_fits < 1.8)) and HOST_LOGMASS <= 10.7
# N = 22
# N_spec = 40
# phase = 4.07
# dm15 = 1.2
# z = 0.019

  Wavelength       Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  ---------  ---------------  ---------------  -------  -------  ----------  -------------
        3114   3.7514         0.0814148      -0.00750788   2.34781  1.22      0.02862                1
        3116   4.094          0.0888501      -0.00819354   2.34781  1.22      0.02862                1
        3118   4.36072        0.0946386      -0.00872735   2.34781  1.22      0.02862                1
        3120   4.43354        0.0962189      -0.00887308   2.34781  1.22      0.02862                1
        3122   4.19265        0.0909909      -0.00839097   2.34781  1.22      0.02862                1
        3124   4.21642        0.0915067      -0.00843853   2.34781  1.22      0.02862                1
        3126   4.32883        0.0939464      -0.00866352   2.34781  1.22      0.02862                1
        3128   3.98457        0.086475       -0.00797452   2.34781  1.22      0.02862                1
        3130   3.8804         0.0842143      -0.00776604   2.34781  1.22      0.02862                1
        3132   4.24122        0.092045       -0.00848817   2.34781  1.22      0.02862                1
        3134   4.53591        0.0984405      -0.00907795   2.34781  1.22      0.02862                1
        3136   4.8032         0.104241       -0.0096129    2.34781  1.22      0.02862                1
        3138   4.91907        0.106756       -0.00984479   2.34781  1.22      0.02862                1
        3140   5.19501        0.112745       -0.010397     2.34781  1.22      0.02862                1
        3142   5.22588        0.113415       -0.0104588    2.34781  1.22      0.02862                1
        3144   5.06575        0.109939       -0.0101384    2.34781  1.22      0.02862                1
        3146   5.26978        0.114367       -0.0105467    2.34781  1.22      0.02862                1
        3148   5.23431        0.113598       -0.0104757    2.34781  1.22      0.02862                1
        3150   5.02561        0.109068       -0.010058     2.34781  1.22      0.02862                1
        3152   5.11556        0.11102        -0.010238     2.34781  1.22      0.02862                1
        3154   5.28142        0.11462        -0.01057      2.34781  1.22      0.02862                1
        3156   5.46613        0.118629       -0.0109396    2.34781  1.22      0.02862                1
        3158   5.24504        0.11383        -0.0104972    2.34781  1.22      0.02862                1
        3160   5.08627        0.110385       -0.0101794    2.34781  1.22      0.02862                1
        3162   5.30724        0.11518        -0.0106217    2.34781  1.22      0.02862                1
        3164   5.48623        0.119065       -0.0109799    2.34781  1.22      0.02862                1
        3166   5.22118        0.113313       -0.0104494    2.34781  1.22      0.02862                1
        3168   4.98215        0.108125       -0.00997103   2.34781  1.22      0.02862                1
        3170   5.4143         0.117504       -0.0108359    2.34781  1.22      0.02862                1
        3172   5.7178         0.12409        -0.0114433    2.34781  1.22      0.02862                1
        3174   5.44963        0.11827        -0.0109066    2.34781  1.22      0.02862                1
        3176   5.34615        0.116025       -0.0106995    2.34781  1.22      0.02862                1
        3178   5.4413         0.11809        -0.01089      2.34781  1.22      0.02862                1
        3180   5.4564         0.118417       -0.0109202    2.34781  1.22      0.02862                1
        3182   5.41055        0.117423       -0.0108284    2.34781  1.22      0.02862                1
        3184   5.43688        0.117994       -0.0108811    2.34781  1.22      0.02862                1
        3186   5.35491        0.116215       -0.0107171    2.34781  1.22      0.02862                1
        3188   5.34618        0.116025       -0.0106996    2.34781  1.22      0.02862                1
        3190   5.45538        0.118395       -0.0109181    2.34781  1.22      0.02862                1
        3192   5.39555        0.117097       -0.0107984    2.34781  1.22      0.02862                1
        3194   5.21931        0.113272       -0.0104457    2.34781  1.22      0.02862                1
        3196   5.08481        0.110353       -0.0101765    2.34781  1.22      0.02862                1
        3198   5.02119        0.108972       -0.0100492    2.34781  1.22      0.02862                1
        3200   5.21397        0.113156       -0.010435     2.34781  1.22      0.02862                1
        3202   5.41434        0.117505       -0.010836     2.34781  1.22      0.02862                1
