# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 48.000000 and phase < 55.000000 and ((dm15_source >= .9 and dm15_source < 1.8) or (dm15_from_fits >= .9 and dm15_from_fits < 1.8)) and HOST_LOGMASS <= 10.7
# N = 8
# N_spec = 11
# phase = 52.36
# dm15 = 1.02
# z = 0.02

  Wavelength         Flux    1-Sigma Lower    1-Sigma Upper    Phase      Dm15    Redshift    SNe per Bin
------------  -----------  ---------------  ---------------  -------  --------  ----------  -------------
        3234   0.471721        0.0104962        0.031754     51.4021  1.04       0.031592               1
        3236  -1.17849         0.0793304        0.0262225    51.4021  1.04       0.031592               1
        3238  -1.17034         0.0787819        0.0260412    51.4021  1.04       0.031592               1
        3240   3.51222         0.0781503        0.236426     51.4021  1.04       0.031592               1
        3242   1.22423         1.73998          0.747321     51.9492  1.0761     0.0301993              2
        3244   1.91773         1.84822          4.33281      51.9484  1.07604    0.0302013              2
        3246   4.61361         0.180541         0.37912      51.9463  1.0759     0.0302068              2
        3248   1.03502         1.60286          0.673903     51.9412  1.07557    0.0302198              2
        3250  -1.05934         1.05667          2.52768      51.9394  1.07545    0.0302243              2
        3252   0.670877        0.687688         1.65387      51.9387  1.0754     0.0302261              2
        3254   2.90014         0.748792         0.344767     51.9355  1.07519    0.0302342              2
        3256   3.32426         1.27544          0.551598     51.9322  1.07497    0.0302426              2
        3258   1.15596         0.427292         1.04801      51.9303  1.07485    0.0302475              2
        3260   1.88659         1.55406          3.85066      51.9274  1.07465    0.030255               2
        3262   2.93685         2.29958          5.64368      51.9309  1.07489    0.0302459              2
        3264   2.32894         1.85214          4.46347      51.9378  1.07534    0.0302284              2
        3266   1.70367         0.698717         1.65906      51.9428  1.07567    0.0302158              2
        3268  -0.627749        1.96231          0.812532     51.937   1.07529    0.0302305              2
        3270   0.938828        0.518544         1.26824      51.9319  1.07495    0.0302434              2
        3272   0.63941         0.746439         1.04234      51.9272  1.04871    0.0246126              3
        3274   1.03697         2.17427          2.4154       51.9237  1.04866    0.0246617              3
        3276  -0.869546        1.97533          2.09004      51.9207  1.04857    0.0246927              3
        3278  -1.9895          0.838746         0.703362     51.9165  1.04845    0.0247381              3
        3280   0.615603        2.55538          2.36759      51.9125  1.04832    0.0247772              3
        3282   0.370208        2.39966          2.04127      51.9087  1.04829    0.0248345              3
        3284  -0.45151         0.954925         1.08172      51.9086  1.04844    0.0248675              3
        3286  -0.078993        1.61672          1.48427      51.9069  1.04846    0.0249028              3
        3288   0.192628        1.84178          1.75522      51.9032  1.04852    0.0249769              3
        3290   1.68728         0.379347         0.44932      51.903   1.04863    0.0250054              3
        3292   0.829131        1.58945          1.59622      51.9013  1.04862    0.0250308              3
        3294   1.15919         2.66072          2.36068      51.8998  1.04868    0.025069               3
        3296   1.33545         1.91434          1.6698       51.8992  1.04877    0.0251009              3
        3298   0.669593        0.515762         0.76217      51.8954  1.04873    0.0251553              3
        3300   0.0448697       0.902271         0.95283      51.8934  1.04874    0.0251908              3
        3302   2.25631         1.85073          1.74695      51.8916  1.04883    0.0252424              3
        3304   3.01303         2.59683          2.18139      51.8886  1.04888    0.0253032              3
        3306   3.64356         1.5233           1.10549      51.8869  1.04885    0.0253248              3
        3308   2.08949         0.665599         0.493723     51.8868  1.04894    0.0253461              3
        3310   2.25582         0.821976         1.08495      51.886   1.04897    0.025366               3
        3312   4.83414         1.30976          1.59035      51.885   1.04909    0.0254098              3
        3314   3.6416          1.03798          1.3919       51.882   1.04927    0.0254988              3
