# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= -10.000000 and phase < -7.000000 and ((dm15_source >= 1.0 and dm15_source < 1.3) or (dm15_from_fits >= 1.0 and dm15_from_fits < 1.3)) and v_at_max between -30 and -11
# N = 18
# N_spec = 41
# phase = -8.3
# dm15 = 1.11
# z = 0.01

  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper     Phase     Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  --------  -------  ----------  -------------
        1902  -1.19016          0.0379491        0.0141195    -9.1      1.039    0.00146                 1
        1904  -0.12918          0.00411896       0.00153252   -9.1      1.039    0.00146                 1
        1906   0.471346         0.00559182       0.0150291    -9.1      1.039    0.00146                 1
        1908  -0.0807762        0.00257559       0.00095829   -9.1      1.039    0.00146                 1
        1910  -0.693945         0.0221268        0.00823263   -9.1      1.039    0.00146                 1
        1912  -0.859701         0.0274121        0.0101991    -9.1      1.039    0.00146                 1
        1914  -0.410678         0.0130947        0.00487209   -9.1      1.039    0.00146                 1
        1916   0.174886         0.00207476       0.00557634   -9.1      1.039    0.00146                 1
        1918   0.294146         0.00348961       0.00937901   -9.1      1.039    0.00146                 1
        1920   0.609988         0.0072366        0.0194498    -9.1      1.039    0.00146                 1
        1922   0.764897         0.00907437       0.0243892    -9.1      1.039    0.00146                 1
        1924   0.730321         0.00866417       0.0232867    -9.1      1.039    0.00146                 1
        1926   0.0623081        0.000739193      0.00198673   -9.1      1.039    0.00146                 1
        1928  -0.71773          0.0228852        0.0085148    -9.1      1.039    0.00146                 1
        1930  -0.501027         0.0159755        0.00594394   -9.1      1.039    0.00146                 1
        1932  -0.39089          0.0124638        0.00463733   -9.1      1.039    0.00146                 1
        1934  -0.668029         0.0213005        0.00792517   -9.1      1.039    0.00146                 1
        1936  -0.647525         0.0206467        0.00768192   -9.1      1.039    0.00146                 1
        1938  -0.942618         0.0300559        0.0111828    -9.1      1.039    0.00146                 1
        1940  -1.29125          0.0411721        0.0153187    -9.1      1.039    0.00146                 1
        1942  -1.53866          0.0490611        0.018254     -9.1      1.039    0.00146                 1
        1944  -1.96857          0.062769         0.0233542    -9.1      1.039    0.00146                 1
        1946  -2.31692          0.0738764        0.0274869    -9.1      1.039    0.00146                 1
        1948  -1.94859          0.0621319        0.0231172    -9.1      1.039    0.00146                 1
        1950  -0.767018         0.0244568        0.00909953   -9.1      1.039    0.00146                 1
        1952  -0.424763         0.0135438        0.00503918   -9.1      1.039    0.00146                 1
        1954  -1.3772           0.0439126        0.0163384    -9.1      1.039    0.00146                 1
        1956  -1.44489          0.0460711        0.0171415    -9.1      1.039    0.00146                 1
        1958  -1.63486          0.0521284        0.0193952    -9.1      1.039    0.00146                 1
        1960  -2.86417          0.0913257        0.0339791    -9.1      1.039    0.00146                 1
        1962  -2.89016          0.0921545        0.0342875    -9.1      1.039    0.00146                 1
        1964  -2.45766          0.0783639        0.0291565    -9.1      1.039    0.00146                 1
        1966  -2.02428          0.0645452        0.024015     -9.1      1.039    0.00146                 1
