# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 29.000000 and phase < 32.000000 and ((dm15_source >= 1.0 and dm15_source < 1.3) or (dm15_from_fits >= 1.0 and dm15_from_fits < 1.3)) and v_at_max between -30 and -11
# N = 21
# N_spec = 25
# phase = 30.3
# dm15 = 1.17
# z = 0.016

  Wavelength        Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  ----------  ---------------  ---------------  -------  -------  ----------  -------------
        3142   1.21876        0.03761           0.00755923  29.9058  1.2       0.0193                 1
        3144   1.1564         0.0356856         0.00717244  29.9058  1.2       0.0193                 1
        3146   1.00998        0.0311673         0.00626431  29.9058  1.2       0.0193                 1
        3148   1.1292         0.0348463         0.00700375  29.9058  1.2       0.0193                 1
        3150   1.1735         0.0362132         0.00727849  29.9058  1.2       0.0193                 1
        3152   0.966841       0.029836          0.00599673  29.9058  1.2       0.0193                 1
        3154   1.08702        0.0335447         0.00674214  29.9058  1.2       0.0193                 1
        3156   1.39742        0.0431232         0.00866733  29.9058  1.2       0.0193                 1
        3158   1.51052        0.0466133         0.00936881  29.9058  1.2       0.0193                 1
        3160   1.23724        0.0381803         0.00767385  29.9058  1.2       0.0193                 1
        3162   1.14457        0.0353207         0.0070991   29.9058  1.2       0.0193                 1
        3164   1.09142        0.0336802         0.00676939  29.9058  1.2       0.0193                 1
        3166   1.31373        0.0405408         0.0081483   29.9058  1.2       0.0193                 1
        3168   1.74497        0.0538485         0.010823    29.9058  1.2       0.0193                 1
        3170   1.64876        0.0508795         0.0102263   29.9058  1.2       0.0193                 1
        3172   1.17862        0.0363714         0.00731028  29.9058  1.2       0.0193                 1
        3174   1.4489         0.044712          0.00898667  29.9058  1.2       0.0193                 1
        3176   1.81558        0.0560273         0.0112609   29.9058  1.2       0.0193                 1
        3178   1.5592         0.0481156         0.00967076  29.9058  1.2       0.0193                 1
