# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 20.000000 and phase < 23.000000 and ((dm15_source >= 1.0 and dm15_source < 1.3) or (dm15_from_fits >= 1.0 and dm15_from_fits < 1.3)) and v_at_max between -30 and -11
# N = 23
# N_spec = 33
# phase = 21.28
# dm15 = 1.13
# z = 0.014

  Wavelength       Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  ---------  ---------------  ---------------  -------  -------  ----------  -------------
        3076  13.0979         0.118099         0.615858    22.9137  1.23     0.008569                1
        3078   1.14454        0.0103199        0.053816    22.9137  1.23     0.008569                1
        3080  -5.26169        0.247403         0.0474428   22.9137  1.23     0.008569                1
        3082   0.786238       0.00708923       0.0369687   22.9137  1.23     0.008569                1
        3084  13.5021         0.121744         0.634866    22.9137  1.23     0.008569                1
        3086  13.4417         0.121199         0.632027    22.9137  1.23     0.008569                1
        3088  -0.984113       0.0462727        0.00887341  22.9137  1.23     0.008569                1
        3090  -2.67111        0.125595         0.0240844   22.9137  1.23     0.008569                1
        3092  -2.98307        0.140263         0.0268973   22.9137  1.23     0.008569                1
        3094   3.1249         0.0281762        0.146932    22.9137  1.23     0.008569                1
        3096   3.28585        0.264625         9.34981     21.9724  1.25905  0.00699638              2
        3098   1.23465        0.276019         1.934       20.4985  1.11175  0.0363588               3
        3100   1.72868        0.253811         1.12022     20.4987  1.11176  0.0363567               3
        3102   1.69529        0.228743         0.893241    20.4991  1.11178  0.0363512               3
        3104   1.13611        0.23424          1.17831     20.4997  1.11183  0.0363423               3
        3106   0.958117       0.199909         1.04684     20.5004  1.11189  0.0363297               3
        3108   0.998669       0.145622         0.866838    20.5013  1.11197  0.0363129               3
        3110   1.00947        0.115883         0.790342    20.5026  1.11208  0.0362907               3
        3112   0.998076       0.111672         0.795988    20.504   1.1122   0.0362648               3
        3114   1.65396        0.0476326        0.0833895   20.5057  1.11235  0.0362349               3
        3116   1.33275        0.110766         0.226473    20.5076  1.11253  0.0361996               3
        3118   0.956851       0.157356         0.684868    20.5098  1.11273  0.0361588               3
