# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= -7.000000 and phase < -4.000000 and ((dm15_source >= 1.0 and dm15_source < 1.3) or (dm15_from_fits >= 1.0 and dm15_from_fits < 1.3)) and v_at_max between -30 and -11
# N = 23
# N_spec = 43
# phase = -5.05
# dm15 = 1.12
# z = 0.012

  Wavelength       Flux    1-Sigma Lower    1-Sigma Upper     Phase     Dm15    Redshift    SNe per Bin
------------  ---------  ---------------  ---------------  --------  -------  ----------  -------------
        3044  -0.143667      0.000685617       0.0124538   -5.35453  1.14     0.020071                1
        3046   4.12279       0.357383          0.019675    -5.35453  1.14     0.020071                1
        3048  10.3342        0.895815          0.0493173   -5.35453  1.14     0.020071                1
        3050   9.19874       0.797392          0.0438988   -5.35453  1.14     0.020071                1
        3052   6.11583       0.530149          0.0291863   -5.35453  1.14     0.020071                1
        3054   4.57303       0.396412          0.0218237   -5.35453  1.14     0.020071                1
        3056  -0.760596      0.00362976        0.0659321   -5.35453  1.14     0.020071                1
        3058  -1.224         0.00584124        0.106102    -5.35453  1.14     0.020071                1
        3060   4.20635       0.364627          0.0200738   -5.35453  1.14     0.020071                1
        3062   7.14554       0.61941           0.0341004   -5.35453  1.14     0.020071                1
        3064   5.7486        0.498317          0.0274338   -5.35453  1.14     0.020071                1
        3066   2.73461       0.237049          0.0130502   -5.35453  1.14     0.020071                1
        3068   2.91974       0.253097          0.0139338   -5.35453  1.14     0.020071                1
        3070   4.54735       0.394186          0.0217011   -5.35453  1.14     0.020071                1
        3072   6.04895       0.524352          0.0288671   -5.35453  1.14     0.020071                1
        3074   6.87973       0.596369          0.0328319   -5.35453  1.14     0.020071                1
        3076   5.00273       0.433661          0.0238743   -5.35453  1.14     0.020071                1
        3078   2.86393       0.248259          0.0136674   -5.35453  1.14     0.020071                1
        3080   6.20307       0.537712          0.0296026   -5.35453  1.14     0.020071                1
        3082   7.03631       0.609942          0.0335791   -5.35453  1.14     0.020071                1
        3084   4.46815       0.387321          0.0213232   -5.35453  1.14     0.020071                1
        3086   8.64809       0.749658          0.0412709   -5.35453  1.14     0.020071                1
        3088   8.21842       0.712412          0.0392204   -5.35453  1.14     0.020071                1
        3090   5.97199       0.51768           0.0284998   -5.35453  1.14     0.020071                1
        3092   5.89769       0.51124           0.0281453   -5.35453  1.14     0.020071                1
        3094   5.42476       0.470245          0.0258884   -5.35453  1.14     0.020071                1
        3096   3.27241       0.283668          0.0156168   -5.35453  1.14     0.020071                1
        3098   6.51091       0.564397          0.0310717   -5.35453  1.14     0.020071                1
        3100   6.6366        0.575292          0.0316715   -5.35453  1.14     0.020071                1
        3102   5.17887       0.448929          0.0247149   -5.35453  1.14     0.020071                1
        3104   4.12205       0.391374          0.096768    -4.95609  1.20199  0.0121484               2
        3106   4.30584       0.454625          0.128879    -4.96083  1.20125  0.0122426               2
        3108   5.13931       0.523416          0.745646    -4.96436  1.20071  0.0123129               2
        3110   5.19749       0.743164          1.16251     -4.96576  1.20049  0.0123408               2
        3112   5.40872       1.12285           1.84289     -4.96854  1.20005  0.012396                2
        3114   5.05597       0.283608          0.0765184   -4.97313  1.19934  0.0124873               2
        3116   4.12698       0.700461          0.246059    -4.97629  1.19885  0.0125502               2
        3118   5.05908       1.03129           1.54886     -4.97813  1.19856  0.0125867               2
        3120   4.84926       0.677461          0.909685    -4.98094  1.19813  0.0126425               2
        3122   5.02033       0.452925          0.493233    -4.9836   1.19771  0.0126955               2
        3124   5.24432       0.300295          0.075923    -4.98594  1.19735  0.0127419               2
        3126   4.56358       0.653226          0.246392    -4.98821  1.19699  0.0127872               2
        3128   4.16301       0.98703           0.434599    -4.99007  1.1967   0.0128241               2
        3130   4.47141       0.807344          0.325499    -4.99326  1.19621  0.0128876               2
        3132   4.79442       0.492987          0.165206    -4.99596  1.19579  0.0129412               2
        3134   5.22555       0.450616          0.408184    -4.99678  1.19566  0.0129576               2
        3136   5.4691        0.302227          0.0358954   -4.99995  1.19517  0.0130206               2
        3138   5.03569       0.871713          0.379768    -5.00425  1.1945   0.013106                2
        3140   5.11638       0.701575          0.286891    -5.0063   1.19418  0.0131468               2
        3142   5.12093       0.814394          0.350313    -5.00801  1.19391  0.0131807               2
        3144   4.9397        0.789742          0.642387    -5.00519  1.19257  0.0131657               3
        3146   4.86058       0.465767          0.439207    -5.00692  1.19231  0.0131999               3
        3148   4.54489       0.849497          0.706379    -5.00831  1.19209  0.0132278               3
        3150   4.45191       1.20276           0.970461    -5.01033  1.19178  0.0132678               3
        3152   5.13079       0.703087          0.589789    -5.01331  1.19132  0.0133269               3
        3154   5.66316       0.377593          0.256284    -5.01383  1.19124  0.0133371               3
        3156   5.46515       0.408938          0.338813    -5.01527  1.19103  0.0133656               3
        3158   5.52704       0.386703          0.185928    -5.01773  1.19064  0.0134147               3
        3160   5.72328       0.390151          0.0911703   -5.01926  1.1904   0.0134451               3
        3162   5.21095       0.890025          0.746317    -5.02224  1.18993  0.0135044               3
        3164   4.16897       1.57064           1.3352      -5.02514  1.18947  0.0135623               3
        3166   3.32018       2.33943           1.95273     -5.02516  1.18948  0.0135626               3
        3168   4.39579       1.5326            1.28327     -5.02634  1.18929  0.0135862               3
        3170   4.76306       1.41864           1.18651     -5.02938  1.18881  0.0136466               3
        3172   4.20647       1.76095           1.53738     -5.03061  1.18862  0.013671                3
        3174   3.73413       0.397151          1.06409     -5.36266  1.10402  0.00633277              4
        3176   3.14926       0.39004           0.161988    -4.95097  1.14225  0.00703923              4
        3178   3.20622       0.175166          0.0222016   -4.94567  1.14287  0.00707871              4
        3180   3.3951        0.228192          0.167879    -4.93995  1.14355  0.00711177              4
        3182   3.4411        0.2174            0.0864823   -4.935    1.14529  0.00716479              4
        3184   3.36507       0.481644          0.126703    -4.94412  1.14726  0.00726602              5
        3186   3.28158       0.649824          0.18841     -4.93809  1.14799  0.00729936              5
        3188   3.18399       0.626016          0.199197    -4.93213  1.14874  0.00733978              5
        3190   3.14502       0.593285          0.261747    -4.92605  1.14942  0.00737355              5
        3192   3.05893       0.713572          0.229857    -4.91971  1.15016  0.00740696              5
        3194   2.91023       0.823629          0.314421    -4.91326  1.15094  0.00744268              5
        3196   2.95149       0.545234          0.274164    -4.90674  1.15169  0.00747697              5
        3198   2.84274       0.455017          0.149003    -4.90035  1.15248  0.00752046              5
        3200   2.81432       0.354797          0.0965466   -4.89363  1.1533   0.00755795              5
        3202   2.81112       0.287159          0.0327503   -4.8869   1.15408  0.00759617              5
        3204   2.75846       0.297884          0.0389425   -4.8802   1.15486  0.00763672              5
        3206   2.75802       0.343818          0.0823795   -4.87308  1.15572  0.0076716               5
        3208   2.60643       0.352859          0.143273    -4.86616  1.15655  0.00771291              5
        3210   2.49373       0.421685          0.179005    -4.85903  1.15735  0.00774826              5
        3212   2.53755       0.432483          0.328437    -4.85165  1.15822  0.00778218              5
