# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= -1.000000 and phase < 2.000000 and ((dm15_source >= 1.0 and dm15_source < 1.3) or (dm15_from_fits >= 1.0 and dm15_from_fits < 1.3)) and v_at_max between -30 and -11
# N = 26
# N_spec = 50
# phase = 0.55
# dm15 = 1.15
# z = 0.016

  Wavelength         Flux    1-Sigma Lower    1-Sigma Upper         Phase     Dm15    Redshift    SNe per Bin
------------  -----------  ---------------  ---------------  ------------  -------  ----------  -------------
        1884  -1.08501         0.0634976        0.0113056     1.95322      1.05665  0.006031                1
        1886  -0.637288        0.0372957        0.00664043    1.95322      1.05665  0.006031                1
        1888   1.57139         0.0163737        0.0919621     1.95322      1.05665  0.006031                1
        1890   0.785169        0.00818133       0.0459501     1.95322      1.05665  0.006031                1
        1892   0.34761         0.00362204       0.020343      1.95322      1.05665  0.006031                1
        1894   0.386552        0.0040278        0.022622      1.95322      1.05665  0.006031                1
        1896  -0.14512         0.00849278       0.00151212    1.95322      1.05665  0.006031                1
        1898   0.895445        0.00933038       0.0524038     1.95322      1.05665  0.006031                1
        1900   1.01175         0.0105423        0.0592105     1.95322      1.05665  0.006031                1
        1902   0.223099        0.00232466       0.0130564     1.39275      1.05665  0.006031                1
        1904  -0.974254        0.0570159        0.0101516     1.38873      1.05665  0.006031                1
        1906  -0.228783        0.013389         0.00238388    1.38461      1.05665  0.006031                1
        1908   0.782823        0.00815688       0.0458128     1.38042      1.05665  0.006031                1
        1910   0.782145        0.00814982       0.0457732     1.37615      1.05665  0.006031                1
        1912  -0.0795163       0.0046535        0.000828547   1.37182      1.05665  0.006031                1
        1914  -0.38044         0.0222643        0.00396412    1.36744      1.05665  0.006031                1
        1916  -0.0363369       0.00212653       0.000378624   1.36304      1.05665  0.006031                1
        1918  -0.131289        0.00768339       0.00136801    1.35863      1.05665  0.006031                1
        1920  -0.52865         0.030938         0.00550845    1.35423      1.05665  0.006031                1
        1922   0.395754        0.00412369       0.0231606     1.34988      1.05665  0.006031                1
        1924   0.751948        0.00783517       0.044006      1.34559      1.05665  0.006031                1
        1926   0.07988         0.000832336      0.00467479    1.34141      1.05665  0.006031                1
        1928  -0.666342        0.0389961        0.00694317    1.33736      1.05665  0.006031                1
        1930  -0.47308         0.0276859        0.00492941    1.33349      1.05665  0.006031                1
        1932   0.0401135       0.000417976      0.00234755    1.32984      1.05665  0.006031                1
        1934   0.525219        0.0054727        0.0307372     1.32644      1.05665  0.006031                1
        1936   0.706102        0.00735746       0.0413229     1.32334      1.05665  0.006031                1
        1938   0.337187        0.00351343       0.0197331     1.32058      1.05665  0.006031                1
        1940   0.226728        0.00236247       0.0132687     1.31821      1.05665  0.006031                1
        1942   0.382744        0.00398812       0.0223992     1.31626      1.05665  0.006031                1
        1944   0.549238        0.00572297       0.0321428     1.31479      1.05665  0.006031                1
        1946   0.620096        0.0064613        0.0362896     1.31382      1.05665  0.006031                1
        1948   0.581763        0.00606187       0.0340463     1.31339      1.05665  0.006031                1
        1950   0.706747        0.00736418       0.0413607     1.31353      1.05665  0.006031                1
        1952   0.681458        0.00710067       0.0398807     1.31426      1.05665  0.006031                1
        1954   0.112524        0.00117248       0.00658518    1.31559      1.05665  0.006031                1
        1956   0.405033        0.00422038       0.0237036     1.31755      1.05665  0.006031                1
        1958   1.0949          0.0114087        0.0640764     1.32011      1.05665  0.006031                1
        1960   1.48921         0.0155173        0.0871524     1.32329      1.05665  0.006031                1
        1962   1.4897          0.0155225        0.0871814     1.32705      1.05665  0.006031                1
        1964   1.17146         0.0122064        0.068557      1.33137      1.05665  0.006031                1
        1966   0.698659        0.00727991       0.0408874     1.3362       1.05665  0.006031                1
        1968   0.493778        0.00514508       0.0288972     1.34151      1.05665  0.006031                1
        1970   0.91229         0.00950591       0.0533896     1.34723      1.05665  0.006031                1
        1972   1.10925         0.0115582        0.0649164     1.3533       1.05665  0.006031                1
        1974   0.898249        0.00935961       0.0525679     1.35964      1.05665  0.006031                1
        1976   0.819274        0.00853669       0.047946      1.36617      1.05665  0.006031                1
        1978   1.35295         0.0140975        0.0791781     1.37283      1.05665  0.006031                1
        1980   1.57688         0.0164308        0.0922829     1.37951      1.05665  0.006031                1
        1982   1.16045         0.0120917        0.0679126     1.38614      1.05665  0.006031                1
        1984   0.860671        0.00896805       0.0503687     1.39264      1.05665  0.006031                1
        1986   1.16541         0.0121434        0.0682028     1.39893      1.05665  0.006031                1
        1988   0.791508        0.00824738       0.0463211     1.40494      1.05665  0.006031                1
        1990   0.638468        0.00665273       0.0373648     1.4106       1.05665  0.006031                1
        1992   0.99812         0.0104002        0.0584126     1.41586      1.05665  0.006031                1
        1994   1.09926         0.0114541        0.0643317     1.42068      1.05665  0.006031                1
        1996   0.704887        0.00734481       0.0412519     1.42501      1.05665  0.006031                1
        1998   0.556369        0.00579727       0.0325602     1.42883      1.05665  0.006031                1
        2000   0.793255        0.00826558       0.0464233     1.43213      1.05665  0.006031                1
        2002   1.10357         0.011499         0.0645838     1.4349       1.05665  0.006031                1
        2004   1.23899         0.01291          0.0725087     1.43714      1.05665  0.006031                1
        2006   0.991244        0.0103286        0.0580102     1.43886      1.05665  0.006031                1
        2008   0.637212        0.00663964       0.0372913     1.44008      1.05665  0.006031                1
        2010   0.700161        0.00729555       0.0409752     1.44084      1.05665  0.006031                1
        2012   1.07164         0.0111663        0.0627153     1.44116      1.05665  0.006031                1
        2014   0.945929        0.00985642       0.0553582     1.44107      1.05665  0.006031                1
        2016   0.674036        0.00702334       0.0394464     1.44062      1.05665  0.006031                1
        2018   0.73879         0.00769807       0.043236      1.43985      1.05665  0.006031                1
        2020   0.498035        0.00518944       0.0291463     1.43879      1.05665  0.006031                1
        2022   0.21085         0.00219702       0.0123395     1.43751      1.05665  0.006031                1
        2024   0.129066        0.00134485       0.00755328    1.43603      1.05665  0.006031                1
        2026   0.320436        0.00333888       0.0187527     1.43441      1.05665  0.006031                1
        2028   0.63431         0.00660941       0.0371215     1.43268      1.05665  0.006031                1
        2030   0.484035        0.00504356       0.028327      1.43088      1.05665  0.006031                1
        2032   0.292439        0.00304717       0.0171143     1.42906      1.05665  0.006031                1
        2034   0.249577        0.00260055       0.0146059     1.42723      1.05665  0.006031                1
        2036  -0.24225         0.0141771        0.0025242     1.42544      1.05665  0.006031                1
        2038  -0.0640918       0.00375082       0.000667826   1.42371      1.05665  0.006031                1
        2040   0.274018        0.00285522       0.0160363     1.42206      1.05665  0.006031                1
        2042   0.132574        0.00138139       0.00775855    1.42051      1.05665  0.006031                1
        2044   0.215643        0.00224697       0.01262       1.41908      1.05665  0.006031                1
        2046   0.217907        0.00227056       0.0127525     1.41778      1.05665  0.006031                1
        2048   0.30816         0.00321097       0.0180343     1.41662      1.05665  0.006031                1
        2050   0.570285        0.00594227       0.0333746     1.4156       1.05665  0.006031                1
        2052   0.487121        0.00507572       0.0285076     1.41472      1.05665  0.006031                1
        2054   0.450117        0.00469014       0.026342      1.41399      1.05665  0.006031                1
        2056   0.555647        0.00578975       0.0325179     1.4134       1.05665  0.006031                1
        2058   0.536495        0.00559019       0.0313971     1.41293      1.05665  0.006031                1
        2060   0.196651        0.00204907       0.0115085     1.41259      1.05665  0.006031                1
        2062   0.0189574       0.000197533      0.00110944    1.41236      1.05665  0.006031                1
        2064   0.215023        0.00224051       0.0125837     1.41223      1.05665  0.006031                1
        2066   0.423595        0.00441378       0.0247899     1.41219      1.05665  0.006031                1
        2068   0.171556        0.00178759       0.0100399     1.41221      1.05665  0.006031                1
        2070   0.21014         0.00218962       0.0122979     1.4123       1.05665  0.006031                1
        2072   0.283362        0.00295258       0.0165831     1.41242      1.05665  0.006031                1
