# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 11.000000 and phase < 14.000000 and ((dm15_source >= 1.0 and dm15_source < 1.3) or (dm15_from_fits >= 1.0 and dm15_from_fits < 1.3)) and v_at_max between -30 and -11
# N = 31
# N_spec = 46
# phase = 12.58
# dm15 = 1.13
# z = 0.016

  Wavelength         Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  -----------  ---------------  ---------------  -------  -------  ----------  -------------
        2978    9.40205         0.179391         0.122757    12.5024  1.19      0.049                  1
        2980    9.40587         0.179464         0.122807    12.5024  1.19      0.049                  1
        2982   -1.72681         0.022546         0.0329475   12.5024  1.19      0.049                  1
        2984  -11.2465          0.146839         0.214583    12.5024  1.19      0.049                  1
        2986   -2.39855         0.0313164        0.0457642   12.5024  1.19      0.049                  1
        2988    2.81427         0.053696         0.0367442   12.5024  1.19      0.049                  1
        2990    6.56305         0.125223         0.0856899   12.5024  1.19      0.049                  1
        2992    3.89563         0.0743283        0.0508629   12.5024  1.19      0.049                  1
        2994    7.01598         0.133865         0.0916036   12.5024  1.19      0.049                  1
        2996    1.27434         0.0243143        0.0166383   12.5024  1.19      0.049                  1
        2998   -6.27109         0.081878         0.119652    12.5024  1.19      0.049                  1
        3000   -0.51095         0.00667117       0.00974889  12.5024  1.19      0.049                  1
        3002    3.51548         0.0670751        0.0458996   12.5024  1.19      0.049                  1
        3004    4.92034         0.0938798        0.064242    12.5024  1.19      0.049                  1
        3006   -1.38397         0.0180697        0.0264062   12.5024  1.19      0.049                  1
        3008   -3.17268         0.0414239        0.0605346   12.5024  1.19      0.049                  1
        3010    0.302493        0.0531888        0.0162413   13.6094  1.16161   0.0318127              2
        3012    0.449651        0.283785         4.76618     13.6087  1.16163   0.0318249              2
        3014   -0.425867        0.180528         2.92211     13.6078  1.16166   0.031838               2
        3016    0.878662        0.738732         0.060824    13.6076  1.16166   0.0318415              2
        3018    3.03254         0.0808742        1.20746     13.6073  1.16167   0.0318463              2
        3020    2.72256         0.0622184        0.843829    13.6065  1.16169   0.0318576              2
        3022    1.38652         5.37569          0.345574    13.6061  1.1617    0.031865               2
        3024   -0.328201        8.46752          0.530376    13.6057  1.16171   0.0318713              2
        3026   -0.296389        4.92835          0.315139    13.6042  1.16175   0.0318939              2
        3028    2.41811         0.328655         4.99529     13.6028  1.16178   0.0319154              2
        3030    2.67144         0.0882281        1.2418      13.602   1.1618    0.0319276              2
        3032    1.61902         0.0720483        1.05558     13.6016  1.16181   0.0319337              2
        3034    2.1164          0.238828         3.54377     13.6014  1.16182   0.0319378              2
        3036    0.227798        0.0860569        1.27954     13.601   1.16183   0.0319436              2
        3038    0.195276        3.08846          0.211938    13.6004  1.16185   0.0319531              2
        3040    0.630859        1.35121          0.0974492   13.5996  1.16187   0.0319652              2
        3042   -0.325467        1.18273          0.0812275   13.5997  1.16186   0.0319636              2
        3044   -0.533818        0.271526         3.85835     13.5992  1.16188   0.0319723              2
        3046    0.0830119       0.305618         4.36674     13.5985  1.1619    0.0319826              2
        3048    2.70438         4.48574          0.341909    13.5982  1.1619    0.0319876              2
        3050    1.99431         4.07951          0.301433    13.5981  1.16191   0.0319895              2
        3052    1.53855         0.0188468        0.135402    13.5982  1.1619    0.0319871              2
        3054    3.04743         0.0428764        0.188946    13.5982  1.1619    0.0319869              2
        3056    2.15878         5.88077          0.426971    13.5985  1.1619    0.0319831              2
        3058    1.87904         2.96896          0.226185    13.5985  1.1619    0.0319826              2
        3060    1.6028          0.730498         0.0989278   13.599   1.16188   0.031975               2
        3062    1.01879         0.0422105        0.595489    13.5993  1.16187   0.0319694              2
        3064    0.286102        2.20564          0.155168    13.5991  1.16188   0.0319729              2
        3066    0.417534        0.167737         2.43745     13.5994  1.16187   0.0319678              2
        3068    1.01634         0.148201         2.15865     13.6     1.16186   0.0319595              2
        3070    2.66811         0.130121         1.84435     13.5993  1.16187   0.0319694              2
        3072    2.54869         0.176777         0.129818    13.5997  1.16187   0.0319644              2
        3074    1.88648         0.257484         3.74644     13.6     1.16186   0.03196                2
        3076    1.10733         0.527712         7.73454     13.6     1.16186   0.0319592              2
        3078    0.930258        0.409504         6.028       13.6003  1.16185   0.0319545              2
        3080    1.9014          1.18628          0.117561    13.6009  1.16183   0.031946               2
        3082    2.2343          3.34598          0.246653    13.6013  1.16182   0.031939               2
        3084    2.01051         0.390136         0.106762    13.6016  1.16181   0.0319338              2
        3086    2.41772         2.10816          0.182004    13.6026  1.16179   0.0319181              2
        3088    1.76472         5.26005          0.355366    13.6033  1.16177   0.0319079              2
        3090    1.3748          1.78958          0.137178    13.6036  1.16177   0.031904               2
        3092    2.45274         0.0774931        1.13007     13.6044  1.16174   0.0318907              2
