# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase < -10. and ((dm15_source >= 1.0 and dm15_source < 1.3) or (dm15_from_fits >= 1.0 and dm15_from_fits < 1.3)) and v_at_max between -30 and -11
# N = 9
# N_spec = 22
# phase = -11.48
# dm15 = 1.13
# z = 0.01

  Wavelength         Flux    1-Sigma Lower    1-Sigma Upper     Phase     Dm15    Redshift    SNe per Bin
------------  -----------  ---------------  ---------------  --------  -------  ----------  -------------
        1900   1.297           0.0720851        0.0134966    -12.6     1.039    0.00146                 1
        1902  -1.28864         0.0134097        0.071621     -12.6     1.039    0.00146                 1
        1904  -1.28018         0.0133216        0.0711505    -12.6     1.039    0.00146                 1
        1906   1.93313         0.107441         0.0201162    -12.6     1.039    0.00146                 1
        1908   3.76256         0.209118         0.0391533    -12.6     1.039    0.00146                 1
        1910   2.85163         0.15849          0.0296742    -12.6     1.039    0.00146                 1
        1912   1.4944          0.0830565        0.0155508    -12.6     1.039    0.00146                 1
        1914   1.07304         0.0596378        0.011166     -12.6     1.039    0.00146                 1
        1916   0.929914        0.0516833        0.00967671   -12.6     1.039    0.00146                 1
        1918   1.51349         0.0841178        0.0157495    -12.6     1.039    0.00146                 1
        1920   0.9679          0.0537945        0.010072     -12.6     1.039    0.00146                 1
        1922   1.9591          0.108884         0.0203864    -12.6     1.039    0.00146                 1
        1924   2.11319         0.117448         0.0219899    -12.6     1.039    0.00146                 1
        1926  -0.0876691       0.000912288      0.00487252   -12.6     1.039    0.00146                 1
        1928  -1.41864         0.0147624        0.0788458    -12.6     1.039    0.00146                 1
        1930  -2.65388         0.0276164        0.147499     -12.6     1.039    0.00146                 1
        1932  -3.91724         0.0407629        0.217715     -12.6     1.039    0.00146                 1
        1934  -2.9634          0.0308373        0.164702     -12.6     1.039    0.00146                 1
        1936  -1.57557         0.0163955        0.0875681    -12.6     1.039    0.00146                 1
        1938  -0.342355        0.00356255       0.0190276    -12.6     1.039    0.00146                 1
        1940   1.25789         0.0699119        0.0130897    -12.6     1.039    0.00146                 1
        1942   1.98992         0.110597         0.0207072    -12.6     1.039    0.00146                 1
        1944  -0.112134        0.00116687       0.00623224   -12.6     1.039    0.00146                 1
        1946  -1.97828         0.020586         0.10995      -12.6     1.039    0.00146                 1
        1948  -3.17863         0.0330769        0.176664     -12.6     1.039    0.00146                 1
        1950  -3.72854         0.0387993        0.207227     -12.6     1.039    0.00146                 1
        1952  -1.74662         0.0181754        0.0970745    -12.6     1.039    0.00146                 1
        1954   0.795214        0.0441968        0.00827502   -12.6     1.039    0.00146                 1
        1956   0.5969          0.0331749        0.00621136   -12.6     1.039    0.00146                 1
        1958   0.592975        0.0329567        0.00617051   -12.6     1.039    0.00146                 1
        1960   0.931026        0.0517451        0.00968828   -12.6     1.039    0.00146                 1
        1962   0.299698        0.0166568        0.00311867   -12.6     1.039    0.00146                 1
        1964  -0.779493        0.00811142       0.0433231    -12.6     1.039    0.00146                 1
        1966  -0.998298        0.0103883        0.0554839    -12.6     1.039    0.00146                 1
        1968  -0.0457054       0.000475612      0.00254024   -12.6     1.039    0.00146                 1
        1970  -0.624495        0.00649852       0.0347085    -12.6     1.039    0.00146                 1
        1972  -2.6867          0.0279579        0.149323     -12.6     1.039    0.00146                 1
        1974  -3.24221         0.0337385        0.180197     -12.6     1.039    0.00146                 1
        1976  -2.60004         0.0270561        0.144506     -12.6     1.039    0.00146                 1
        1978  -1.61819         0.016839         0.0899369    -12.6     1.039    0.00146                 1
        1980  -1.35042         0.0140525        0.0750545    -12.6     1.039    0.00146                 1
        1982  -2.3033          0.0239682        0.128014     -12.6     1.039    0.00146                 1
        1984  -3.45819         0.035986         0.192201     -12.6     1.039    0.00146                 1
        1986  -2.91553         0.0303391        0.162041     -12.6     1.039    0.00146                 1
        1988  -1.36114         0.014164         0.07565      -12.6     1.039    0.00146                 1
        1990  -0.901502        0.00938105       0.0501042    -12.6     1.039    0.00146                 1
        1992  -1.03076         0.0107261        0.0572882    -12.6     1.039    0.00146                 1
        1994  -1.06875         0.0111214        0.0593996    -12.6     1.039    0.00146                 1
        1996   2.81487         0.156446         0.0292916    -12.6     1.039    0.00146                 1
        1998   6.03026         0.335153         0.062751     -12.6     1.039    0.00146                 1
        2000   5.30617         0.294909         0.0552161    -12.6     1.039    0.00146                 1
        2002   5.42195         0.301344         0.056421     -12.6     1.039    0.00146                 1
        2004   5.82183         0.323569         0.0605821    -12.6     1.039    0.00146                 1
        2006   5.34213         0.296908         0.0555903    -12.6     1.039    0.00146                 1
        2008   5.42081         0.301281         0.0564091    -12.6     1.039    0.00146                 1
        2010   6.97253         0.387523         0.0725563    -12.6     1.039    0.00146                 1
        2012   7.61193         0.42306          0.07921      -12.6     1.039    0.00146                 1
        2014   6.59678         0.36664          0.0686463    -12.6     1.039    0.00146                 1
        2016   6.82417         0.379278         0.0710125    -12.6     1.039    0.00146                 1
        2018   8.1136          0.450942         0.0844303    -12.6     1.039    0.00146                 1
        2020   8.18799         0.455076         0.0852044    -12.6     1.039    0.00146                 1
        2022   6.37321         0.354214         0.0663198    -12.6     1.039    0.00146                 1
        2024   3.98804         0.22165          0.0414997    -12.6     1.039    0.00146                 1
        2026   3.32856         0.184996         0.0346371    -12.6     1.039    0.00146                 1
        2028   6.05856         0.336726         0.0630456    -12.6     1.039    0.00146                 1
        2030   8.01709         0.445578         0.0834261    -12.6     1.039    0.00146                 1
        2032   6.77757         0.376688         0.0705276    -12.6     1.039    0.00146                 1
        2034   5.93107         0.32964          0.0617188    -12.6     1.039    0.00146                 1
        2036   6.07368         0.337567         0.0632029    -12.6     1.039    0.00146                 1
        2038   6.03325         0.335319         0.0627822    -12.6     1.039    0.00146                 1
        2040   5.89728         0.327763         0.0613673    -12.6     1.039    0.00146                 1
        2042   4.6153          0.256512         0.048027     -12.6     1.039    0.00146                 1
        2044   3.94687         0.219361         0.0410712    -12.6     1.039    0.00146                 1
        2046   4.56588         0.253765         0.0475127    -12.6     1.039    0.00146                 1
        2048   4.20927         0.233945         0.0438018    -12.6     1.039    0.00146                 1
        2050   3.23673         0.179893         0.0336815    -12.6     1.039    0.00146                 1
        2052   3.88983         0.216191         0.0404777    -12.6     1.039    0.00146                 1
        2054   5.85603         0.32547          0.0609381    -12.6     1.039    0.00146                 1
        2056   6.86096         0.381322         0.0713954    -12.6     1.039    0.00146                 1
        2058   6.67946         0.371235         0.0695066    -12.6     1.039    0.00146                 1
        2060   6.63158         0.368573         0.0690084    -12.6     1.039    0.00146                 1
        2062   6.54528         0.363777         0.0681104    -12.6     1.039    0.00146                 1
        2064   6.89227         0.383063         0.0717212    -12.6     1.039    0.00146                 1
        2066   6.66584         0.370478         0.0693649    -12.6     1.039    0.00146                 1
        2068   5.98543         0.332662         0.0622846    -12.6     1.039    0.00146                 1
        2070   4.99735         0.277745         0.0520025    -12.6     1.039    0.00146                 1
        2072   3.59247         0.199664         0.0373834    -12.6     1.039    0.00146                 1
        2074   2.97971         0.165608         0.031007     -12.6     1.039    0.00146                 1
        2076   2.76847         0.153868         0.0288088    -12.6     1.039    0.00146                 1
        2078   2.52805         0.140505         0.026307     -12.6     1.039    0.00146                 1
        2080   2.4717          0.137373         0.0257205    -12.6     1.039    0.00146                 1
        2082   2.92859         0.162767         0.0304749    -12.6     1.039    0.00146                 1
        2084   4.1519          0.230757         0.0432048    -12.6     1.039    0.00146                 1
        2086   4.00137         0.22239          0.0416384    -12.6     1.039    0.00146                 1
        2088   2.82184         0.156834         0.0293641    -12.6     1.039    0.00146                 1
        2090   1.71967         0.0955768        0.0178949    -12.6     1.039    0.00146                 1
        2092   0.96134         0.0534299        0.0100037    -12.6     1.039    0.00146                 1
        2094   2.02414         0.112499         0.0210633    -12.6     1.039    0.00146                 1
        2096   4.02225         0.223551         0.0418557    -12.6     1.039    0.00146                 1
        2098   4.90865         0.272816         0.0510796    -12.6     1.039    0.00146                 1
        2100   4.76493         0.264828         0.049584     -12.6     1.039    0.00146                 1
        2102   4.53135         0.251846         0.0471533    -12.6     1.039    0.00146                 1
        2104   3.50013         0.194532         0.0364225    -12.6     1.039    0.00146                 1
        2106   2.3076          0.128253         0.0240129    -12.6     1.039    0.00146                 1
        2108   2.25332         0.125236         0.0234481    -12.6     1.039    0.00146                 1
        2110   2.45541         0.136468         0.0255511    -12.6     1.039    0.00146                 1
        2112   2.80825         0.156079         0.0292227    -12.6     1.039    0.00146                 1
        2114   3.81539         0.212054         0.0397031    -12.6     1.039    0.00146                 1
        2116   4.29564         0.238745         0.0447005    -12.6     1.039    0.00146                 1
        2118   3.20815         0.178305         0.0333842    -12.6     1.039    0.00146                 1
        2120   1.91729         0.10656          0.0199513    -12.6     1.039    0.00146                 1
        2122   2.86206         0.159069         0.0297827    -12.6     1.039    0.00146                 1
        2124   3.9521          0.219652         0.0411257    -12.6     1.039    0.00146                 1
        2126   2.90752         0.161596         0.0302558    -12.6     1.039    0.00146                 1
        2128   0.995761        0.0553429        0.0103619    -12.6     1.039    0.00146                 1
        2130  -0.267319        0.00278173       0.0148572    -12.6     1.039    0.00146                 1
        2132  -0.164772        0.00171463       0.00915781   -12.6     1.039    0.00146                 1
        2134   0.69987         0.0388978        0.00728287   -12.6     1.039    0.00146                 1
        2136   1.31466         0.0730667        0.0136804    -12.6     1.039    0.00146                 1
        2138   1.57779         0.0876915        0.0164186    -12.6     1.039    0.00146                 1
        2140   1.47726         0.0821038        0.0153724    -12.6     1.039    0.00146                 1
        2142   1.4812          0.0823229        0.0154134    -12.6     1.039    0.00146                 1
        2144   2.50403         0.13917          0.026057     -12.6     1.039    0.00146                 1
        2146   3.54717         0.197147         0.0369119    -12.6     1.039    0.00146                 1
        2148   2.98633         0.165976         0.0310759    -12.6     1.039    0.00146                 1
        2150   1.78686         0.0993109        0.0185941    -12.6     1.039    0.00146                 1
        2152   1.53031         0.0850523        0.0159244    -12.6     1.039    0.00146                 1
        2154   1.40405         0.0780348        0.0146105    -12.6     1.039    0.00146                 1
        2156   1.53637         0.0853895        0.0159876    -12.6     1.039    0.00146                 1
        2158   2.70438         0.150306         0.0281419    -12.6     1.039    0.00146                 1
        2160   3.21547         0.178711         0.0334602    -12.6     1.039    0.00146                 1
        2162   1.9431          0.107995         0.0202199    -12.6     1.039    0.00146                 1
        2164   1.87584         0.104256         0.01952      -12.6     1.039    0.00146                 1
        2166   2.78205         0.154622         0.0289501    -12.6     1.039    0.00146                 1
        2168   3.14886         0.175009         0.0327671    -12.6     1.039    0.00146                 1
        2170   3.8494          0.213944         0.0400569    -12.6     1.039    0.00146                 1
        2172   4.71858         0.262252         0.0491016    -12.6     1.039    0.00146                 1
        2174   4.82381         0.2681           0.0501967    -12.6     1.039    0.00146                 1
        2176   4.09581         0.227639         0.0426211    -12.6     1.039    0.00146                 1
        2178   3.65476         0.203126         0.0380316    -12.6     1.039    0.00146                 1
        2180   3.81636         0.212108         0.0397131    -12.6     1.039    0.00146                 1
        2182   3.81337         0.211941         0.039682     -12.6     1.039    0.00146                 1
        2184   3.31816         0.184419         0.0345289    -12.6     1.039    0.00146                 1
        2186   2.79825         0.155523         0.0291187    -12.6     1.039    0.00146                 1
        2188   2.68517         0.149238         0.027942     -12.6     1.039    0.00146                 1
        2190   2.27756         0.126583         0.0237003    -12.6     1.039    0.00146                 1
        2192   2.14425         0.119174         0.0223132    -12.6     1.039    0.00146                 1
        2194   3.34106         0.185691         0.0347672    -12.6     1.039    0.00146                 1
        2196   4.68402         0.260331         0.0487421    -12.6     1.039    0.00146                 1
        2198   4.9231          0.273619         0.0512299    -12.6     1.039    0.00146                 1
        2200   4.26963         0.2373           0.0444299    -12.6     1.039    0.00146                 1
        2202   2.90406         0.161404         0.0302198    -12.6     1.039    0.00146                 1
        2204   1.44097         0.0800871        0.0149948    -12.6     1.039    0.00146                 1
        2206   0.637507        0.0354317        0.00663392   -12.6     1.039    0.00146                 1
        2208   0.922457        0.0512688        0.00959911   -12.6     1.039    0.00146                 1
        2210   1.99682         0.11098          0.020779     -12.6     1.039    0.00146                 1
        2212   1.91695         0.106541         0.0199478    -12.6     1.039    0.00146                 1
        2214   1.16186         0.0645742        0.0120903    -12.6     1.039    0.00146                 1
        2216   1.25246         0.0696101        0.0130332    -12.6     1.039    0.00146                 1
        2218   1.33098         0.0739738        0.0138502    -12.6     1.039    0.00146                 1
        2220   0.611976        0.0340127        0.00636824   -12.6     1.039    0.00146                 1
        2222  -0.433845        0.0045146        0.0241125    -12.6     1.039    0.00146                 1
        2224  -0.659096        0.00685857       0.0366316    -12.6     1.039    0.00146                 1
        2226   0.299418        0.0166412        0.00311575   -12.6     1.039    0.00146                 1
        2228   1.42372         0.0791281        0.0148152    -12.6     1.039    0.00146                 1
        2230   1.72186         0.0956984        0.0179177    -12.6     1.039    0.00146                 1
        2232   1.27722         0.070986         0.0132908    -12.6     1.039    0.00146                 1
        2234   0.831724        0.046226         0.00865495   -12.6     1.039    0.00146                 1
        2236   1.27567         0.0709           0.0132747    -12.6     1.039    0.00146                 1
        2238   1.72083         0.0956413        0.017907     -12.6     1.039    0.00146                 1
        2240   0.876585        0.0487194        0.00912177   -12.6     1.039    0.00146                 1
        2242  -0.134663        0.00140131       0.00748439   -12.6     1.039    0.00146                 1
        2244   0.00997095      0.000554171      0.000103758  -12.6     1.039    0.00146                 1
        2246   0.677469        0.0376528        0.00704977   -12.6     1.039    0.00146                 1
        2248   0.248865        0.0138315        0.00258969   -12.6     1.039    0.00146                 1
        2250  -0.962127        0.0100119        0.0534736    -12.6     1.039    0.00146                 1
        2252  -1.37288         0.0142862        0.0763027    -12.6     1.039    0.00146                 1
        2254  -1.14597         0.011925         0.0636913    -12.6     1.039    0.00146                 1
        2256  -0.915181        0.0095234        0.0508644    -12.6     1.039    0.00146                 1
        2258  -0.644084        0.00670236       0.0357973    -12.6     1.039    0.00146                 1
        2260   0.0106178       0.000590121      0.000110489  -12.6     1.039    0.00146                 1
        2262   0.686601        0.0381603        0.00714479   -12.6     1.039    0.00146                 1
        2264   0.54588         0.0303392        0.00568044   -12.6     1.039    0.00146                 1
        2266  -0.110302        0.0011478        0.00613042   -12.6     1.039    0.00146                 1
        2268  -0.333497        0.00347038       0.0185353    -12.6     1.039    0.00146                 1
        2270  -0.169439        0.00176319       0.00941718   -12.6     1.039    0.00146                 1
        2272   0.188846        0.0104958        0.00196514   -12.6     1.039    0.00146                 1
        2274   0.48054         0.0267077        0.00500052   -12.6     1.039    0.00146                 1
        2276   0.26965         0.0149867        0.00280598   -12.6     1.039    0.00146                 1
        2278  -0.219293        0.00228196       0.012188     -12.6     1.039    0.00146                 1
        2280  -0.291506        0.00303342       0.0162015    -12.6     1.039    0.00146                 1
        2282   0.243851        0.0135529        0.00253752   -12.6     1.039    0.00146                 1
        2284   1.0057          0.0558954        0.0104654    -12.6     1.039    0.00146                 1
        2286   1.44783         0.0804685        0.0150662    -12.6     1.039    0.00146                 1
        2288   1.29389         0.0719127        0.0134643    -12.6     1.039    0.00146                 1
        2290   1.03056         0.0572772        0.0107241    -12.6     1.039    0.00146                 1
        2292   0.902857        0.0501795        0.00939515   -12.6     1.039    0.00146                 1
        2294   0.46939         0.026088         0.00488448   -12.6     1.039    0.00146                 1
        2296  -0.267289        0.00278141       0.0148555    -12.6     1.039    0.00146                 1
        2298  -0.71465         0.00743667       0.0397192    -12.6     1.039    0.00146                 1
        2300  -0.540505        0.00562451       0.0300405    -12.6     1.039    0.00146                 1
        2302  -0.11758         0.00122354       0.00653494   -12.6     1.039    0.00146                 1
        2304  -0.0848342       0.000882787      0.00471496   -12.6     1.039    0.00146                 1
