# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= -7.000000 and phase < -4.000000 and ((dm15_source >= 1.0 and dm15_source < 1.3) or (dm15_from_fits >= 1.0 and dm15_from_fits < 1.3)) and v_at_max > -11
# N = 14
# N_spec = 33
# phase = -5.86
# dm15 = 1.14
# z = 0.012

  Wavelength         Flux    1-Sigma Lower    1-Sigma Upper     Phase     Dm15     Redshift    SNe per Bin
------------  -----------  ---------------  ---------------  --------  -------  -----------  -------------
        1226   2.87943         0.757907         0.0302882    -6.49625  1.11469  0.002425                 1
        1228  -4.66274         0.0490465        1.2273       -6.49625  1.11469  0.002425                 1
        1230   4.31232         1.13506          0.0453604    -6.49625  1.11469  0.002425                 1
        1232   9.19633         2.42061          0.0967344    -6.49625  1.11469  0.002425                 1
        1234   0.519173        0.136654         0.00546108   -6.49625  1.11469  0.002425                 1
        1236   1.04216         0.274312         0.0109623    -6.49625  1.11469  0.002425                 1
        1238   6.15496         1.62007          0.0647429    -6.49625  1.11469  0.002425                 1
        1240   4.88233         1.2851           0.0513563    -6.49625  1.11469  0.002425                 1
        1242  -0.310313        0.00326413       0.081679     -6.49625  1.11469  0.002425                 1
        1244   0.877689        0.231021         0.00923225   -6.49625  1.11469  0.002425                 1
        1246   0.346049        0.091085         0.00364002   -6.49625  1.11469  0.002425                 1
        1248   0.559695        0.14732          0.00588732   -6.49625  1.11469  0.002425                 1
        1250   1.54333         0.406228         0.016234     -6.49625  1.11469  0.002425                 1
        1252  -0.922254        0.00970102       0.242751     -6.49625  1.11469  0.002425                 1
        1254   2.56957         0.676349         0.0270289    -6.49625  1.11469  0.002425                 1
        1256   2.77874         0.731405         0.029229     -6.49625  1.11469  0.002425                 1
        1258   0.586132        0.154278         0.00616541   -6.49625  1.11469  0.002425                 1
        1260   6.92277         1.82217          0.0728193    -6.49625  1.11469  0.002425                 1
        1262   5.24285         1.38             0.0551486    -6.49625  1.11469  0.002425                 1
        1264   0.534682        0.140736         0.00562422   -6.49625  1.11469  0.002425                 1
        1266   0.750702        0.197596         0.00789649   -6.49625  1.11469  0.002425                 1
        1268   3.43386         0.903841         0.0361201    -6.49625  1.11469  0.002425                 1
        1270   1.13355         0.298367         0.0119236    -6.49625  1.11469  0.002425                 1
        1272  -0.732459        0.0077046        0.192794     -6.49625  1.11469  0.002425                 1
        1274  -0.151776        0.0015965        0.0399497    -6.49625  1.11469  0.002425                 1
        1276   0.247225        0.0650733        0.00260052   -6.49625  1.11469  0.002425                 1
        1278   2.12308         0.558825         0.0223322    -6.49625  1.11469  0.002425                 1
        1280   2.17346         0.572087         0.0228623    -6.49625  1.11469  0.002425                 1
        1282   0.607183        0.159819         0.00638685   -6.49625  1.11469  0.002425                 1
        1284  -0.343519        0.00361341       0.0904191    -6.49625  1.11469  0.002425                 1
        1286  -2.96795         0.0312193        0.781208     -6.49625  1.11469  0.002425                 1
        1288  -1.5125          0.0159097        0.398111     -6.49625  1.11469  0.002425                 1
