# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 32.000000 and phase < 35.000000 and ((dm15_source >= 1.0 and dm15_source < 1.3) or (dm15_from_fits >= 1.0 and dm15_from_fits < 1.3)) and v_at_max > -11
# N = 15
# N_spec = 22
# phase = 33.47
# dm15 = 1.08
# z = 0.008

  Wavelength         Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  -----------  ---------------  ---------------  -------  -------  ----------  -------------
        3098   2.04902          0.0502872       0.00507807   33.511   1.19     0.0094                  1
        3100   1.02855          0.0252428       0.00254905   33.511   1.19     0.0094                  1
        3102  -1.09833          0.00272199      0.0269553    33.511   1.19     0.0094                  1
        3104   1.07728          0.0264388       0.00266983   33.511   1.19     0.0094                  1
        3106   1.53191          0.0375964       0.00379654   33.511   1.19     0.0094                  1
        3108   0.600134         0.0147286       0.00148731   33.511   1.19     0.0094                  1
        3110   1.95131          0.0478893       0.00483593   33.511   1.19     0.0094                  1
        3112   3.28193          0.0805456       0.00813361   33.511   1.19     0.0094                  1
        3114   2.66078          0.0653011       0.0065942    33.511   1.19     0.0094                  1
        3116   0.506001         0.0124183       0.00125402   33.511   1.19     0.0094                  1
        3118   2.3478           0.0576201       0.00581856   33.511   1.19     0.0094                  1
        3120   3.66992          0.0900676       0.00909515   33.511   1.19     0.0094                  1
        3122   1.75953          0.266192        0.303985     33.0385  1.12974  0.00817802              2
        3124   3.86576          1.24337         0.878374     33.036   1.12942  0.00817157              2
        3126   2.44294          1.96639         1.45654      33.0348  1.12926  0.00816832              2
        3128   0.160051         0.770217        0.593401     33.0349  1.12928  0.0081686               2
        3130  -0.359027         0.600987        0.788386     33.0349  1.12928  0.0081686               2
        3132  -0.00619021       1.47304         1.89968      33.0355  1.12935  0.00817015              2
        3134   0.554862         0.955024        1.20032      33.0338  1.12914  0.00816576              2
        3136   1.14673          0.697387        0.518193     33.0316  1.12886  0.00816008              2
        3138   0.342607         0.638109        0.488959     33.0326  1.12898  0.00816258              2
        3140   0.528587         1.19868         0.931381     33.0299  1.12864  0.00815578              2
        3142   0.93752          1.74894         1.34988      33.0306  1.12873  0.0081576               2
        3144  -0.689526         1.00305         0.802818     33.0347  1.12925  0.00816812              2
        3146  -0.276386         0.495753        0.652448     33.0361  1.12943  0.00817179              2
        3148   1.66878          1.1609          0.850997     33.0364  1.12947  0.00817244              2
        3150   2.25311          0.456317        0.306311     33.0379  1.12966  0.00817635              2
        3152   1.71841          0.0941863       0.0419442    33.0402  1.12996  0.00818243              2
        3154   1.72579          1.48257         1.07154      33.0417  1.13015  0.00818627              2
        3156   1.92201          1.99356         1.45027      33.0414  1.13011  0.00818545              2
        3158   2.3221           1.95689         1.41052      33.0423  1.13022  0.00818777              2
        3160   2.23238          2.02287         1.4716       33.0404  1.12997  0.00818276              2
        3162   2.41991          2.35755         1.72475      33.0393  1.12984  0.0081801               2
        3164   2.03636          2.125           1.53944      33.0426  1.13026  0.00818849              2
        3166   1.00205          1.17948         0.861684     33.0416  1.13014  0.00818604              2
        3168   1.60462          1.71396         1.23955      33.0433  1.13035  0.00819033              2
        3170   2.11916          1.77045         1.25645      33.0463  1.13073  0.00819818              2
        3172   2.34644          1.0527          0.73817      33.0432  1.13034  0.00819016              2
        3174   2.31175          0.89827         0.629248     33.0414  1.13011  0.00818546              2
        3176   1.85639          0.954933        0.675345     33.0427  1.13028  0.00818889              2
        3178   1.15244          0.54858         0.387364     33.0422  1.13021  0.00818749              2
        3180   1.06017          1.38826         0.580171     33.0588  1.12988  0.00809094              3
        3182   0.954135         1.05951         0.434673     33.0586  1.12992  0.00809397              3
        3184   0.829501         0.231543        0.306672     33.2293  1.09509  0.00709864              4
        3186   0.877154         0.239008        0.182235     33.2278  1.09551  0.00710969              4
        3188   0.931597         0.172933        0.286684     33.2262  1.09576  0.00711645              4
        3190   1.10523          0.28973         0.662432     33.2266  1.09637  0.00713052              4
        3192   0.929501         0.472865        0.87869      33.2241  1.09667  0.00713828              4
        3194   1.33382          0.290301        0.32664      33.2207  1.09697  0.00714637              4
        3196   1.09409          0.317877        0.763689     33.2197  1.09744  0.00715665              4
        3198   0.816147         0.643455        1.29093      33.218   1.09782  0.00716564              4
        3200   1.11118          0.71638         1.48217      33.2145  1.09794  0.00717038              4
        3202   1.29285          0.40983         0.797933     33.2125  1.09822  0.00717724              4
        3204   0.620111         0.632301        0.80051      33.2099  1.0985   0.00718519              4
        3206   1.22922          0.624294        0.950582     33.2062  1.09856  0.00718839              4
        3208   1.21903          0.658158        1.14868      33.2035  1.09875  0.00719155              4
        3210   1.04346          0.221654        0.589777     33.2022  1.09913  0.00719942              4
        3212   1.42104          0.24671         0.571818     33.1988  1.09923  0.00720314              4
        3214   1.35207          0.667398        1.11589      33.1951  1.09926  0.00720331              4
        3216   1.51706          0.276503        0.455135     33.1938  1.09953  0.00720628              4
        3218   1.3485           0.165443        0.116438     33.1907  1.09961  0.00720659              4
        3220   1.04564          0.521249        0.545829     33.1862  1.09958  0.00720584              4
        3222   1.17742          0.50594         0.628849     33.184   1.09971  0.0072088               4
        3224   0.995841         0.56049         0.943561     33.1814  1.09962  0.00720855              4
        3226   0.936311         0.261995        0.615783     33.1782  1.09953  0.00720747              4
        3228   1.12308          0.297435        0.427233     33.1756  1.09938  0.00720712              4
        3230   1.3532           0.284612        0.300954     33.1715  1.09912  0.00720617              4
        3232   0.991628         0.137263        0.0879469    33.1679  1.09898  0.00720764              4
        3234   0.908297         0.277226        0.131188     33.1653  1.09877  0.00720712              4
        3236   1.32832          0.729497        0.540071     33.1625  1.09863  0.0072071               4
        3238   1.51797          0.605188        0.660039     33.1603  1.09855  0.00720675              4
        3240   1.29826          0.209104        0.139566     33.1561  1.0983   0.00720274              4
        3242   1.09869          0.463638        0.144156     33.1522  1.09817  0.00720072              4
        3244   1.18352          0.168844        0.0745672    33.1494  1.09801  0.00719732              4
        3246   1.13618          0.0807415       0.105056     33.1452  1.09778  0.00719179              4
        3248   0.811865         0.569882        0.606887     33.1433  1.09779  0.00719083              4
        3250   0.680526         0.455473        0.702696     33.1405  1.0977   0.0071885               4
        3252   0.45172          0.128482        0.122862     33.1371  1.09747  0.00718107              4
        3254   0.684302         0.296282        0.0960247    33.1354  1.09737  0.00717942              4
        3256   0.615498         0.142352        0.27595      33.1334  1.0972   0.00717865              4
        3258   0.796954         0.407506        0.896625     33.1276  1.09664  0.00717167              4
        3260   0.748806         0.371013        0.687087     33.1245  1.09618  0.00716687              4
        3262   0.347469         0.0717911       0.111484     33.1239  1.096    0.00716477              4
        3264   0.0607993        0.0992386       0.0818601    33.1196  1.09561  0.00716173              4
        3266   0.67781          0.0784004       0.139282     33.1165  1.09527  0.00716033              4
        3268   0.681139         0.158803        0.446796     33.116   1.09513  0.00715956              4
        3270   0.577929         0.142074        0.391851     33.1162  1.09507  0.00715909              4
        3272   1.06286          0.113953        0.336768     33.1149  1.09497  0.0071585               4
        3274   0.776039         0.265358        0.539598     33.1117  1.09469  0.00715352              4
        3276   0.678677         0.452092        0.601738     33.1094  1.09456  0.00715032              4
        3278   0.50546          0.358723        0.292271     33.1089  1.09462  0.00714977              4
