# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 29.000000 and phase < 32.000000 and ((dm15_source >= 1.0 and dm15_source < 1.3) or (dm15_from_fits >= 1.0 and dm15_from_fits < 1.3)) and v_at_max > -11
# N = 17
# N_spec = 23
# phase = 30.45
# dm15 = 1.1
# z = 0.013

  Wavelength        Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  ----------  ---------------  ---------------  -------  -------  ----------  -------------
        3220   4.05724          0.254029        0.05176     30.3681  1.07     0.006384                1
        3222   3.61429          0.226295        0.046109    30.3681  1.07     0.006384                1
        3224   2.23401          0.139874        0.0285003   30.3681  1.07     0.006384                1
        3226   2.49898          0.156464        0.0318805   30.3681  1.07     0.006384                1
        3228   3.0897           0.19345         0.0394166   30.3681  1.07     0.006384                1
        3230   3.2397           0.202841        0.0413302   30.3681  1.07     0.006384                1
        3232   1.8222           0.11409         0.0232466   30.3681  1.07     0.006384                1
        3234   1.2068           0.0755589       0.0153956   30.3681  1.07     0.006384                1
        3236   1.24348          0.0778557       0.0158636   30.3681  1.07     0.006384                1
        3238   1.77981          0.111436        0.0227058   30.3681  1.07     0.006384                1
        3240   1.58767          0.0994056       0.0202546   30.3681  1.07     0.006384                1
        3242   1.80339          0.112912        0.0230066   30.3681  1.07     0.006384                1
        3244   3.35391          0.209992        0.0427873   30.3681  1.07     0.006384                1
        3246   2.93431          0.18372         0.0374342   30.3681  1.07     0.006384                1
        3248   2.14862          0.134527        0.0274109   30.3681  1.07     0.006384                1
        3250   1.95903          0.122657        0.0249922   30.3681  1.07     0.006384                1
        3252   0.147898         0.805162        2.15104     30.1289  1.12091  0.0197494               2
        3254  -0.847566         1.24911         3.29889     30.132   1.12025  0.0195759               2
        3256  -0.683337         1.07732         2.71175     30.1351  1.11959  0.019401                2
        3258   0.313012         0.663691        1.52473     30.1382  1.11894  0.0192302               2
        3260   1.24648          0.131419        0.341708    30.1419  1.11815  0.0190241               2
        3262   1.01743          0.0874439       0.222538    30.1453  1.11742  0.018832                2
        3264   0.868794         0.187395        0.411574    30.1485  1.11674  0.0186545               2
        3266   0.360043         0.557619        1.03889     30.1526  1.11587  0.018426                2
        3268   0.24291          0.741928        1.33546     30.1563  1.11509  0.0182217               2
        3270   0.728813         0.884424        1.4842      30.1598  1.11435  0.0180253               2
        3272   0.355734         1.24139         2.02577     30.1639  1.11347  0.0177966               2
        3274   0.739823         0.879351        1.31673     30.1684  1.1125   0.0175418               2
        3276   1.22217          0.465953        0.691479    30.1725  1.11164  0.0173163               2
