# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 8.000000 and phase < 11.000000 and ((dm15_source >= 1.0 and dm15_source < 1.3) or (dm15_from_fits >= 1.0 and dm15_from_fits < 1.3)) and v_at_max > -11
# N = 20
# N_spec = 30
# phase = 9.2
# dm15 = 1.12
# z = 0.01

  Wavelength         Flux    1-Sigma Lower    1-Sigma Upper     Phase     Dm15    Redshift    SNe per Bin
------------  -----------  ---------------  ---------------  --------  -------  ----------  -------------
        1602  -0.0298129       7.38688e-05      0.000196563   9.3      1.108    0.000804                1
        1604   0.0102327       6.74669e-05      2.53542e-05   9.3      1.108    0.000804                1
        1606  -0.00331523      8.21431e-06      2.18581e-05   9.3      1.108    0.000804                1
        1608   0.0240139       0.00015833       5.95005e-05   9.3      1.108    0.000804                1
        1610   0.0381477       0.000251517      9.45205e-05   9.3      1.108    0.000804                1
        1612   0.0189769       0.000125119      4.70199e-05   9.3      1.108    0.000804                1
        1614   0.0321616       0.000212049      7.96883e-05   9.3      1.108    0.000804                1
        1616   0.0383886       0.000253105      9.51174e-05   9.3      1.108    0.000804                1
        1618   0.0445766       0.000293904      0.00011045    9.3      1.108    0.000804                1
        1620   0.0112694       7.43016e-05      2.79227e-05   9.3      1.108    0.000804                1
        1622   0.0196715       0.000129699      4.87411e-05   9.3      1.108    0.000804                1
        1624   0.0223638       0.00014745       5.54119e-05   9.3      1.108    0.000804                1
        1626  -0.00390193      9.66799e-06      2.57263e-05   9.3      1.108    0.000804                1
        1628   0.025389        0.000167395      6.29075e-05   9.3      1.108    0.000804                1
        1630   0.0127783       8.42506e-05      3.16615e-05   9.3      1.108    0.000804                1
        1632   0.0275232       0.000181467      6.81956e-05   9.3      1.108    0.000804                1
        1634   0.011817        7.79121e-05      2.92795e-05   9.3      1.108    0.000804                1
        1636   0.0134216       8.84915e-05      3.32552e-05   9.3      1.108    0.000804                1
        1638   0.00629385      4.14968e-05      1.55946e-05   9.3      1.108    0.000804                1
        1640   0.0286436       0.000188854      7.09717e-05   9.3      1.108    0.000804                1
        1642   0.0191198       0.000126062      4.73741e-05   9.3      1.108    0.000804                1
        1644   0.0106627       7.03015e-05      2.64194e-05   9.3      1.108    0.000804                1
        1646   0.0288912       0.000190486      7.15851e-05   9.3      1.108    0.000804                1
        1648   0.0308665       0.00020351       7.64794e-05   9.3      1.108    0.000804                1
        1650   0.00962236      6.34425e-05      2.38418e-05   9.3      1.108    0.000804                1
        1652   0.0169556       0.000111792      4.20117e-05   9.3      1.108    0.000804                1
        1654   0.016263        0.000107226      4.02957e-05   9.3      1.108    0.000804                1
        1656   0.03409         0.000224764      8.44666e-05   9.3      1.108    0.000804                1
        1658   0.0327704       0.000216063      8.11967e-05   9.3      1.108    0.000804                1
        1660   0.0151808       0.000100091      3.76142e-05   9.3      1.108    0.000804                1
        1662   0.0196727       0.000129707      4.87441e-05   9.3      1.108    0.000804                1
        1664   0.0281526       0.000185617      6.97552e-05   9.3      1.108    0.000804                1
        1666   0.0333777       0.000220067      8.27016e-05   9.3      1.108    0.000804                1
        1668   0.0309642       0.000204154      7.67216e-05   9.3      1.108    0.000804                1
        1670   0.0290005       0.000191207      7.18559e-05   9.3      1.108    0.000804                1
        1672   0.0173353       0.000114296      4.29526e-05   9.3      1.108    0.000804                1
        1674   0.00650296      4.28756e-05      1.61127e-05   9.3      1.108    0.000804                1
        1676   0.0170782       0.000112601      4.23155e-05   9.3      1.108    0.000804                1
        1678   0.0230352       0.000151876      5.70754e-05   9.3      1.108    0.000804                1
        1680   0.0247464       0.000163159      6.13154e-05   9.3      1.108    0.000804                1
        1682   0.0201694       0.000132982      4.99748e-05   9.3      1.108    0.000804                1
        1684   0.0178186       0.000117482      4.41501e-05   9.3      1.108    0.000804                1
        1686   0.0143724       9.47609e-05      3.56113e-05   9.3      1.108    0.000804                1
        1688   0.022171        0.000146179      5.49341e-05   9.3      1.108    0.000804                1
        1690   0.0302744       0.000199606      7.50123e-05   9.3      1.108    0.000804                1
        1692   0.0192758       0.00012709       4.77606e-05   9.3      1.108    0.000804                1
        1694   0.0145496       9.59287e-05      3.60502e-05   9.3      1.108    0.000804                1
        1696   0.0257802       0.000169975      6.38769e-05   9.3      1.108    0.000804                1
        1698   0.0290112       0.000191278      7.18824e-05   9.3      1.108    0.000804                1
        1700   0.0233175       0.000153737      5.77748e-05   9.3      1.108    0.000804                1
        1702   0.0286463       0.000188872      7.09784e-05   9.3      1.108    0.000804                1
        1704   0.0319809       0.000210858      7.92407e-05   9.3      1.108    0.000804                1
        1706   0.0307554       0.000202778      7.62043e-05   9.3      1.108    0.000804                1
        1708   0.0317042       0.000209033      7.85551e-05   9.3      1.108    0.000804                1
        1710   0.0277628       0.000183047      6.87892e-05   9.3      1.108    0.000804                1
        1712   0.0233632       0.000154039      5.78883e-05   9.3      1.108    0.000804                1
        1714   0.0199256       0.000131374      4.93705e-05   9.3      1.108    0.000804                1
        1716   0.0236625       0.000156013      5.86299e-05   9.3      1.108    0.000804                1
        1718   0.0247743       0.000163343      6.13844e-05   9.3      1.108    0.000804                1
        1720   0.0280609       0.000185012      6.95278e-05   9.3      1.108    0.000804                1
        1722   0.0256776       0.000169298      6.36225e-05   9.3      1.108    0.000804                1
        1724   0.0251551       0.000165854      6.23281e-05   9.3      1.108    0.000804                1
        1726   0.0198448       0.000130842      4.91705e-05   9.3      1.108    0.000804                1
        1728   0.0187348       0.000123523      4.64202e-05   9.3      1.108    0.000804                1
        1730   0.0158489       0.000104496      3.92697e-05   9.3      1.108    0.000804                1
        1732   0.0224011       0.000147696      5.55044e-05   9.3      1.108    0.000804                1
        1734   0.0152223       0.000100364      3.7717e-05    9.3      1.108    0.000804                1
        1736   0.0170104       0.000112154      4.21475e-05   9.3      1.108    0.000804                1
        1738   0.0184291       0.000121508      4.56627e-05   9.3      1.108    0.000804                1
        1740   0.0151165       9.96669e-05      3.7455e-05    9.3      1.108    0.000804                1
        1742   0.0148098       9.76444e-05      3.66949e-05   9.3      1.108    0.000804                1
        1744   0.0111373       7.34309e-05      2.75954e-05   9.3      1.108    0.000804                1
        1746   0.0108251       7.13724e-05      2.68219e-05   9.3      1.108    0.000804                1
        1748   0.0141653       9.33953e-05      3.50981e-05   9.3      1.108    0.000804                1
        1750   0.0174036       0.000114746      4.31218e-05   9.3      1.108    0.000804                1
        1752   0.0168599       0.000111162      4.17747e-05   9.3      1.108    0.000804                1
        1754   0.0201291       0.000132716      4.98748e-05   9.3      1.108    0.000804                1
        1756   0.0212839       0.00014033       5.27361e-05   9.3      1.108    0.000804                1
        1758   0.017126        0.000112916      4.2434e-05    9.3      1.108    0.000804                1
        1760   0.0178027       0.000117377      4.41106e-05   9.3      1.108    0.000804                1
        1762   0.0180077       0.000118729      4.46186e-05   9.3      1.108    0.000804                1
        1764   0.0175948       0.000116007      4.35955e-05   9.3      1.108    0.000804                1
        1766   0.019764        0.000130309      4.89703e-05   9.3      1.108    0.000804                1
        1768   0.0194881       0.00012849       4.82867e-05   9.3      1.108    0.000804                1
        1770   0.0196848       0.000129786      4.87739e-05   9.3      1.108    0.000804                1
        1772   0.0177998       0.000117359      4.41035e-05   9.3      1.108    0.000804                1
        1774   0.0188067       0.000123997      4.65982e-05   9.3      1.108    0.000804                1
        1776   0.0221332       0.00014593       5.48406e-05   9.3      1.108    0.000804                1
        1778   0.0303579       0.000200157      7.52192e-05   9.3      1.108    0.000804                1
        1780   0.0277602       0.00018303       6.87828e-05   9.3      1.108    0.000804                1
        1782   0.0264546       0.000174422      6.5548e-05    9.3      1.108    0.000804                1
        1784   0.033129        0.000218427      8.20854e-05   9.3      1.108    0.000804                1
        1786   0.0332286       0.000219084      8.23322e-05   9.3      1.108    0.000804                1
        1788   0.0393973       0.000259755      9.76165e-05   9.3      1.108    0.000804                1
        1790   0.0450916       0.0002973        0.000111726   9.3      1.108    0.000804                1
        1792   0.053992        0.000355982      0.000133779   9.3      1.108    0.000804                1
        1794   0.0495465       0.000326672      0.000122764   9.3      1.108    0.000804                1
        1796   0.0464768       0.000306432      0.000115158   9.3      1.108    0.000804                1
        1798   0.0446745       0.000294549      0.000110692   9.3      1.108    0.000804                1
        1800   0.0436506       0.000287799      0.000108155   9.3      1.108    0.000804                1
        1802   0.0529171       0.000348895      0.000131115   9.3      1.108    0.000804                1
        1804   0.0540121       0.000356115      0.000133828   9.3      1.108    0.000804                1
        1806   0.0537873       0.000354633      0.000133272   9.3      1.108    0.000804                1
        1808   0.0653037       0.000430563      0.000161806   9.3      1.108    0.000804                1
        1810   0.0648133       0.000427329      0.000160591   9.3      1.108    0.000804                1
        1812   0.0580583       0.000382792      0.000143854   9.3      1.108    0.000804                1
        1814   0.0661556       0.000436179      0.000163917   9.3      1.108    0.000804                1
        1816   0.065386        0.000431105      0.00016201    9.3      1.108    0.000804                1
        1818   0.070306        0.000463544      0.000174201   9.3      1.108    0.000804                1
        1820   0.0695213       0.00045837       0.000172256   9.3      1.108    0.000804                1
        1822   0.0766633       0.000505459      0.000189952   9.3      1.108    0.000804                1
        1824   0.0783915       0.000516853      0.000194234   9.3      1.108    0.000804                1
        1826   0.0771952       0.000508966      0.00019127    9.3      1.108    0.000804                1
        1828   0.0811813       0.000535248      0.000201147   9.3      1.108    0.000804                1
        1830   0.0812115       0.000535446      0.000201222   9.3      1.108    0.000804                1
        1832   0.0807855       0.000532638      0.000200166   9.3      1.108    0.000804                1
        1834   0.0804876       0.000530674      0.000199428   9.3      1.108    0.000804                1
        1836   0.0863829       0.000569543      0.000214035   9.3      1.108    0.000804                1
        1838   0.0906081       0.000597401      0.000224504   9.3      1.108    0.000804                1
        1840   0.0913133       0.00060205       0.000226252   9.3      1.108    0.000804                1
        1842   0.0892184       0.000588238      0.000221061   9.3      1.108    0.000804                1
        1844   0.098778        0.000651267      0.000244747   9.3      1.108    0.000804                1
        1846   0.101039        0.000666172      0.000250348   9.3      1.108    0.000804                1
        1848   0.0998573       0.000658383      0.000247421   9.3      1.108    0.000804                1
        1850   0.0975029       0.00064286       0.000241588   9.3      1.108    0.000804                1
        1852   0.102759        0.000677518      0.000254612   9.3      1.108    0.000804                1
        1854   0.100642        0.000663557      0.000249366   9.3      1.108    0.000804                1
        1856   0.0903466       0.000595676      0.000223856   9.3      1.108    0.000804                1
        1858   0.101758        0.000670912      0.00025213    9.3      1.108    0.000804                1
        1860   0.113072        0.00074551       0.000280164   9.3      1.108    0.000804                1
        1862   0.111192        0.000733116      0.000275506   9.3      1.108    0.000804                1
        1864   0.108673        0.000716504      0.000269264   9.3      1.108    0.000804                1
        1866   0.115664        0.000762597      0.000286585   9.3      1.108    0.000804                1
        1868   0.110285        0.000727138      0.00027326    9.3      1.108    0.000804                1
        1870   0.115014        0.000758315      0.000284976   9.3      1.108    0.000804                1
        1872   0.135055        0.000890451      0.000334633   9.3      1.108    0.000804                1
        1874   0.131306        0.000865733      0.000325344   9.3      1.108    0.000804                1
        1876   0.132839        0.000875841      0.000329142   9.3      1.108    0.000804                1
        1878   0.15208         0.0010027        0.000376815   9.3      1.108    0.000804                1
        1880   0.160638        0.00105913       0.000398021   9.3      1.108    0.000804                1
        1882   0.164603        0.00108527       0.000407845   9.3      1.108    0.000804                1
        1884   0.172869        0.00113976       0.000428325   9.3      1.108    0.000804                1
        1886   0.188205        0.00124088       0.000466325   9.3      1.108    0.000804                1
        1888   0.194939        0.00128528       0.000483011   9.3      1.108    0.000804                1
        1890   0.197847        0.00130445       0.000490215   9.3      1.108    0.000804                1
        1892   0.200891        0.00132452       0.000497757   9.3      1.108    0.000804                1
        1894   0.217135        0.00143162       0.000538006   9.3      1.108    0.000804                1
        1896   0.206141        0.00135914       0.000510766   9.3      1.108    0.000804                1
        1898   0.20991         0.00138398       0.000520103   9.3      1.108    0.000804                1
        1900   0.221937        0.00146328       0.000549904   9.3      1.108    0.000804                1
        1902   0.215816        0.00142292       0.000534737   9.3      1.108    0.000804                1
        1904   0.20795         0.00137106       0.000515248   9.3      1.108    0.000804                1
        1906   0.20857         0.00137515       0.000516783   9.3      1.108    0.000804                1
        1908   0.210309        0.00138661       0.000521092   9.3      1.108    0.000804                1
        1910   0.198118        0.00130624       0.000490886   9.3      1.108    0.000804                1
        1912   0.19667         0.00129669       0.0004873     9.3      1.108    0.000804                1
        1914   0.207027        0.00136498       0.00051296    9.3      1.108    0.000804                1
        1916   0.200889        0.00132451       0.000497754   9.3      1.108    0.000804                1
        1918   0.198853        0.00131108       0.000492707   9.3      1.108    0.000804                1
        1920   0.189469        0.00124922       0.000469458   9.3      1.108    0.000804                1
        1922   0.18747         0.00123603       0.000464504   9.3      1.108    0.000804                1
        1924   0.179992        0.00118673       0.000445975   9.3      1.108    0.000804                1
        1926   0.172251        0.00113569       0.000426796   9.3      1.108    0.000804                1
        1928   0.176571        0.00116417       0.000437498   9.3      1.108    0.000804                1
        1930   0.162168        0.00106921       0.000401812   9.3      1.108    0.000804                1
        1932   0.167695        0.00110565       0.000415506   9.3      1.108    0.000804                1
        1934   0.162163        0.00106918       0.0004018     9.3      1.108    0.000804                1
        1936   0.152783        0.00100734       0.000378559   9.3      1.108    0.000804                1
        1938   0.148164        0.000976878      0.000367112   9.3      1.108    0.000804                1
        1940   0.149743        0.000987289      0.000371025   9.3      1.108    0.000804                1
        1942   0.146931        0.000968754      0.000364059   9.3      1.108    0.000804                1
        1944   0.149128        0.000983235      0.000369501   9.3      1.108    0.000804                1
        1946   0.148065        0.00097623       0.000366869   9.3      1.108    0.000804                1
        1948   0.147109        0.000969922      0.000364498   9.3      1.108    0.000804                1
        1950   0.153071        0.00100924       0.000379273   9.3      1.108    0.000804                1
        1952   0.145884        0.000961847      0.000361464   9.3      1.108    0.000804                1
        1954   0.152323        0.0010043        0.000377418   9.3      1.108    0.000804                1
        1956   0.145125        0.000956842      0.000359583   9.3      1.108    0.000804                1
        1958   0.144405        0.000952098      0.0003578     9.3      1.108    0.000804                1
        1960   0.150355        0.000991324      0.000372541   9.3      1.108    0.000804                1
        1962   0.144315        0.000951502      0.000357576   9.3      1.108    0.000804                1
        1964   0.151522        0.000999021      0.000375434   9.3      1.108    0.000804                1
        1966   0.146693        0.00096718       0.000363468   9.3      1.108    0.000804                1
        1968   0.136107        0.000897388      0.00033724    9.3      1.108    0.000804                1
        1970   0.135379        0.000892587      0.000335436   9.3      1.108    0.000804                1
        1972   0.13848         0.000913031      0.000343119   9.3      1.108    0.000804                1
        1974   0.142156        0.00093727       0.000352228   9.3      1.108    0.000804                1
        1976   0.140637        0.00092725       0.000348462   9.3      1.108    0.000804                1
        1978   0.139754        0.000921433      0.000346276   9.3      1.108    0.000804                1
        1980   0.147205        0.000970554      0.000364736   9.3      1.108    0.000804                1
        1982   0.143017        0.000942947      0.000354361   9.3      1.108    0.000804                1
        1984   0.146654        0.000966926      0.000363373   9.3      1.108    0.000804                1
        1986   0.153309        0.0010108        0.000379862   9.3      1.108    0.000804                1
        1988   0.150296        0.000990934      0.000372395   9.3      1.108    0.000804                1
        1990   0.148659        0.000980143      0.00036834    9.3      1.108    0.000804                1
        1992   0.15916         0.00104938       0.000394359   9.3      1.108    0.000804                1
        1994   0.157942        0.00104135       0.00039134    9.3      1.108    0.000804                1
        1996   0.161374        0.00106398       0.000399844   9.3      1.108    0.000804                1
        1998   0.169421        0.00111703       0.000419782   9.3      1.108    0.000804                1
        2000   0.167885        0.00110691       0.000415977   9.3      1.108    0.000804                1
        2002   0.165351        0.0010902        0.000409698   9.3      1.108    0.000804                1
        2004   0.173217        0.00114206       0.000429189   9.3      1.108    0.000804                1
        2006   0.183628        0.0012107        0.000454983   9.3      1.108    0.000804                1
        2008   0.187508        0.00123629       0.000464599   9.3      1.108    0.000804                1
        2010   0.185769        0.00122482       0.00046029    9.3      1.108    0.000804                1
        2012   0.183743        0.00121146       0.00045527    9.3      1.108    0.000804                1
        2014   0.194834        0.00128458       0.000482749   9.3      1.108    0.000804                1
        2016   0.195903        0.00129164       0.000485399   9.3      1.108    0.000804                1
        2018   0.191084        0.00125986       0.000473458   9.3      1.108    0.000804                1
        2020   0.19568         0.00129016       0.000484845   9.3      1.108    0.000804                1
        2022   0.200283        0.00132052       0.000496252   9.3      1.108    0.000804                1
        2024   0.198774        0.00131056       0.000492512   9.3      1.108    0.000804                1
        2026   0.194257        0.00128078       0.000481319   9.3      1.108    0.000804                1
        2028   0.197111        0.0012996        0.000488393   9.3      1.108    0.000804                1
        2030   0.209706        0.00138264       0.000519599   9.3      1.108    0.000804                1
        2032   0.202816        0.00133721       0.000502527   9.3      1.108    0.000804                1
        2034   0.21201         0.00139783       0.000525307   9.3      1.108    0.000804                1
        2036   0.211627        0.00139531       0.000524358   9.3      1.108    0.000804                1
        2038   0.203246        0.00134005       0.000503594   9.3      1.108    0.000804                1
        2040   0.204416        0.00134776       0.000506492   9.3      1.108    0.000804                1
        2042   0.204162        0.00134609       0.000505861   9.3      1.108    0.000804                1
        2044   0.205441        0.00135452       0.000509032   9.3      1.108    0.000804                1
        2046   0.203273        0.00134023       0.000503661   9.3      1.108    0.000804                1
        2048   0.201405        0.00132791       0.000499031   9.3      1.108    0.000804                1
        2050   0.20504         0.00135187       0.000508037   9.3      1.108    0.000804                1
        2052   0.199453        0.00131504       0.000494194   9.3      1.108    0.000804                1
        2054   0.197299        0.00130084       0.000488858   9.3      1.108    0.000804                1
        2056   0.202893        0.00133772       0.000502719   9.3      1.108    0.000804                1
        2058   0.196243        0.00129388       0.000486241   9.3      1.108    0.000804                1
        2060   0.195145        0.00128664       0.000483521   9.3      1.108    0.000804                1
        2062   0.199101        0.00131272       0.000493323   9.3      1.108    0.000804                1
        2064   0.199549        0.00131568       0.000494433   9.3      1.108    0.000804                1
