# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 5.000000 and phase < 8.000000 and ((dm15_source >= 1.0 and dm15_source < 1.3) or (dm15_from_fits >= 1.0 and dm15_from_fits < 1.3)) and v_at_max > -11
# N = 23
# N_spec = 37
# phase = 6.35
# dm15 = 1.1
# z = 0.011

  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  -------  -------  ----------  -------------
        2994   0.000276377      2.07485e-06      1.62616e-06  7.08254  1.13     0.007125                1
        2996  -0.70884          0.00417072       0.00532149   7.08254  1.13     0.007125                1
        2998   1.26149          0.00947044       0.00742246   7.08254  1.13     0.007125                1
        3000   0.689328         0.00517501       0.00405591   7.08254  1.13     0.007125                1
        3002  -0.40522          0.00238426       0.00304212   7.08254  1.13     0.007125                1
        3004   0.474345         0.00356106       0.00279098   7.08254  1.13     0.007125                1
        3006   0.811844         0.00609477       0.00477678   7.08254  1.13     0.007125                1
        3008  -0.0156975        9.2362e-05       0.000117846  7.08254  1.13     0.007125                1
        3010   0.194139         0.00145746       0.00114229   7.08254  1.13     0.007125                1
        3012   1.37489          0.0103217        0.00808965   7.08254  1.13     0.007125                1
        3014   0.353252         0.00265198       0.00207849   7.08254  1.13     0.007125                1
        3016   0.58663          0.00440402       0.00345165   7.08254  1.13     0.007125                1
        3018   1.54999          0.0116363        0.00911993   7.08254  1.13     0.007125                1
        3020   0.385844         0.00289665       0.00227025   7.08254  1.13     0.007125                1
        3022   0.836122         0.00627703       0.00491963   7.08254  1.13     0.007125                1
        3024   1.78922          0.0134322        0.0105275    7.08254  1.13     0.007125                1
        3026   2.04775          0.0153731        0.0120487    7.08254  1.13     0.007125                1
        3028   1.47727          0.0110903        0.00869206   7.08254  1.13     0.007125                1
        3030   1.03206          0.00774802       0.00607251   7.08254  1.13     0.007125                1
        3032   1.09735          0.00823818       0.00645668   7.08254  1.13     0.007125                1
        3034   1.25973          0.0094572        0.00741209   7.08254  1.13     0.007125                1
        3036   0.923197         0.00693073       0.00543197   7.08254  1.13     0.007125                1
        3038   0.821107         0.00616431       0.00483128   7.08254  1.13     0.007125                1
        3040   1.22095          0.00916606       0.0071839    7.08254  1.13     0.007125                1
        3042   1.6196           0.0121589        0.00952951   7.08254  1.13     0.007125                1
        3044   1.57168          0.0117991        0.00924758   7.08254  1.13     0.007125                1
        3046   1.28202          0.00962452       0.00754322   7.08254  1.13     0.007125                1
