# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 2.000000 and phase < 5.000000 and ((dm15_source >= 1.0 and dm15_source < 1.3) or (dm15_from_fits >= 1.0 and dm15_from_fits < 1.3)) and v_at_max > -11
# N = 23
# N_spec = 56
# phase = 3.52
# dm15 = 1.1
# z = 0.01

  Wavelength         Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15     Redshift    SNe per Bin
------------  -----------  ---------------  ---------------  -------  -------  -----------  -------------
        1672   1.4383          0.017875         0.0148544    3.4      1.108    0.000804                 1
        1674   0.854429        0.0106188        0.00882437   3.4      1.108    0.000804                 1
        1676   0.240688        0.00299124       0.00248577   3.4      1.108    0.000804                 1
        1678   0.262726        0.00326514       0.00271338   3.4      1.108    0.000804                 1
        1680  -0.0532431       0.000549883      0.0006617    3.4      1.108    0.000804                 1
        1682   0.298697        0.00371218       0.00308488   3.4      1.108    0.000804                 1
        1684   0.492023        0.00611481       0.00508151   3.4      1.108    0.000804                 1
        1686   0.139029        0.00172784       0.00143586   3.4      1.108    0.000804                 1
        1688   0.1812          0.00225193       0.00187139   3.4      1.108    0.000804                 1
        1690   0.245399        0.0030498        0.00253443   3.4      1.108    0.000804                 1
        1692   0.610006        0.0075811        0.00630001   3.4      1.108    0.000804                 1
        1694   0.288781        0.00358895       0.00298247   3.4      1.108    0.000804                 1
        1696   0.387075        0.00481053       0.00399763   3.4      1.108    0.000804                 1
        1698   0.458889        0.00570303       0.00473931   3.4      1.108    0.000804                 1
        1700   0.385986        0.00479699       0.00398638   3.4      1.108    0.000804                 1
        1702   0.539154        0.00670055       0.00556827   3.4      1.108    0.000804                 1
        1704   0.507123        0.00630248       0.00523746   3.4      1.108    0.000804                 1
        1706   0.502357        0.00624325       0.00518824   3.4      1.108    0.000804                 1
        1708   0.362001        0.00449892       0.00373867   3.4      1.108    0.000804                 1
        1710   0.452722        0.00562638       0.00467561   3.4      1.108    0.000804                 1
        1712   0.0926603       0.00115157       0.000956977  3.4      1.108    0.000804                 1
        1714   0.193182        0.00240084       0.00199514   3.4      1.108    0.000804                 1
        1716   0.420715        0.00522861       0.00434506   3.4      1.108    0.000804                 1
        1718   0.263182        0.0032708        0.00271809   3.4      1.108    0.000804                 1
        1720   0.326744        0.00406074       0.00337455   3.4      1.108    0.000804                 1
        1722   0.286775        0.00356401       0.00296175   3.4      1.108    0.000804                 1
        1724   0.605551        0.00752573       0.00625401   3.4      1.108    0.000804                 1
        1726   0.604856        0.00751709       0.00624682   3.4      1.108    0.000804                 1
        1728   0.868412        0.0107925        0.00896878   3.4      1.108    0.000804                 1
        1730   0.613738        0.00762747       0.00633855   3.4      1.108    0.000804                 1
        1732   0.443442        0.00551105       0.00457977   3.4      1.108    0.000804                 1
        1734   0.116151        0.00144351       0.00119958   3.4      1.108    0.000804                 1
        1736   0.166033        0.00206344       0.00171476   3.4      1.108    0.000804                 1
        1738   0.326322        0.0040555        0.00337019   3.4      1.108    0.000804                 1
        1740   0.0720932       0.000895967      0.000744564  3.4      1.108    0.000804                 1
        1742   0.343944        0.00427451       0.00355218   3.4      1.108    0.000804                 1
        1744   0.439814        0.00546597       0.00454231   3.4      1.108    0.000804                 1
        1746   0.210177        0.00261206       0.00217067   3.4      1.108    0.000804                 1
        1748   0.334105        0.00415222       0.00345057   3.4      1.108    0.000804                 1
        1750   0.490804        0.00609967       0.00506893   3.4      1.108    0.000804                 1
        1752   0.00287238      3.56977e-05      2.96654e-05  3.4      1.108    0.000804                 1
        1754  -0.0775725       0.000801152      0.000964063  3.4      1.108    0.000804                 1
        1756   0.0841671       0.00104602       0.00086926   3.4      1.108    0.000804                 1
        1758   0.176182        0.00218958       0.00181957   3.4      1.108    0.000804                 1
        1760   0.208852        0.0025956        0.00215698   3.4      1.108    0.000804                 1
        1762   0.517262        0.00642849       0.00534218   3.4      1.108    0.000804                 1
        1764   0.208344        0.00258928       0.00215173   3.4      1.108    0.000804                 1
        1766   0.329001        0.00408879       0.00339786   3.4      1.108    0.000804                 1
        1768   0.376116        0.00467433       0.00388445   3.4      1.108    0.000804                 1
        1770   0.349999        0.00434975       0.00361472   3.4      1.108    0.000804                 1
        1772  -0.0462593       0.000477756      0.000574906  3.4      1.108    0.000804                 1
        1774   0.29586         0.00367692       0.00305558   3.4      1.108    0.000804                 1
        1776   0.511615        0.0063583        0.00528385   3.4      1.108    0.000804                 1
        1778   0.222043        0.00275953       0.00229322   3.4      1.108    0.000804                 1
        1780   0.276073        0.00343101       0.00285123   3.4      1.108    0.000804                 1
        1782   0.235147        0.00292239       0.00242855   3.4      1.108    0.000804                 1
        1784   0.326242        0.00405451       0.00336936   3.4      1.108    0.000804                 1
        1786   0.240732        0.00299179       0.00248623   3.4      1.108    0.000804                 1
        1788   0.239694        0.0029789        0.00247551   3.4      1.108    0.000804                 1
        1790   0.457425        0.00568483       0.00472419   3.4      1.108    0.000804                 1
        1792   0.382516        0.00475387       0.00395055   3.4      1.108    0.000804                 1
        1794   0.141021        0.0017526        0.00145644   3.4      1.108    0.000804                 1
        1796   0.235874        0.00293141       0.00243605   3.4      1.108    0.000804                 1
        1798   0.379288        0.00471375       0.00391721   3.4      1.108    0.000804                 1
        1800   0.297968        0.00370312       0.00307736   3.4      1.108    0.000804                 1
        1802   0.0929585       0.00115528       0.000960056  3.4      1.108    0.000804                 1
        1804   0.25685         0.00319211       0.00265269   3.4      1.108    0.000804                 1
        1806   0.376713        0.00468175       0.00389062   3.4      1.108    0.000804                 1
        1808   0.275889        0.00342872       0.00284933   3.4      1.108    0.000804                 1
        1810   0.222499        0.00276519       0.00229792   3.4      1.108    0.000804                 1
        1812   0.239837        0.00298068       0.00247699   3.4      1.108    0.000804                 1
        1814   0.280675        0.0034882        0.00289876   3.4      1.108    0.000804                 1
        1816   0.205148        0.00254956       0.00211872   3.4      1.108    0.000804                 1
        1818   0.457509        0.00568588       0.00472506   3.4      1.108    0.000804                 1
        1820   0.207091        0.00257371       0.0021388    3.4      1.108    0.000804                 1
        1822   0.268791        0.00334051       0.00277602   3.4      1.108    0.000804                 1
        1824   0.374594        0.00465542       0.00386873   3.4      1.108    0.000804                 1
        1826   0.3479          0.00432367       0.00359304   3.4      1.108    0.000804                 1
        1828   0.356749        0.00443364       0.00368443   3.4      1.108    0.000804                 1
        1830   0.28771         0.00357563       0.00297141   3.4      1.108    0.000804                 1
        1832   0.42111         0.00523351       0.00434914   3.4      1.108    0.000804                 1
        1834   0.283272        0.00352048       0.00292558   3.4      1.108    0.000804                 1
        1836   0.329054        0.00408945       0.0033984    3.4      1.108    0.000804                 1
        1838   0.385064        0.00478553       0.00397686   3.4      1.108    0.000804                 1
        1840   0.444978        0.00553015       0.00459564   3.4      1.108    0.000804                 1
        1842   0.431479        0.00536238       0.00445623   3.4      1.108    0.000804                 1
        1844   0.332487        0.00413212       0.00343386   3.4      1.108    0.000804                 1
        1846   0.276014        0.00343027       0.00285061   3.4      1.108    0.000804                 1
        1848   0.296549        0.00368548       0.00306269   3.4      1.108    0.000804                 1
        1850   0.28999         0.00360396       0.00299495   3.4      1.108    0.000804                 1
