# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= -10.000000 and phase < -7.000000 and ((dm15_source >= 1.0 and dm15_source < 1.3) or (dm15_from_fits >= 1.0 and dm15_from_fits < 1.3)) and v_at_max > -11
# N = 9
# N_spec = 24
# phase = -8.18
# dm15 = 1.1
# z = 0.005

  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper     Phase     Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  --------  -------  ----------  -------------
        1638  -28.7376          0.125806         1.73375      -7.28096  1.1      0.006461                1
        1640  -23.4915          0.10284          1.41725      -7.28096  1.1      0.006461                1
        1642  -14.3797          0.0629511        0.867537     -7.28096  1.1      0.006461                1
        1644   -2.31956         0.0101545        0.13994      -7.28096  1.1      0.006461                1
        1646   18.3381          1.10635          0.0802797    -7.28096  1.1      0.006461                1
        1648   35.3654          2.13361          0.154821     -7.28096  1.1      0.006461                1
        1650   35.9878          2.17116          0.157546     -7.28096  1.1      0.006461                1
        1652   19.0366          1.14849          0.0833376    -7.28096  1.1      0.006461                1
        1654   16.8145          1.01443          0.0736099    -7.28096  1.1      0.006461                1
        1656   28.4083          1.71389          0.124365     -7.28096  1.1      0.006461                1
        1658   36.4596          2.19963          0.159612     -7.28096  1.1      0.006461                1
        1660   31.7118          1.91319          0.138827     -7.28096  1.1      0.006461                1
        1662   23.9107          1.44255          0.104676     -7.28096  1.1      0.006461                1
        1664   23.7765          1.43445          0.104088     -7.28096  1.1      0.006461                1
        1666   35.2238          2.12507          0.154202     -7.28096  1.1      0.006461                1
        1668   45.8949          2.76887          0.200917     -7.28096  1.1      0.006461                1
        1670   43.5183          2.62548          0.190513     -7.28096  1.1      0.006461                1
        1672   20.7796          1.25364          0.0909683    -7.28096  1.1      0.006461                1
        1674   -1.54947         0.00678324       0.0934807    -7.28096  1.1      0.006461                1
        1676   -9.78904         0.0428541        0.590578     -7.28096  1.1      0.006461                1
        1678   -1.34293         0.00587904       0.0810198    -7.28096  1.1      0.006461                1
        1680    4.66206         0.281265         0.0204094    -7.28096  1.1      0.006461                1
        1682    2.17433         0.131178         0.0095187    -7.28096  1.1      0.006461                1
