# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 23.000000 and phase < 26.000000 and ((dm15_source >= 1.0 and dm15_source < 1.3) or (dm15_from_fits >= 1.0 and dm15_from_fits < 1.3)) and v_at_max between -30 and -11
# N = 19
# N_spec = 24
# phase = 24.65
# dm15 = 1.14
# z = 0.016

  Wavelength        Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  ----------  ---------------  ---------------  -------  -------  ----------  -------------
        3096   1.48663         0.00570524        0.0766924  23.9278  1.26     0.006945                1
        3098   1.80799         0.00693849        0.0932703  23.9278  1.26     0.006945                1
        3100   2.13059         0.00817654        0.109913   23.9278  1.26     0.006945                1
        3102   2.19153         0.00841042        0.113057   23.9278  1.26     0.006945                1
        3104   1.90039         0.00729313        0.0980374  23.9278  1.26     0.006945                1
        3106   1.36694         0.00524588        0.0705174  23.9278  1.26     0.006945                1
        3108   1.13964         0.00437358        0.0587916  23.9278  1.26     0.006945                1
        3110   1.33154         0.00511006        0.0686916  23.9278  1.26     0.006945                1
        3112   1.46003         0.00560316        0.0753202  23.9278  1.26     0.006945                1
        3114   1.3145          0.00504463        0.0678122  23.9278  1.26     0.006945                1
        3116   0.997414        0.00382777        0.0514545  23.9278  1.26     0.006945                1
        3118   0.886067        0.00340045        0.0457104  23.9278  1.26     0.006945                1
        3120   1.33259         0.00511409        0.0687458  23.9278  1.26     0.006945                1
        3122   1.79109         0.00687366        0.0923987  23.9278  1.26     0.006945                1
        3124   1.91622         0.147472          1.49821    24.0798  1.2401   0.00719545              2
        3126   1.66737         0.118972          1.19109    24.0791  1.24019  0.00719428              2
        3128   0.739914        5.21402           0.659307   24.0784  1.24028  0.00719313              2
        3130   0.428032        5.2368            0.655234   24.0776  1.24038  0.00719184              2
        3132   0.0801024       3.93206           0.487999   24.0771  1.24044  0.00719113              2
        3134   0.227956        0.405718          0.0521276  24.0761  1.24058  0.00718933              2
        3136   0.616156        0.298121          2.56942    24.0744  1.2408   0.00718659              2
        3138   0.530082        0.0534527         0.581389   24.0734  1.24093  0.00718496              2
        3140   0.606418        0.0223736         0.250491   24.0725  1.24105  0.00718341              2
        3142   0.606542        0.168966          0.0375709  24.0713  1.24121  0.00718146              2
        3144   0.731531        0.203936          0.0453218  24.0702  1.24135  0.00717964              2
        3146   0.942165        0.797116          0.107747   24.069   1.24151  0.00717773              2
        3148   1.16956         0.0268018         0.316748   24.0681  1.24163  0.00717619              2
        3150   1.27958         0.387089          3.67802    24.0669  1.24178  0.00717428              2
        3152   0.62972         0.00244413        0.0288669  24.0661  1.24189  0.00717285              2
        3154   0.469447        1.60062           0.185415   24.0652  1.242    0.00717146              2
        3156   0.647959        1.05336           0.124204   24.0639  1.24217  0.00716938              2
        3158   0.810171        0.624073          0.0834082  24.0629  1.24231  0.00716761              2
        3160   0.822535        1.50876           0.173329   24.0614  1.24251  0.00716514              2
        3162   0.88279         1.73678           0.196667   24.06    1.24269  0.00716281              2
        3164   1.10133         0.0121115         0.180168   24.0594  1.24277  0.00716185              2
        3166   0.831479        2.02177           0.223833   24.0582  1.24292  0.00715998              2
        3168   0.671724        2.99302           0.321861   24.0568  1.2431   0.00715761              2
        3170   0.866597        0.791437          0.0977366  24.0558  1.24324  0.00715592              2
        3172   0.995044        0.033529          0.445862   24.0546  1.24339  0.00715397              2
        3174   0.897601        0.168626          0.049822   24.0533  1.24357  0.00715178              2
        3176   0.76384         0.834335          0.0940613  24.0518  1.24376  0.00714941              2
        3178   0.689935        1.60607           0.167305   24.0507  1.2439   0.0071476               2
        3180   0.856254        0.737251          0.0876011  24.0492  1.2441   0.0071451               2
        3182   0.849044        1.39545           0.147934   24.0515  1.24334  0.0071408               3
        3184   1.05702         0.052536          0.771725   24.0506  1.24348  0.00713954              3
        3186   0.904739        0.0120999         0.0863679  24.0499  1.24359  0.00713866              3
        3188   0.707808        1.00057           0.0991994  24.0483  1.24381  0.00713635              3
        3190   0.858951        0.0691644         0.761337   24.0475  1.24394  0.00713516              3
        3192   0.878259        0.0462702         0.707319   24.0466  1.24406  0.00713396              3
        3194   0.742925        1.01637           0.129252   24.0455  1.24421  0.00713248              3
        3196   0.715863        0.985501          0.124357   24.0448  1.24433  0.00713147              3
        3198   0.630203        0.718279          0.094389   24.0441  1.24442  0.00713064              3
        3200   0.465473        1.18187           0.133666   24.0432  1.24456  0.0071293               3
        3202   0.466956        0.666461          0.0829068  24.0422  1.2447   0.00712785              3
        3204   0.63458         0.0266277         0.0292475  24.0417  1.24477  0.00712728              3
        3206   0.645103        1.48033           0.137185   24.041   1.24487  0.00712633              3
        3208   0.756427        0.047596          0.139579   24.0619  1.2428   0.00745226              4
        3210   0.69106         0.071066          0.637413   24.0608  1.24294  0.00744101              4
        3212   0.540285        0.120297          0.102729   24.0599  1.24304  0.00743161              4
        3214   0.687469        0.17049           1.6684     24.0585  1.24322  0.00742156              4
        3216   0.43074         0.857292          0.0819556  24.0572  1.24338  0.00741193              4
        3218   0.464968        1.14665           0.215989   24.0562  1.24351  0.00740381              4
        3220   0.809286        0.189581          1.16167    24.0549  1.24366  0.0073957               4
        3222   0.906173        0.114624          1.57105    24.0543  1.24374  0.00738876              4
        3224   0.736275        0.0382735         0.192739   24.0534  1.24386  0.00738081              4
        3226   1.40052         0.635321          1.81355    23.8988  1.23084  0.0104421               5
        3228   1.54311         0.707831          2.93731    23.9029  1.23134  0.0103397               5
        3230   0.850225        0.188678          0.907511   23.9063  1.23181  0.0102487               5
        3232   0.591366        0.0992782         0.146731   23.9102  1.23218  0.0101628               5
        3234   1.06633         0.418059          1.83902    23.9137  1.23258  0.0100779               5
        3236   0.947931        0.309714          1.52529    23.9166  1.23294  0.0100037               5
        3238   0.792898        0.121808          0.739861   23.9198  1.23324  0.00993458              5
        3240   0.413931        0.673314          0.331478   23.9222  1.23358  0.0098688               5
        3242   0.739671        0.0711632         0.248274   23.9252  1.23388  0.00980127              5
        3244   0.732848        0.133566          0.351023   23.9279  1.23417  0.00973736              5
        3246   0.783463        0.101226          0.654932   23.9301  1.23447  0.00967844              5
        3248   0.587146        0.105391          0.138799   23.9325  1.23474  0.00962204              5
        3250   0.665842        0.152424          0.231028   23.9351  1.2349   0.00957199              5
        3252   0.817169        0.358186          0.608829   23.9368  1.23517  0.00952415              5
        3254   0.566975        0.0569362         0.108154   23.9386  1.23542  0.00947643              5
        3256   1.07035         0.476149          1.27192    24.0872  1.24001  0.0110287               6
        3258   0.739246        0.244995          0.426716   24.0867  1.24011  0.0109749               6
        3260   0.865305        0.255038          0.662192   24.086   1.24025  0.0109234               6
        3262   0.844718        0.428124          0.79214    24.085   1.24034  0.0108797               6
        3264   0.521622        0.358904          0.435555   24.0846  1.24037  0.0108363               6
        3266   0.999951        0.334648          0.766397   24.0846  1.24037  0.0107962               6
        3268   0.721228        0.24631           0.251222   24.0847  1.24038  0.0107586               6
        3270   0.652987        0.368756          0.239354   24.0844  1.24037  0.010731                6
        3272   0.476739        0.492164          0.157037   24.0847  1.24035  0.0107026               6
        3274   0.10908         1.21393           0.369573   24.0847  1.24032  0.0106775               6
        3276   0.45476         0.415116          0.356016   24.0848  1.24036  0.0106547               6
        3278   0.473682        0.458194          0.39739    24.0861  1.24032  0.0106292               6
        3280   0.405922        0.509816          0.277326   24.0869  1.24032  0.0106041               6
        3282   0.262078        0.606061          0.224373   24.0876  1.24027  0.0105922               6
        3284   0.167892        0.914409          0.286388   24.0877  1.2402   0.0105927               6
        3286   0.64119         0.132516          0.278183   24.0881  1.24013  0.0105898               6
        3288   0.591029        0.150821          0.134578   24.0886  1.23999  0.010591                6
        3290   0.498706        0.327308          0.217468   24.0894  1.23957  0.0105906               6
        3292   0.574408        0.220771          0.19679    24.0904  1.23945  0.0105968               6
        3294   0.562543        0.175219          0.0947803  24.0917  1.23928  0.0106053               6
        3296   0.888484        0.232559          0.840068   24.0929  1.2391   0.010617                6
        3298   0.681635        0.148196          0.419051   24.0939  1.23891  0.010627                6
        3300   0.761237        0.151199          0.554255   24.0947  1.23876  0.0106354               6
        3302   0.761781        0.14647           0.458266   24.0954  1.23856  0.0106529               6
        3304   0.531553        0.233978          0.113783   24.0971  1.23839  0.0106769               6
        3306   0.796066        0.145668          0.38746    24.099   1.23822  0.0106996               6
        3308   1.02596         0.455238          0.945977   24.101   1.23801  0.0107272               6
        3310   1.08976         0.554723          1.14332    24.1031  1.23783  0.010755                6
        3312   0.613079        0.15128           0.195765   24.1049  1.23761  0.0107875               6
        3314   0.503155        0.311958          0.114015   24.1073  1.23733  0.0108207               6
        3316   0.609122        0.289521          0.20695    24.1093  1.23712  0.0108547               6
        3318   0.768905        0.114684          0.337944   24.1117  1.23687  0.0108936               6
        3320   0.653702        0.165197          0.296977   24.1143  1.23656  0.0109297               6
        3322   0.501705        0.341195          0.143078   24.1169  1.23632  0.0109645               6
        3324   0.705261        0.140062          0.10969    24.1196  1.23612  0.0110015               6
        3326   0.689691        0.224362          0.165237   24.1223  1.23584  0.011039                6
        3328   0.738997        0.130995          0.187429   24.1255  1.2355   0.0110831               6
        3330   0.672833        0.131854          0.146591   24.128   1.23522  0.0111272               6
        3332   0.442144        0.300806          0.112632   24.131   1.23492  0.011168                6
        3334   0.480597        0.263007          0.169149   24.1336  1.23472  0.0112151               6
        3336   0.60176         0.102542          0.168422   24.1352  1.23459  0.0112634               6
        3338   0.40527         0.436867          0.167402   24.1373  1.23448  0.0113084               6
        3340   0.706931        0.0702442         0.0774628  24.1403  1.23418  0.0113589               6
        3342   0.75878         0.0555543         0.114864   24.1459  1.23393  0.0113764               6
        3344   0.735297        0.047686          0.0712492  24.1501  1.23367  0.0114055               6
        3346   0.900259        0.16221           0.293422   24.1512  1.23314  0.0114838               6
        3348   0.995435        0.254945          0.437434   24.1548  1.23282  0.0115261               6
        3350   1.12293         0.316939          0.672464   24.1583  1.23252  0.0115743               6
        3352   1.01321         0.290234          0.627418   24.1618  1.23224  0.0116193               6
        3354   0.609056        0.257454          0.234716   24.1656  1.23194  0.0116573               6
        3356   0.884642        0.287216          0.530491   24.1693  1.23167  0.0117                  6
        3358   0.69033         0.0931122         0.175558   24.1726  1.23146  0.011741                6
        3360   0.324333        0.405745          0.231567   24.1768  1.23116  0.0117782               6
        3362   0.630607        0.140672          0.191268   24.1802  1.2309   0.0118135               6
        3364   0.583753        0.164999          0.103659   24.181   1.23062  0.0118311               6
        3366   0.800496        0.171402          0.147662   24.1846  1.23042  0.0118783               6
        3368   1.16368         0.380705          0.511238   24.1893  1.23034  0.0119376               6
        3370   0.972964        0.20987           0.314596   24.1921  1.2301   0.0119744               6
        3372   0.953927        0.183351          0.245764   24.1958  1.22989  0.0120101               6
        3374   0.751144        0.122             0.0813096  24.1987  1.22973  0.0120424               6
        3376   0.810452        0.179915          0.154971   24.2013  1.22949  0.0120794               6
