# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 26.000000 and phase < 29.000000 and ((dm15_source >= 1.0 and dm15_source < 1.3) or (dm15_from_fits >= 1.0 and dm15_from_fits < 1.3)) and v_at_max between -30 and -11
# N = 22
# N_spec = 26
# phase = 27.48
# dm15 = 1.13
# z = 0.014

  Wavelength       Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  ---------  ---------------  ---------------  -------  -------  ----------  -------------
        2922   0.857329       0.00861383       0.0290027   28.8526  1.05145  0.003896                1
        2924   0.822679       0.0082657        0.0278306   28.8526  1.05145  0.003896                1
        2926   0.817261       0.00821126       0.0276473   28.8526  1.05145  0.003896                1
        2928   0.830728       0.00834657       0.0281029   28.8526  1.05145  0.003896                1
        2930   0.85611        0.00860159       0.0289615   28.8526  1.05145  0.003896                1
        2932   0.866653       0.00870751       0.0293182   28.8526  1.05145  0.003896                1
        2934   0.833586       0.00837528       0.0281995   28.8526  1.05145  0.003896                1
        2936   0.754153       0.0075772        0.0255124   28.8526  1.05145  0.003896                1
        2938   0.69831        0.00701612       0.0236232   28.8526  1.05145  0.003896                1
        2940   0.737135       0.00740621       0.0249367   28.8526  1.05145  0.003896                1
        2942   0.831637       0.0083557        0.0281336   28.8526  1.05145  0.003896                1
        2944   0.90929        0.0091359        0.0307605   28.8526  1.05145  0.003896                1
        2946   0.917964       0.00922305       0.031054    28.8526  1.05145  0.003896                1
        2948   0.897289       0.00901532       0.0303546   28.8526  1.05145  0.003896                1
        2950   0.887808       0.00892007       0.0300338   28.8526  1.05145  0.003896                1
        2952   0.897585       0.0090183        0.0303646   28.8526  1.05145  0.003896                1
        2954   0.916924       0.00921261       0.0310188   28.8526  1.05145  0.003896                1
        2956   0.938981       0.00943422       0.031765    28.8526  1.05145  0.003896                1
        2958   0.964978       0.00969541       0.0326444   28.8526  1.05145  0.003896                1
        2960   0.997491       0.0100221        0.0337443   28.8526  1.05145  0.003896                1
        2962   1.02743        0.0103229        0.0347572   28.8526  1.05145  0.003896                1
        2964   1.04282        0.0104775        0.0352777   28.8526  1.05145  0.003896                1
        2966   1.03324        0.0103813        0.0349537   28.8526  1.05145  0.003896                1
        2968   1.00535        0.010101         0.0340101   28.8526  1.05145  0.003896                1
        2970   0.96329        0.00967846       0.0325873   28.8526  1.05145  0.003896                1
        2972   0.921586       0.00925945       0.0311765   28.8526  1.05145  0.003896                1
        2974   0.893447       0.00897673       0.0302246   28.8526  1.05145  0.003896                1
        2976   0.889708       0.00893916       0.0300981   28.8526  1.05145  0.003896                1
        2978   0.904345       0.00908622       0.0305932   28.8526  1.05145  0.003896                1
        2980   0.93327        0.00937684       0.0315718   28.8526  1.05145  0.003896                1
        2982   0.960863       0.00965407       0.0325052   28.8526  1.05145  0.003896                1
        2984   0.972993       0.00977595       0.0329156   28.8526  1.05145  0.003896                1
        2986   0.962427       0.00966978       0.0325581   28.8526  1.05145  0.003896                1
        2988   0.942726       0.00947185       0.0318917   28.8526  1.05145  0.003896                1
        2990   0.925794       0.00930172       0.0313188   28.8526  1.05145  0.003896                1
        2992   0.913816       0.00918137       0.0309136   28.8526  1.05145  0.003896                1
        2994   0.904356       0.00908633       0.0305936   28.8526  1.05145  0.003896                1
        2996   0.893807       0.00898034       0.0302368   28.8526  1.05145  0.003896                1
        2998   0.878845       0.00883002       0.0297306   28.8526  1.05145  0.003896                1
        3000   0.856575       0.00860626       0.0289772   28.8526  1.05145  0.003896                1
        3002   0.833356       0.00837297       0.0281918   28.8526  1.05145  0.003896                1
        3004   0.816499       0.0082036        0.0276215   28.8526  1.05145  0.003896                1
        3006   0.809665       0.00813494       0.0273903   28.8526  1.05145  0.003896                1
        3008   0.807265       0.00811083       0.0273091   28.8526  1.05145  0.003896                1
        3010   0.804212       0.00808016       0.0272059   28.8526  1.05145  0.003896                1
        3012   0.799069       0.00802849       0.0270319   28.8526  1.05145  0.003896                1
        3014   0.792239       0.00795986       0.0268008   28.8526  1.05145  0.003896                1
        3016   0.78508        0.00788793       0.0265586   28.8526  1.05145  0.003896                1
        3018   0.779723       0.00783411       0.0263774   28.8526  1.05145  0.003896                1
        3020   0.77819        0.00781871       0.0263255   28.8526  1.05145  0.003896                1
        3022   0.777938       0.00781617       0.026317    28.8526  1.05145  0.003896                1
        3024   0.776104       0.00779774       0.026255    28.8526  1.05145  0.003896                1
        3026   0.77178        0.0077543        0.0261087   28.8526  1.05145  0.003896                1
        3028   0.767426       0.00771055       0.0259614   28.8526  1.05145  0.003896                1
        3030   0.766531       0.00770157       0.0259311   28.8526  1.05145  0.003896                1
        3032   0.77102        0.00774666       0.026083    28.8526  1.05145  0.003896                1
        3034   0.782661       0.00786362       0.0264768   28.8526  1.05145  0.003896                1
        3036   0.800391       0.00804176       0.0270766   28.8526  1.05145  0.003896                1
        3038   0.818965       0.00822838       0.0277049   28.8526  1.05145  0.003896                1
        3040   0.832847       0.00836786       0.0281745   28.8526  1.05145  0.003896                1
        3042   0.840887       0.00844864       0.0284465   28.8526  1.05145  0.003896                1
        3044   0.842599       0.00846584       0.0285044   28.8526  1.05145  0.003896                1
        3046   0.839066       0.00843034       0.0283849   28.8526  1.05145  0.003896                1
        3048   0.833554       0.00837496       0.0281985   28.8526  1.05145  0.003896                1
        3050   0.828689       0.00832608       0.0280339   28.8526  1.05145  0.003896                1
        3052   0.824697       0.00828597       0.0278988   28.8526  1.05145  0.003896                1
        3054   0.82088        0.00824763       0.0277697   28.8526  1.05145  0.003896                1
        3056   0.815779       0.00819637       0.0275971   28.8526  1.05145  0.003896                1
        3058   0.807767       0.00811588       0.0273261   28.8526  1.05145  0.003896                1
        3060   0.796875       0.00800644       0.0269576   28.8526  1.05145  0.003896                1
        3062   0.790973       0.00794714       0.026758    28.8526  1.05145  0.003896                1
        3064   0.797402       0.00801173       0.0269755   28.8526  1.05145  0.003896                1
        3066   0.810097       0.00813929       0.0274049   28.8526  1.05145  0.003896                1
        3068   0.810279       0.00814111       0.0274111   28.8526  1.05145  0.003896                1
        3070   0.780906       0.00784599       0.0264174   28.8526  1.05145  0.003896                1
        3072   0.756299       0.00817439      16.9215      28.8523  1.05155  0.00392705              2
        3074   0.732019       0.00594647       9.27772     28.8523  1.05155  0.00392764              2
        3076   0.730468       3.08542          0.0240578   28.8523  1.05155  0.0039283               2
        3078   0.74789       10.8717           0.0241099   28.8523  1.05155  0.0039289               2
        3080   0.772665      14.6395           0.0268972   28.8523  1.05156  0.00392938              2
        3082   0.795539      14.1494           0.0273574   28.8523  1.05156  0.00393                 2
        3084   0.817996       0.00348567       0.12525     28.8523  1.05156  0.00393062              2
        3086   0.828535       0.00776048      13.8863      28.8523  1.05156  0.00393102              2
        3088   0.809776       0.548665         0.0251868   28.8523  1.05156  0.00393159              2
        3090   0.797327       5.15774          0.0271019   28.8523  1.05156  0.00393224              2
        3092   0.792378       8.31234          0.0245822   28.8523  1.05157  0.00393265              2
        3094   0.806292       3.95216          0.0266507   28.8523  1.05157  0.00393306              2
        3096   0.834338       0.00522258       5.9455      28.8523  1.05157  0.00393348              2
        3098   0.854243       0.00658982       7.50452     28.8523  1.05157  0.0039338               2
        3100   0.859548       0.00666425       7.49078     28.8523  1.05157  0.00393431              2
        3102   0.851486       0.00629774       7.0055      28.8523  1.05157  0.00393464              2
        3104   0.831186       0.00602333       6.65021     28.8523  1.05157  0.00393489              2
        3106   0.794054       5.80847          0.0252085   28.8523  1.05157  0.00393518              2
        3108   0.768087       7.66857          0.0239363   28.8523  1.05157  0.00393543              2
        3110   0.764648       0.0042278        4.02713     28.8523  1.05158  0.00393588              2
        3112   0.754993       1.59753          0.0242595   28.8523  1.05158  0.00393612              2
        3114   0.763737       0.00373831       3.43201     28.8523  1.05158  0.00393642              2
        3116   0.787933       0.0095445       15.4786      28.8522  1.05158  0.00393669              2
        3118   0.803256       0.00599438       6.30699     28.8522  1.05158  0.00393686              2
        3120   0.836108       0.00528509       5.48274     28.8522  1.05158  0.00393714              2
        3122   0.869822       0.00706589       9.27978     28.8522  1.05158  0.00393725              2
        3124   0.868004       7.87721          0.0268056   28.8522  1.05158  0.00393735              2
        3126   0.872712       2.34454          0.0282491   28.8522  1.05158  0.00393767              2
        3128   0.874199       0.00382167       3.30905     28.8522  1.05158  0.00393779              2
        3130   0.869953       3.58465          0.0285624   28.8522  1.05158  0.00393775              2
        3132   0.884565       0.00711208       7.29612     28.8522  1.05158  0.00393802              2
        3134   0.880531       0.00375215       1.48433     28.8522  1.05158  0.00393818              2
        3136   0.880645       0.00375264       2.5777      28.8522  1.05158  0.00393817              2
        3138   0.87666        3.09279          0.0288773   28.8522  1.05158  0.00393817              2
        3140   0.883604       4.09353          0.0295007   28.8522  1.05158  0.00393834              2
        3142   0.891083       7.82607          0.0275059   28.8522  1.05158  0.00393862              2
        3144   0.894753      14.8959           0.0322977   28.8522  1.05158  0.00393887              2
        3146   0.91258        2.9945           0.0301563   28.8522  1.05158  0.00393906              2
        3148   0.915304       0.110604         0.0280751   28.8522  1.05159  0.00393937              2
        3150   0.914807       0.00687812       6.7818      28.8522  1.05159  0.00393961              2
        3152   0.908514       0.00735608       7.24898     28.8522  1.05159  0.00393976              2
        3154   0.90841        0.00568107       5.48312     28.8522  1.05159  0.00394019              2
        3156   0.916807       0.00390673       2.25561     28.8522  1.05159  0.00394046              2
        3158   0.934221       0.190325         0.0287383   28.8522  1.05159  0.00394079              2
        3160   0.959081       0.860032         0.0301874   28.8522  1.05159  0.00394103              2
        3162   0.986911       0.00420546       2.26341     28.8522  1.05159  0.00394141              2
        3164   1.01072        0.00813584       7.64921     28.8522  1.05159  0.00394185              2
        3166   1.02847        0.00862246      12.0772      28.8522  1.05159  0.00394224              2
        3168   1.03798        0.00843192       9.42086     28.8522  1.0516   0.00394278              2
        3170   1.03224        8.67469          0.0322372   28.8522  1.0516   0.00394336              2
        3172   1.03585       15.0314           0.0370691   28.8522  1.0516   0.00394397              2
        3174   1.0398        13.6018           0.0362257   28.8522  1.0516   0.00394448              2
        3176   1.04657        3.99323          0.0347199   28.8522  1.0516   0.003945                2
        3178   1.04493        0.494606         0.0324863   28.8522  1.0516   0.00394557              2
        3180   1.03105       11.2359           0.034541    28.8522  1.05161  0.00394616              2
        3182   1.03974        8.03028          0.0323856   28.8522  1.05161  0.00394684              2
        3184   1.0501        12.5713           0.0362952   28.8522  1.05161  0.00394747              2
        3186   1.07278        9.29152          0.0339207   28.8522  1.05161  0.00394808              2
        3188   1.09373        2.2202           0.0352876   28.8521  1.05162  0.00394891              2
        3190   1.092          4.05025          0.0365225   28.8521  1.05162  0.00394958              2
        3192   1.09469        0.079437         0.0335454   28.8521  1.05162  0.00395031              2
        3194   1.10683        0.00798374       6.2058      28.8521  1.05162  0.00395119              2
        3196   1.10403        2.18239          0.035702    28.8521  1.05162  0.00395197              2
        3198   1.10568        2.71906          0.0364886   28.8521  1.05163  0.0039527               2
        3200   1.10347        0.00633446       4.20652     28.8521  1.05163  0.00395352              2
        3202   1.08082        0.00568377       3.65666     28.8521  1.05163  0.00395443              2
        3204   1.0593         0.0100383       10.5727      28.8521  1.05163  0.00395525              2
        3206   1.02324        0.0065416        4.22975     28.8521  1.05164  0.00395609              2
        3208   0.995145       7.41988          0.031498    28.8521  1.05164  0.00395669              2
        3210   1.01847        0.00433994       1.76128     28.8521  1.05164  0.00395709              2
        3212   1.05162        0.0105272       10.9497      28.8521  1.05164  0.00395759              2
        3214   1.06143        0.00820534       5.6329      28.8521  1.05164  0.00395865              2
        3216   1.05721        0.635463         0.0332262   28.8521  1.05165  0.00395967              2
        3218   1.02757        7.86137          0.0356      28.8511  1.05164  0.00397689              3
        3220   1.01457        0.0108964        0.515963    28.8511  1.05165  0.00397808              3
