# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 2.000000 and phase < 5.000000 and ((dm15_source >= 1.0 and dm15_source < 1.3) or (dm15_from_fits >= 1.0 and dm15_from_fits < 1.3)) and v_at_max between -30 and -11
# N = 26
# N_spec = 55
# phase = 3.56
# dm15 = 1.13
# z = 0.015

  Wavelength         Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  -----------  ---------------  ---------------  -------  -------  ----------  -------------
        1800   0.799579        0.0271306        0.0108042    2.1      1.039    0.00146                 1
        1802   0.335822        0.0113948        0.00453776   2.1      1.039    0.00146                 1
        1804  -0.00796127      0.000107576      0.000270135  2.1      1.039    0.00146                 1
        1806   0.635531        0.0215643        0.00858753   2.1      1.039    0.00146                 1
        1808   0.506333        0.0171804        0.00684176   2.1      1.039    0.00146                 1
        1810   0.0275277       0.000934044      0.000371964  2.1      1.039    0.00146                 1
        1812   0.155525        0.00527715       0.00210152   2.1      1.039    0.00146                 1
        1814   0.434518        0.0147437        0.00587136   2.1      1.039    0.00146                 1
        1816   0.0780337       0.00264777       0.00105442   2.1      1.039    0.00146                 1
        1818   0.133066        0.00451508       0.00179804   2.1      1.039    0.00146                 1
        1820  -0.097642        0.00131937       0.0033131    2.1      1.039    0.00146                 1
        1822  -0.0348747       0.00047124       0.00118334   2.1      1.039    0.00146                 1
        1824   0.513184        0.0174129        0.00693433   2.1      1.039    0.00146                 1
        1826  -0.0105932       0.00014314       0.00035944   2.1      1.039    0.00146                 1
        1828   0.236054        0.00800959       0.00318965   2.1      1.039    0.00146                 1
        1830   0.5361          0.0181905        0.00724399   2.1      1.039    0.00146                 1
        1832   0.333329        0.0113102        0.00450406   2.1      1.039    0.00146                 1
        1834   0.340462        0.0115523        0.00460045   2.1      1.039    0.00146                 1
        1836   0.262576        0.0089095        0.00354802   2.1      1.039    0.00146                 1
        1838   0.746951        0.0253449        0.0100931    2.1      1.039    0.00146                 1
        1840   0.259017        0.00878873       0.00349993   2.1      1.039    0.00146                 1
        1842   0.152228        0.00516526       0.00205696   2.1      1.039    0.00146                 1
        1844   0.0979197       0.00332252       0.00132313   2.1      1.039    0.00146                 1
        1846   0.367188        0.0124591        0.00496157   2.1      1.039    0.00146                 1
        1848  -0.053448        0.000722209      0.00181355   2.1      1.039    0.00146                 1
        1850  -0.194498        0.00262813       0.00659953   2.1      1.039    0.00146                 1
        1852   0.312384        0.0105995        0.00422105   2.1      1.039    0.00146                 1
        1854   0.340531        0.0206227        0.917144     2.11344  1.03928  0.00153253              2
        1856   0.249184        0.0463799        2.72356      2.11324  1.03928  0.00153141              2
        1858   0.426287        0.167237         0.00375689   2.11301  1.03927  0.00153019              2
        1860   0.2154          1.44482          0.020482     2.11276  1.03927  0.00152887              2
        1862  -0.161619        0.670235         0.0124943    2.1125   1.03926  0.00152745              2
        1864   0.234366        0.617876         0.0072859    2.11222  1.03925  0.00152595              2
        1866   0.420856        0.0603402        3.86372      2.11193  1.03925  0.00152437              2
        1868   0.175526        0.0744824        5.16611      2.11163  1.03924  0.00152273              2
        1870   0.330929        0.0271818        1.69962      2.11131  1.03924  0.00152103              2
        1872   0.0866262       0.0262091        1.90393      2.11099  1.03923  0.0015193               2
        1874  -0.334953        0.0975355        7.78786      2.11066  1.03922  0.00151754              2
        1876   0.0723332       0.0944478        7.50947      2.11034  1.03922  0.00151576              2
        1878   0.2263          0.0349313        2.68966      2.11001  1.03921  0.00151399              2
        1880   0.268274        0.0216653        1.58228      2.10968  1.0392   0.00151223              2
        1882   0.173241        0.0622232        5.34987      2.10936  1.0392   0.0015105               2
        1884   0.598272        0.0621524        5.10302      2.10905  1.03919  0.00150882              2
        1886   0.323122        0.0273418        2.26132      2.10875  1.03918  0.00150718              2
        1888   0.165645        0.00573679       0.0842782    2.10845  1.03918  0.00150561              2
        1890   0.400042        1.18546          0.00904575   2.10818  1.03917  0.00150412              2
        1892   0.219488        0.007884         0.410964     2.10791  1.03916  0.0015027               2
        1894   0.372605        0.020837         1.58825      2.10767  1.03916  0.00150138              2
        1896   0.417691        0.0141727        0.700136     2.10744  1.03916  0.00150015              2
        1898   0.339372        0.0115153        0.415632     2.10723  1.03915  0.00149902              2
        1900   0.152282        0.0888299        0.00134207   2.10704  1.03915  0.00149799              2
        1902   0.194055        0.0225965        2.48181      2.10687  1.03914  0.00149707              2
        1904   0.182071        0.0706129        8.50433      2.10672  1.03914  0.00149626              2
        1906   0.163879        0.0647315        7.95603      2.10659  1.03914  0.00149555              2
        1908   0.307182        0.0405351        4.78132      2.10648  1.03913  0.00149496              2
        1910   0.471261        0.0348383        3.87385      2.10639  1.03913  0.00149447              2
        1912   0.160025        0.0369505        4.64367      2.10632  1.03913  0.00149408              2
        1914   0.0249632       0.00901894       1.16333      2.10627  1.03913  0.0014938               2
        1916   0.072816        3.43905          0.0251583    2.10623  1.03913  0.00149362              2
        1918   0.349226        4.47926          0.0305116    2.10622  1.03913  0.00149354              2
        1920   0.0454312       0.00154153       0.0886062    2.10622  1.03913  0.00149356              2
        1922   0.0646858       0.0265115        3.44674      2.10624  1.03913  0.00149366              2
        1924   0.335752        0.0113925        0.578167     2.10627  1.03913  0.00149385              2
        1926   0.131058        0.00444696       0.0649103    2.10632  1.03913  0.00149412              2
        1928   0.308244        0.0180202        1.86986      2.10639  1.03913  0.00149447              2
        1930   0.199207        2.77146          0.0198587    2.10647  1.03913  0.00149489              2
        1932   0.104904        2.10658          0.0157175    2.10655  1.03914  0.00149536              2
        1934   0.0735238       0.0106281        1.23032      2.10665  1.03914  0.00149589              2
        1936   0.25204         0.0135089        1.28832      2.10676  1.03914  0.00149646              2
        1938   0.395196        0.0134094        0.579613     2.10687  1.03914  0.00149706              2
        1940   0.0754345       0.0106739        1.17415      2.10698  1.03915  0.00149769              2
        1942   0.0153108       0.0092504        1.06463      2.1071   1.03915  0.00149832              2
        1944   0.0948932       0.259972         0.00170327   2.10722  1.03915  0.00149895              2
        1946   0.187557        1.64447          0.0130598    2.10733  1.03915  0.00149956              2
        1948   0.363916        2.21739          0.017029     2.10744  1.03916  0.00150015              2
        1950   0.380089        1.50493          0.0106954    2.10754  1.03916  0.0015007               2
        1952   0.492487        0.776799         0.00737097   2.10764  1.03916  0.0015012               2
        1954   0.468298        0.900694         0.00777924   2.10772  1.03916  0.00150164              2
        1956   0.31691         0.0107531        0.503148     2.10779  1.03916  0.00150201              2
        1958   0.272232        0.0234144        2.16794      2.10784  1.03916  0.00150231              2
        1960   0.29798         0.0231722        2.07054      2.10788  1.03916  0.00150252              2
        1962   0.48414         0.0169301        0.244953     2.10791  1.03916  0.00150266              2
        1964   0.453484        0.0153872        0.63152      2.10792  1.03916  0.00150272              2
        1966   0.579498        0.019663         0.553068     2.10791  1.03916  0.00150269              2
        1968   0.378727        0.0128506        0.0792726    2.10789  1.03916  0.00150259              2
        1970   0.343666        0.0208584        1.77129      2.10786  1.03916  0.00150242              2
        1972   0.0257343       0.0440718        4.65487      2.10782  1.03916  0.00150217              2
        1974   0.0448521       0.0336145        3.55053      2.10776  1.03916  0.00150187              2
        1976   0.24843         0.011282         0.771609     2.10769  1.03916  0.00150151              2
        1978   0.342951        0.028433         2.69618      2.10762  1.03916  0.0015011               2
        1980   0.37054         0.0468728        4.72963      2.10753  1.03916  0.00150065              2
        1982   0.210856        0.0137293        1.2529       2.10744  1.03916  0.00150016              2
        1984   0.219562        2.73401          0.0223151    2.10735  1.03915  0.00149965              2
        1986   0.258671        0.008777         0.190858     2.10725  1.03915  0.00149911              2
        1988   0.0141079       0.00818822       0.935928     2.10715  1.03915  0.00149855              2
        1990   0.140516        0.00585628       0.415107     2.10704  1.03915  0.00149798              2
        1992   0.15177         0.0137296        1.45012      2.10693  1.03914  0.0014974               2
        1994   0.204457        0.0264582        2.95659      2.10682  1.03914  0.00149682              2
        1996   0.347326        0.0347012        3.8344       2.10671  1.03914  0.00149623              2
        1998   0.470175        0.0264449        2.62654      2.1066   1.03914  0.00149563              2
        2000   0.556467        0.0248447        1.99713      2.1065   1.03914  0.00149504              2
        2002   0.365218        0.0340165        3.91912      2.10639  1.03913  0.00149445              2
        2004   0.516656        0.0255002        2.24466      2.10628  1.03913  0.00149386              2
        2006   0.301137        0.0158297        1.65298      2.10617  1.03913  0.00149328              2
        2008   0.324525        0.020875         2.33887      2.10606  1.03913  0.00149269              2
        2010   0.18737         0.0177356        2.19807      2.10595  1.03912  0.00149212              2
        2012   0.282537        0.0101714        0.740109     2.10585  1.03912  0.00149154              2
        2014   0.356849        1.42009          0.00746361   2.10574  1.03912  0.00149097              2
        2016   0.253729        0.78044          0.00451945   2.10564  1.03912  0.00149041              2
        2018   0.175573        0.0189525        2.56932      2.10553  1.03912  0.00148985              2
        2020   0.321932        0.0124272        1.08434      2.10543  1.03911  0.0014893               2
        2022   0.267565        0.0138713        1.67215      2.10533  1.03911  0.00148875              2
        2024   0.113442        0.0376828        5.81549      2.10523  1.03911  0.00148821              2
        2026   0.279825        0.0513898        7.8622       2.10513  1.03911  0.00148768              2
        2028   0.335456        0.0270626        3.88129      2.10504  1.0391   0.00148717              2
        2030   0.199134        0.00764794       0.731236     2.10494  1.0391   0.00148666              2
        2032   0.224471        0.272597         0.00197828   2.10485  1.0391   0.00148617              2
        2034   0.254668        0.758807         0.00413622   2.10476  1.0391   0.00148569              2
        2036   0.148832        0.700802         0.00296265   2.10467  1.0391   0.00148522              2
        2038   0.157643        0.00534901       0.180178     2.10459  1.0391   0.00148478              2
        2040   0.173631        0.211345         0.00153022   2.10451  1.03909  0.00148435              2
        2042   0.212292        2.1337           0.00972141   2.10444  1.03909  0.00148395              2
        2044   0.224535        2.01585          0.00882635   2.10437  1.03909  0.00148357              2
        2046   0.256677        2.09624          0.00883152   2.1043   1.03909  0.00148321              2
        2048   0.188316        0.394367         0.00210203   2.10424  1.03909  0.00148288              2
        2050   0.132795        0.0134959        2.40569      2.10419  1.03909  0.00148259              2
        2052   0.090033        0.00755137       1.32787      2.10414  1.03909  0.00148232              2
        2054   0.132276        0.0151571        2.80103      2.10409  1.03909  0.00148208              2
        2056   0.132587        0.0187163        3.55938      2.10406  1.03908  0.00148188              2
        2058   0.166854        0.00762811       1.17131      2.10403  1.03908  0.00148172              2
        2060   0.0640347       0.00690903       1.29778      2.104    1.03908  0.00148159              2
        2062   0.132555        0.00470467       0.484192     2.10398  1.03908  0.0014815               2
        2064   0.200771        0.611586         0.00302559   2.10397  1.03908  0.00148145              2
        2066   0.216127        0.432395         0.00216862   2.10397  1.03908  0.00148143              2
        2068   0.185353        0.00628924       0.545308     2.10398  1.03908  0.00148146              2
        2070   0.272408        0.0189712        3.328        2.10399  1.03908  0.00148153              2
        2072   0.252614        0.038015         7.34821      2.10401  1.03908  0.00148164              2
        2074   0.220347        0.0519509       10.2527       2.10404  1.03908  0.00148179              2
        2076   0.137142        0.0443976        8.80025      2.10407  1.03908  0.00148198              2
        2078   0.134806        0.0191888        3.59835      2.10412  1.03909  0.0014822               2
        2080   0.164542        0.010473         1.71017      2.10416  1.03909  0.00148247              2
        2082   0.214936        0.0182041        3.14268      2.10422  1.03909  0.00148276              2
        2084   0.0649014       0.00928622       1.67501      2.10428  1.03909  0.00148309              2
        2086   0.107394        0.00761717       1.24024      2.10435  1.03909  0.00148344              2
