# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 14.000000 and phase < 17.000000 and ((dm15_source >= 1.0 and dm15_source < 1.3) or (dm15_from_fits >= 1.0 and dm15_from_fits < 1.3)) and v_at_max > -11
# N = 17
# N_spec = 26
# phase = 15.63
# dm15 = 1.11
# z = 0.012

  Wavelength         Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  -----------  ---------------  ---------------  -------  -------  ----------  -------------
        2986   1.0205          0.0112043        0.0174808    16.4441  1.05     0.006561                1
        2988   0.556197        0.00610665       0.0095275    16.4441  1.05     0.006561                1
        2990   0.132506        0.00145482       0.00226979   16.4441  1.05     0.006561                1
        2992  -0.133823        0.00229235       0.00146928   16.4441  1.05     0.006561                1
        2994   0.157148        0.00172538       0.00269191   16.4441  1.05     0.006561                1
        2996   0.0656656       0.000720962      0.00112483   16.4441  1.05     0.006561                1
        2998   0.560235        0.00615098       0.00959667   16.4441  1.05     0.006561                1
        3000   1.48116         0.0162621        0.0253719    16.4441  1.05     0.006561                1
        3002   0.98473         0.0108116        0.0168681    16.4441  1.05     0.006561                1
        3004   0.119111        0.00130775       0.00204033   16.4441  1.05     0.006561                1
        3006   0.623516        0.00684576       0.0106806    16.4441  1.05     0.006561                1
        3008   1.09215         0.011991         0.0187081    16.4441  1.05     0.006561                1
        3010   0.950434        0.0104351        0.0162807    16.4441  1.05     0.006561                1
        3012   0.445199        0.00488797       0.00762613   16.4441  1.05     0.006561                1
        3014  -0.0811435       0.00138996       0.000890898  16.4441  1.05     0.006561                1
        3016  -0.164827        0.00282345       0.00180969   16.4441  1.05     0.006561                1
        3018  -0.177286        0.00303685       0.00194647   16.4441  1.05     0.006561                1
        3020  -0.0580955       0.000995158      0.000637847  16.4441  1.05     0.006561                1
        3022   0.198037        0.0021743        0.00339231   16.4441  1.05     0.006561                1
        3024  -0.0831455       0.00142426       0.000912878  16.4441  1.05     0.006561                1
        3026  -0.537255        0.00920303       0.00589868   16.4441  1.05     0.006561                1
