# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= -4.000000 and phase < -1.000000 and ((dm15_source >= 1.0 and dm15_source < 1.3) or (dm15_from_fits >= 1.0 and dm15_from_fits < 1.3)) and v_at_max > -11
# N = 19
# N_spec = 43
# phase = -1.94
# dm15 = 1.11
# z = 0.008

  Wavelength         Flux    1-Sigma Lower    1-Sigma Upper     Phase     Dm15    Redshift    SNe per Bin
------------  -----------  ---------------  ---------------  --------  -------  ----------  -------------
        1596  -1.06943         0.0150086        0.0184963    -2.3      1.26     0.00489                 1
        1598   0.517299        0.00894695       0.00725987   -2.3      1.26     0.00489                 1
        1600   0.0524247       0.000906712      0.000735739  -2.3      1.26     0.00489                 1
        1602   0.120794        0.00208919       0.00169525   -2.3      1.26     0.00489                 1
        1604   0.127134        0.00219884       0.00178422   -2.3      1.26     0.00489                 1
        1606   0.0267817       0.000463204      0.00037586   -2.3      1.26     0.00489                 1
        1608   0.202021        0.00349405       0.0028352    -2.3      1.26     0.00489                 1
        1610   0.085028        0.0014706        0.0011933    -2.3      1.26     0.00489                 1
        1612  -0.0237863       0.000333822      0.000411396  -2.3      1.26     0.00489                 1
        1614   0.0879637       0.00152138       0.0012345    -2.3      1.26     0.00489                 1
        1616   0.119621        0.0020689        0.00167878   -2.3      1.26     0.00489                 1
        1618  -0.069448        0.000974647      0.00120114   -2.3      1.26     0.00489                 1
        1620  -0.00419741      5.89074e-05      7.25964e-05  -2.3      1.26     0.00489                 1
        1622  -0.026312        0.000369268      0.00045508   -2.3      1.26     0.00489                 1
        1624   0.271543        0.00469647       0.00381088   -2.3      1.26     0.00489                 1
        1626   0.034608        0.000598563      0.000485696  -2.3      1.26     0.00489                 1
        1628  -0.0261605       0.000367141      0.000452459  -2.3      1.26     0.00489                 1
        1630   0.0960574       0.00166136       0.00134809   -2.3      1.26     0.00489                 1
        1632  -0.0483377       0.000678381      0.000836025  -2.3      1.26     0.00489                 1
        1634   0.0988585       0.00170981       0.0013874    -2.3      1.26     0.00489                 1
        1636   0.131123        0.00226784       0.00184021   -2.3      1.26     0.00489                 1
        1638   0.113843        0.00196898       0.0015977    -2.3      1.26     0.00489                 1
        1640  -0.00626832      8.79709e-05      0.000108414  -2.3      1.26     0.00489                 1
        1642   0.0739166       0.00127843       0.00103736   -2.3      1.26     0.00489                 1
        1644   0.0676349       0.00116978       0.000949202  -2.3      1.26     0.00489                 1
        1646  -0.022455        0.000315138      0.000388371  -2.3      1.26     0.00489                 1
        1648   0.0320244       0.000553879      0.000449437  -2.3      1.26     0.00489                 1
        1650   0.0141025       0.00024391       0.000197917  -2.3      1.26     0.00489                 1
        1652   0.139592        0.00241431       0.00195906   -2.3      1.26     0.00489                 1
        1654   0.115146        0.00199151       0.00161599   -2.3      1.26     0.00489                 1
        1656   0.0253207       0.000437935      0.000355356  -2.3      1.26     0.00489                 1
        1658  -0.0415979       0.000583794      0.000719458  -2.3      1.26     0.00489                 1
        1660   0.112305        0.00194237       0.00157611   -2.3      1.26     0.00489                 1
        1662   0.0736333       0.00127353       0.00103338   -2.3      1.26     0.00489                 1
        1664   0.0119398       0.000206505      0.000167566  -2.3      1.26     0.00489                 1
        1666   0.0227644       0.000393721      0.00031948   -2.3      1.26     0.00489                 1
        1668   0.0437112       0.000756008      0.000613452  -2.3      1.26     0.00489                 1
        1670   0.0155996       0.000269803      0.000218928  -2.3      1.26     0.00489                 1
        1672   0.0998          0.106249         0.247763     -2.47651  1.21528  0.00368794              2
        1674   0.159864        0.13249          0.323065     -2.47125  1.21662  0.00372378              2
        1676   0.127794        0.113634         0.287935     -2.46656  1.2178   0.00375573              2
        1678   0.0843554       0.0661318        0.173745     -2.46242  1.21885  0.00378395              2
        1680   0.129281        0.0439993        0.120845     -2.4588   1.21977  0.0038086               2
        1682   0.164375        0.0409851        0.116713     -2.45567  1.22056  0.00382987              2
        1684   0.139257        0.0819404        0.234412     -2.45302  1.22124  0.00384794              2
        1686   0.0904968       0.0867391        0.251665     -2.45081  1.2218   0.00386299              2
        1688   0.075825        0.0673753        0.198789     -2.44901  1.22225  0.00387521              2
        1690   0.0687877       0.0518184        0.15511      -2.44761  1.2226   0.00388476              2
        1692   0.0268556       0.0490596        0.147487     -2.44657  1.22287  0.00389183              2
        1694   0.0652861       0.0577943        0.175441     -2.44588  1.22304  0.00389657              2
        1696   0.109023        0.0398547        0.123131     -2.4455   1.22314  0.00389914              2
        1698   0.131389        0.0417361        0.129507     -2.44542  1.22316  0.0038997               2
        1700   0.0780643       0.0401418        0.123034     -2.44561  1.22311  0.00389838              2
        1702   0.0581194       0.068012         0.205731     -2.44606  1.223    0.00389533              2
        1704   0.0546161       0.0531723        0.159996     -2.44675  1.22282  0.00389066              2
        1706   0.0801251       0.0651013        0.194638     -2.44765  1.2226   0.0038845               2
        1708   0.104355        0.0718276        0.213023     -2.44876  1.22232  0.00387697              2
        1710   0.0660595       0.0679339        0.198349     -2.45005  1.22199  0.00386818              2
        1712   0.0417624       0.0624486        0.179724     -2.45151  1.22162  0.00385824              2
        1714   0.0499441       0.0729245        0.206921     -2.45312  1.22121  0.00384727              2
        1716   0.0595126       0.0485757        0.13618      -2.45486  1.22077  0.00383539              2
        1718   0.0564803       0.0376806        0.104164     -2.45672  1.2203   0.00382271              2
        1720   0.0730349       0.0322422        0.0881658    -2.45868  1.2198   0.00380937              2
        1722   0.046117        0.0349375        0.093165     -2.46072  1.21928  0.00379551              2
