# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 44.000000 and phase < 47.000000 and ((dm15_source >= 1.0 and dm15_source < 1.3) or (dm15_from_fits >= 1.0 and dm15_from_fits < 1.3)) and v_at_max > -11
# N = 6
# N_spec = 7
# phase = 44.93
# dm15 = 1.11
# z = 0.009

  Wavelength        Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  ----------  ---------------  ---------------  -------  -------  ----------  -------------
        3456  -0.452659        0.0104201        0.00812943  45.8443  1.09     0.006211                1
        3458  -1.51828         0.0349504        0.0272672   45.8443  1.09     0.006211                1
        3460   0.239716        0.00430512       0.00551818  45.8443  1.09     0.006211                1
        3462   3.09842         0.0556454        0.0713247   45.8443  1.09     0.006211                1
        3464  -0.759617        0.0174862        0.0136422   45.8443  1.09     0.006211                1
        3466   1.24843         0.305252         0.68301     45.7632  1.09293  0.00628426              2
        3468   2.12499         0.118094         0.057568    45.7593  1.09307  0.00628774              2
        3470   2.10415         0.716015         1.55654     45.7607  1.09302  0.00628647              2
        3472   3.14427         0.250217         0.413429    45.7538  1.09327  0.00629272              2
        3474   1.64407         0.559212         1.05605     45.7526  1.09331  0.00629382              2
        3476   3.53763         1.51963          0.826181    45.7445  1.09361  0.00630117              2
        3478   2.0745          1.17551          0.663378    45.743   1.09366  0.00630253              2
        3480   3.75863         1.87594          1.15854     45.7368  1.09389  0.00630813              2
        3482   0.477081        1.27459          1.89167     45.7349  1.09395  0.00630983              2
        3484  -2.31638         3.69697          5.16353     45.7296  1.09415  0.00631465              2
        3486   3.6735          0.5071           0.595004    45.7292  1.09416  0.00631499              2
        3488   1.42455         1.36332          1.68003     45.7235  1.09437  0.00632015              2
        3490   1.96962         0.955844         1.06893     45.7186  1.09454  0.00632455              2
        3492   4.01141         1.11984          0.956378    45.7125  1.09476  0.00633008              2
        3494   2.10005         0.829411         0.795813    45.7061  1.09499  0.0063358               2
        3496   0.166966        0.368603         0.406486    45.6999  1.09522  0.00634141              2
        3498   0.71105         0.674267         0.555425    45.6964  1.09534  0.00634457              2
        3500   1.83182         0.184588         0.103954    45.6942  1.09542  0.00634655              2
        3502   1.31586         0.616515         0.42375     45.6871  1.09568  0.00635298              2
        3504   2.27746         1.50078          1.05843     45.6873  1.09567  0.00635284              2
        3506   1.20959         2.21239          1.37501     45.6767  1.09606  0.00636245              2
        3508   1.68096         0.845572         0.45292     45.6714  1.09625  0.00636715              2
        3510   3.03628         2.17579          4.12979     45.6624  1.09657  0.00637537              2
        3512   0.286158        0.722056         1.52639     45.6572  1.09676  0.00638                 2
        3514   3.28362         3.00328          6.82911     45.6518  1.09696  0.00638489              2
        3516   3.97359         1.53599          3.65601     45.6474  1.09712  0.00638892              2
        3518   1.14714         4.79524          1.56901     45.638   1.09746  0.00639741              2
        3520   3.16405         1.95423          6.12008     45.6338  1.09761  0.00640119              2
        3522   3.16372         0.358418         1.32503     44.7281  1.18437  0.0231749               3
        3524   3.50834         2.50824          0.280265    44.7283  1.18434  0.0231667               3
        3526   3.60262         2.29896          0.293051    44.7263  1.18448  0.0231897               3
        3528   2.53588         1.46863          0.352502    44.7288  1.18421  0.0231323               3
        3530   1.59425         0.167016         1.40226     44.7231  1.18472  0.0232291               3
        3532   1.74301         0.28539          2.17575     44.7197  1.18503  0.0232863               3
        3534   2.58983         0.270574         1.1087      44.7149  1.18549  0.0233749               3
        3536   3.47551         0.626369         0.0380224   44.7194  1.18502  0.0232795               3
        3538   4.06215         0.226007         0.155445    44.719   1.18502  0.0232781               3
        3540   2.00698         0.274111         1.7111      44.7169  1.18521  0.0233137               3
        3542   1.54836         0.85849          0.0959587   44.7257  1.18431  0.023133                3
        3544   2.55784         0.200459         0.0417567   44.7189  1.18498  0.0232641               3
        3546   1.40444         0.277763         2.16458     44.7219  1.18466  0.0232003               3
        3548   2.61334         0.384492         3.26541     44.7177  1.18506  0.0232753               3
        3550   1.04545         0.365216         2.91323     44.7153  1.18528  0.0233188               3
        3552  -0.0980302       0.374515         1.4259      44.6927  1.18754  0.023764                3
        3554   1.56575         1.03787          0.226419    44.6922  1.18758  0.0237702               3
        3556   2.10294         0.148578         0.662691    44.7017  1.18663  0.0235829               3
        3558   0.962742        0.443181         2.83268     44.7318  1.18362  0.0229894               3
        3560   1.8104          0.288967         0.679065    44.7292  1.18387  0.023036                3
        3562   3.76437         1.58419          0.366468    44.7367  1.1831   0.0228841               3
        3564   3.6653          0.956736         0.313625    44.7323  1.18353  0.0229684               3
        3566   1.65777         0.0493965        0.119135    44.7317  1.1836   0.0229812               3
        3568   1.27324         0.174062         0.828617    44.7255  1.18407  0.0230604               3
        3570   2.47363         0.0927396        0.291023    44.7238  1.18422  0.0230888               3
        3572   1.64907         0.557875         2.70455     44.7208  1.18463  0.0231794               3
        3574   3.2586          0.474929         0.0448821   44.723   1.18443  0.0231421               3
        3576   1.79131         0.816465         0.0786841   44.7335  1.18339  0.0229379               3
        3578   1.87045         0.134478         0.829361    44.7281  1.18393  0.0230438               3
        3580   1.9863          1.48255          0.251333    44.7334  1.1834   0.022941                3
        3582   2.30916         0.74616          0.206913    44.7342  1.18333  0.0229264               3
        3584   2.58341         0.954899         0.301231    44.7312  1.18362  0.0229826               3
        3586   3.44292         0.0777252        0.172709    44.726   1.18415  0.0230885               3
        3588   2.39402         0.214937         0.0869558   44.7367  1.18308  0.0228761               3
        3590   2.01406         0.0867415        0.890721    46.1514  1.11121  0.00867588              3
        3592   2.111           0.128937         1.36351     46.1503  1.11134  0.00870156              3
        3594   2.01451         0.0769056        0.563954    46.1473  1.11145  0.0087226               3
        3596   1.97121         0.0392401        0.236696    46.1456  1.11153  0.0087398               3
        3598   1.85268         0.13214          0.0339987   46.1437  1.11163  0.00875836              3
        3600   1.72603         0.604304         0.0705889   46.1416  1.11171  0.00877566              3
        3602   1.94122         0.153044         1.14388     46.1399  1.11177  0.00878777              3
        3604   1.91723         0.117911         1.09155     46.1385  1.11181  0.00879529              3
        3606   1.75859         0.0609259        0.431441    46.1366  1.11184  0.00879968              3
        3608   1.87268         0.152185         1.08832     46.1368  1.11193  0.00881848              3
        3610   1.80347         0.0381566        0.070709    46.136   1.112    0.00883291              3
        3612   1.86474         0.0666238        0.64447     46.1328  1.11205  0.00884176              3
        3614   1.94619         0.149738         1.02858     46.1318  1.11211  0.00885339              3
