# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase < -10. and ((dm15_source >= 1.0 and dm15_source < 1.3) or (dm15_from_fits >= 1.0 and dm15_from_fits < 1.3)) and v_at_max > -11
# N = 7
# N_spec = 28
# phase = -11.09
# dm15 = 1.08
# z = 0.006

  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper     Phase     Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  --------  -------  ----------  -------------
        1602   0.0179722        0.000761904      1.08137e-05  -10.2274  1.108    0.000804                1
        1604   0.0287127        0.00121723       1.72761e-05  -10.2319  1.108    0.000804                1
        1606  -0.00565356       3.40169e-06      0.000239673  -10.2366  1.108    0.000804                1
        1608   0.108516         0.00460038       6.52933e-05  -10.2415  1.108    0.000804                1
        1610   0.0708619        0.00300408       4.2637e-05   -10.2466  1.108    0.000804                1
        1612  -0.00569879       3.42891e-06      0.000241591  -10.2519  1.108    0.000804                1
        1614   0.000585268      2.48115e-05      3.5215e-07   -10.2575  1.108    0.000804                1
        1616  -0.0287672        1.7309e-05       0.00121954   -10.2632  1.108    0.000804                1
        1618  -0.0220416        1.32622e-05      0.000934418  -10.2693  1.108    0.000804                1
        1620   0.0193156        0.000818854      1.1622e-05   -10.2756  1.108    0.000804                1
        1622   0.0225202        0.000954708      1.35502e-05  -10.2821  1.108    0.000804                1
        1624   0.0452921        0.00192009       2.72518e-05  -10.2888  1.108    0.000804                1
        1626   0.0224538        0.000951892      1.35102e-05  -10.2958  1.108    0.000804                1
        1628   0.0193059        0.000818444      1.16162e-05  -10.3031  1.108    0.000804                1
        1630   0.0277159        0.00117497       1.66764e-05  -10.3105  1.108    0.000804                1
        1632   0.00117067       4.96287e-05      7.04381e-07  -10.3181  1.108    0.000804                1
        1634   0.0567116        0.0024042        3.41228e-05  -10.3259  1.108    0.000804                1
        1636   0.0239347        0.00101468       1.44013e-05  -10.3339  1.108    0.000804                1
        1638   0.02111          0.000894924      1.27017e-05  -10.342   1.108    0.000804                1
        1640   0.022432         0.000950969      1.34971e-05  -10.3501  1.108    0.000804                1
        1642   0.0202277        0.000857519      1.21708e-05  -10.3583  1.108    0.000804                1
        1644   0.0101085        0.000428534      6.08219e-06  -10.3664  1.108    0.000804                1
        1646   0.0176916        0.000750006      1.06449e-05  -10.3745  1.108    0.000804                1
        1648   0.0183452        0.000777714      1.10381e-05  -10.3825  1.108    0.000804                1
        1650   0.00473705       0.000200819      2.85024e-06  -10.3904  1.108    0.000804                1
        1652   0.019574         0.000829808      1.17775e-05  -10.3981  1.108    0.000804                1
        1654   0.0302101        0.00128071       1.81771e-05  -10.4055  1.108    0.000804                1
        1656   0.0207724        0.000880612      1.24985e-05  -10.4128  1.108    0.000804                1
        1658   0.00462826       0.000196208      2.78478e-06  -10.4198  1.108    0.000804                1
        1660  -0.0120223        7.23372e-06      0.000509667  -10.4265  1.108    0.000804                1
        1662   0.00799811       0.000339067      4.81239e-06  -10.433   1.108    0.000804                1
        1664  -0.000905413      5.44779e-07      3.83835e-05  -10.4393  1.108    0.000804                1
        1666   0.00281067       0.000119154      1.69115e-06  -10.4453  1.108    0.000804                1
        1668   0.0072682        0.000308124      4.37321e-06  -10.4511  1.108    0.000804                1
        1670   0.0264187        0.00111998       1.58959e-05  -10.4568  1.108    0.000804                1
        1672   0.0170755        0.00072389       1.02742e-05  -10.4624  1.108    0.000804                1
        1674   0.00406418       0.000172294      2.44538e-06  -10.4679  1.108    0.000804                1
        1676   0.0195287        0.000827888      1.17502e-05  -10.4733  1.108    0.000804                1
        1678   0.020933         0.00088742       1.25952e-05  -10.4786  1.108    0.000804                1
        1680   0.0150868        0.000639579      9.07757e-06  -10.4839  1.108    0.000804                1
        1682   0.00957381       0.000405866      5.76047e-06  -10.4891  1.108    0.000804                1
        1684   0.00419798       0.000177967      2.52588e-06  -10.4943  1.108    0.000804                1
        1686   0.0103087        0.00043702       6.20264e-06  -10.4993  1.108    0.000804                1
        1688   0.0076555        0.000324542      4.60624e-06  -10.5043  1.108    0.000804                1
        1690   0.00438928       0.000186076      2.64099e-06  -10.5091  1.108    0.000804                1
        1692  -0.00361948       2.17781e-06      0.000153442  -10.5137  1.108    0.000804                1
        1694   0.00636347       0.000269769      3.82884e-06  -10.5181  1.108    0.000804                1
        1696   0.0152486        0.000646439      9.17493e-06  -10.5222  1.108    0.000804                1
        1698   0.00911162       0.000386272      5.48237e-06  -10.526   1.108    0.000804                1
        1700   0.020486         0.000868473      1.23263e-05  -10.5294  1.108    0.000804                1
        1702   0.0186775        0.000791802      1.12381e-05  -10.5326  1.108    0.000804                1
        1704   0.00788973       0.000334472      4.74718e-06  -10.5353  1.108    0.000804                1
        1706   0.00484309       0.000205315      2.91404e-06  -10.5377  1.108    0.000804                1
        1708  -0.00370821       2.2312e-06       0.000157204  -10.5398  1.108    0.000804                1
        1710   0.00314483       0.00013332       1.89222e-06  -10.5416  1.108    0.000804                1
        1712  -0.000386012      2.3226e-07       1.63644e-05  -10.5432  1.108    0.000804                1
        1714  -0.0019208        1.15573e-06      8.14294e-05  -10.5446  1.108    0.000804                1
        1716  -0.00151916       9.14066e-07      6.44024e-05  -10.546   1.108    0.000804                1
        1718  -0.00252784       1.52098e-06      0.000107164  -10.5474  1.108    0.000804                1
        1720  -0.00578596       3.48136e-06      0.000245287  -10.5489  1.108    0.000804                1
        1722   0.00449691       0.000190639      2.70575e-06  -10.5506  1.108    0.000804                1
        1724   0.00635073       0.000269229      3.82118e-06  -10.5526  1.108    0.000804                1
        1726   0.00705114       0.000298922      4.2426e-06   -10.555   1.108    0.000804                1
        1728  -8.35064e-05      5.0245e-08       3.54012e-06  -10.5578  1.108    0.000804                1
        1730   0.00848494       0.000359705      5.10531e-06  -10.5612  1.108    0.000804                1
        1732   0.000989451      4.19462e-05      5.95344e-07  -10.5651  1.108    0.000804                1
        1734  -0.00325004       1.95552e-06      0.00013778   -10.5695  1.108    0.000804                1
        1736   0.00126515       5.36338e-05      7.61226e-07  -10.5746  1.108    0.000804                1
        1738   0.00739961       0.000313695      4.45228e-06  -10.5802  1.108    0.000804                1
        1740   0.00350301       0.000148505      2.10773e-06  -10.5865  1.108    0.000804                1
        1742   0.00140972       5.97628e-05      8.48214e-07  -10.5932  1.108    0.000804                1
        1744   0.00354179       0.000150148      2.13106e-06  -10.6003  1.108    0.000804                1
        1746   0.00919033       0.000389609      5.52974e-06  -10.6078  1.108    0.000804                1
        1748   0.00739125       0.00031334       4.44725e-06  -10.6156  1.108    0.000804                1
        1750   0.0193346        0.000819659      1.16334e-05  -10.6235  1.108    0.000804                1
        1752   0.0159759        0.000677273      9.61256e-06  -10.6315  1.108    0.000804                1
        1754   0.0167974        0.000712101      1.01069e-05  -10.6394  1.108    0.000804                1
        1756   0.0143658        0.000609014      8.64375e-06  -10.647   1.108    0.000804                1
        1758   0.0127129        0.000538943      7.64923e-06  -10.6543  1.108    0.000804                1
        1760   0.0136947        0.000580563      8.23995e-06  -10.6612  1.108    0.000804                1
        1762   0.0188542        0.000799296      1.13444e-05  -10.6675  1.108    0.000804                1
        1764   0.0147284        0.000624387      8.86194e-06  -10.6732  1.108    0.000804                1
        1766   0.016789         0.000711744      1.01018e-05  -10.6782  1.108    0.000804                1
        1768   0.0100823        0.000427423      6.06643e-06  -10.6824  1.108    0.000804                1
        1770   0.00937782       0.000397558      5.64255e-06  -10.6859  1.108    0.000804                1
        1772   0.0216274        0.00091686       1.3013e-05   -10.6886  1.108    0.000804                1
        1774   0.0235998        0.00100048       1.41998e-05  -10.6906  1.108    0.000804                1
        1776   0.0143517        0.000608415      8.63525e-06  -10.6919  1.108    0.000804                1
        1778   0.0167407        0.000709695      1.00727e-05  -10.6925  1.108    0.000804                1
        1780   0.0206546        0.000875617      1.24276e-05  -10.6927  1.108    0.000804                1
        1782   0.0210337        0.00089169       1.26558e-05  -10.6923  1.108    0.000804                1
        1784   0.0307214        0.00130238       1.84848e-05  -10.6917  1.108    0.000804                1
        1786   0.031156         0.00132081       1.87463e-05  -10.6909  1.108    0.000804                1
        1788   0.033356         0.00141408       2.007e-05    -10.6901  1.108    0.000804                1
        1790   0.0286734        0.00121556       1.72525e-05  -10.6894  1.108    0.000804                1
        1792   0.0357126        0.00151398       2.14879e-05  -10.6889  1.108    0.000804                1
        1794   0.0342666        0.00145268       2.06179e-05  -10.6888  1.108    0.000804                1
        1796   0.0229276        0.00097198       1.37953e-05  -10.6893  1.108    0.000804                1
        1798   0.027752         0.0011765        1.66981e-05  -10.6905  1.108    0.000804                1
        1800   0.0378708        0.00160547       2.27865e-05  -10.6926  1.108    0.000804                1
        1802   0.0328426        0.00139231       1.97611e-05  -10.6956  1.108    0.000804                1
        1804   0.0297633        0.00126177       1.79083e-05  -10.6997  1.108    0.000804                1
        1806   0.0345976        0.00146671       2.0817e-05   -10.7051  1.108    0.000804                1
        1808   0.0352641        0.00149497       2.12181e-05  -10.7118  1.108    0.000804                1
        1810   0.0374653        0.00158828       2.25425e-05  -10.7199  1.108    0.000804                1
        1812   0.0311357        0.00131995       1.87341e-05  -10.7295  1.108    0.000804                1
        1814   0.0408859        0.00173329       2.46007e-05  -10.7407  1.108    0.000804                1
        1816   0.036541         0.0015491        2.19864e-05  -10.7535  1.108    0.000804                1
        1818   0.0299056        0.0012678        1.79939e-05  -10.7678  1.108    0.000804                1
        1820   0.0354017        0.0015008        2.13009e-05  -10.7838  1.108    0.000804                1
        1822   0.0349318        0.00148088       2.10181e-05  -10.8013  1.108    0.000804                1
        1824   0.0386164        0.00163708       2.32351e-05  -10.8203  1.108    0.000804                1
        1826   0.0407395        0.00172708       2.45126e-05  -10.8406  1.108    0.000804                1
        1828   0.0433715        0.00183867       2.60962e-05  -10.8622  1.108    0.000804                1
        1830   0.0474684        0.00201235       2.85613e-05  -10.8849  1.108    0.000804                1
        1832   0.0437876        0.0018563        2.63466e-05  -10.9085  1.108    0.000804                1
        1834   0.0468857        0.00198764       2.82107e-05  -10.9327  1.108    0.000804                1
        1836   0.0446342        0.0018922        2.6856e-05   -10.9574  1.108    0.000804                1
        1838   0.0500777        0.00212296       3.01313e-05  -10.9823  1.108    0.000804                1
        1840   0.0441691        0.00187248       2.65762e-05  -11.0071  1.108    0.000804                1
        1842   0.0461524        0.00195655       2.77694e-05  -11.0316  1.108    0.000804                1
        1844   0.0401598        0.00170251       2.41638e-05  -11.0555  1.108    0.000804                1
        1846   0.0529352        0.0022441        3.18506e-05  -11.0787  1.108    0.000804                1
        1848   0.050792         0.00215325       3.05611e-05  -11.1008  1.108    0.000804                1
        1850   0.0491451        0.00208343       2.95701e-05  -11.1217  1.108    0.000804                1
        1852   0.0469753        0.00199144       2.82646e-05  -11.1412  1.108    0.000804                1
        1854   0.0505184        0.00214165       3.03965e-05  -11.1593  1.108    0.000804                1
        1856   0.0477137        0.00202274       2.87089e-05  -11.1757  1.108    0.000804                1
        1858   0.0518985        0.00220016       3.12269e-05  -11.1904  1.108    0.000804                1
        1860   0.0547978        0.00232307       3.29714e-05  -11.2034  1.108    0.000804                1
        1862   0.0585921        0.00248392       3.52543e-05  -11.2147  1.108    0.000804                1
        1864   0.0505392        0.00214253       3.0409e-05   -11.2243  1.108    0.000804                1
        1866   0.0520431        0.00220628       3.13139e-05  -11.2323  1.108    0.000804                1
        1868   0.0467731        0.00198287       2.81429e-05  -11.2386  1.108    0.000804                1
        1870   0.0481262        0.00204023       2.89571e-05  -11.2436  1.108    0.000804                1
        1872   0.0495616        0.00210108       2.98208e-05  -11.2471  1.108    0.000804                1
        1874   0.0460094        0.00195049       2.76834e-05  -11.2494  1.108    0.000804                1
        1876   0.0533502        0.0022617        3.21003e-05  -11.2506  1.108    0.000804                1
        1878   0.0573884        0.00243289       3.45301e-05  -11.2508  1.108    0.000804                1
        1880   0.0504172        0.00213736       3.03356e-05  -11.2501  1.108    0.000804                1
        1882   0.0536451        0.0022742        3.22777e-05  -11.2487  1.108    0.000804                1
        1884   0.0624051        0.00264556       3.75485e-05  -11.2467  1.108    0.000804                1
        1886   0.057976         0.0024578        3.48836e-05  -11.2442  1.108    0.000804                1
        1888   0.0592861        0.00251334       3.56719e-05  -11.2413  1.108    0.000804                1
        1890   0.0666378        0.002825         4.00954e-05  -11.2381  1.108    0.000804                1
        1892   0.0607847        0.00257687       3.65736e-05  -11.2347  1.108    0.000804                1
        1894   0.0629695        0.00266949       3.78881e-05  -11.2311  1.108    0.000804                1
        1896   0.0692677        0.00293649       4.16777e-05  -11.2275  1.108    0.000804                1
        1898   0.06444          0.00273183       3.87729e-05  -11.2238  1.108    0.000804                1
        1900   0.0536758        0.0022755        3.22962e-05  -11.2201  1.108    0.000804                1
        1902   0.0552774        0.0023434        3.32599e-05  -11.2165  1.108    0.000804                1
        1904   0.0576578        0.00244431       3.46922e-05  -11.213   1.108    0.000804                1
        1906   0.0612145        0.00259509       3.68322e-05  -11.2096  1.108    0.000804                1
        1908   0.0692958        0.00293768       4.16946e-05  -11.2062  1.108    0.000804                1
        1910   0.0560396        0.00237571       3.37185e-05  -11.2031  1.108    0.000804                1
        1912   0.0574549        0.00243571       3.45701e-05  -11.2     1.108    0.000804                1
        1914   0.0583797        0.00247491       3.51265e-05  -11.1971  1.108    0.000804                1
        1916   0.0579001        0.00245458       3.48379e-05  -11.1944  1.108    0.000804                1
        1918   0.0535193        0.00226887       3.22021e-05  -11.1919  1.108    0.000804                1
        1920   0.0585533        0.00248227       3.5231e-05   -11.1895  1.108    0.000804                1
        1922   0.0638647        0.00270744       3.84268e-05  -11.1873  1.108    0.000804                1
        1924   0.0624671        0.00264819       3.75859e-05  -11.1854  1.108    0.000804                1
        1926   0.0564941        0.00239497       3.39919e-05  -11.1836  1.108    0.000804                1
        1928   0.057078         0.00241973       3.43433e-05  -11.1821  1.108    0.000804                1
        1930   0.0681667        0.00288982       4.10153e-05  -11.1809  1.108    0.000804                1
        1932   0.0573035        0.00242929       3.4479e-05   -11.1799  1.108    0.000804                1
        1934   0.0555293        0.00235408       3.34115e-05  -11.1792  1.108    0.000804                1
        1936   0.0567641        0.00240642       3.41544e-05  -11.1789  1.108    0.000804                1
        1938   0.0593202        0.00251478       3.56924e-05  -11.1789  1.108    0.000804                1
        1940   0.0526731        0.00223299       3.16929e-05  -11.1793  1.108    0.000804                1
        1942   0.0556309        0.00235838       3.34726e-05  -11.1802  1.108    0.000804                1
        1944   0.0600103        0.00254404       3.61077e-05  -11.1816  1.108    0.000804                1
        1946   0.0604084        0.00256092       3.63471e-05  -11.1835  1.108    0.000804                1
        1948   0.0619737        0.00262728       3.7289e-05   -11.186   1.108    0.000804                1
        1950   0.0615548        0.00260952       3.70369e-05  -11.1891  1.108    0.000804                1
        1952   0.0656526        0.00278324       3.95026e-05  -11.1929  1.108    0.000804                1
        1954   0.0614876        0.00260667       3.69965e-05  -11.1975  1.108    0.000804                1
        1956   0.0621972        0.00263675       3.74235e-05  -11.2029  1.108    0.000804                1
        1958   0.0630858        0.00267442       3.79582e-05  -11.2091  1.108    0.000804                1
        1960   0.0599011        0.00253941       3.60419e-05  -11.2163  1.108    0.000804                1
        1962   0.0576061        0.00244212       3.46611e-05  -11.2243  1.108    0.000804                1
