# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 41.000000 and phase < 44.000000 and ((dm15_source >= 1.0 and dm15_source < 1.3) or (dm15_from_fits >= 1.0 and dm15_from_fits < 1.3)) and v_at_max > -11
# N = 8
# N_spec = 11
# phase = 42.33
# dm15 = 1.09
# z = 0.007

  Wavelength       Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  ---------  ---------------  ---------------  -------  -------  ----------  -------------
        3258  -1.84708        0.0255801        0.0167067   43.3477  1.02     0.022639                1
        3260  -3.39905        0.0470732        0.0307442   43.3477  1.02     0.022639                1
        3262   3.67429        0.0332337        0.050885    43.3477  1.02     0.022639                1
        3264   7.18342        0.0649735        0.0994826   43.3477  1.02     0.022639                1
        3266   0.619791       0.00560596       0.00858343  43.3477  1.02     0.022639                1
        3268  -1.98412        0.0274779        0.0179462   43.3477  1.02     0.022639                1
        3270  -3.88473        0.0537993        0.0351371   43.3477  1.02     0.022639                1
        3272   0.310947       0.0117068        0.502399    42.2572  1.22559  0.00977588              2
        3274   0.176719       0.110559         5.09482     42.2575  1.22552  0.00978011              2
        3276   0.296557       1.34035          0.0275018   42.2578  1.22547  0.00978318              2
        3278   0.714372       3.25465          0.0671864   42.2579  1.22545  0.00978464              2
        3280   0.690431       2.05547          0.0415158   42.2581  1.22541  0.00978737              2
        3282   0.557006       0.609884         0.0104563   42.2584  1.22536  0.00979022              2
        3284   0.475788       0.00633263       0.16482     42.2588  1.22528  0.00979535              2
        3286   0.679103       3.775            0.0826038   42.259   1.22524  0.00979751              2
        3288   0.728577       4.44569          0.0986161   42.2592  1.2252   0.00980017              2
        3290   1.30669        0.523613         0.00991283  42.2594  1.22516  0.00980271              2
        3292   1.66533        0.0292325        0.983505    42.2594  1.22517  0.00980199              2
        3294   1.14873        1.99086          0.0396499   42.2593  1.22519  0.00980114              2
        3296   0.474569       0.450571         0.00780416  42.2594  1.22517  0.00980226              2
        3298   0.61047        1.60292          0.0344194   42.2598  1.2251   0.00980677              2
        3300   1.32579        1.06635          0.018437    42.2601  1.22503  0.00981081              2
        3302   1.16357        0.0634863        2.45174     42.2605  1.22497  0.00981489              2
        3304   1.34583        0.0440833        1.60893     42.2608  1.2249   0.00981886              2
        3306   1.16521        0.0129201        0.254794    42.2611  1.22486  0.00982175              2
        3308   1.13772        0.116819         4.49918     42.2613  1.22481  0.00982501              2
        3310   0.870644       0.0670192        2.51353     42.2618  1.22473  0.00982995              2
        3312   0.887666       2.29854          0.0539045   42.2619  1.22469  0.00983213              2
