# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 41.000000 and phase < 48.000000 and ((dm15_source >= .7 and dm15_source < 1.6) or (dm15_from_fits >= .7 and dm15_from_fits < 1.6)) and HOST_LOGMASS > 10.7
# N = 14
# N_spec = 18
# phase = 43.76
# dm15 = 1.14
# z = 0.022

  Wavelength        Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  ----------  ---------------  ---------------  -------  -------  ----------  -------------
        3006   4.54963         0.0919787        0.181834    44.6539  1.48243   0.015701               1
        3008   0.0908498       0.00183669       0.00363098  44.6539  1.48243   0.015701               1
        3010  -0.869196        0.034739         0.0175723   44.6539  1.48243   0.015701               1
        3012  -1.57732         0.0630406        0.0318883   44.6539  1.48243   0.015701               1
        3014  -0.19971         0.0079818        0.00403749  44.6539  1.48243   0.015701               1
        3016   4.00717         0.081012         0.160154    44.6539  1.48243   0.015701               1
        3018   1.81628         0.0367193        0.0725911   44.6539  1.48243   0.015701               1
        3020   0.514445        0.0104004        0.0205608   44.6539  1.48243   0.015701               1
        3022   0.640932        0.0129576        0.0256161   44.6539  1.48243   0.015701               1
        3024  -0.272301        0.010883         0.00550504  44.6539  1.48243   0.015701               1
        3026   2.11388         0.0427357        0.084485    44.6539  1.48243   0.015701               1
        3028   0.578208        0.0116895        0.0231092   44.6539  1.48243   0.015701               1
        3030   0.847362        0.0171309        0.0338664   44.6539  1.48243   0.015701               1
        3032   4.54139         0.0918122        0.181505    44.6539  1.48243   0.015701               1
        3034   3.69362         0.074673         0.147623    44.6539  1.48243   0.015701               1
        3036   2.50098         0.0505617        0.0999564   44.6539  1.48243   0.015701               1
        3038   2.32655         0.0470352        0.0929849   44.6539  1.48243   0.015701               1
        3040   1.00909         0.0204005        0.0403301   44.6539  1.48243   0.015701               1
        3042   0.598717        0.0121041        0.0239288   44.6539  1.48243   0.015701               1
        3044   0.597366        0.0120768        0.0238748   44.6539  1.48243   0.015701               1
        3046   0.175726        0.00355261       0.00702322  44.6539  1.48243   0.015701               1
        3048   1.93913         1.56324          0.14854     43.9476  1.02682   0.0538368              2
        3050   2.64297         2.78829          0.273307    43.9511  1.02818   0.0537228              2
        3052   1.76228         2.19765          0.225848    43.9546  1.0296    0.053604               2
        3054   2.30642         0.0923627        0.071833    43.9584  1.03109   0.05348                2
        3056   1.60954         0.0893849        0.580603    43.9623  1.03263   0.0533506              2
        3058   3.79621         2.50836          0.280078    43.9664  1.03424   0.0532157              2
        3060   2.75305         0.0785685        0.27813     43.9706  1.03593   0.0530749              2
        3062   0.536116        0.0536132        0.360492    43.9751  1.03768   0.052928               2
        3064  -1.16937         0.0501942        0.248676    43.9797  1.03951   0.0527746              2
        3066   0.14325         0.145534         1.03186     43.9846  1.04141   0.0526153              2
        3068   0.658787        0.172714         1.13613     43.9897  1.04344   0.0524458              2
        3070   0.410715        0.222906         1.45527     43.9947  1.04535   0.052286               2
        3072   0.416962        0.0101096        0.0225295   43.9971  1.04548   0.0522751              2
        3074   1.58793         1.51647          0.220388    44.0022  1.04726   0.0521258              2
        3076   1.42328         1.86066          0.283941    44.0075  1.04917   0.0519662              2
        3078   2.35443         0.27387          0.501693    44.038   1.05575   0.0506766              3
        3080   3.2093          0.227417         0.710569    44.0443  1.05848   0.0504541              3
        3082   0.524823        0.249325         1.29757     44.0499  1.06061   0.050281               3
        3084   0.707416        0.586075         3.05801     44.0552  1.06255   0.0501231              3
        3086   1.109           0.12581          0.474487    44.0604  1.06432   0.04998                3
        3088   1.72595         1.73815          0.27895     44.0678  1.06759   0.0497129              3
        3090   1.21725         1.95362          0.34627     44.0744  1.07025   0.0494961              3
        3092  -0.32232         1.4115           0.261835    44.0802  1.07228   0.0493314              3
        3094   0.825369        1.01764          0.282764    44.0869  1.07492   0.0491161              3
        3096   1.44242         0.974754         0.199269    44.0949  1.07843   0.0488299              3
        3098   0.170085        0.83742          0.340384    44.103   1.08191   0.0485459              3
        3100   0.360167        0.819528         0.404101    44.1106  1.08507   0.0482883              3
        3102   1.49485         0.247989         0.106104    44.1189  1.08867   0.0479945              3
        3104   2.03591         0.828222         0.189911    44.1272  1.09224   0.047703               3
        3106   2.81366         1.20208          0.308694    44.1356  1.09588   0.0474065              3
        3108   4.30289         1.44645          0.883043    44.1444  1.09977   0.0470884              3
        3110   3.74585         1.22901          0.929863    44.1533  1.10368   0.0467696              3
        3112   1.8803          1.00345          0.26101     44.1632  1.10843   0.0463818              3
        3114   2.69178         0.359979         0.777326    44.1717  1.11211   0.046082               3
        3116   2.20162         0.411886         1.22509     44.1789  1.11479   0.0458639              3
        3118   2.24404         0.257636         0.559667    44.1881  1.11897   0.0455232              3
        3120   2.44163         0.567361         1.44305     44.1974  1.12331   0.0451694              3
        3122   2.58074         0.582491         1.3743      44.2063  1.12732   0.044842               3
        3124   2.39668         1.0647           0.468252    44.2154  1.13157   0.0444955              3
        3126   2.10906         0.896505         0.267209    44.2245  1.13585   0.0441465              3
        3128   0.978663        0.350962         1.17805     44.2343  1.14078   0.0437442              3
        3130  -0.226158        0.625297         1.20451     44.2434  1.14519   0.0433848              3
        3132   1.02163         1.24288          0.3687      44.2537  1.15066   0.042939               3
        3134   2.95712         1.56866          0.830126    44.2638  1.15604   0.0424995              3
        3136   2.70266         0.47882          1.2594      44.2725  1.16045   0.0421398              3
        3138   1.47802         0.31052          0.500696    44.2819  1.16546   0.041731               3
        3140   1.62454         0.749831         0.308743    44.2893  1.16899   0.041444               3
        3142   0.465369        0.335338         0.490295    44.2975  1.17322   0.041099               3
        3144  -0.329768        0.913358         0.575166    44.3084  1.17996   0.040548               3
        3146   0.551921        1.08795          0.335666    44.3165  1.18439   0.0401869              3
        3148   1.40229         0.761729         0.333483    44.3239  1.18835   0.0398642              3
        3150   1.65254         0.670132         0.310564    44.3325  1.19352   0.0394424              3
        3152   2.04133         0.412356         0.407519    44.34    1.19788   0.0390867              3
        3154   1.15118         0.290827         0.410054    44.3468  1.20169   0.0387756              3
        3156   0.735662        0.44274          0.545386    44.3529  1.20503   0.0385041              3
        3158   1.00298         0.400379         0.681565    44.3602  1.20964   0.0381272              3
        3160   1.06641         0.222806         0.55382     44.3648  1.21184   0.0379488              3
        3162   1.1905          0.191777         0.42183     44.3698  1.21466   0.0377189              3
        3164   0.920497        0.388696         0.136743    44.3777  1.22025   0.037261               3
        3166   1.16222         0.626133         0.228433    44.3855  1.22593   0.0367962              3
        3168   1.5524          0.847221         0.401296    44.3891  1.22782   0.036643               3
        3170   1.63881         0.945072         0.78843     44.3967  1.23365   0.0361647              3
        3172   1.27562         0.251195         0.442377    44.4023  1.23772   0.0358319              3
        3174   0.945324        0.451785         0.576994    44.4079  1.24195   0.0354851              3
        3176   0.645943        0.731322         0.864975    44.4141  1.24693   0.0350764              3
        3178   0.945718        0.988968         0.358545    44.4203  1.25206   0.0346562              3
        3180   1.68871         0.666447         0.190906    44.4245  1.25534   0.0343867              3
        3182   1.82879         0.500826         0.362689    44.4289  1.25889   0.0340954              3
        3184   1.72386         0.647794         0.406293    44.4352  1.26447   0.0336375              3
        3186   1.19706         1.31181          0.400782    44.4392  1.26789   0.0333563              3
        3188   1.0193          0.721803         0.373363    44.4422  1.27039   0.033151               3
        3190   1.26012         0.0764331        0.256686    44.4481  1.27599   0.032691               3
        3192   1.59977         0.359261         0.23382     44.4531  1.2807    0.032303               3
        3194   1.44681         0.598166         0.174032    44.4556  1.28297   0.0321167              3
        3196   2.29899         0.755289         0.931392    44.4591  1.28632   0.0318409              3
        3198   1.81045         0.38532          0.994431    44.4621  1.28931   0.0315947              3
        3200   1.15844         0.175989         0.490482    44.4648  1.29205   0.031369               3
        3202   1.02378         0.356008         0.272139    44.4695  1.29683   0.0309754              3
        3204   1.24452         0.445975         0.166529    44.4719  1.29932   0.0307703              3
        3206   1.26941         0.373506         0.092121    44.4741  1.30166   0.0305771              3
        3208   0.593793        1.27758          0.369351    44.4766  1.30432   0.0303577              3
        3210   0.842236        0.904812         0.404181    44.4791  1.30706   0.0301313              3
        3212   1.19876         0.384026         0.0636331   44.4839  1.31216   0.029711               3
        3214   1.58369         0.22497          0.0971371   44.4865  1.31502   0.029475               3
        3216   1.6432          0.267115         0.710517    44.4897  1.31859   0.0291806              3
        3218   1.49117         0.234572         1.3708      44.4932  1.32234   0.0288711              3
        3220   1.08685         0.145363         0.788149    44.495   1.32449   0.0286936              3
        3222   0.890644        0.591188         0.355047    44.4987  1.32845   0.0283665              3
        3224   0.78078         0.95136          0.572092    44.5005  1.33065   0.0281843              3
        3226   1.10397         0.16268          0.371293    44.5019  1.33237   0.0280417              3
        3228   1.45789         0.150459         1.00061     44.5054  1.33613   0.0277317              3
        3230   1.31559         0.15052          0.842109    44.5088  1.3398    0.027429               3
        3232   1.39745         0.274557         0.738289    44.5084  1.33975   0.0274316              3
        3234   1.49441         0.562658         1.02601     44.5109  1.34256   0.0271998              3
        3236   1.2407          0.440959         0.890649    44.5143  1.34624   0.0268961              3
        3238   1.31456         0.119599         1.14732     44.5149  1.34714   0.0268212              3
        3240   1.47666         0.195104         1.37899     44.515   1.3475    0.0267897              3
        3242   1.3242          0.47769          0.982927    44.6504  1.3369    0.0257053              4
        3244   1.38276         0.331286         0.725429    44.6501  1.33955   0.0255236              4
        3246   1.21529         0.170706         0.35839     44.6504  1.34243   0.0253199              4
        3248   0.878414        0.356748         0.315665    44.6506  1.34437   0.0251803              4
        3250   1.21942         0.430129         0.525274    44.6507  1.3464    0.0250373              4
        3252   1.62629         0.203493         0.483475    44.6512  1.34915   0.0248382              4
        3254   1.38711         0.317409         0.427174    44.6518  1.34984   0.0247803              4
        3256   1.12596         0.473951         0.396649    44.6524  1.35172   0.0246414              4
        3258   1.13201         0.373194         0.121794    44.6329  1.34927   0.0244327              5
        3260   1.22236         0.302717         0.641519    44.6332  1.35085   0.024325               5
        3262   1.22154         0.244611         0.913592    44.6336  1.35227   0.0242267              5
        3264   1.45254         0.297503         1.03599     44.6338  1.35287   0.0241822              5
        3266   1.40661         0.347753         0.973353    44.6345  1.35478   0.0240498              5
        3268   1.29285         0.315582         0.776839    44.635   1.35647   0.0239341              5
        3270   1.03814         0.290791         0.45068     44.6351  1.3577    0.0238505              5
        3272   0.837944        0.0564375        0.149939    44.6361  1.36005   0.023687               5
        3274   0.883942        0.288131         0.305736    44.6367  1.36237   0.02353                5
        3276   0.997768        0.418181         0.515438    44.6371  1.36466   0.0233766              5
        3278   0.774769        0.150721         0.369977    44.6379  1.36562   0.0233041              5
        3280   0.559607        0.441969         0.133682    44.6384  1.36642   0.0232451              5
        3282   0.713439        0.798278         0.19736     44.6388  1.36749   0.0231713              5
        3284   1.07283         0.243431         0.249434    44.6389  1.3683    0.0231145              5
        3286   1.19086         0.370892         0.817333    44.6397  1.36959   0.0230208              5
        3288   1.0574          0.199828         0.532215    44.6401  1.37046   0.0229593              5
        3290   1.25768         0.308068         0.754579    44.6405  1.37058   0.0229465              5
        3292   1.64913         0.347339         1.53231     44.6408  1.37238   0.0228293              5
        3294   1.68097         0.269903         1.5008      44.6403  1.37322   0.0227826              5
        3296   1.55467         0.237392         1.3428      44.6396  1.37348   0.0227733              5
        3298   1.46819         0.204249         1.10996     44.6395  1.37504   0.0226703              5
        3300   1.31222         0.190744         0.781812    44.6405  1.37571   0.0226129              5
        3302   1.04688         0.137636         0.342913    44.6409  1.37586   0.0225947              5
        3304   1.29449         0.26939          0.83001     44.6415  1.3754    0.022614               5
        3306   1.16895         0.227072         0.508196    44.6422  1.37669   0.0225217              5
        3308   1.07105         0.0887672        0.11514     44.6425  1.37669   0.022515               5
        3310   0.684448        0.275252         0.153515    44.6428  1.37694   0.0224918              5
        3312   0.683494        0.223227         0.195404    44.6431  1.37627   0.0225274              5
        3314   1.1892          0.0881494        0.360965    44.6433  1.37342   0.022703               5
        3316   1.09032         0.168785         0.346475    44.6429  1.36999   0.0229189              5
        3318   0.965304        0.280845         0.0928831   44.6432  1.36824   0.0230212              5
        3320   1.00711         0.0976622        0.123606    44.6438  1.37008   0.0228949              5
        3322   1.0327          0.184714         0.22446     44.6437  1.37041   0.0228711              5
        3324   1.06119         0.288506         0.289573    44.644   1.37138   0.022803               5
        3326   1.14716         0.149352         0.316464    44.6439  1.37191   0.0227652              5
