# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= -10.000000 and phase < -6.000000 and ((dm15_source >= .7 and dm15_source < 1.6) or (dm15_from_fits >= .7 and dm15_from_fits < 1.6)) and HOST_LOGMASS > 10.7
# N = 14
# N_spec = 36
# phase = -7.55
# dm15 = 1.12
# z = 0.023

  Wavelength        Flux    1-Sigma Lower    1-Sigma Upper     Phase      Dm15    Redshift    SNe per Bin
------------  ----------  ---------------  ---------------  --------  --------  ----------  -------------
        3148   0.0399328      0.0010602        0.000185127  -6.57064  0.95       0.0171                 1
        3150   0.0372587      0.000989209      0.00017273   -6.57064  0.95       0.0171                 1
        3152   0.0536578      0.0014246        0.000248756  -6.57064  0.95       0.0171                 1
        3154   0.0635648      0.00168763       0.000294684  -6.57064  0.95       0.0171                 1
        3156   0.0336439      0.000893235      0.000155972  -6.57064  0.95       0.0171                 1
        3158  -0.0210769      9.77119e-05      0.000559586  -6.57064  0.95       0.0171                 1
        3160   0.0114135      0.000303025      5.29126e-05  -6.57064  0.95       0.0171                 1
        3162   0.105277       0.00279508       0.000488062  -6.57064  0.95       0.0171                 1
        3164   0.211247       0.00560854       0.000979333  -6.57064  0.95       0.0171                 1
        3166   0.323477       0.00858821       0.00149963   -6.57064  0.95       0.0171                 1
        3168   0.371878       0.00987326       0.00172402   -6.57064  0.95       0.0171                 1
        3170   0.583206       0.015484         0.00270373   -6.57064  0.95       0.0171                 1
        3172   1.03548        0.0274916        0.00480043   -6.57064  0.95       0.0171                 1
        3174   1.18476        0.0314551        0.00549252   -6.57064  0.95       0.0171                 1
        3176   0.850007       0.0225674        0.0039406    -6.57064  0.95       0.0171                 1
        3178   0.723886       0.019219         0.00335591   -6.57064  0.95       0.0171                 1
        3180   1.40761        0.0373715        0.00652562   -6.57064  0.95       0.0171                 1
        3182   2.24397        0.0595768        0.010403     -6.57064  0.95       0.0171                 1
        3184   2.43384        0.0646179        0.0112832    -6.57064  0.95       0.0171                 1
        3186   2.60404        0.0691365        0.0120722    -6.57064  0.95       0.0171                 1
        3188   1.73174        0.0459773        0.0080283    -6.57064  0.95       0.0171                 1
        3190   1.50248        0.0398904        0.00696545   -6.57064  0.95       0.0171                 1
        3192   0.486466       0.0129155        0.00225524   -6.57064  0.95       0.0171                 1
        3194   1.66465        0.0441961        0.00771728   -6.57064  0.95       0.0171                 1
        3196   3.68146        0.0977417        0.0170671    -6.57064  0.95       0.0171                 1
        3198   3.73265        0.0991008        0.0173044    -6.57064  0.95       0.0171                 1
        3200   1.915          0.0508427        0.00887787   -6.57064  0.95       0.0171                 1
        3202   4.42855        1.05198          1.83825      -7.8025   0.855994   0.0288488              2
        3204   5.53936        1.27738          2.18731      -7.81633  0.854938   0.0289807              2
        3206   4.1438         0.506556         0.760844     -7.83026  0.853875   0.0291135              2
        3208   4.49443        0.241145         0.239628     -7.84389  0.852835   0.0292435              2
        3210   5.29523        0.461172         0.602907     -7.85642  0.851879   0.029363               2
        3212   5.8873         0.733815         1.05925      -7.8692   0.850904   0.0294848              2
        3214   5.62994        0.550558         0.730582     -7.88153  0.849963   0.0296025              2
        3216   4.99863        0.278602         0.272536     -7.89326  0.849068   0.0297144              2
        3218   4.69611        1.22713          0.893932     -7.90379  0.848264   0.0298148              2
        3220   5.86473        0.723789         0.529468     -6.87811  1.09751    0.0304608              3
        3222   5.27005        0.757505         0.287668     -6.88446  1.09668    0.0305006              3
        3224   4.84151        1.35527          0.792165     -6.88876  1.09631    0.0305389              3
        3226   5.94247        0.347158         0.327265     -6.89388  1.09573    0.0305765              3
        3228   6.09384        0.658631         0.354854     -6.89852  1.09522    0.0306113              3
        3230   6.62808        0.610062         0.480047     -6.90473  1.09429    0.0306421              3
        3232   6.78439        0.459262         0.583477     -6.87107  1.07345    0.0305186              4
        3234   6.20253        1.2671           0.822363     -6.87628  1.07247    0.030544               4
        3236   5.72468        1.58488          1.30868      -6.88144  1.07154    0.0305677              4
        3238   6.21095        0.459607         0.530793     -6.88691  1.07061    0.0305937              4
        3240   7.0079         1.04064          0.767287     -6.89262  1.06952    0.0306161              4
        3242   6.31915        1.6608           0.916807     -6.89805  1.06844    0.0306363              4
        3244   4.89662        1.12682          0.678678     -6.90123  1.0679     0.0306554              4
        3246   4.89122        0.613929         0.336427     -6.90772  1.06662    0.0306765              4
        3248   5.72715        0.490108         0.288731     -6.91259  1.06566    0.0306938              4
        3250   6.33379        1.46517          1.21731      -6.91619  1.06496    0.030711               4
        3252   6.56933        1.11082          0.849878     -6.91993  1.06418    0.0307244              4
        3254   6.3232         0.297082         0.196699     -6.92265  1.06349    0.0307326              4
        3256   5.54076        1.01265          0.773727     -6.92462  1.06291    0.0307394              4
        3258   5.88577        2.47216          1.96739      -6.92782  1.06227    0.0307525              4
        3260   5.47601        1.66596          1.12918      -6.86048  1.10236    0.0276295              5
        3262   5.48516        1.03092          0.611648     -6.86472  1.10132    0.0276588              5
        3264   5.4544         0.812049         0.664948     -6.87088  1.09977    0.027684               5
        3266   5.60137        0.832376         0.653029     -6.87815  1.09795    0.0277044              5
        3268   5.57356        0.959507         0.834421     -6.88478  1.09627    0.027722               5
        3270   5.54611        0.789184         0.658977     -6.88801  1.09549    0.027748               5
        3272   6.23782        0.445997         0.354104     -6.89096  1.09486    0.0277822              5
        3274   6.42049        0.596525         0.494532     -6.8938   1.09423    0.027807               5
        3276   5.89956        0.53024          0.324602     -6.89564  1.09368    0.0278308              5
        3278   5.87962        0.666302         0.41196      -6.89923  1.09268    0.0278584              5
        3280   6.10181        1.28283          1.07073      -6.90164  1.09192    0.0278819              5
        3282   5.94128        0.920308         0.813823     -6.90413  1.09108    0.0279073              5
        3284   6.65352        0.699301         0.564706     -6.90607  1.09043    0.0279335              5
        3286   6.91332        1.10861          0.742146     -6.90838  1.08966    0.027954               5
        3288   6.12661        0.642058         0.549123     -6.91166  1.08874    0.0279788              5
        3290   6.14568        1.13573          0.898111     -6.91266  1.08829    0.0280046              5
        3292   6.36873        1.33992          1.11318      -6.91562  1.0874     0.0280267              5
        3294   6.73494        1.23652          1.13255      -6.9183   1.08662    0.028047               5
        3296   6.88379        1.36875          1.2961       -6.92008  1.08594    0.0280645              5
        3298   5.97954        0.87726          0.788824     -6.92179  1.08531    0.0280804              5
        3300   5.93658        1.01522          1.03428      -6.92168  1.08515    0.0280967              5
        3302   6.44552        1.34413          1.14202      -6.92266  1.08472    0.0281096              5
        3304   6.01286        0.991858         0.94675      -6.92432  1.0842     0.0281288              5
        3306   6.60285        0.875359         0.832922     -6.92519  1.08375    0.0281502              5
        3308   6.86658        0.540065         0.502413     -6.92596  1.08337    0.0281601              5
        3310   6.3528         0.552931         0.603703     -6.92803  1.0827     0.0281709              5
        3312   6.44911        0.585907         0.64718      -6.92957  1.08212    0.0281813              5
        3314   7.16455        0.951199         0.82531      -6.9308   1.08165    0.0281924              5
        3316   7.6284         1.06366          0.872158     -6.93025  1.08159    0.0282086              5
        3318   7.87257        0.922356         0.783843     -6.92434  1.08246    0.0282018              5
        3320   7.50872        0.839293         0.643098     -6.92727  1.08168    0.0282247              5
        3322   7.07359        0.918514         0.554144     -6.93257  1.08059    0.0282521              5
        3324   7.079          0.886974         0.87604      -6.93196  1.08056    0.0282508              5
        3326   7.37361        0.955568         0.961581     -6.93221  1.08047    0.028255               5
        3328   7.17343        1.04378          0.973107     -6.93324  1.0801     0.0282484              5
        3330   7.63083        0.759416         0.669746     -6.94021  1.07824    0.0282234              5
        3332   7.80329        0.646045         0.606984     -6.93671  1.07902    0.0282313              5
        3334   7.22688        0.607487         0.474918     -6.93003  1.0806     0.0282449              5
        3336   7.12515        0.450731         0.387534     -6.98954  1.07293    0.027735               6
        3338   7.46499        0.832156         0.663351     -7.00064  1.0714     0.0276292              6
        3340   7.53785        0.773555         0.474133     -7.00272  1.0706     0.0276097              6
        3342   7.53019        0.445743         0.392871     -7.015    1.06895    0.0275028              6
        3344   7.38547        0.712242         0.581103     -7.01456  1.06891    0.0275054              6
        3346   7.4257         0.81605          0.535692     -7.01609  1.07218    0.0275376              7
        3348   7.66327        0.578946         0.534846     -7.01066  1.07298    0.0275664              7
        3350   7.68798        0.476133         0.658112     -7.02677  1.0707     0.0274373              7
        3352   7.27221        0.691073         0.70641      -7.03414  1.06983    0.0273662              7
        3354   7.17686        0.880292         0.637258     -7.0292   1.07067    0.0273897              7
        3356   7.33234        0.602263         0.608761     -7.0439   1.06874    0.0272571              7
        3358   7.38907        0.761857         0.618895     -7.05305  1.06766    0.0271556              7
        3360   7.5259         0.412188         0.36958      -7.04299  1.06904    0.0272114              7
        3362   6.3937         0.618348         0.545028     -7.26469  1.01126    0.0287198              7
        3364   6.17536        0.627803         0.733088     -7.25273  1.01406    0.0286813              7
        3366   6.21972        0.581409         0.80042      -7.12314  0.982792   0.0295148              7
        3368   6.37956        0.464727         0.514447     -7.11819  0.980912   0.0295832              7
        3370   6.82711        0.39561          0.497648     -7.11463  0.981822   0.029551               7
        3372   6.50641        0.365057         0.426116     -7.15227  0.989315   0.0295875              7
        3374   6.48048        0.593579         0.920067     -7.23616  1.00059    0.0296648              7
        3376   7.08425        0.596192         0.710059     -7.22639  1.00099    0.0296831              7
        3378   7.51302        0.410387         0.405661     -7.23124  1.00368    0.029659               7
        3380   7.26393        0.371707         0.450705     -7.23333  1.00414    0.0297035              7
        3382   7.26764        0.400359         0.481473     -7.22419  1.0051     0.0297546              7
        3384   7.38702        0.373186         0.469667     -7.21222  1.00319    0.0298316              7
        3386   7.02504        0.425439         0.418125     -7.21267  1.00098    0.0298283              7
        3388   7.47483        0.386968         0.511519     -7.21503  1.00414    0.0298548              7
        3390   7.12287        0.644554         1.02638      -7.49625  0.976211   0.0296134              7
        3392   7.35925        0.435491         0.695979     -7.49634  0.97694    0.0295738              7
        3394   7.21177        0.292412         0.689292     -7.49523  0.978674   0.0295798              7
        3396   7.86761        0.369908         0.743622     -7.47895  0.979189   0.0295833              7
        3398   7.92567        0.272609         0.564069     -7.49059  0.979195   0.029521               7
        3400   7.51231        0.400685         0.641247     -7.47759  0.997271   0.0296319              7
        3402   7.67049        0.650543         1.02923      -7.48365  0.995775   0.0296213              7
        3404   7.62972        0.826202         1.2966       -7.48826  0.993854   0.029624               7
        3406   8.245          0.381583         0.586073     -7.45494  1.00027    0.0296033              7
        3408   8.15859        0.556788         0.751265     -7.46453  0.999171   0.0295122              7
        3410   8.2777         0.808703         0.725807     -7.46274  1.00149    0.0295081              7
        3412   8.581          0.630179         0.608901     -7.45858  1.00062    0.029497               7
        3414   9.06887        0.415768         0.435909     -7.44042  1.00101    0.0295016              7
        3416   9.37706        0.556811         0.781554     -7.46278  1.00206    0.0293995              7
        3418   9.43563        0.500828         0.529764     -7.4566   1.00314    0.0293293              7
        3420   9.39171        0.678693         0.473909     -7.45542  1.00496    0.0292613              7
        3422   9.25587        0.741536         0.570527     -7.4618   1.00636    0.02916                7
        3424   9.09586        0.497853         0.486096     -7.46436  1.00633    0.0290961              7
        3426   9.51908        0.707386         0.63246      -7.46087  1.00865    0.0290101              7
        3428   9.64923        0.896103         0.70654      -7.46662  1.00732    0.0289316              7
        3430   9.84781        0.773278         0.715326     -7.46798  1.00549    0.0289451              7
        3432  10.0075         0.846694         0.910436     -7.46161  1.00679    0.0288731              7
        3434   9.76311        0.749552         0.787483     -7.45856  1.00762    0.0288155              7
        3436   9.87563        0.585981         0.521303     -7.4697   1.00347    0.0287786              7
        3438  10.61           0.987167         0.960486     -7.45222  1.00734    0.0286747              7
        3440  10.3931         0.667686         0.591511     -7.45202  1.00489    0.0286424              7
        3442  10.032          0.605841         0.534317     -7.45697  1.00362    0.0286141              7
        3444   9.93247        0.822277         0.86766      -7.46291  1.0022     0.0285429              7
        3446  10.2841         0.618691         0.480132     -7.41072  1.01422    0.0286074              7
        3448  10.2742         0.658862         0.537809     -7.42309  1.01376    0.0285353              7
        3450  10.3673         0.695476         0.601077     -7.42419  1.01103    0.0284234              7
        3452  10.3421         0.923005         0.768779     -7.41895  1.01203    0.0283921              7
        3454   9.79136        0.731716         0.636585     -7.44505  1.00882    0.0282941              7
        3456   9.4912         0.587599         0.471703     -7.44937  1.00794    0.0281972              7
        3458   9.71752        0.567395         0.39338      -7.4538   1.00805    0.0281905              7
        3460   9.58651        0.698557         0.624066     -7.46029  1.00778    0.0281373              7
        3462   9.81246        0.884029         0.87486      -7.46123  1.00691    0.0280544              7
        3464  10.374          0.857607         0.687023     -7.44925  1.00711    0.0281025              7
        3466   9.65462        0.792671         0.719794     -7.46702  1.00534    0.0279279              7
        3468   9.5493         0.863187         0.670395     -7.47742  1.00404    0.0279139              7
        3470  10.2037         0.820836         0.488604     -7.47501  1.00429    0.0278546              7
        3472  10.1736         0.692069         0.683334     -7.46977  1.0045     0.0279189              7
        3474  10.1499         0.515253         0.480834     -7.48099  1.00391    0.0278176              7
        3476   9.94093        0.512757         0.451463     -7.4765   1.00371    0.0278279              7
        3478   9.61978        0.44076          0.41947      -7.46964  1.00539    0.0276877              7
        3480   9.55387        0.553635         0.40104      -7.4763   1.00227    0.0276663              7
        3482   9.47211        0.426745         0.248738     -7.49908  0.996794   0.027734               7
        3484   9.97215        0.473341         0.327795     -7.49032  0.997569   0.0276935              7
        3486   9.93186        0.447843         0.301069     -7.49435  0.997036   0.0276997              7
        3488   9.74579        0.557965         0.418657     -7.50819  0.995023   0.0275185              7
        3490   9.88201        0.473214         0.32578      -7.49389  0.996909   0.0276191              7
        3492   9.58874        0.600026         0.486502     -7.50414  0.998192   0.0275368              7
        3494   9.3185         0.511767         0.30123      -7.50054  0.99853    0.0275516              7
        3496   9.34275        0.442323         0.252844     -7.4898   0.997967   0.0275553              7
        3498   9.29706        0.412291         0.270722     -7.4859   1.00048    0.0274519              7
        3500   9.20815        0.452503         0.355702     -7.50162  1.00027    0.0273675              7
        3502   9.37851        0.445698         0.31558      -7.51298  0.996828   0.0273477              7
        3504   9.14127        0.352533         0.179533     -7.5115   0.9953     0.0273589              7
        3506   9.25265        0.335271         0.136537     -7.51054  0.994427   0.0273454              7
        3508   9.22915        0.395507         0.204421     -7.50932  0.994063   0.0273345              7
        3510   9.04496        0.274395         0.149982     -7.52242  0.992649   0.0272559              7
        3512   9.11158        0.448067         0.233667     -7.51937  0.993515   0.0271368              7
        3514   9.03596        0.300799         0.109838     -7.51013  0.992971   0.0272211              7
        3516   8.75048        0.28004          0.107852     -7.51534  0.991112   0.0272337              7
        3518   8.73995        0.319567         0.155406     -7.52479  0.992941   0.0271774              7
        3520   9.09035        0.225037         0.142843     -7.59313  0.990351   0.0283738              8
        3522   8.67841        0.258109         0.126764     -7.60632  0.987346   0.0283831              8
        3524   8.39744        0.25514          0.0931496    -7.61332  0.986842   0.0282467              8
        3526   8.77891        0.211999         0.0658551    -7.58656  0.989149   0.0281979              8
        3528   9.10838        0.17169          0.104157     -7.6023   0.991742   0.0280987              8
        3530   8.39641        0.199985         0.284014     -7.61162  0.987095   0.0281612              8
        3532   8.65917        0.266459         0.171759     -7.59949  0.989446   0.0281512              8
        3534   8.93395        0.318772         0.272802     -7.61486  0.987543   0.0280453              8
        3536   8.99248        0.379955         0.297209     -7.62199  0.985558   0.0279788              8
        3538   9.1511         0.546286         0.357588     -7.61632  0.984697   0.027977               8
        3540   9.22025        0.408738         0.276665     -7.62453  0.983529   0.0279729              8
        3542   9.23612        0.210461         0.118701     -7.6232   0.983073   0.0280163              8
        3544   9.42803        0.138712         0.0550804    -7.61341  0.983798   0.0280603              8
        3546   9.33108        0.204973         0.100333     -7.6111   0.983808   0.0280664              8
        3548   9.70485        0.46611          0.193565     -7.75384  0.992274   0.0277133              9
        3550   9.35542        0.328827         0.177974     -7.7558   0.993239   0.0277661              9
        3552   9.16027        0.36131          0.210024     -7.75414  0.991217   0.0277174              9
        3554   9.23472        0.308626         0.30461      -7.75978  0.987824   0.0277704              9
