# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 34.000000 and phase < 41.000000 and ((dm15_source >= .7 and dm15_source < 1.6) or (dm15_from_fits >= .7 and dm15_from_fits < 1.6)) and HOST_LOGMASS > 10.7
# N = 18
# N_spec = 24
# phase = 37.68
# dm15 = 1.29
# z = 0.021

  Wavelength         Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  -----------  ---------------  ---------------  -------  -------  ----------  -------------
        2962  10.8739          0.808979         0.577952     37.7255  1.52      0.037626               1
        2964  12.4712          0.927813         0.66285      37.7255  1.52      0.037626               1
        2966   2.72119         0.202446         0.144632     37.7255  1.52      0.037626               1
        2968   3.19887         0.237984         0.170021     37.7255  1.52      0.037626               1
        2970  -1.77757         0.0944785        0.132245     37.7255  1.52      0.037626               1
        2972  -6.22936         0.331092         0.46344      37.7255  1.52      0.037626               1
        2974  -3.96366         0.21067          0.294882     37.7255  1.52      0.037626               1
        2976   1.33001         0.0989474        0.0706902    37.7255  1.52      0.037626               1
        2978   3.46228         0.257581         0.184021     37.7255  1.52      0.037626               1
        2980   6.57085         0.488846         0.349243     37.7255  1.52      0.037626               1
        2982   4.81901         0.358516         0.256132     37.7255  1.52      0.037626               1
        2984   6.6668          0.495985         0.354342     37.7255  1.52      0.037626               1
        2986   8.26929         0.615204         0.439515     37.7255  1.52      0.037626               1
        2988   6.26195         0.465866         0.332825     37.7255  1.52      0.037626               1
        2990   4.91003         0.365288         0.26097      37.7255  1.52      0.037626               1
        2992   2.1472          0.159744         0.114125     37.7255  1.52      0.037626               1
        2994   0.266428        0.0198212        0.0141607    37.7255  1.52      0.037626               1
        2996   3.86261         0.287364         0.205299     37.7255  1.52      0.037626               1
        2998   4.52684         0.33678          0.240603     37.7255  1.52      0.037626               1
        3000   3.62514         0.269696         0.192677     37.7255  1.52      0.037626               1
        3002   0.251106        0.0186813        0.0133464    37.7255  1.52      0.037626               1
        3004   1.03796         0.0772206        0.0551681    37.7255  1.52      0.037626               1
        3006   2.45453         0.182607         0.130459     37.7255  1.52      0.037626               1
        3008   3.89263         0.289597         0.206895     37.7255  1.52      0.037626               1
        3010   1.96343         0.146072         0.104357     37.7255  1.52      0.037626               1
        3012   4.27637         0.318146         0.227291     37.7255  1.52      0.037626               1
        3014   6.83974         0.508851         0.363534     37.7255  1.52      0.037626               1
        3016   2.73787         0.203687         0.145518     37.7255  1.52      0.037626               1
        3018   4.59642         0.341956         0.244301     37.7255  1.52      0.037626               1
        3020   5.60645         0.417099         0.297985     37.7255  1.52      0.037626               1
        3022   4.74371         0.352914         0.252129     37.7255  1.52      0.037626               1
        3024   3.75055         0.279027         0.199343     37.7255  1.52      0.037626               1
        3026   2.37666         0.176815         0.12632      37.7255  1.52      0.037626               1
        3028   1.41432         0.10522          0.0751716    37.7255  1.52      0.037626               1
