# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 18.000000 and phase < 22.000000 and ((dm15_source >= .7 and dm15_source < 1.6) or (dm15_from_fits >= .7 and dm15_from_fits < 1.6)) and HOST_LOGMASS > 10.7
# N = 19
# N_spec = 29
# phase = 19.52
# dm15 = 1.13
# z = 0.025

  Wavelength       Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  ---------  ---------------  ---------------  -------  -------  ----------  -------------
        3098   0.909356       0.0168853       0.0449761    20.2807  1.09      0.040695               1
        3100   1.49775        0.0278108       0.0740775    20.2807  1.09      0.040695               1
        3102   1.49796        0.0278148       0.0740881    20.2807  1.09      0.040695               1
        3104   0.920516       0.0170925       0.0455281    20.2807  1.09      0.040695               1
        3106   0.768167       0.0142636       0.037993     20.2807  1.09      0.040695               1
        3108   0.834709       0.0154992       0.0412841    20.2807  1.09      0.040695               1
        3110   0.853997       0.0158574       0.0422381    20.2807  1.09      0.040695               1
        3112   0.841454       0.0156245       0.0416177    20.2807  1.09      0.040695               1
        3114   1.57869        0.0293138       0.078081     20.2807  1.09      0.040695               1
        3116   1.24432        0.0231051       0.0615433    20.2807  1.09      0.040695               1
        3118   0.814514       0.0151242       0.0402853    20.2807  1.09      0.040695               1
        3120   1.33955        0.0248733       0.066253     20.2807  1.09      0.040695               1
        3122   1.3059         0.0242484       0.0645887    20.2807  1.09      0.040695               1
        3124   1.55072        0.0287945       0.0766977    20.2807  1.09      0.040695               1
        3126   1.98936        0.0369393       0.0983926    20.2807  1.09      0.040695               1
        3128   1.84247        0.0342118       0.0911273    20.2807  1.09      0.040695               1
        3130   1.23886        0.0230037       0.0612731    20.2807  1.09      0.040695               1
        3132   1.45229        0.0269668       0.0718293    20.2807  1.09      0.040695               1
        3134   1.98636        0.0340284       0.640456     20.2743  1.08971   0.0406211              2
        3136   1.89641        0.0360356       2.39923      20.2743  1.08971   0.0406206              2
        3138   2.28152        0.0701316      11.0093       20.2742  1.08971   0.0406201              2
        3140   1.86431        0.0507868       7.35198      20.2742  1.08971   0.0406194              2
        3142   1.56054        7.21399         0.0843645    20.2741  1.0897    0.0406188              2
        3144   1.507         11.2286          0.0925448    20.2741  1.0897    0.040618               2
        3146   1.46068        6.05038         0.0785299    20.274   1.0897    0.0406172              2
        3148   1.06009        6.97606         0.0633089    20.2739  1.0897    0.0406164              2
        3150   0.988961      10.4344          0.0635871    20.2738  1.08969   0.0406155              2
        3152   1.11744        5.77712         0.0609735    20.2737  1.08969   0.0406145              2
        3154   1.22428        3.28428         0.059817     20.2737  1.08968   0.0406134              2
        3156   0.7804         7.38533         0.0502478    20.2736  1.08968   0.0406123              2
        3158   1.26443       10.3257          0.081618     20.2735  1.08967   0.0406112              2
        3160   2.02013        0.271446        0.0999608    20.291   1.1197    0.0379907              3
        3162   1.77289        0.886704        0.242069     20.2911  1.11993   0.0379687              3
        3164   1.72313        0.0782308       0.319602     20.2912  1.12025   0.0379394              3
        3166   1.60942        1.23905         0.21196      20.2912  1.12051   0.0379149              3
        3168   1.02695        1.83805         0.218284     20.2912  1.12063   0.0379025              3
        3170   0.889866       1.09013         0.122922     20.2913  1.12103   0.0378655              3
        3172   1.40547        0.93189         0.171238     20.2915  1.12158   0.0378156              3
        3174   1.42027        1.10568         0.219736     20.2915  1.12184   0.037791               3
        3176   1.03284        0.340561        0.112088     20.2916  1.12219   0.0377586              3
        3178   1.23309        0.0200663       0.171077     20.2917  1.12269   0.037713               3
        3180   1.50265        0.0928967       1.26786      20.2918  1.12302   0.0376816              3
        3182   1.25456        0.143419        1.8214       20.2919  1.12347   0.0376401              3
        3184   1.17627        0.102816        1.46525      20.2921  1.12396   0.037595               3
        3186   1.31762        0.0520358       0.822022     20.2921  1.12434   0.0375591              3
        3188   1.87723        0.183317        0.0857446    20.2921  1.12464   0.037531               3
        3190   2.17942        0.580559        0.168192     20.2923  1.12511   0.0374867              3
        3192   1.6371         1.2624          0.2371       20.2924  1.12555   0.0374458              3
        3194   1.31751        1.95214         0.318972     20.2923  1.12578   0.0374234              3
        3196   1.22203        1.00095         0.192893     20.2924  1.1262    0.0373839              3
        3198   1.03487        1.07215         0.23302      20.2925  1.12673   0.0373349              3
        3200   0.809488       0.636856        0.149582     20.2925  1.12701   0.0373077              3
        3202   0.784953       0.226168        0.975711     20.2277  1.09862   0.0370392              4
        3204   0.783806       0.281231        1.67077      20.2278  1.09896   0.0370118              4
        3206   1.24636        0.358286        1.3041       20.2277  1.09912   0.0369915              4
        3208   1.68789        0.218591        0.610199     20.2276  1.09942   0.0369571              4
        3210   1.57367        0.138623        0.913057     20.2276  1.09972   0.0369299              4
        3212   0.664354       0.0663655       0.605164     20.2273  1.09978   0.0369128              4
        3214   0.424137       0.108046        0.285843     20.227   1.09989   0.0368908              4
        3216   0.908339       0.104638        0.246495     20.2268  1.09994   0.0368747              4
        3218   1.09134        0.0749397       0.120208     20.2269  1.10034   0.0368411              4
        3220   1.10524        0.206488        0.526211     20.1225  1.11462   0.0363016              5
        3222   1.09292        0.384248        0.457734     20.1231  1.11476   0.0362868              5
        3224   1.7706         0.132588        0.282396     20.1237  1.11508   0.0362615              5
        3226   1.48771        0.0380064       0.170523     20.1239  1.11516   0.0362518              5
        3228   1.12544        0.371125        0.380194     20.1246  1.11539   0.0362334              5
        3230   1.25878        0.389348        0.54896      20.1251  1.11564   0.0362197              5
        3232   1.45965        0.216037        1.13505      20.1252  1.11565   0.0362142              5
        3234   1.2159         0.148032        0.910358     20.1257  1.11582   0.036206               5
        3236   0.740755       0.224777        1.16884      20.1267  1.11622   0.0361811              5
        3238   1.17815        0.191728        0.138482     20.1272  1.11609   0.0361873              5
        3240   1.85226        0.111353        0.159225     20.1279  1.11608   0.0361921              5
        3242   1.92656        0.270759        0.328095     20.1291  1.1164    0.036175               5
        3244   1.85927        0.172844        1.10141      20.1301  1.11653   0.0361757              5
        3246   1.20835        0.366573        1.0354       20.1307  1.11639   0.0361872              5
        3248   0.833442       0.136208        0.396272     20.1318  1.11636   0.0361997              5
        3250   1.3009         0.202808        0.553231     20.1328  1.1165    0.036198               5
        3252   1.62942        0.439437        0.592481     20.1343  1.11685   0.0361907              5
        3254   1.72023        1.28496         0.482872     20.1362  1.11728   0.0361895              5
        3256   1.51619        0.957232        0.308037     20.1378  1.11766   0.0361948              5
        3258   1.13909        0.153922        0.180176     20.1392  1.1179    0.0361909              5
        3260   1.16573        0.0689583       0.433944     20.1404  1.11789   0.0361925              5
        3262   1.23943        0.0959353       0.0930395    20.1418  1.11778   0.0362106              5
        3264   1.29172        0.482612        0.143198     20.1431  1.11799   0.036201               5
        3266   1.06212        0.504631        0.146113     20.1446  1.11804   0.036209               5
        3268   1.05156        0.465323        0.241991     20.1461  1.11814   0.0362149              5
        3270   1.12301        0.667628        0.270583     20.1477  1.11814   0.0362303              5
        3272   1.0932         0.315814        0.106295     20.1497  1.11806   0.0362457              5
        3274   1.20074        0.0428588       0.275647     20.1521  1.11817   0.0362506              5
