# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 48.000000 and phase < 55.000000 and ((dm15_source >= .7 and dm15_source < 1.6) or (dm15_from_fits >= .7 and dm15_from_fits < 1.6)) and HOST_LOGMASS > 10.7
# N = 6
# N_spec = 10
# phase = 50.42
# dm15 = 0.94
# z = 0.024

  Wavelength        Flux    1-Sigma Lower    1-Sigma Upper    Phase      Dm15    Redshift    SNe per Bin
------------  ----------  ---------------  ---------------  -------  --------  ----------  -------------
        3034   4.88507         0.0707033       0.117779     49.6939  1.03       0.029564               1
        3036   8.80105         0.127381        0.212193     49.6939  1.03       0.029564               1
        3038   1.68413         0.024375        0.0406043    49.6939  1.03       0.029564               1
        3040   2.4379          0.0352846       0.0587778    49.6939  1.03       0.029564               1
        3042   5.93243         0.085862        0.143031     49.6939  1.03       0.029564               1
        3044   8.6148          0.124685        0.207703     49.6939  1.03       0.029564               1
        3046   8.94234         0.129425        0.2156       49.6939  1.03       0.029564               1
        3048   9.136           0.132228        0.220269     49.6939  1.03       0.029564               1
        3050   8.00915         0.115919        0.193101     49.6939  1.03       0.029564               1
        3052   4.70365         0.0680775       0.113405     49.6939  1.03       0.029564               1
        3054   4.2178          0.0610456       0.101691     49.6939  1.03       0.029564               1
        3056   1.68503         0.024388        0.040626     49.6939  1.03       0.029564               1
        3058   2.48968         0.036034        0.0600262    49.6939  1.03       0.029564               1
        3060   3.21207         0.0464893       0.0774429    49.6939  1.03       0.029564               1
        3062  -0.0464507       0.00111992      0.000672296  49.6939  1.03       0.029564               1
        3064   0.348119        0.00503845      0.00839315   49.6939  1.03       0.029564               1
        3066   2.80648         0.0406191       0.0676642    49.6939  1.03       0.029564               1
        3068   1.36386         0.0197397       0.0328827    49.6939  1.03       0.029564               1
        3070   1.77235         0.0256518       0.0427312    49.6939  1.03       0.029564               1
        3072   2.78486         0.0403063       0.067143     49.6939  1.03       0.029564               1
        3074   3.76138         0.0544397       0.0906868    49.6939  1.03       0.029564               1
        3076   4.41537         0.0639052       0.106455     49.6939  1.03       0.029564               1
        3078   5.44272         0.0787743       0.131224     49.6939  1.03       0.029564               1
        3080   6.91764         0.100121        0.166784     49.6939  1.03       0.029564               1
        3082   5.03998         0.0729453       0.121514     49.6939  1.03       0.029564               1
        3084   1.96433         0.0284304       0.0473599    49.6939  1.03       0.029564               1
        3086   1.10768         0.0160319       0.0267062    49.6939  1.03       0.029564               1
        3088   2.10588         0.030479        0.0507726    49.6939  1.03       0.029564               1
        3090   1.12538         0.016288        0.0271329    49.6939  1.03       0.029564               1
        3092  -0.940342        0.0226716       0.0136099    49.6939  1.03       0.029564               1
        3094   3.83829         0.0555528       0.092541     49.6939  1.03       0.029564               1
        3096   4.49684         0.0650843       0.108419     49.6939  1.03       0.029564               1
        3098   1.91534         0.0277213       0.0461787    49.6939  1.03       0.029564               1
        3100   2.62675         0.0380178       0.0633308    49.6939  1.03       0.029564               1
        3102   1.70207         0.0246346       0.0410369    49.6939  1.03       0.029564               1
        3104   3.83931         0.0555676       0.0925656    49.6939  1.03       0.029564               1
        3106   4.34138         0.0628342       0.104671     49.6939  1.03       0.029564               1
        3108   1.68652         0.0244095       0.0406619    49.6939  1.03       0.029564               1
        3110   2.16106         0.0312777       0.0521031    49.6939  1.03       0.029564               1
        3112   4.38745         0.063501        0.105781     49.6939  1.03       0.029564               1
        3114   3.71236         0.0537302       0.0895048    49.6939  1.03       0.029564               1
        3116   3.62739         0.0525004       0.0874563    49.6939  1.03       0.029564               1
        3118   3.13572         0.0453843       0.0756021    49.6939  1.03       0.029564               1
        3120   3.8142          0.0552042       0.0919603    49.6939  1.03       0.029564               1
        3122   1.57319         0.0227693       0.0379296    49.6939  1.03       0.029564               1
        3124   1.70049         0.0246118       0.0409988    49.6939  1.03       0.029564               1
        3126   3.37885         0.0489032       0.081464     49.6939  1.03       0.029564               1
        3128   1.14263         0.0165376       0.0275487    49.6939  1.03       0.029564               1
        3130  -0.353833        0.00853091      0.00512114   49.6939  1.03       0.029564               1
        3132   2.65599         0.0384411       0.0640359    49.6939  1.03       0.029564               1
        3134   5.33358         0.0771947       0.128593     49.6939  1.03       0.029564               1
        3136   3.79601         0.0549409       0.0915217    49.6939  1.03       0.029564               1
        3138   1.4334          0.0207461       0.0345594    49.6939  1.03       0.029564               1
        3140   2.95587         0.0427813       0.0712661    49.6939  1.03       0.029564               1
        3142   4.52452         0.0654849       0.109086     49.6939  1.03       0.029564               1
        3144   4.41358         0.0638792       0.106411     49.6939  1.03       0.029564               1
        3146   3.34921         0.0484742       0.0807494    49.6939  1.03       0.029564               1
        3148   2.97959         0.0431246       0.0718379    49.6939  1.03       0.029564               1
        3150   3.48846         0.0504897       0.0841067    49.6939  1.03       0.029564               1
        3152   0.71692         0.0103762       0.0172849    49.6939  1.03       0.029564               1
        3154   2.04804         0.029642        0.0493782    49.6939  1.03       0.029564               1
        3156   3.23648         0.0468426       0.0780314    49.6939  1.03       0.029564               1
        3158   1.48008         0.0214216       0.0356846    49.6939  1.03       0.029564               1
        3160   1.18505         0.0171516       0.0285715    49.6939  1.03       0.029564               1
        3162   2.15471         0.0311859       0.05195      49.6939  1.03       0.029564               1
        3164   2.15096         0.0311316       0.0518596    49.6939  1.03       0.029564               1
        3166   1.37382         0.0198837       0.0331227    49.6939  1.03       0.029564               1
        3168   2.84076         0.0411153       0.0684907    49.6939  1.03       0.029564               1
        3170   2.98421         0.0431915       0.0719493    49.6939  1.03       0.029564               1
        3172   1.74508         0.0252571       0.0420739    49.6939  1.03       0.029564               1
        3174   3.31563         0.0479882       0.0799397    49.6939  1.03       0.029564               1
        3176   2.96605         0.0429286       0.0715114    49.6939  1.03       0.029564               1
        3178   1.60887         0.0232857       0.0387898    49.6939  1.03       0.029564               1
        3180   1.22182         0.0176838       0.0294581    49.6939  1.03       0.029564               1
        3182   2.68757         0.0388981       0.0647972    49.6939  1.03       0.029564               1
        3184   4.8971          0.0708773       0.118069     49.6939  1.03       0.029564               1
        3186   5.39155         0.0780338       0.12999      49.6939  1.03       0.029564               1
        3188   3.6709          0.0531301       0.0885052    49.6939  1.03       0.029564               1
        3190   1.99287         0.0288435       0.0480481    49.6939  1.03       0.029564               1
        3192   3.39313         0.0491099       0.0818083    49.6939  1.03       0.029564               1
        3194   3.98636         0.0576959       0.0961111    49.6939  1.03       0.029564               1
        3196   3.16178         0.0457615       0.0762304    49.6939  1.03       0.029564               1
        3198   2.56757         0.0371613       0.061904     49.6939  1.03       0.029564               1
        3200   1.80973         0.0261928       0.0436325    49.6939  1.03       0.029564               1
        3202   2.95196         0.0427247       0.0711716    49.6939  1.03       0.029564               1
        3204   3.38574         0.0490029       0.0816301    49.6939  1.03       0.029564               1
        3206   3.11716         0.0451156       0.0751546    49.6939  1.03       0.029564               1
        3208   3.25957         0.0471768       0.0785881    49.6939  1.03       0.029564               1
        3210   3.1381          0.0454188       0.0756596    49.6939  1.03       0.029564               1
        3212   3.02024         0.0437129       0.0728179    49.6939  1.03       0.029564               1
        3214   3.51859         0.0509257       0.0848331    49.6939  1.03       0.029564               1
        3216   4.48867         0.064966        0.108222     49.6939  1.03       0.029564               1
        3218   3.73976         0.0541268       0.0901656    49.6939  1.03       0.029564               1
        3220   3.11297         0.0450551       0.0750537    49.6939  1.03       0.029564               1
        3222   3.56848         0.0516479       0.0860361    49.6939  1.03       0.029564               1
        3224   2.84098         0.0411185       0.068496     49.6939  1.03       0.029564               1
        3226   3.47425         0.050284        0.0837642    49.6939  1.03       0.029564               1
        3228   3.64132         0.052702        0.0877921    49.6939  1.03       0.029564               1
        3230   4.2887          0.0620718       0.103401     49.6939  1.03       0.029564               1
        3232   2.85753         0.041358        0.0688951    49.6939  1.03       0.029564               1
        3234   2.42694         0.0351259       0.0585134    49.6939  1.03       0.029564               1
        3236   2.64098         0.0382238       0.0636741    49.6939  1.03       0.029564               1
        3238   2.02429         0.0292982       0.0488056    49.6939  1.03       0.029564               1
        3240   2.1587          0.0312435       0.0520461    49.6939  1.03       0.029564               1
        3242   3.5596          0.0515193       0.0858219    49.6939  1.03       0.029564               1
        3244   3.05945         0.0442804       0.0737632    49.6939  1.03       0.029564               1
        3246   3.92399         0.0567932       0.0946073    49.6939  1.03       0.029564               1
        3248   3.80163         0.0550223       0.0916573    49.6939  1.03       0.029564               1
        3250   3.95772         0.0572815       0.0954207    49.6939  1.03       0.029564               1
        3252   3.43619         0.049733        0.0828464    49.6939  1.03       0.029564               1
        3254   3.39725         0.0491696       0.0819078    49.6939  1.03       0.029564               1
        3256   2.64925         0.0383434       0.0638733    49.6939  1.03       0.029564               1
        3258   3.01549         0.0436442       0.0727034    49.6939  1.03       0.029564               1
        3260   2.9507          0.0427065       0.0711414    49.6939  1.03       0.029564               1
        3262   3.48068         0.050377        0.083919     49.6939  1.03       0.029564               1
        3264   3.40742         0.0493167       0.0821528    49.6939  1.03       0.029564               1
        3266   3.65508         0.0529012       0.0881239    49.6939  1.03       0.029564               1
        3268   3.2568          0.0471368       0.0785215    49.6939  1.03       0.029564               1
        3270   2.64812         0.0383271       0.0638461    49.6939  1.03       0.029564               1
        3272   2.85053         0.0412567       0.0687263    49.6939  1.03       0.029564               1
        3274   4.13481         0.0598445       0.0996902    49.6939  1.03       0.029564               1
        3276   2.82443         0.040879        0.068097     49.6939  1.03       0.029564               1
        3278   1.71415         0.0248095       0.0413281    49.6939  1.03       0.029564               1
        3280   2.58051         0.0373485       0.062216     49.6939  1.03       0.029564               1
        3282   2.97634         0.0430775       0.0717594    49.6939  1.03       0.029564               1
        3284   2.72887         0.0394959       0.0657931    49.6939  1.03       0.029564               1
        3286   3.13851         0.0454248       0.0756695    49.6939  1.03       0.029564               1
        3288   2.48997         0.0360382       0.0600331    49.6939  1.03       0.029564               1
        3290   2.33187         0.03375         0.0562214    49.6939  1.03       0.029564               1
        3292   3.09844         0.0448448       0.0747034    49.6939  1.03       0.029564               1
        3294   3.17912         0.0460125       0.0766485    49.6939  1.03       0.029564               1
