# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 34.000000 and phase < 41.000000 and ((dm15_source >= .9 and dm15_source < 1.8) or (dm15_from_fits >= .9 and dm15_from_fits < 1.8)) and HOST_LOGMASS <= 10.7
# N = 13
# N_spec = 17
# phase = 36.89
# dm15 = 1.26
# z = 0.02

  Wavelength        Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  ----------  ---------------  ---------------  -------  -------  ----------  -------------
        3216   2.45412        0.0340228        0.0152575    34.1436  1.28      0.030002               1
        3218   2.52018        0.0349387        0.0156682    34.1436  1.28      0.030002               1
        3220   1.31354        0.0182103        0.00816642   34.1436  1.28      0.030002               1
        3222   1.57953        0.0218979        0.00982012   34.1436  1.28      0.030002               1
        3224   6.87869        0.095363         0.0427655    34.1436  1.28      0.030002               1
        3226   3.1283         0.0433694        0.019449     34.1436  1.28      0.030002               1
        3228  -0.844167       0.00524827       0.0117031    34.1436  1.28      0.030002               1
        3230   2.21901        0.0307634        0.0137958    34.1436  1.28      0.030002               1
        3232   2.18413        0.0302797        0.0135789    34.1436  1.28      0.030002               1
        3234  -1.48088        0.00920679       0.0205303    34.1436  1.28      0.030002               1
        3236  -1.98612        3.38887          1.22022      35.2647  1.19108   0.0277495              2
        3238  -0.440349       3.79247          1.33281      35.2655  1.19102   0.0277478              2
        3240   6.149          0.118422         0.0890109    35.2659  1.19099   0.027747               2
        3242   6.8102         0.62597          1.47613      35.265   1.19106   0.0277488              2
        3244   7.38419        2.61128          0.812917     35.2641  1.19113   0.0277506              2
        3246   1.44142        0.515534         1.2274       36.3385  1.51858   0.0197444              4
        3248   0.952155       0.464367         0.698174     36.3375  1.51796   0.0197598              4
        3250   0.740099       0.480652         0.762494     36.3364  1.51722   0.0197775              4
        3252   0.778853       0.500425         2.14147      36.3352  1.51722   0.0197789              4
        3254   0.929805       0.500174         1.59356      36.2848  1.48768   0.019618               5
        3256   1.02947        0.439947         0.79508      36.2834  1.48716   0.0196307              5
        3258   1.71324        0.296328         0.214275     36.2822  1.48638   0.0196465              5
        3260   2.09949        0.959147         0.322122     36.2813  1.48585   0.0196578              5
        3262   1.42339        0.784936         0.449864     36.2799  1.48553   0.0196667              5
        3264   1.31624        0.574582         0.440288     36.2785  1.48489   0.0196798              5
        3266   1.73023        0.543353         0.518077     36.2421  1.4817    0.0195854              6
