# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 30.000000 and phase < 34.000000 and ((dm15_source >= .9 and dm15_source < 1.8) or (dm15_from_fits >= .9 and dm15_from_fits < 1.8)) and HOST_LOGMASS <= 10.7
# N = 15
# N_spec = 19
# phase = 32.13
# dm15 = 1.16
# z = 0.018

  Wavelength       Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  ---------  ---------------  ---------------  -------  -------  ----------  -------------
        2974   6.51891       0.080723         0.000591576  32.0335  1.21013   0.032857               1
        2976   6.73727       0.083427         0.000611391  32.0335  1.21013   0.032857               1
        2978   0.910862      0.0112791        8.26585e-05  32.0335  1.21013   0.032857               1
        2980   0.375476      0.00464948       3.40736e-05  32.0335  1.21013   0.032857               1
        2982  -1.9719        0.000178945      0.0244179    32.0335  1.21013   0.032857               1
        2984   3.05769       0.0378631        0.000277478  32.0335  1.21013   0.032857               1
        2986   1.98513       0.0245817        0.000180146  32.0335  1.21013   0.032857               1
        2988   2.06428       0.0255618        0.000187328  32.0335  1.21013   0.032857               1
        2990   7.26042       0.0899051        0.000658866  32.0335  1.21013   0.032857               1
        2992   6.18833       0.0766295        0.000561576  32.0335  1.21013   0.032857               1
        2994   3.17363       0.0392987        0.000287999  32.0335  1.21013   0.032857               1
        2996   5.03009       0.062287         0.000456468  32.0335  1.21013   0.032857               1
        2998   3.27096       0.040504         0.000296832  32.0335  1.21013   0.032857               1
        3000   0.547249      0.00677653       4.96615e-05  32.0335  1.21013   0.032857               1
        3002   3.04745       0.0377362        0.000276549  32.0335  1.21013   0.032857               1
        3004   4.8062        0.0595146        0.000436151  32.0335  1.21013   0.032857               1
        3006   2.17533       0.0269369        0.000197406  32.0335  1.21013   0.032857               1
        3008  -1.13178       0.000102706      0.0140147    32.0335  1.21013   0.032857               1
        3010   1.2278        0.0152037        0.00011142   32.0335  1.21013   0.032857               1
        3012   2.25676       0.0279452        0.000204795  32.0335  1.21013   0.032857               1
        3014   1.30006       0.0160985        0.000117977  32.0335  1.21013   0.032857               1
        3016   2.73769       0.0339006        0.000248439  32.0335  1.21013   0.032857               1
        3018   3.66631       0.0453995        0.000332709  32.0335  1.21013   0.032857               1
        3020   3.409         0.0422134        0.000309359  32.0335  1.21013   0.032857               1
        3022   3.38818       0.0419555        0.00030747   32.0335  1.21013   0.032857               1
        3024   2.08132       0.0257728        0.000188875  32.0335  1.21013   0.032857               1
        3026   2.30903       0.0285924        0.000209539  32.0335  1.21013   0.032857               1
        3028   4.80263       0.0594705        0.000435827  32.0335  1.21013   0.032857               1
        3030   1.92877       0.0238838        0.000175031  32.0335  1.21013   0.032857               1
        3032   1.51065       0.0187063        0.000137088  32.0335  1.21013   0.032857               1
        3034   2.17273       0.0269047        0.00019717   32.0335  1.21013   0.032857               1
        3036   1.34722       0.0166825        0.000122257  32.0335  1.21013   0.032857               1
        3038   5.02233       0.062191         0.000455764  32.0335  1.21013   0.032857               1
        3040   5.34412       0.0661757        0.000484966  32.0335  1.21013   0.032857               1
        3042   4.56166       0.0564866        0.000413959  32.0335  1.21013   0.032857               1
        3044   2.82162       0.0349399        0.000256055  32.0335  1.21013   0.032857               1
        3046   4.14198       0.0512897        0.000375875  32.0335  1.21013   0.032857               1
        3048   2.20315       0.0272814        0.000199931  32.0335  1.21013   0.032857               1
        3050   1.16281       0.0143989        0.000105522  32.0335  1.21013   0.032857               1
        3052   1.66899       0.0206669        0.000151457  32.0335  1.21013   0.032857               1
        3054   3.51602       0.0435385        0.00031907   32.0335  1.21013   0.032857               1
        3056   1.89794       0.023502         0.000172233  32.0335  1.21013   0.032857               1
        3058   2.29913       0.0284699        0.000208641  32.0335  1.21013   0.032857               1
        3060   2.7948        0.0346077        0.000253621  32.0335  1.21013   0.032857               1
        3062   3.11155       0.03853          0.000282366  32.0335  1.21013   0.032857               1
        3064   3.90173       0.0483147        0.000354073  32.0335  1.21013   0.032857               1
        3066   2.52871       0.0313128        0.000229475  32.0335  1.21013   0.032857               1
        3068   1.72726       0.0213885        0.000156745  32.0335  1.21013   0.032857               1
        3070   1.67765       0.0207741        0.000152242  32.0335  1.21013   0.032857               1
        3072   2.17613       0.0269469        0.000197479  32.0335  1.21013   0.032857               1
        3074   3.13551       0.0388267        0.00028454   32.0335  1.21013   0.032857               1
        3076   1.94055       0.0240296        0.0001761    32.0335  1.21013   0.032857               1
        3078   0.995255      0.0123241        9.0317e-05   32.0335  1.21013   0.032857               1
        3080   2.67074       0.0330716        0.000242364  32.0335  1.21013   0.032857               1
        3082   3.00502       0.0372108        0.000272698  32.0335  1.21013   0.032857               1
