# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= -10.000000 and phase < -6.000000 and ((dm15_source >= .9 and dm15_source < 1.8) or (dm15_from_fits >= .9 and dm15_from_fits < 1.8)) and HOST_LOGMASS <= 10.7
# N = 16
# N_spec = 32
# phase = -7.32
# dm15 = 1.1
# z = 0.018

  Wavelength       Flux    1-Sigma Lower    1-Sigma Upper     Phase     Dm15    Redshift    SNe per Bin
------------  ---------  ---------------  ---------------  --------  -------  ----------  -------------
        2996   5.4012         0.0990349        0.0316457   -7.04085  1.00822   0.015786               1
        2998   5.12041        0.0938864        0.0300005   -7.04085  1.00822   0.015786               1
        3000   6.07442        0.111379         0.0355901   -7.04085  1.00822   0.015786               1
        3002   5.29187        0.0970303        0.0310052   -7.04085  1.00822   0.015786               1
        3004   4.26581        0.0782167        0.0249934   -7.04085  1.00822   0.015786               1
        3006   4.77501        0.0875532        0.0279768   -7.04085  1.00822   0.015786               1
        3008   5.72573        0.104985         0.0335471   -7.04085  1.00822   0.015786               1
        3010   6.26469        0.114868         0.0367049   -7.04085  1.00822   0.015786               1
        3012   6.02239        0.110425         0.0352853   -7.04085  1.00822   0.015786               1
        3014   7.10222        0.130224         0.041612    -7.04085  1.00822   0.015786               1
        3016   7.37675        0.135258         0.0432204   -7.04085  1.00822   0.015786               1
        3018   7.08423        0.129894         0.0415066   -7.04085  1.00822   0.015786               1
        3020   6.59329        0.120893         0.0386302   -7.04085  1.00822   0.015786               1
        3022   6.6329         0.121619         0.0388623   -7.04085  1.00822   0.015786               1
        3024   6.69937        0.122838         0.0392517   -7.04085  1.00822   0.015786               1
        3026   6.49016        0.119002         0.0380259   -7.04085  1.00822   0.015786               1
        3028   7.096          0.13011          0.0415756   -7.04085  1.00822   0.015786               1
        3030   7.22925        0.132554         0.0423563   -7.04085  1.00822   0.015786               1
        3032   7.6189         0.139698         0.0446393   -7.04085  1.00822   0.015786               1
        3034   7.50344        0.137581         0.0439627   -7.04085  1.00822   0.015786               1
        3036   7.52688        0.138011         0.0441001   -7.04085  1.00822   0.015786               1
        3038   7.3983         0.135653         0.0433468   -7.04085  1.00822   0.015786               1
        3040   6.62382        0.121452         0.038809    -7.04085  1.00822   0.015786               1
        3042   6.51952        0.11954          0.038198    -7.04085  1.00822   0.015786               1
        3044   6.95637        0.12755          0.0407575   -7.04085  1.00822   0.015786               1
        3046   6.83039        0.12524          0.0400193   -7.04085  1.00822   0.015786               1
        3048   7.18409        0.131725         0.0420917   -7.04085  1.00822   0.015786               1
        3050   6.723          0.123271         0.0393901   -7.04085  1.00822   0.015786               1
        3052   6.95798        0.12758          0.0407669   -7.04085  1.00822   0.015786               1
        3054   7.38128        0.135341         0.043247    -7.04085  1.00822   0.015786               1
        3056   7.61302        0.13959          0.0446048   -7.04085  1.00822   0.015786               1
        3058   7.57568        0.138906         0.044386    -7.04085  1.00822   0.015786               1
