# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 26.000000 and phase < 30.000000 and ((dm15_source >= .8 and dm15_source < 1.4) or (dm15_from_fits >= .8 and dm15_from_fits < 1.4)) and globalssfr > -10.7
# N = 16
# N_spec = 24
# phase = 28.3
# dm15 = 1.08
# z = 0.01

  Wavelength         Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  -----------  ---------------  ---------------  -------  -------  ----------  -------------
        1602   0.100271        0.00338964       0.00172625   27       1.108    0.000804                1
        1604   0.133515        0.00451344       0.00229857   27       1.108    0.000804                1
        1606   0.147283        0.00497888       0.0025356    27       1.108    0.000804                1
        1608   0.100356        0.00339253       0.00172772   27       1.108    0.000804                1
        1610  -0.0306071       0.000526928      0.00103467   27       1.108    0.000804                1
        1612   0.00879434      0.000297291      0.000151402  27       1.108    0.000804                1
        1614   0.0631608       0.00213514       0.00108737   27       1.108    0.000804                1
        1616   0.0252495       0.000853556      0.000434692  27       1.108    0.000804                1
        1618   0.0558371       0.00188756       0.000961283  27       1.108    0.000804                1
        1620   0.0585292       0.00197857       0.00100763   27       1.108    0.000804                1
        1622   0.064299        0.00217362       0.00110696   27       1.108    0.000804                1
        1624  -0.0236668       0.000407444      0.000800051  27       1.108    0.000804                1
        1626   0.0159466       0.000539073      0.000274535  27       1.108    0.000804                1
        1628   0.041185        0.00139225       0.000709035  27       1.108    0.000804                1
        1630  -0.0239214       0.000411827      0.000808659  27       1.108    0.000804                1
        1632  -0.00253248      4.35988e-05      8.56101e-05  27       1.108    0.000804                1
        1634   0.015072        0.000509505      0.000259476  27       1.108    0.000804                1
        1636  -0.00672709      0.000115813      0.000227408  27       1.108    0.000804                1
        1638   0.0506205       0.00171122       0.000871475  27       1.108    0.000804                1
        1640   0.0341458       0.00115429       0.000587849  27       1.108    0.000804                1
        1642   0.00302221      0.000102165      5.203e-05    27       1.108    0.000804                1
        1644   0.0225659       0.000762837      0.000388491  27       1.108    0.000804                1
        1646   0.0128686       0.000435021      0.000221544  27       1.108    0.000804                1
        1648   0.0287629       0.000972324      0.000495177  27       1.108    0.000804                1
        1650   0.0341293       0.00115373       0.000587565  27       1.108    0.000804                1
        1652   0.0204421       0.000691043      0.000351929  27       1.108    0.000804                1
        1654   0.0353484       0.00119495       0.000608552  27       1.108    0.000804                1
        1656   0.034743        0.00117448       0.000598131  27       1.108    0.000804                1
        1658   0.0183371       0.000619883      0.000315689  27       1.108    0.000804                1
        1660   0.0133951       0.00045282       0.000230608  27       1.108    0.000804                1
        1662   0.018924        0.000639722      0.000325792  27       1.108    0.000804                1
        1664   0.0205192       0.000693647      0.000353255  27       1.108    0.000804                1
        1666   0.0261394       0.000883637      0.000450012  27       1.108    0.000804                1
        1668   0.0293652       0.000992685      0.000505546  27       1.108    0.000804                1
        1670   0.00468739      0.000158457      8.06975e-05  27       1.108    0.000804                1
        1672   0.0266371       0.000900461      0.00045858   27       1.108    0.000804                1
        1674   0.0270744       0.000915247      0.000466109  27       1.108    0.000804                1
        1676   0.0190061       0.000642497      0.000327206  27       1.108    0.000804                1
        1678   0.0204292       0.000690606      0.000351706  27       1.108    0.000804                1
        1680   0.0218558       0.000738833      0.000376267  27       1.108    0.000804                1
        1682   0.0199584       0.000674691      0.000343601  27       1.108    0.000804                1
        1684   0.028153        0.000951706      0.000484677  27       1.108    0.000804                1
        1686   0.036574        0.00123638       0.000629652  27       1.108    0.000804                1
        1688   0.0274656       0.000928469      0.000472843  27       1.108    0.000804                1
        1690   0.014329        0.000484388      0.000246685  27       1.108    0.000804                1
        1692   0.0215873       0.000729754      0.000371643  27       1.108    0.000804                1
        1694   0.0158705       0.0005365        0.000273225  27       1.108    0.000804                1
        1696   0.0300862       0.00101706       0.000517959  27       1.108    0.000804                1
        1698   0.0275514       0.00093137       0.000474321  27       1.108    0.000804                1
        1700   0.0158354       0.000535313      0.00027262   27       1.108    0.000804                1
        1702   0.0240043       0.000811461      0.000413254  27       1.108    0.000804                1
        1704   0.0239263       0.000808823      0.000411911  27       1.108    0.000804                1
        1706   0.0149459       0.000505244      0.000257307  27       1.108    0.000804                1
        1708   0.023884        0.000807395      0.000411183  27       1.108    0.000804                1
        1710   0.0282673       0.000955573      0.000486646  27       1.108    0.000804                1
        1712   0.0361211       0.00122107       0.000621855  27       1.108    0.000804                1
        1714   0.041583        0.00140571       0.000715887  27       1.108    0.000804                1
        1716   0.0381213       0.00128868       0.00065629   27       1.108    0.000804                1
        1718   0.0562562       0.00190173       0.000968497  27       1.108    0.000804                1
        1720   0.054519        0.00184301       0.000938591  27       1.108    0.000804                1
