# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 34.000000 and phase < 38.000000 and ((dm15_source >= .8 and dm15_source < 1.4) or (dm15_from_fits >= .8 and dm15_from_fits < 1.4)) and globalssfr > -10.7
# N = 17
# N_spec = 22
# phase = 35.88
# dm15 = 1.11
# z = 0.01

  Wavelength        Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  ----------  ---------------  ---------------  -------  -------  ----------  -------------
        2922   1.16207        0.0108296        0.0127193    36.8215  1.05145  0.003896                1
        2924   1.29829        0.0120991        0.0142103    36.8215  1.05145  0.003896                1
        2926   1.38494        0.0129066        0.0151587    36.8215  1.05145  0.003896                1
        2928   1.40745        0.0131164        0.0154051    36.8215  1.05145  0.003896                1
        2930   1.33974        0.0124854        0.014664     36.8215  1.05145  0.003896                1
        2932   1.22415        0.0114082        0.0133988    36.8215  1.05145  0.003896                1
        2934   1.1147         0.0103882        0.0122009    36.8215  1.05145  0.003896                1
        2936   1.06099        0.00988764       0.011613     36.8215  1.05145  0.003896                1
        2938   1.05709        0.00985133       0.0115703    36.8215  1.05145  0.003896                1
        2940   1.09952        0.0102467        0.0120347    36.8215  1.05145  0.003896                1
        2942   1.15299        0.0107451        0.01262      36.8215  1.05145  0.003896                1
        2944   1.18333        0.0110278        0.0129521    36.8215  1.05145  0.003896                1
        2946   1.17137        0.0109163        0.0128211    36.8215  1.05145  0.003896                1
        2948   1.15128        0.0107291        0.0126013    36.8215  1.05145  0.003896                1
        2950   1.15797        0.0107915        0.0126745    36.8215  1.05145  0.003896                1
        2952   1.19152        0.0111041        0.0130416    36.8215  1.05145  0.003896                1
        2954   1.23824        0.0115394        0.013553     36.8215  1.05145  0.003896                1
        2956   1.2809         0.011937         0.01402      36.8215  1.05145  0.003896                1
        2958   1.30575        0.0121687        0.014292     36.8215  1.05145  0.003896                1
        2960   1.29924        0.012108         0.0142207    36.8215  1.05145  0.003896                1
        2962   1.2788         0.0119175        0.013997     36.8215  1.05145  0.003896                1
        2964   1.26645        0.0118024        0.0138618    36.8215  1.05145  0.003896                1
        2966   1.27228        0.0118567        0.0139256    36.8215  1.05145  0.003896                1
        2968   1.27537        0.0118855        0.0139595    36.8215  1.05145  0.003896                1
        2970   1.25337        0.0116805        0.0137186    36.8215  1.05145  0.003896                1
        2972   1.21651        0.011337         0.0133152    36.8215  1.05145  0.003896                1
        2974   1.18347        0.0110291        0.0129536    36.8215  1.05145  0.003896                1
        2976   1.16855        0.01089          0.0127903    36.8215  1.05145  0.003896                1
        2978   1.16633        0.0108693        0.0127659    36.8215  1.05145  0.003896                1
        2980   1.17159        0.0109183        0.0128235    36.8215  1.05145  0.003896                1
        2982   1.17561        0.0109558        0.0128675    36.8215  1.05145  0.003896                1
        2984   1.17256        0.0109274        0.0128342    36.8215  1.05145  0.003896                1
        2986   1.16746        0.0108799        0.0127783    36.8215  1.05145  0.003896                1
        2988   1.18026        0.0109992        0.0129184    36.8215  1.05145  0.003896                1
        2990   1.22906        0.0114539        0.0134525    36.8215  1.05145  0.003896                1
        2992   1.2786         0.0119156        0.0139948    36.8215  1.05145  0.003896                1
        2994   1.28551        0.0119801        0.0140705    36.8215  1.05145  0.003896                1
        2996   1.23157        0.0114773        0.01348      36.8215  1.05145  0.003896                1
        2998   1.16121        0.0108216        0.0127099    36.8215  1.05145  0.003896                1
        3000   1.11568        0.0103973        0.0122115    36.8215  1.05145  0.003896                1
        3002   1.08964        0.0101547        0.0119266    36.8215  1.05145  0.003896                1
        3004   1.06449        0.00992023       0.0116512    36.8215  1.05145  0.003896                1
        3006   1.03356        0.00963198       0.0113127    36.8215  1.05145  0.003896                1
        3008   1.01161        0.0094275        0.0110725    36.8215  1.05145  0.003896                1
        3010   1.01573        0.00946589       0.0111176    36.8215  1.05145  0.003896                1
        3012   1.03138        0.00961172       0.0112889    36.8215  1.05145  0.003896                1
        3014   1.03981        0.00969024       0.0113811    36.8215  1.05145  0.003896                1
        3016   1.02781        0.00957848       0.0112498    36.8215  1.05145  0.003896                1
        3018   0.999595       0.00931549       0.010941     36.8215  1.05145  0.003896                1
        3020   0.959645       0.00894319       0.0105037    36.8215  1.05145  0.003896                1
        3022   0.922814       0.00859995       0.0101006    36.8215  1.05145  0.003896                1
        3024   0.902247       0.00840828       0.00987546   36.8215  1.05145  0.003896                1
        3026   0.904216       0.00842663       0.00989701   36.8215  1.05145  0.003896                1
        3028   0.919298       0.00856718       0.0100621    36.8215  1.05145  0.003896                1
        3030   0.940232       0.00876228       0.0102912    36.8215  1.05145  0.003896                1
        3032   0.961792       0.0089632        0.0105272    36.8215  1.05145  0.003896                1
        3034   0.98192        0.00915078       0.0107475    36.8215  1.05145  0.003896                1
        3036   0.996958       0.00929092       0.0109121    36.8215  1.05145  0.003896                1
        3038   1.00332        0.00935017       0.0109817    36.8215  1.05145  0.003896                1
        3040   0.995733       0.0092795        0.0108987    36.8215  1.05145  0.003896                1
        3042   0.97955        0.00912869       0.0107216    36.8215  1.05145  0.003896                1
        3044   0.96046        0.00895079       0.0105126    36.8215  1.05145  0.003896                1
        3046   0.950275       0.00885587       0.0104011    36.8215  1.05145  0.003896                1
        3048   0.962599       0.00897072       0.010536     36.8215  1.05145  0.003896                1
        3050   1.00985        0.00941105       0.0110532    36.8215  1.05145  0.003896                1
        3052   1.06296        0.00990597       0.0116345    36.8215  1.05145  0.003896                1
        3054   1.09199        0.0101765        0.0119523    36.8215  1.05145  0.003896                1
        3056   1.08299        0.0100927        0.0118537    36.8215  1.05145  0.003896                1
        3058   1.04879        0.00977393       0.0114794    36.8215  1.05145  0.003896                1
        3060   1.00618        0.00937686       0.011013     36.8215  1.05145  0.003896                1
        3062   0.983172       0.00916245       0.0107612    36.8215  1.05145  0.003896                1
        3064   1.0019         0.00933695       0.0109662    36.8215  1.05145  0.003896                1
        3066   1.04905        0.00977641       0.0114823    36.8215  1.05145  0.003896                1
        3068   1.07609        0.0100283        0.0117782    36.8215  1.05145  0.003896                1
        3070   1.03768        0.00967042       0.0113578    36.8215  1.05145  0.003896                1
        3072   0.976578       0.00910099       0.010689     36.8215  1.05145  0.003896                1
        3074   0.940165       0.00876165       0.0102905    36.8215  1.05145  0.003896                1
        3076   0.945435       0.00881076       0.0103482    36.8215  1.05145  0.003896                1
        3078   0.971054       0.00904951       0.0106286    36.8215  1.05145  0.003896                1
        3080   0.993509       0.00925878       0.0108744    36.8215  1.05145  0.003896                1
        3082   1.00476        0.00936367       0.0109976    36.8215  1.05145  0.003896                1
        3084   1.00255        0.00934305       0.0109733    36.8215  1.05145  0.003896                1
        3086   0.989932       0.00922544       0.0108352    36.8215  1.05145  0.003896                1
        3088   0.973938       0.00907639       0.0106601    36.8215  1.05145  0.003896                1
        3090   0.96205        0.00896561       0.01053      36.8215  1.05145  0.003896                1
        3092   0.956978       0.00891834       0.0104745    36.8215  1.05145  0.003896                1
        3094   0.960396       0.00895018       0.0105119    36.8215  1.05145  0.003896                1
        3096   0.968978       0.00903017       0.0106059    36.8215  1.05145  0.003896                1
        3098   0.976184       0.00909732       0.0106847    36.8215  1.05145  0.003896                1
        3100   0.975274       0.00908884       0.0106748    36.8215  1.05145  0.003896                1
        3102   0.968129       0.00902226       0.0105966    36.8215  1.05145  0.003896                1
        3104   0.957226       0.00892065       0.0104772    36.8215  1.05145  0.003896                1
        3106   0.947804       0.00883284       0.0103741    36.8215  1.05145  0.003896                1
        3108   0.945623       0.00881251       0.0103502    36.8215  1.05145  0.003896                1
        3110   0.955174       0.00890152       0.0104548    36.8215  1.05145  0.003896                1
        3112   0.967319       0.0090147        0.0105877    36.8215  1.05145  0.003896                1
        3114   0.97398        0.00907678       0.0106606    36.8215  1.05145  0.003896                1
        3116   0.97749        0.00910949       0.010699     36.8215  1.05145  0.003896                1
        3118   0.98781        0.00920567       0.010812     36.8215  1.05145  0.003896                1
        3120   1.01371        0.009447         0.0110954    36.8215  1.05145  0.003896                1
        3122   1.04452        0.00973416       0.0114327    36.8215  1.05145  0.003896                1
        3124   1.06888        0.00996117       0.0116993    36.8215  1.05145  0.003896                1
        3126   1.0812         0.010076         0.0118341    36.8215  1.05145  0.003896                1
        3128   1.08141        0.010078         0.0118365    36.8215  1.05145  0.003896                1
        3130   1.06912        0.00996339       0.0117019    36.8215  1.05145  0.003896                1
        3132   1.05083        0.00979296       0.0115017    36.8215  1.05145  0.003896                1
        3134   1.03158        0.00961362       0.0112911    36.8215  1.05145  0.003896                1
        3136   1.01869        0.00949346       0.01115      36.8215  1.05145  0.003896                1
        3138   1.01901        0.00949646       0.0111535    36.8215  1.05145  0.003896                1
        3140   1.03787        0.00967217       0.0113599    36.8215  1.05145  0.003896                1
        3142   1.0628         0.00990454       0.0116328    36.8215  1.05145  0.003896                1
        3144   1.0823         0.0100862        0.0118462    36.8215  1.05145  0.003896                1
        3146   1.09105        0.0101678        0.011942     36.8215  1.05145  0.003896                1
        3148   1.08906        0.0101492        0.0119202    36.8215  1.05145  0.003896                1
        3150   1.07952        0.0100603        0.0118157    36.8215  1.05145  0.003896                1
        3152   1.07523        0.0100204        0.0117689    36.8215  1.05145  0.003896                1
        3154   1.08865        0.0101454        0.0119157    36.8215  1.05145  0.003896                1
        3156   1.1153         0.0103938        0.0122074    36.8215  1.05145  0.003896                1
        3158   1.14324        0.0106541        0.0125132    36.8215  1.05145  0.003896                1
        3160   1.16361        0.010844         0.0127362    36.8215  1.05145  0.003896                1
        3162   1.18306        0.0110252        0.012949     36.8215  1.05145  0.003896                1
        3164   1.20947        0.0112714        0.0132382    36.8215  1.05145  0.003896                1
        3166   1.24071        0.0115625        0.01358      36.8215  1.05145  0.003896                1
        3168   1.2697         0.0118327        0.0138974    36.8215  1.05145  0.003896                1
        3170   1.29147        0.0120355        0.0141356    36.8215  1.05145  0.003896                1
        3172   1.31195        0.0122264        0.0143598    36.8215  1.05145  0.003896                1
        3174   1.33492        0.0124405        0.0146112    36.8215  1.05145  0.003896                1
        3176   1.34869        0.0125688        0.014762     36.8215  1.05145  0.003896                1
        3178   1.3354         0.012445         0.0146165    36.8215  1.05145  0.003896                1
        3180   1.2921         0.0120415        0.0141426    36.8215  1.05145  0.003896                1
        3182   1.26331        0.0117731        0.0138274    36.8215  1.05145  0.003896                1
        3184   1.29444        0.0120632        0.0141681    36.8215  1.05145  0.003896                1
        3186   1.36291        0.0127013        0.0149176    36.8215  1.05145  0.003896                1
        3188   1.42247        0.0132564        0.0155695    36.8215  1.05145  0.003896                1
        3190   1.43707        0.0133925        0.0157293    36.8215  1.05145  0.003896                1
        3192   1.42905        0.0133177        0.0156415    36.8215  1.05145  0.003896                1
        3194   1.4208         0.0132408        0.0155513    36.8215  1.05145  0.003896                1
        3196   1.41989        0.0132324        0.0155413    36.8215  1.05145  0.003896                1
        3198   1.42277        0.0132592        0.0155728    36.8215  1.05145  0.003896                1
        3200   1.42383        0.0132691        0.0155844    36.8215  1.05145  0.003896                1
