# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 42.000000 and phase < 46.000000 and ((dm15_source >= .8 and dm15_source < 1.4) or (dm15_from_fits >= .8 and dm15_from_fits < 1.4)) and globalssfr > -10.7
# N = 18
# N_spec = 23
# phase = 44.14
# dm15 = 1.04
# z = 0.015

  Wavelength      Flux    1-Sigma Lower    1-Sigma Upper    Phase      Dm15    Redshift    SNe per Bin
------------  --------  ---------------  ---------------  -------  --------  ----------  -------------
        2922  1.05101        0.0111314        0.00377253  43.7944  1.05145   0.003896                1
        2924  1.00756        0.0106712        0.00361657  43.7944  1.05145   0.003896                1
        2926  1.03169        0.0109268        0.00370318  43.7944  1.05145   0.003896                1
        2928  1.08733        0.0115161        0.00390291  43.7944  1.05145   0.003896                1
        2930  1.14704        0.0121485        0.00411723  43.7944  1.05145   0.003896                1
        2932  1.1601         0.0122868        0.00416411  43.7944  1.05145   0.003896                1
        2934  1.07714        0.0114081        0.00386631  43.7944  1.05145   0.003896                1
        2936  0.907599       0.00961251       0.00325777  43.7944  1.05145   0.003896                1
        2938  0.809651       0.00857513       0.00290619  43.7944  1.05145   0.003896                1
        2940  0.944175       0.00999989       0.00338905  43.7944  1.05145   0.003896                1
        2942  1.20461        0.0127582        0.00432388  43.7944  1.05145   0.003896                1
        2944  1.40618        0.0148931        0.00504741  43.7944  1.05145   0.003896                1
        2946  1.41352        0.0149708        0.00507374  43.7944  1.05145   0.003896                1
        2948  1.32953        0.0140812        0.00477225  43.7944  1.05145   0.003896                1
        2950  1.25436        0.0132851        0.00450245  43.7944  1.05145   0.003896                1
        2952  1.21842        0.0129044        0.00437343  43.7944  1.05145   0.003896                1
        2954  1.2067         0.0127803        0.00433137  43.7944  1.05145   0.003896                1
        2956  1.20457        0.0127578        0.00432373  43.7944  1.05145   0.003896                1
        2958  1.20419        0.0127537        0.00432235  43.7944  1.05145   0.003896                1
        2960  1.20425        0.0127544        0.00432258  43.7944  1.05145   0.003896                1
        2962  1.21171        0.0128334        0.00434936  43.7944  1.05145   0.003896                1
        2964  1.23587        0.0130893        0.00443609  43.7944  1.05145   0.003896                1
        2966  1.27228        0.0134749        0.00456677  43.7944  1.05145   0.003896                1
        2968  1.2903         0.0136658        0.00463146  43.7944  1.05145   0.003896                1
        2970  1.25588        0.0133012        0.00450791  43.7944  1.05145   0.003896                1
        2972  1.18749        0.0125769        0.00426241  43.7944  1.05145   0.003896                1
        2974  1.11411        0.0117997        0.00399902  43.7944  1.05145   0.003896                1
        2976  1.06585        0.0112886        0.0038258   43.7944  1.05145   0.003896                1
        2978  1.05323        0.0111549        0.00378051  43.7944  1.05145   0.003896                1
        2980  1.08937        0.0115377        0.00391023  43.7944  1.05145   0.003896                1
        2982  1.14599        0.0121374        0.00411347  43.7944  1.05145   0.003896                1
        2984  1.19343        0.0126398        0.00428375  43.7944  1.05145   0.003896                1
        2986  1.21541        0.0128726        0.00436263  43.7944  1.05145   0.003896                1
        2988  1.23052        0.0130326        0.00441688  43.7944  1.05145   0.003896                1
        2990  1.24911        0.0132295        0.00448358  43.7944  1.05145   0.003896                1
        2992  1.2387         0.0131193        0.00444624  43.7944  1.05145   0.003896                1
        2994  1.15715        0.0122555        0.00415351  43.7944  1.05145   0.003896                1
        2996  1.02063        0.0108096        0.00366349  43.7944  1.05145   0.003896                1
        2998  0.941881       0.0099756        0.00338082  43.7944  1.05145   0.003896                1
        3000  1.02868        0.0108949        0.00369239  43.7944  1.05145   0.003896                1
        3002  1.16464        0.0123348        0.00418038  43.7944  1.05145   0.003896                1
        3004  1.20091        0.012719         0.00431059  43.7944  1.05145   0.003896                1
        3006  1.07765        0.0114135        0.00386815  43.7944  1.05145   0.003896                1
        3008  0.926797       0.00981584       0.00332668  43.7944  1.05145   0.003896                1
        3010  0.880343       0.00932384       0.00315993  43.7944  1.05145   0.003896                1
        3012  0.910614       0.00964444       0.00326859  43.7944  1.05145   0.003896                1
        3014  0.952999       0.0100933        0.00342073  43.7944  1.05145   0.003896                1
        3016  0.964961       0.01022          0.00346366  43.7944  1.05145   0.003896                1
        3018  0.957916       0.0101454        0.00343838  43.7944  1.05145   0.003896                1
        3020  0.94546        0.0100135        0.00339367  43.7944  1.05145   0.003896                1
        3022  0.929666       0.00984622       0.00333697  43.7944  1.05145   0.003896                1
        3024  0.906169       0.00959736       0.00325263  43.7944  1.05145   0.003896                1
        3026  0.877569       0.00929445       0.00314997  43.7944  1.05145   0.003896                1
        3028  0.855883       0.00906478       0.00307214  43.7944  1.05145   0.003896                1
        3030  0.856794       0.00907443       0.00307541  43.7944  1.05145   0.003896                1
        3032  0.880297       0.00932336       0.00315977  43.7944  1.05145   0.003896                1
        3034  0.925397       0.00980102       0.00332165  43.7944  1.05145   0.003896                1
        3036  0.980774       0.0103875        0.00352043  43.7944  1.05145   0.003896                1
        3038  1.02461        0.0108518        0.00367777  43.7944  1.05145   0.003896                1
        3040  1.03471        0.0109587        0.00371402  43.7944  1.05145   0.003896                1
        3042  1.0245         0.0108507        0.00367739  43.7944  1.05145   0.003896                1
        3044  1.0097         0.0106938        0.00362423  43.7944  1.05145   0.003896                1
        3046  1.00152        0.0106072        0.00359489  43.7944  1.05145   0.003896                1
        3048  1.00107        0.0106024        0.00359326  43.7944  1.05145   0.003896                1
        3050  1.00784        0.0106742        0.00361758  43.7944  1.05145   0.003896                1
        3052  1.0141         0.0107405        0.00364004  43.7944  1.05145   0.003896                1
        3054  1.01296        0.0107284        0.00363596  43.7944  1.05145   0.003896                1
        3056  1.00317        0.0106247        0.00360081  43.7944  1.05145   0.003896                1
        3058  0.991076       0.0104966        0.0035574   43.7944  1.05145   0.003896                1
        3060  0.982845       0.0104095        0.00352786  43.7944  1.05145   0.003896                1
        3062  0.977577       0.0103537        0.00350895  43.7944  1.05145   0.003896                1
        3064  0.973402       0.0103094        0.00349396  43.7944  1.05145   0.003896                1
        3066  0.971377       0.010288         0.00348669  43.7944  1.05145   0.003896                1
        3068  0.975135       0.0103278        0.00350018  43.7944  1.05145   0.003896                1
        3070  0.983148       0.0104127        0.00352894  43.7944  1.05145   0.003896                1
        3072  0.973951       0.0103152        0.00349593  43.7944  1.05145   0.003896                1
        3074  0.926637       0.00981414       0.0033261   43.7944  1.05145   0.003896                1
        3076  0.854245       0.00904743       0.00306626  43.7944  1.05145   0.003896                1
        3078  0.873023       0.0706435       11.3622      43.7977  1.05188   0.00394384              2
        3080  0.819939       0.0111676        0.968929    43.7977  1.05188   0.0039443               2
        3082  0.884096       0.0177741        2.62392     43.7978  1.05189   0.00394486              2
        3084  0.963061       0.0281449        4.60789     43.7978  1.05188   0.00394455              2
        3086  0.947245       6.30621          0.0283558   43.7978  1.05189   0.00394491              2
        3088  0.997547       3.07225          0.0120451   43.7978  1.05189   0.00394539              2
        3090  1.01634        0.013063         1.02389     43.7979  1.0519    0.00394631              2
        3092  0.96591        2.33122          0.00882832  43.798   1.05191   0.00394734              2
        3094  0.94401        0.755275         0.0028252   43.798   1.05191   0.00394806              2
        3096  0.941756       0.0192416        2.67687     43.7981  1.05192   0.00394875              2
        3098  0.872409       4.88545          0.0245165   43.7981  1.05192   0.00394922              2
        3100  0.872766       3.22476          0.01468     43.7982  1.05193   0.00395034              2
        3102  0.903549       0.037162         5.25429     43.7982  1.05194   0.00395133              2
        3104  0.860381       0.0674172        9.2582      43.7983  1.05195   0.00395199              2
        3106  0.74454        0.0362357        4.96168     43.7983  1.05196   0.0039528               2
        3108  0.658841       2.43154          0.0118999   43.7984  1.05197   0.00395395              2
        3110  0.715085       5.439            0.0315605   43.7985  1.05198   0.00395515              2
        3112  0.824101       4.98049          0.0270966   43.7986  1.05199   0.00395616              2
        3114  0.882326       3.73885          0.0212479   43.7987  1.052     0.00395729              2
        3116  0.89817        0.0087275        0.124402    43.7987  1.05201   0.00395845              2
        3118  0.92447        0.0520493        6.33792     43.7988  1.05202   0.00395954              2
        3120  0.941555       0.0584104        6.95933     43.7989  1.05203   0.00396076              2
        3122  0.927471       0.0245265        2.96327     43.799   1.05204   0.00396189              2
        3124  0.907688       0.0154453        1.31164     43.7991  1.05205   0.00396329              2
        3126  0.879606       0.0134996        0.919884    43.7992  1.05206   0.00396451              2
        3128  0.874072       0.015294         1.3193      43.7992  1.05207   0.00396527              2
        3130  0.934291       0.0336493        3.75006     43.7993  1.05208   0.00396635              2
        3132  0.965212       0.0148003        0.960966    43.7994  1.05209   0.00396769              2
        3134  0.971088       3.46218          0.0233826   43.7995  1.0521    0.00396879              2
        3136  1.01287        2.36186          0.0145488   43.7995  1.05211   0.00397005              2
        3138  1.05523        0.305753         0.00310503  43.7996  1.05212   0.00397123              2
        3140  1.05899        1.78438          0.0100265   43.7997  1.05213   0.00397262              2
        3142  1.1072         0.0200481        1.61465     43.7998  1.05214   0.00397395              2
        3144  1.11215        0.0218607        1.9246      43.7999  1.05216   0.00397537              2
        3146  1.10991        0.0304211        2.97274     43.8     1.05217   0.00397705              2
        3148  1.0978         0.049443         4.65821     43.8001  1.05218   0.00397837              2
        3150  1.05647        0.0492645        4.55392     43.8002  1.05219   0.00397984              2
        3152  1.02649        0.0399752        3.65913     43.8003  1.05221   0.00398116              2
        3154  1.02833        0.0162965        1.00242     43.8004  1.05222   0.00398232              2
        3156  1.07785        0.593245         0.00370335  43.8005  1.05223   0.00398424              2
        3158  1.10195        4.24188          0.034535    43.8007  1.05225   0.00398602              2
        3160  1.10766        6.67723          0.0636793   43.8008  1.05226   0.00398731              2
        3162  1.1901         1.2228           0.00777566  43.8009  1.05228   0.00398904              2
        3164  1.2716         0.0552507        4.52048     43.801   1.05229   0.00399075              2
        3166  1.29669        0.0747585        5.96894     43.8011  1.05231   0.0039923               2
        3168  2.0271         0.780577         1.49353     43.7646  1.08267   0.0140729               3
        3170  1.91242        0.70496          1.28282     43.7651  1.08235   0.0139655               3
        3172  1.93638        0.757036         1.3264      43.7647  1.08281   0.0141147               3
        3174  2.01497        0.795327         1.49857     43.7646  1.08295   0.0141591               3
        3176  1.95034        0.70864          1.28408     43.7653  1.0824    0.0139731               3
        3178  1.79641        0.524865         0.965079    43.7664  1.08167   0.0137273               3
        3180  1.82934        0.495591         0.976975    43.7677  1.08064   0.0133834               3
        3182  1.93888        0.571096         1.19047     43.769   1.07963   0.0130453               3
