# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 22.000000 and phase < 26.000000 and ((dm15_source >= .8 and dm15_source < 1.4) or (dm15_from_fits >= .8 and dm15_from_fits < 1.4)) and globalssfr > -10.7
# N = 23
# N_spec = 34
# phase = 24.3
# dm15 = 1.09
# z = 0.016

  Wavelength       Flux    1-Sigma Lower    1-Sigma Upper    Phase      Dm15    Redshift    SNe per Bin
------------  ---------  ---------------  ---------------  -------  --------  ----------  -------------
        3144   7.58099        0.0906038        0.137599    24.7157  1.19      0.0094                  1
        3146   7.06581        0.0844466        0.128248    24.7157  1.19      0.0094                  1
        3148   0.134236       0.00160431       0.00243645  24.7157  1.19      0.0094                  1
        3150   2.32384        0.0277732        0.0421789   24.7157  1.19      0.0094                  1
        3152   3.24639        0.0387991        0.0589237   24.7157  1.19      0.0094                  1
        3154   0.437509       0.00522887       0.00794101  24.7157  1.19      0.0094                  1
        3156  -1.57514        0.0285896        0.0188252   24.7157  1.19      0.0094                  1
        3158  -0.741716       0.0134625        0.00886457  24.7157  1.19      0.0094                  1
        3160   0.860842       0.0102883        0.0156247   24.7157  1.19      0.0094                  1
        3162  -0.411492       0.0074688        0.00491793  24.7157  1.19      0.0094                  1
        3164   3.48095        0.0416024        0.0631811   24.7157  1.19      0.0094                  1
        3166   5.568          2.13327          0.133397    24.646   1.1808    0.00916886              2
        3168   4.30705        1.02644          0.0728928   24.6471  1.18095   0.00917254              2
        3170   2.72144        0.0411421        0.838849    24.6487  1.18116   0.00917782              2
        3172   0.904685       0.0942381        1.58976     24.6494  1.18125   0.00918017              2
        3174   4.6739         4.12307          0.262471    24.6499  1.18131   0.00918171              2
        3176   5.61814        3.65435          0.219793    24.6509  1.18145   0.00918509              2
        3178   3.18785        1.38833          0.0794091   24.6519  1.18158   0.00918843              2
        3180   0.152411       0.118443         2.89269     24.9131  0.882352  0.00530051              3
        3182   0.166243       0.150937         3.61294     24.913   0.882499  0.00530247              3
        3184   0.109377       0.0481133        1.19793     24.9129  0.88277   0.0053061               3
        3186   0.235031       0.0449428        1.1357      24.9127  0.882984  0.00530896              3
        3188   0.331348       0.11508          2.86895     24.9127  0.883061  0.00530999              3
        3190   0.306062       0.142918         3.21397     24.9125  0.883354  0.00531392              3
        3192   0.399882       0.142795         3.13253     24.9124  0.883511  0.00531602              3
        3194   0.338623       0.106713         2.32462     24.9123  0.883724  0.00531884              3
        3196   0.267865       0.107999         2.22673     24.9121  0.883966  0.00532206              3
        3198   0.377202       0.191453         3.95635     24.912   0.884195  0.00532513              3
        3200   0.419395       0.258142         5.30938     24.9119  0.884334  0.00532697              3
        3202   0.462687       0.201024         4.06639     24.9118  0.884521  0.00532947              3
        3204   0.477949       0.166204         3.26255     24.9116  0.884791  0.00533305              3
        3206   0.448957       0.0870845        1.9139      24.9115  0.884923  0.0053348               3
        3208   0.261241       0.0722773        1.57895     24.9114  0.885054  0.00533654              3
        3210   0.303968       0.121167         2.56345     24.9112  0.885342  0.00534039              3
        3212   0.316549       0.131597         2.62972     24.9111  0.885543  0.00534305              3
        3214   0.315141       0.134141         2.78687     24.911   0.885634  0.00534425              3
