# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 14.000000 and phase < 18.000000 and ((dm15_source >= .8 and dm15_source < 1.4) or (dm15_from_fits >= .8 and dm15_from_fits < 1.4)) and globalssfr > -10.7
# N = 26
# N_spec = 50
# phase = 16.13
# dm15 = 1.07
# z = 0.011

  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper    Phase      Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  -------  --------  ----------  -------------
        1596  -1.10177          0.0145961        0.0298275    14       0.92      0.00389                 1
        1598  -0.730086         0.00967205       0.0197651    14       0.92      0.00389                 1
        1600   0.312915         0.00847131       0.00414544   14       0.92      0.00389                 1
        1602   1.31565          0.0356178        0.0174295    14       0.92      0.00389                 1
        1604  -0.495801         0.00656829       0.0134225    14       0.92      0.00389                 1
        1606   0.969148         0.0262371        0.0128391    14       0.92      0.00389                 1
        1608   0.0957442        0.00259201       0.0012684    14       0.92      0.00389                 1
        1610   1.99707          0.0540653        0.0264568    14       0.92      0.00389                 1
        1612  -0.12981          0.0017197        0.00351426   14       0.92      0.00389                 1
        1614   0.193315         0.00523349       0.00256101   14       0.92      0.00389                 1
        1616  -0.579409         0.0076759        0.0156859    16.9533  0.92      0.00389                 1
        1618   0.112959         0.00305807       0.00149646   16.9074  0.92      0.00389                 1
        1620   0.246352         0.00666932       0.00326363   16.8581  0.92      0.00389                 1
        1622   0.330675         0.00895214       0.00438073   16.8053  0.92      0.00389                 1
        1624  -0.202009         0.00267618       0.00546885   16.7493  0.92      0.00389                 1
        1626   0.233637         0.0063251        0.00309518   16.6899  0.92      0.00389                 1
        1628   0.230387         0.0062371        0.00305212   16.6275  0.92      0.00389                 1
        1630   0.05906          0.00159889       0.000782416  16.5623  0.92      0.00389                 1
        1632   0.141249         0.00382394       0.00187124   16.4946  0.92      0.00389                 1
        1634  -0.224722         0.00297708       0.00608374   16.425   0.92      0.00389                 1
        1636   0.342626         0.00927568       0.00453905   16.354   0.92      0.00389                 1
        1638   0.912887         0.0247139        0.0120938    16.2823  0.92      0.00389                 1
        1640   0.83927          0.022721         0.0111185    16.2105  0.92      0.00389                 1
        1642   0.624344         0.0169024        0.0082712    16.1393  0.92      0.00389                 1
        1644   0.222908         0.00603462       0.00295304   16.0696  0.92      0.00389                 1
        1646   0.0603027        0.00163253       0.000798879  16.002   0.92      0.00389                 1
        1648  -0.0645776        0.000855512      0.00174826   15.9373  0.92      0.00389                 1
        1650   0.175332         0.00474663       0.00232276   15.8762  0.92      0.00389                 1
        1652  -0.202925         0.00268831       0.00549364   15.8191  0.92      0.00389                 1
        1654   0.0899058        0.00243395       0.00119106   15.7665  0.92      0.00389                 1
        1656   0.60595          0.0164045        0.00802752   15.7188  0.92      0.00389                 1
        1658   0.425121         0.011509         0.00563192   15.6762  0.92      0.00389                 1
        1660   0.099569         0.00269556       0.00131907   15.6388  0.92      0.00389                 1
        1662   0.0106216        0.000287551      0.000140713  15.6067  0.92      0.00389                 1
        1664   0.237765         0.00643684       0.00314987   15.5797  0.92      0.00389                 1
        1666  -0.0776692        0.00102895       0.00210268   15.5577  0.92      0.00389                 1
        1668  -0.232518         0.00308036       0.00629481   15.5404  0.92      0.00389                 1
