# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= -10.000000 and phase < -6.000000 and ((dm15_source >= .8 and dm15_source < 1.4) or (dm15_from_fits >= .8 and dm15_from_fits < 1.4)) and globalssfr > -10.7
# N = 26
# N_spec = 69
# phase = -7.75
# dm15 = 1.04
# z = 0.014

  Wavelength         Flux    1-Sigma Lower    1-Sigma Upper     Phase      Dm15    Redshift    SNe per Bin
------------  -----------  ---------------  ---------------  --------  --------  ----------  -------------
        1596   0.302827        0.00466992       0.00997146   -6.6      0.92      0.00389                 1
        1598   0.242059        0.00373282       0.0079705    -6.6      0.92      0.00389                 1
        1600  -0.029419        0.000968705      0.000453673  -6.6      0.92      0.00389                 1
        1602   0.587363        0.00905778       0.0193406    -6.6      0.92      0.00389                 1
        1604   0.711564        0.0109731        0.0234303    -6.6      0.92      0.00389                 1
        1606   0.658126        0.010149         0.0216707    -6.6      0.92      0.00389                 1
        1608   0.0718226       0.00110758       0.00236497   -6.6      0.92      0.00389                 1
        1610  -0.509449        0.0167751        0.00785626   -6.6      0.92      0.00389                 1
        1612  -0.0551251       0.00181515       0.00085009   -6.6      0.92      0.00389                 1
        1614   0.43764         0.0067489        0.0144106    -6.6      0.92      0.00389                 1
        1616  -0.311098        0.0102438        0.00479747   -6.6      0.92      0.00389                 1
        1618  -0.406229        0.0133763        0.0062645    -6.6      0.92      0.00389                 1
        1620  -0.0509322       0.00167709       0.000785431  -6.6      0.92      0.00389                 1
        1622  -0.120293        0.00396099       0.00185505   -6.6      0.92      0.00389                 1
        1624   0.0227454       0.00035076       0.00074896   -6.6      0.92      0.00389                 1
        1626   0.252278        0.00389041       0.008307     -6.6      0.92      0.00389                 1
        1628   0.227527        0.00350872       0.00749199   -6.6      0.92      0.00389                 1
        1630  -0.202514        0.00666837       0.00312299   -6.6      0.92      0.00389                 1
        1632  -0.0962971       0.00317086       0.00148501   -6.6      0.92      0.00389                 1
        1634   0.166777        0.00257188       0.00549162   -6.6      0.92      0.00389                 1
        1636   0.030735        0.000473967      0.00101204   -6.6      0.92      0.00389                 1
        1638   0.0925004      23.0359           0.00279719   -6.60011  0.920029  0.00389041              2
        1640   0.18698        18.9421           0.00435597   -6.6001   0.920027  0.00389038              2
        1642   0.0416084      11.5221           0.00122466   -6.60009  0.920025  0.00389035              2
        1644  -0.00760081      1.84428          0.000318657  -6.60009  0.920023  0.00389033              2
        1646   0.103501        0.00291475      14.5372       -6.60008  0.920021  0.0038903               2
        1648   0.0491577       0.0034799       28.1858       -6.60007  0.92002   0.00389028              2
        1650   0.0829143       0.00372246      28.649        -6.60007  0.920018  0.00389026              2
        1652   0.0570986       0.0020691       15.1413       -6.60006  0.920017  0.00389024              2
        1654   0.0951804       0.0023098       13.3291       -6.60006  0.920016  0.00389022              2
        1656  -0.0539719       0.00160946      22.7345       -6.60006  0.920015  0.00389021              2
        1658  -0.0496881       0.00162868      29.1583       -6.60005  0.920014  0.0038902               2
        1660   0.114425        0.00317526      25.2036       -6.60005  0.920013  0.00389018              2
        1662   0.0341645       0.00157492      19.0557       -6.60005  0.920012  0.00389017              2
        1664   0.0102224       0.00128648      18.9724       -6.60004  0.920011  0.00389016              2
        1666   0.046987        0.0021266       28.0749       -6.60004  0.920011  0.00389015              2
        1668  -0.0267834       0.00170887      36.6683       -6.60004  0.92001   0.00389015              2
        1670   0.0343059       0.00215276      34.7098       -6.60004  0.92001   0.00389014              2
        1672   0.10567         0.00840559       0.0180387    -6.70353  0.98487   0.00282535              3
        1674   0.123987        0.0155479        0.0166834    -6.7006   0.983033  0.0028555               3
        1676   0.213834        0.074954         0.0691036    -6.69794  0.981371  0.00288278              3
        1678   0.254415        0.117857         0.10862      -6.69556  0.979879  0.00290727              3
        1680   0.0669374       0.0466713        0.102501     -6.69344  0.97855   0.00292907              3
        1682   0.0776232       0.117272         0.261628     -6.69157  0.977379  0.00294829              3
        1684   0.082477        0.119987         0.108885     -6.68994  0.976357  0.00296506              3
        1686   0.0693188       0.141094         0.12787      -6.68854  0.975479  0.00297948              3
        1688   0.0564722       0.105244         0.096682     -6.68735  0.974735  0.00299168              3
        1690   0.0785959       0.0294807        0.0739439    -6.68637  0.97412   0.00300178              3
        1692   0.0181746       0.0836177        0.204416     -6.68558  0.973625  0.00300989              3
        1694  -0.0146718       0.111305         0.272421     -6.68498  0.973245  0.00301614              3
        1696   0.0452361       0.100748         0.0942771    -6.68454  0.972971  0.00302063              3
        1698   0.0704023       0.0490148        0.048153     -6.68426  0.972797  0.00302349              3
        1700   0.0880123       0.0299498        0.0309375    -6.68413  0.972715  0.00302482              3
        1702   0.0896349       0.0889741        0.0865837    -6.68414  0.972719  0.00302475              3
        1704   0.0307836       0.0832634        0.0777154    -6.68427  0.972802  0.0030234               3
