# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= -2.000000 and phase < 2.000000 and ((dm15_source >= .8 and dm15_source < 1.4) or (dm15_from_fits >= .8 and dm15_from_fits < 1.4)) and globalssfr > -10.7
# N = 35
# N_spec = 85
# phase = -0.02
# dm15 = 1.07
# z = 0.012

  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper         Phase      Dm15      Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  ------------  --------  ------------  -------------
        1604  -0.143783         0.000166298      0.00197784    1.2          0.92        0.00389                 1
        1606   0.114363         0.00157314       0.00013227    1.2          0.92        0.00389                 1
        1608   0.125582         0.00172746       0.000145246   1.2          0.92        0.00389                 1
        1610  -0.0294624        3.40758e-05      0.000405276   1.2          0.92        0.00389                 1
        1612   0.367435         0.00505432       0.00042497    1.2          0.92        0.00389                 1
        1614   0.269164         0.00370253       0.000311311   1.2          0.92        0.00389                 1
        1616   0.019435         0.000267342      2.24783e-05   1.2          0.92        0.00389                 1
        1618  -0.113449         0.000131213      0.00156057   -0.461883     0.92        0.00389                 1
        1620  -0.166035         0.000192034      0.00228392   -0.446183     0.92        0.00389                 1
        1622  -0.443427         0.000512861      0.00609964   -0.4296       0.92        0.00389                 1
        1624  -0.0321307        3.7162e-05       0.00044198   -0.412115     0.92        0.00389                 1
        1626  -0.0426579        4.93375e-05      0.000586788  -0.393715     0.92        0.00389                 1
        1628  -0.0621827        7.19197e-05      0.000855367  -0.374399     0.92        0.00389                 1
        1630  -0.0850731        9.83944e-05      0.00117024   -0.354175     0.92        0.00389                 1
        1632   0.079192         0.00108934       9.15924e-05  -0.333067     0.92        0.00389                 1
        1634   0.271491         0.00373455       0.000314003  -0.311111     0.92        0.00389                 1
        1636   0.0888362        0.001222         0.000102747  -0.28836      0.92        0.00389                 1
        1638  -0.100929         0.000116733      0.00138835   -0.264887     0.92        0.00389                 1
        1640  -0.0461759        5.34064e-05      0.000635181  -0.240778     0.92        0.00389                 1
        1642  -0.0624331        7.22092e-05      0.00085881   -0.216142     0.92        0.00389                 1
        1644  -0.105945         0.000122535      0.00145735   -0.191103     0.92        0.00389                 1
        1646  -0.217749         0.000251845      0.00299528   -0.165801     0.92        0.00389                 1
        1648  -0.064865         7.5022e-05       0.000892263  -0.140394     0.92        0.00389                 1
        1650  -0.192487         0.000222628      0.00264779   -0.115048     0.92        0.00389                 1
        1652  -0.0764027        8.83663e-05      0.00105097   -0.0899419    0.92        0.00389                 1
        1654  -0.0241256        2.79033e-05      0.000331864  -0.065257     0.92        0.00389                 1
        1656  -0.0190034        2.19791e-05      0.000261405  -0.0411778    0.92        0.00389                 1
        1658  -0.113169         0.00013089       0.00155672   -0.0178854    0.92        0.00389                 1
        1660  -0.168262         0.000194609      0.00231456    0.00444613   0.92        0.00389                 1
        1662  -0.0274139        3.17065e-05      0.000377097   0.0256537    0.92        0.00389                 1
        1664   0.0284914        0.000391918      3.29527e-05   0.0455894    0.92        0.00389                 1
        1666   0.0542361        0.000746056      6.27288e-05   0.0641236    0.92        0.00389                 1
        1668  -0.0523591        6.05578e-05      0.000720236   0.0811482    0.92        0.00389                 1
        1670   0.00437621       6.01979e-05      5.06147e-06   0.0965786    0.92        0.00389                 1
        1672   0.132913         0.0403673        0.289135      0.109103     0.94274     0.00351673              2
        1674   0.152064         0.0315585        0.227212      0.119758     0.942517    0.00352039              2
        1676   0.0802813        0.04022          0.295147      0.128938     0.942361    0.00352295              2
        1678   0.0675404        0.0433388        0.320033      0.136647     0.942271    0.00352442              2
        1680   0.0641059        0.0324276        0.239339      0.142913     0.942249    0.00352479              2
        1682   0.153214         0.00488297       0.031174      0.14779      0.942293    0.00352406              2
        1684   0.0960452        0.0406442        0.297189      0.151357     0.942403    0.00352226              2
        1686   0.0741011        0.0436777        0.317413      0.153712     0.942576    0.00351941              2
        1688   0.0926081        0.0143419        0.10108       0.154971     0.94281     0.00351557              2
        1690   0.108996         0.0182471        0.12699       0.155265     0.943103    0.00351077              2
        1692   0.0702784        0.0128962        0.0884204     0.154739     0.943449    0.00350509              2
        1694   0.0765918        0.017796         0.120244      0.15354      0.943844    0.0034986               2
        1696   0.0114095        0.0399654        0.268902      0.151825     0.944285    0.00349136              2
        1698   0.0216244        0.0349742        0.22969       0.149746     0.944765    0.00348348              2
        1700   0.102176         0.0190226        0.119634      0.147455     0.945279    0.00347505              2
        1702  -0.0174188        0.0396985        0.249798      0.145099     0.94582     0.00346617              2
        1704   0.0315298        0.0377544        0.230182      0.142816     0.946382    0.00345694              2
        1706   0.0905207        0.0321837        0.189757      0.140732     0.946959    0.00344747              2
        1708   0.0205784        0.0335781        0.194887      0.138962     0.947544    0.00343786              2
        1710   0.0276865        0.0334637        0.189254      0.13761      0.948132    0.00342821              2
        1712   0.10037          0.0234357        0.1275        0.136764     0.948716    0.00341863              2
        1714   0.0170832        0.0215989        0.116489      0.136496     0.949291    0.0034092               2
        1716   0.0975509        0.027945         0.145672      0.136867     0.949851    0.0034                  2
        1718   0.0437765        0.0307706        0.15837       0.137922     0.950392    0.00339112              2
        1720   0.0450223        0.0382766        0.19326       0.13969      0.95091     0.00338262              2
        1722   0.0869255        0.0162319        0.0789977     0.142188     0.951401    0.00337455              2
        1724   0.0737863        0.0285795        0.138296      0.14542      0.951863    0.00336697              2
        1726   0.0626376        0.0485385        0.232379      0.149376     0.952293    0.00335991              2
        1728   0.0753808        0.0337292        0.158467      0.154035     0.95269     0.00335339              2
        1730   0.0881573        0.0262676        0.121182      0.159365     0.953052    0.00334745              2
        1732   0.0410708        0.0301033        0.138412      0.165323     0.953378    0.0033421               2
        1734   0.0583392        0.0315905        0.143427      0.171855     0.953668    0.00333734              2
        1736   0.0424754        0.0301521        0.135906      0.178901     0.953922    0.00333318              2
        1738   0.0184868        0.0222038        0.0995699     0.186394     0.954139    0.00332961              2
        1740   0.0532674        0.0299723        0.13297       0.194262     0.954319    0.00332665              2
        1742   0.0409904        0.0274647        0.121368      0.202424     0.954464    0.00332427              2
        1744   0.0531913        0.0389504        0.171547      0.210801     0.954574    0.00332247              2
        1746   0.0355934        0.0273068        0.119975      0.219308     0.95465     0.00332122              2
        1748   0.099849         0.0191272        0.082475      0.227861     0.954694    0.0033205               2
        1750   0.0418361        0.0370834        0.162727      0.236375     0.954707    0.00332029              2
        1752   0.0306061        0.0343703        0.151078      0.244768     0.954692    0.00332054              2
        1754  -0.00433059       0.0412769        0.18269       0.252956     0.954651    0.00332121              2
        1756  -0.0133168        0.0333336        0.148101      0.260862     0.954588    0.00332225              2
        1758   0.0488746        0.0213534        0.0938955     0.268408     0.954506    0.00332359              2
        1760   0.107956         0.0137988        0.059413      0.275525     0.95441     0.00332516              2
        1762   0.0364627        0.0379907        0.16924       0.282143     0.954305    0.00332689              2
        1764   0.0232958        0.0261008        0.116774      0.288199     0.954195    0.0033287               2
        1766   0.0063197        0.0324412        0.146262      0.293634     0.954086    0.00333048              2
        1768   0.0811187        0.0210267        0.0935605     0.298395     0.953984    0.00333216              2
        1770   0.0791875        0.0211882        0.0946341     0.302431     0.953894    0.00333363              2
        1772   0.0634753        0.0190789        0.0855864     0.305701     0.953823    0.0033348               2
        1774   0.0875932        0.0230689        0.10345       0.308168     0.953776    0.00333558              2
        1776   0.0609231        0.0342828        0.155195      0.309803     0.953758    0.00333587              2
        1778   0.0181915        0.0426427        0.19418       0.310583     0.953774    0.0033356               2
        1780   0.0535068        0.0309286        0.139677      0.310492     0.953829    0.00333469              2
        1782   0.120677         0.0219099        0.0969824     0.309524     0.953928    0.00333308              2
        1784   0.0842515        0.0292812        0.130433      0.307683     0.954072    0.00333071              2
        1786   0.0394589        0.0315567        0.140591      0.304981     0.954265    0.00332754              2
        1788   0.0333268        0.0208473        0.0919353     0.301443     0.954509    0.00332353              2
        1790   0.0766052        0.0256915        0.111441      0.2971       0.954805    0.00331868              2
        1792   0.0884165        0.0273165        0.116916      0.291998     0.955152    0.00331298              2
        1794   0.0524352        0.0372575        0.158534      0.286193     0.95555     0.00330645              2
        1796   0.0525729        0.0451957        0.189562      0.279751     0.955998    0.0032991               2
        1798   0.0792622        0.0243751        0.0995901     0.272748     0.956492    0.00329098              2
