# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= -6.000000 and phase < -2.000000 and ((dm15_source >= .8 and dm15_source < 1.4) or (dm15_from_fits >= .8 and dm15_from_fits < 1.4)) and globalssfr > -10.7
# N = 36
# N_spec = 75
# phase = -4.16
# dm15 = 1.05
# z = 0.015

  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper     Phase      Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  --------  --------  ----------  -------------
        1596  -0.492783          0.605347         0.79602     -2.3869   1.11228   0.00445552              2
        1598   0.903629          0.365847         0.473945    -2.38645  1.11303   0.00445774              2
        1600  -0.281725          0.440082         0.335557    -2.38599  1.11382   0.00446005              2
        1602   0.0240247         0.134302         0.100011    -2.38551  1.11464   0.00446247              2
        1604   0.0801889         0.0694598        0.0503566   -2.385    1.1155    0.00446499              2
        1606   0.187671          0.159829         0.215791    -2.38447  1.11639   0.00446763              2
        1608   0.199931          0.0134164        0.00808863  -2.38393  1.11733   0.00447037              2
        1610  -0.0449065         0.184215         0.132216    -2.38335  1.1183    0.00447323              2
        1612  -0.227601          0.283798         0.202873    -2.38276  1.11931   0.0044762               2
        1614   0.0443621         0.0667185        0.0459623   -2.38214  1.12036   0.00447929              2
        1616   0.275898          0.151541         0.217603    -2.3815   1.12144   0.00448248              2
        1618  -0.124091          0.0755568        0.051893    -2.38084  1.12257   0.00448578              2
        1620  -0.120444          0.171407         0.11608     -2.38016  1.12372   0.00448919              2
        1622   0.020119          0.0471372        0.071122    -2.37946  1.12491   0.00449268              2
        1624   0.180799          0.154176         0.0980307   -2.37875  1.12612   0.00449625              2
        1626   0.118732          0.0827535        0.127836    -2.37802  1.12736   0.00449988              2
        1628   0.0358271         0.0626897        0.0988469   -2.37729  1.12861   0.00450356              2
        1630   0.0320232         0.108018         0.0666122   -2.37655  1.12987   0.00450726              2
        1632   0.0183206         0.0679555        0.110962    -2.37581  1.13113   0.00451096              2
        1634   0.0739051         0.0472973        0.0276065   -2.37507  1.13238   0.00451464              2
        1636   0.154289          0.0179734        0.0301928   -2.37435  1.13361   0.00451825              2
        1638   0.0183441         0.169425         0.0985546   -2.37365  1.1348    0.00452177              2
        1640   0.053661          0.0600976        0.103548    -2.37297  1.13596   0.00452517              2
        1642   0.000144883       0.133726         0.0757555   -2.37232  1.13706   0.0045284               2
        1644   0.0675215         0.00466944       0.00225914  -2.37171  1.13809   0.00453143              2
        1646  -0.0471619         0.0426809        0.0238177   -2.37116  1.13904   0.00453422              2
        1648   0.000118522       0.059981         0.0327654   -2.37065  1.13989   0.00453675              2
        1650  -0.0803867         0.1737           0.0948677   -2.37021  1.14065   0.00453897              2
        1652   0.0111226         0.246653         0.132215    -2.36983  1.14129   0.00454085              2
        1654   0.0942369         0.0468849        0.0239996   -2.36953  1.14181   0.00454237              2
        1656   0.0575924         0.0312691        0.058373    -2.3693   1.14219   0.00454351              2
        1658   0.0633896         0.106104         0.199413    -2.36915  1.14244   0.00454424              2
        1660   0.0636474         0.0992312        0.0516716   -2.36909  1.14255   0.00454457              2
        1662   0.0678739         0.0159534        0.00773554  -2.3691   1.14252   0.00454448              2
        1664   0.0366064         0.0241938        0.0452401   -2.36921  1.14235   0.00454397              2
        1666   0.0382327         0.014567         0.0271656   -2.36939  1.14204   0.00454306              2
        1668   0.00624651        0.0724361        0.0386378   -2.36965  1.1416    0.00454177              2
        1670   0.0032613         0.0237678        0.012757    -2.36998  1.14104   0.00454012              2
        1672   0.11341           0.069232         0.125798    -2.48279  1.1335    0.00374552              3
        1674   0.141503          0.0954193        0.146867    -2.47912  1.13313   0.00377213              3
        1676   0.11537           0.0803012        0.124491    -2.47591  1.13267   0.00379564              3
        1678   0.0645384         0.04948          0.0866323   -2.47312  1.13212   0.00381621              3
        1680   0.0879131         0.0410063        0.048763    -2.47073  1.1315    0.00383402              3
        1682   0.107702          0.0681396        0.0619021   -2.46871  1.13083   0.00384924              3
        1684   0.116626          0.060397         0.110313    -2.46703  1.13014   0.00386205              3
        1686   0.0615934         0.0631517        0.120141    -2.46567  1.12943   0.00387263              3
        1688   0.0458236         0.050351         0.0924703   -2.4646   1.12872   0.00388114              3
        1690   0.064076          0.0353554        0.0606125   -2.4638   1.12804   0.00388773              3
        1692   0.0752398         0.0507886        0.104424    -2.46323  1.12739   0.00389257              3
        1694   0.0628106         0.0383066        0.0647913   -2.46289  1.12678   0.00389579              3
        1696   0.0939203         0.0303344        0.055608    -2.46274  1.12622   0.00389752              3
        1698   0.0947194         0.035989         0.0470435   -2.46278  1.12572   0.00389788              3
        1700   0.0653459         0.0291473        0.0569553   -2.46299  1.12527   0.00389698              3
        1702   0.045232          0.0459199        0.0853909   -2.46335  1.12486   0.0038949               3
        1704   0.0623964         0.0329555        0.0638179   -2.46386  1.12449   0.00389175              3
        1706   0.0750505         0.043124         0.0750205   -2.4645   1.12416   0.0038876               3
        1708   0.0647676         0.0541543        0.0912767   -2.46526  1.12383   0.00388253              3
        1710   0.0798631         0.0418812        0.0840432   -2.46615  1.12351   0.00387662              3
        1712   0.0723094         0.0557427        0.094441    -2.46715  1.12317   0.00386994              3
