# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 6.000000 and phase < 10.000000 and ((dm15_source >= .8 and dm15_source < 1.4) or (dm15_from_fits >= .8 and dm15_from_fits < 1.4)) and globalssfr > -10.7
# N = 38
# N_spec = 69
# phase = 8.03
# dm15 = 1.08
# z = 0.014

  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper    Phase      Dm15     Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  -------  --------  -----------  -------------
        1596   1.06332          0.00995584       0.00793985   8.4      0.92      0.00389                  1
        1598  -0.0181397        0.000135449      0.000169841  8.4      0.92      0.00389                  1
        1600  -1.12212          0.00837888       0.0105063    8.4      0.92      0.00389                  1
        1602  -0.0498398        0.512822         0.0204565    9.26546  1.10079   0.000922431              2
        1604   0.0285072        0.0184219        0.453582     9.26478  1.10064   0.000924778              2
        1606  -0.051981         1.17448          0.0487136    9.26401  1.10048   0.000927395              2
        1608   0.0189788        0.111867         0.00468907   9.26316  1.10031   0.000930303              2
        1610   0.0518856        0.0142875        0.325234     9.26223  1.10011   0.000933522              2
        1612   0.0713371        0.0526336        1.17197      9.26119  1.09989   0.000937072              2
        1614   0.029979         0.0390161        0.00171911   9.26005  1.09966   0.000940973              2
        1616   0.0371805        0.0157021        0.000654907  9.25881  1.0994    0.000945244              2
        1618   0.0264244        0.356779         0.0175099    9.25745  1.09911   0.000949902              2
        1620   0.0072832        0.0752504        0.00382377   9.25597  1.0988    0.00095496               2
        1622   0.0681618        0.0487738        0.916514     9.25438  1.09847   0.000960427              2
        1624   0.0450131        0.0229716        0.414577     9.25266  1.09811   0.000966307              2
        1626  -0.00739637       0.0615392        0.00355067   9.25083  1.09773   0.000972593              2
        1628   0.0204273        0.0777599        0.00459581   9.24888  1.09732   0.000979271              2
        1630   0.000346095      0.196477         0.0122481    9.24683  1.09689   0.00098631               2
        1632   0.0182534        0.137191         0.00887326   9.24469  1.09645   0.000993668              2
        1634   0.0109495        0.0106974        0.00069719   9.24247  1.09598   0.00100128               2
        1636   0.00512612       0.114821         0.00810203   9.2402   1.09551   0.00100906               2
        1638  -0.000484401      0.0908677        0.00668756   9.23791  1.09503   0.00101691               2
        1640   0.0183279        0.130094         0.00990293   9.23564  1.09456   0.0010247                2
        1642   0.000461299      0.231788         0.018383     9.23343  1.09409   0.00103227               2
        1644  -0.0142988        0.302024         0.0248079    9.23133  1.09366   0.00103946               2
        1646   0.0145805        0.164821         0.0138943    9.2294   1.09325   0.00104608               2
        1648   0.0274068        0.0355465        0.0030149    9.22769  1.0929    0.00105195               2
        1650   0.0104879        0.00100423       0.0110356    9.22626  1.0926    0.00105686               2
        1652   0.0418559        0.0251446        0.277999     9.22515  1.09236   0.00106066               2
        1654   0.0360059        0.0199772        0.218454     9.22441  1.09221   0.00106317               2
        1656   0.0281268        0.0605889        0.00547205   9.22409  1.09214   0.0010643                2
        1658   0.0349883        0.00269018       0.0284999    9.22419  1.09216   0.00106396               2
        1660   0.0158109        0.000848845      0.00893084   9.22472  1.09227   0.00106213               2
        1662   0.0230545        0.00366527       0.0403645    9.22568  1.09248   0.00105884               2
        1664   0.0111275        0.190036         0.0166195    9.22704  1.09276   0.00105418               2
        1666   0.0289272        0.0473557        0.0039695    9.22876  1.09312   0.00104829               2
        1668   0.0235318        0.0851742        0.00698625   9.23079  1.09354   0.00104132               2
        1670   0.0257935        0.0357855        0.00278908   9.23308  1.09402   0.00103347               2
        1672   0.0156658        0.0190604        0.00141975   9.23556  1.09454   0.00102497               2
        1674  -0.00418456       0.144476         0.0105938    9.23817  1.09508   0.00101602               2
        1676   0.0250969        0.00826482       0.117393     9.24085  1.09564   0.00100682               2
        1678   0.0364514        0.0137482        0.205455     9.24354  1.09621   0.000997582              2
        1680   0.0330027        0.00861287       0.135079     9.2462   1.09676   0.000988459              2
        1682   0.0157801        0.0691046        0.0040987    9.24879  1.0973    0.000979599              2
        1684   0.0153582        0.0394748        0.00220372   9.25126  1.09782   0.000971118              2
        1686   0.0180366        0.0038713        0.0708377    9.2536   1.09831   0.000963106              2
        1688   0.00993411       0.232783         0.0119174    9.25578  1.09876   0.000955627              2
        1690   0.0223123        0.15525          0.00752585   9.25779  1.09918   0.000948727              2
        1692   0.0196164        0.000618345      0.0121341    9.25963  1.09957   0.000942429              2
        1694   0.0165232        0.00218326       0.0479235    9.26129  1.09991   0.000936744              2
        1696   0.0268401        0.00143137       0.0317166    9.26277  1.10022   0.00093167               2
        1698   0.0272055        0.0353887        0.00138768   9.26407  1.10049   0.000927194              2
        1700   0.0302323        0.0072508        0.179543     9.26521  1.10073   0.0009233                2
        1702   0.0295968        0.00136327       0.0330956    9.26618  1.10094   0.000919962              2
        1704   0.0349833        0.00346319       0.0891193    9.267    1.10111   0.000917156              2
        1706   0.0272427        0.0849694        0.0030696    9.26767  1.10125   0.000914853              2
        1708   0.0325196        0.00127222       0.0325542    9.2682   1.10136   0.000913022              2
        1710   0.0229375        0.12506          0.00442519   9.26861  1.10144   0.000911634              2
        1712   0.0285195        0.00549289       0.152341     9.26889  1.1015    0.000910658              2
        1714   0.0269561        0.00731767       0.204974     9.26907  1.10154   0.000910065              2
        1716   0.0225321        0.0241299        0.000789429  9.26914  1.10155   0.000909825              2
        1718   0.0301422        0.00572497       0.159909     9.26911  1.10155   0.000909908              2
