# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 22.000000 and phase < 26.000000 and ((dm15_source >= .8 and dm15_source < 1.4) or (dm15_from_fits >= .8 and dm15_from_fits < 1.4)) and globalssfr between -17 and -10.7
# N = 11
# N_spec = 14
# phase = 24.23
# dm15 = 1.11
# z = 0.021

  Wavelength       Flux    1-Sigma Lower    1-Sigma Upper    Phase      Dm15    Redshift    SNe per Bin
------------  ---------  ---------------  ---------------  -------  --------  ----------  -------------
        3226   4.72141         0.0643418       0.0299331   23.0729  1.16      0.026962                1
        3228   5.37804         0.0732901       0.034096    23.0729  1.16      0.026962                1
        3230   1.90158         0.0259141       0.0120558   23.0729  1.16      0.026962                1
        3232   1.03883         0.0141568       0.00658602  23.0729  1.16      0.026962                1
        3234   0.866961        0.940722        2.72499     24.7521  0.899241  0.0326503               2
        3236   0.758315        0.713695        2.03003     24.7447  0.900389  0.0326252               2
        3238   1.46254         0.203326        0.0634226   24.7397  0.901172  0.0326081               2
        3240   0.229122        1.75852         0.629528    24.7328  0.902231  0.0325851               2
        3242  -0.996038        0.709051        1.96296     24.726   0.903299  0.0325617               2
        3244  -0.899543        0.399633        1.09428     24.7187  0.904431  0.0325371               2
        3246   0.592155        0.898212        0.561541    24.2066  0.878408  0.0217363               3
        3248   0.908506        0.481779        0.19282     24.2026  0.878833  0.0217064               3
        3250   1.10982         0.513167        0.391059    24.198   0.879225  0.0216632               3
        3252   1.71697         0.27434         0.226569    24.1929  0.879778  0.0216245               3
        3254   1.4037          0.339777        0.450406    24.1859  0.880487  0.0215679               3
        3256   1.45209         0.413728        0.546412    24.2881  0.936333  0.0213318               4
        3258   1.00283         0.518777        0.485402    24.2873  0.937679  0.0213312               4
        3260   0.97069         0.402301        0.393397    24.2886  0.938807  0.0213569               4
        3262   0.870022        0.718865        0.770141    24.285   0.939554  0.0213166               4
        3264   0.745904        0.679304        0.558814    24.2846  0.940613  0.021325                4
        3266   1.15107         0.51078         0.420732    24.2833  0.941731  0.0213178               4
        3268   0.571509        0.594835        0.543948    24.2832  0.943157  0.0213311               4
        3270   0.67265         0.486579        0.456323    24.281   0.944445  0.0213193               4
        3272   0.569411        0.550039        0.271325    24.279   0.945473  0.021299                4
        3274   0.612697        0.631826        0.598862    24.2772  0.946826  0.0212921               4
        3276   1.26412         0.525607        0.553668    24.274   0.947897  0.0212523               4
        3278   0.833683        0.632595        0.781895    24.2998  1.00595   0.0187022               5
        3280   0.439777        0.58363         0.74922     24.2974  1.0066    0.018664                5
        3282   0.511031        0.579226        0.801774    24.2953  1.00757   0.0186468               5
        3284   0.297954        0.495442        0.73583     24.2936  1.00883   0.0186475               5
        3286   0.699936        0.433741        0.469881    24.291   1.00975   0.0186396               5
        3288   0.875484        0.493548        0.37089     24.2895  1.01078   0.0186415               5
        3290   0.70145         0.279932        0.292044    24.2872  1.01175   0.0186309               5
        3292   1.11338         0.194442        0.239556    24.2849  1.0126    0.0186247               5
        3294   1.23539         0.22028         0.232385    24.2841  1.01395   0.0186248               5
        3296   1.81071         0.22133         0.234001    24.2812  1.01484   0.0186047               5
        3298   1.63397         0.26448         0.205906    24.2777  1.01576   0.0185792               5
        3300   1.22567         0.0851427       0.148132    24.2755  1.01682   0.0185743               5
        3302   0.80473         0.398783        0.304639    24.2717  1.01734   0.0185636               5
