# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 14.000000 and phase < 18.000000 and ((dm15_source >= .8 and dm15_source < 1.4) or (dm15_from_fits >= .8 and dm15_from_fits < 1.4)) and globalssfr between -17 and -10.7
# N = 14
# N_spec = 20
# phase = 15.64
# dm15 = 1.13
# z = 0.027

  Wavelength        Flux    1-Sigma Lower    1-Sigma Upper    Phase      Dm15    Redshift    SNe per Bin
------------  ----------  ---------------  ---------------  -------  --------  ----------  -------------
        3076   1.24509         0.0391101       0.00560835   17.1051  0.98       0.057756               1
        3078   0.47186         0.0148218       0.00212543   17.1051  0.98       0.057756               1
        3080   0.272773        0.00856817      0.00122867   17.1051  0.98       0.057756               1
        3082   1.49226         0.0468738       0.00672166   17.1051  0.98       0.057756               1
        3084   0.948632        0.0297978       0.00427298   17.1051  0.98       0.057756               1
        3086   1.42335         0.0447094       0.00641129   17.1051  0.98       0.057756               1
        3088   2.79206         0.0877025       0.0125765    17.1051  0.98       0.057756               1
        3090   1.85981         0.058419        0.00837724   17.1051  0.98       0.057756               1
        3092   2.28668         0.0718279       0.0103       17.1051  0.98       0.057756               1
        3094   2.3887          0.0750324       0.0107596    17.1051  0.98       0.057756               1
        3096   1.66145         0.0521885       0.00748379   17.1051  0.98       0.057756               1
        3098   1.57558         0.0494913       0.007097     17.1051  0.98       0.057756               1
        3100   1.62245         0.0509632       0.00730808   17.1051  0.98       0.057756               1
        3102   2.3537          0.073933        0.0106019    17.1051  0.98       0.057756               1
        3104   2.26338         0.071096        0.0101951    17.1051  0.98       0.057756               1
        3106   1.61751         0.0508081       0.00728583   17.1051  0.98       0.057756               1
        3108   1.65442         0.0519676       0.00745211   17.1051  0.98       0.057756               1
        3110   1.15473         0.0362715       0.00520131   17.1051  0.98       0.057756               1
        3112   1.42101         0.044636        0.00640076   17.1051  0.98       0.057756               1
        3114   2.45101         0.0769894       0.0110402    17.1051  0.98       0.057756               1
        3116   2.78808         0.0875774       0.0125585    17.1051  0.98       0.057756               1
        3118   2.66888         0.0838332       0.0120216    17.1051  0.98       0.057756               1
        3120   2.26579         0.0711715       0.0102059    17.1051  0.98       0.057756               1
        3122   1.9129          0.0600869       0.0086164    17.1051  0.98       0.057756               1
        3124   2.04303         0.0641744       0.00920256   17.1051  0.98       0.057756               1
        3126   2.28786         0.0718648       0.0103053    17.1051  0.98       0.057756               1
        3128   2.54073         0.0798079       0.0114444    17.1051  0.98       0.057756               1
        3130   2.65054         0.0832569       0.011939     17.1051  0.98       0.057756               1
        3132   2.97412         0.0934211       0.0133965    17.1051  0.98       0.057756               1
        3134   2.9592          0.0929525       0.0133293    17.1051  0.98       0.057756               1
        3136   2.13237         0.0669806       0.00960496   17.1051  0.98       0.057756               1
        3138   1.60791         0.0505066       0.0072426    17.1051  0.98       0.057756               1
        3140   1.8229          0.0572598       0.008211     17.1051  0.98       0.057756               1
        3142   2.49123         0.078253        0.0112214    17.1051  0.98       0.057756               1
        3144   2.76591         0.086881        0.0124587    17.1051  0.98       0.057756               1
        3146   1.96451         0.0617078       0.00884885   17.1051  0.98       0.057756               1
        3148   1.63125         0.0512397       0.00734772   17.1051  0.98       0.057756               1
        3150   1.94971         0.0612431       0.0087822    17.1051  0.98       0.057756               1
        3152   1.74839         0.0549192       0.00787536   17.1051  0.98       0.057756               1
        3154   1.60873         0.0505323       0.00724629   17.1051  0.98       0.057756               1
        3156   2.61429         0.0821185       0.0117757    17.1051  0.98       0.057756               1
        3158   2.37623         0.0746406       0.0107034    17.1051  0.98       0.057756               1
        3160   1.58893         0.0499105       0.00715712   17.1051  0.98       0.057756               1
        3162   2.22176         0.0697886       0.0100076    17.1051  0.98       0.057756               1
        3164   2.4728          0.0776739       0.0111384    17.1051  0.98       0.057756               1
        3166   1.92331         0.0604137       0.00866326   17.1051  0.98       0.057756               1
        3168   1.73675         0.0545537       0.00782295   17.1051  0.98       0.057756               1
        3170   1.78186         0.0559707       0.00802614   17.1051  0.98       0.057756               1
        3172   2.38746         0.0749935       0.010754     17.1051  0.98       0.057756               1
        3174   2.14999         0.0675341       0.00968433   17.1051  0.98       0.057756               1
        3176   1.53769         0.0483009       0.00692631   17.1051  0.98       0.057756               1
        3178   1.57393         0.0494392       0.00708954   17.1051  0.98       0.057756               1
        3180   1.64718         0.0517401       0.00741949   17.1051  0.98       0.057756               1
        3182   1.39833         0.0439235       0.00629859   17.1051  0.98       0.057756               1
        3184   1.12102         0.0352127       0.00504946   17.1051  0.98       0.057756               1
        3186   1.55825         0.0489467       0.00701891   17.1051  0.98       0.057756               1
        3188   2.474           0.0777118       0.0111438    17.1051  0.98       0.057756               1
        3190   2.28933         0.0719111       0.010312     17.1051  0.98       0.057756               1
        3192   2.23648         0.0702508       0.0100739    17.1051  0.98       0.057756               1
        3194   2.02877         0.0637265       0.00913832   17.1051  0.98       0.057756               1
        3196   1.94025         9.79706         0.04968      17.1063  0.982133   0.0575663              2
        3198   2.5286         16.9424          0.0981356    17.1063  0.982138   0.0575658              2
        3200   2.38766        10.5563          0.0540092    17.1063  0.982165   0.0575634              2
        3202   1.99876        15.846           0.0997223    17.1063  0.982183   0.0575618              2
        3204   1.39778        17.5833          0.121548     17.1064  0.982203   0.05756                2
        3206   1.06563         0.669168        0.00154034   17.1064  0.982218   0.0575587              2
        3208   1.77618         0.0695314       4.72689      17.1064  0.982234   0.0575573              2
        3210   2.41831         0.0852677       3.92177      17.1064  0.982261   0.0575549              2
        3212   2.21198         0.0575616       0.260899     17.1064  0.982281   0.0575531              2
        3214   1.9567          7.04393         0.0378802    17.1064  0.982307   0.0575508              2
        3216   1.64284         0.065785        4.43161      17.1064  0.98234    0.0575478              2
        3218   1.65967         0.0787533       6.22769      17.1065  0.982372   0.057545               2
        3220   2.18729         6.03103         0.0308453    17.1065  0.982401   0.0575424              2
        3222   1.71227        11.5285          0.0791818    17.1065  0.982423   0.0575405              2
        3224   1.75031         7.63782         0.0443599    17.1065  0.982449   0.0575381              2
        3226   1.83182         0.0574378       1.34065      17.1065  0.982475   0.0575358              2
        3228   1.647           0.0720093       5.14702      17.1065  0.982504   0.0575332              2
        3230   1.63294         0.0482345       0.848325     17.1065  0.982534   0.0575305              2
        3232   1.50919         0.339884        0.239426     16.7108  1.0175     0.0469368              3
        3234   1.67929         0.751613        0.353036     16.7092  1.01767    0.0468914              3
