# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 30.000000 and phase < 34.000000 and ((dm15_source >= .8 and dm15_source < 1.4) or (dm15_from_fits >= .8 and dm15_from_fits < 1.4)) and globalssfr between -17 and -10.7
# N = 15
# N_spec = 19
# phase = 31.77
# dm15 = 1.17
# z = 0.024

  Wavelength        Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  ----------  ---------------  ---------------  -------  -------  ----------  -------------
        2974   6.27312          0.265805        0.0467293   32.0335  1.21013   0.032857               1
        2976   6.48325          0.274709        0.0482946   32.0335  1.21013   0.032857               1
        2978   0.876519         0.0371399       0.0065293   32.0335  1.21013   0.032857               1
        2980   0.0669841        0.175868        0.289639    31.7925  1.32183   0.0316945              2
        2982   0.670804         2.5437          1.50769     31.7934  1.32141   0.0316988              2
        2984   4.75544          1.86304         0.932079    31.7943  1.321     0.0317031              2
        2986   3.89742          2.0196          1.07718     31.7952  1.32058   0.0317075              2
        2988   2.00732          0.0868854       0.0116169   31.7961  1.32017   0.0317118              2
        2990   3.05123          2.5222          3.84464     31.797   1.31975   0.0317161              2
        2992   4.4371           0.984056        1.44051     31.7979  1.31934   0.0317204              2
        2994   4.25591          1.25384         0.617019    31.7988  1.31893   0.0317247              2
        2996   7.38847          2.63029         1.37798     31.7997  1.31851   0.031729               2
        2998   3.02392          0.136805        0.0828033   31.8006  1.31811   0.0317332              2
        3000   2.48339          1.96572         1.18847     31.8014  1.3177    0.0317375              2
        3002   2.2672           0.452405        0.627236    31.8023  1.31729   0.0317417              2
        3004   1.26022          2.26921         3.30465     31.8032  1.31689   0.0317459              2
        3006   3.27831          1.22058         0.682225    31.804   1.31649   0.03175                2
        3008   3.5118           4.58675         2.98438     31.8049  1.3161    0.0317541              2
        3010   1.96612          0.804698        0.468126    31.8057  1.31571   0.0317582              2
        3012   2.82033          0.685567        0.35106     31.8066  1.31532   0.0317622              2
        3014   3.72242          2.49264         1.5874      31.8074  1.31492   0.0317664              2
        3016   2.54947          0.107399        0.0543953   31.8081  1.31459   0.0317698              2
        3018   3.55224          0.15607         0.0276061   31.8094  1.314     0.031776               2
        3020   6.64832          3.42359         2.11407     31.8076  1.31486   0.0317671              2
        3022   5.59091          2.38588         1.40625     31.8062  1.3155    0.0317604              2
        3024   0.132176         1.28178         1.84464     31.8061  1.31554   0.03176                2
        3026  -0.160094         1.67869         2.35318     31.8094  1.31402   0.0317758              2
        3028   3.26168          1.02688         1.2998      31.8123  1.31267   0.0317899              2
        3030   1.56477          0.2233          0.267159    31.8135  1.31209   0.0317958              2
        3032   1.35299          0.0840159       0.0818146   31.8133  1.31218   0.0317949              2
        3034   0.431315         1.21719         1.63232     31.8117  1.31292   0.0317872              2
        3036   1.53368          0.259287        0.123496    31.8132  1.31224   0.0317943              2
        3038   7.61696          2.86613         1.83171     31.8149  1.31146   0.0318024              2
        3040   5.75573          0.700496        0.295855    31.8155  1.3112    0.0318051              2
        3042   4.45278          0.195589        0.0285275   31.8148  1.31151   0.0318019              2
        3044   1.57835          0.891389        1.1016      31.8159  1.31097   0.0318075              2
        3046   1.40851          2.0441          2.52549     31.8181  1.30997   0.0318179              2
        3048   1.089            0.83453         1.00353     31.819   1.30955   0.0318223              2
        3050   1.59127          0.491316        0.318403    31.8195  1.3093    0.0318249              2
        3052   1.54736          0.0758529       0.0400495   31.8202  1.30899   0.0318281              2
        3054   1.68769          1.40018         1.65178     31.8209  1.30866   0.0318316              2
        3056   0.755861         0.887645        1.04678     31.8218  1.30824   0.031836               2
        3058   1.69496          0.434801        0.488732    31.8225  1.30795   0.031839               2
        3060   2.02149          0.570508        0.632984    31.8241  1.3072    0.0318467              2
        3062   2.70229          0.255952        0.253026    31.8246  1.30695   0.0318494              2
        3064   2.58843          0.991232        1.11739     31.8237  1.3074    0.0318447              2
        3066   2.34845          0.114241        0.057036    31.8236  1.3074    0.0318447              2
        3068   2.58515          0.951254        0.681553    31.8249  1.3068    0.0318508              2
        3070   1.65057          0.0738621       0.0162649   31.8261  1.30625   0.0318566              2
        3072   1.02767          0.934397        1.0392      31.8267  1.306     0.0318592              2
        3074   2.68985          0.294044        0.288224    31.8273  1.30573   0.0318621              2
        3076   3.17682          1.34117         1.02445     31.8285  1.30514   0.0318681              2
        3078   1.87564          0.934185        0.736099    31.8293  1.30479   0.0318718              2
        3080   1.79754          0.707308        0.739108    31.8308  1.30407   0.0318794              2
        3082   1.34334          1.43083         1.5108      31.832   1.30352   0.0318851              2
        3084   1.07108          1.36474         1.44163     31.8327  1.30322   0.0318882              2
        3086   1.3734           1.07973         1.11994     31.8331  1.30301   0.0318903              2
        3088   1.69769          0.658327        0.674621    31.8326  1.30324   0.031888               2
        3090   1.53534          0.395824        0.395621    31.8333  1.30291   0.0318914              2
        3092   2.20002          0.957945        0.953005    31.8358  1.30178   0.0319031              2
        3094   2.62951          0.18822         0.145659    31.8367  1.30133   0.0319078              2
        3096   1.62152          0.620211        0.606411    31.837   1.30122   0.031909               2
        3098   1.8458           0.092085        0.0417527   31.8373  1.30106   0.0319107              2
        3100   2.77637          0.630463        0.474066    31.8383  1.30061   0.0319154              2
        3102   2.80074          0.159393        0.052564    31.8385  1.30052   0.0319163              2
        3104   0.763843         1.40972         1.42083     31.8383  1.30061   0.0319153              2
        3106   1.9361           0.111803        0.0386372   31.8394  1.30009   0.0319207              2
        3108   2.54627          0.736333        0.5898      31.8385  1.30051   0.0319163              2
        3110   2.0823           0.178504        0.144863    31.8391  1.30024   0.0319192              2
        3112   2.28196          0.137183        0.0499857   31.8414  1.29917   0.0319303              2
        3114   2.99711          0.156471        0.0789986   31.8436  1.29814   0.031941               2
        3116   2.66875          0.698485        0.577549    31.8431  1.29839   0.0319384              2
        3118   2.12014          0.132377        0.0856041   31.8448  1.29762   0.0319465              2
        3120   1.88049          0.798077        0.716636    31.8453  1.29735   0.0319492              2
        3122   1.39484          0.882725        0.78728     31.8471  1.29655   0.0319576              2
        3124   1.25453          1.57198         1.41252     31.8481  1.29605   0.0319628              2
        3126   1.6759           1.12891         0.981231    31.8496  1.29535   0.03197                2
        3128   2.19953          0.126536        0.0735253   31.8495  1.29541   0.0319694              2
        3130   2.71306          0.140516        0.0507964   31.8505  1.29496   0.0319741              2
        3132   2.70866          0.278358        0.200962    31.8522  1.29416   0.0319824              2
        3134   2.84875          0.446116        0.347198    31.8524  1.29408   0.0319833              2
        3136   2.81413          0.306366        0.224636    31.853   1.29378   0.0319864              2
        3138   2.36019          0.217526        0.147725    31.8552  1.29276   0.031997               2
        3140   1.58877          0.108546        0.0572002   31.8563  1.29227   0.0320021              2
        3142   2.4341           0.331948        0.258379    31.8562  1.29232   0.0320016              2
        3144   3.02211          0.508308        0.433758    31.8563  1.29227   0.0320021              2
        3146   2.17796          0.453173        0.415882    31.8566  1.29212   0.0320037              2
        3148   2.18659          0.356654        0.260147    31.8584  1.29128   0.0320124              2
        3150   2.94445          0.264688        0.171399    31.8594  1.29082   0.0320172              2
        3152   2.12519          0.305092        0.255079    31.8597  1.2907    0.0320185              2
        3154   1.5547           0.166302        0.117686    31.8597  1.29069   0.0320185              2
        3156   2.09751          0.191806        0.12281     31.8597  1.29067   0.0320187              2
        3158   2.53601          0.343544        0.289847    31.8624  1.28946   0.0320314              2
        3160   2.60229          0.841837        0.920243    31.8636  1.28888   0.0320374              2
        3162   2.47464          0.740716        0.809482    31.8647  1.28839   0.0320425              2
        3164   2.19163          0.15225         0.0879689   31.8658  1.28787   0.0320479              2
        3166   1.67194          0.919991        0.670512    31.8656  1.28796   0.032047               2
        3168   2.09608          0.102197        0.0187029   31.8671  1.28726   0.0320543              2
        3170   2.77161          0.191683        0.112176    31.8671  1.28726   0.0320543              2
        3172   3.32703          0.435406        0.385629    31.8672  1.28723   0.0320546              2
        3174   2.89187          0.611842        0.644679    31.8676  1.28701   0.0320568              2
        3176   2.49886          0.282688        0.240756    31.8699  1.28596   0.0320678              2
        3178   2.3722           0.183379        0.0987661   31.8686  1.28657   0.0320614              2
        3180   1.86666          0.970981        0.684637    31.8685  1.28663   0.0320608              2
        3182   2.41333          0.709044        0.478993    31.8697  1.28604   0.0320669              2
        3184   2.65526          0.546945        0.358077    31.8699  1.28596   0.0320678              2
        3186   2.06983          0.343271        0.223334    31.8684  1.28666   0.0320605              2
        3188   2.29863          0.121789        0.0607836   31.8672  1.28723   0.0320546              2
        3190   2.83048          0.557376        0.583557    31.8686  1.28655   0.0320617              2
        3192   2.41236          0.203007        0.14536     31.8707  1.2856    0.0320715              2
        3194   2.07632          0.524095        0.343863    31.8713  1.28531   0.0320746              2
        3196   1.73486          0.952909        0.652696    31.8713  1.28532   0.0320745              2
        3198   1.97453          0.641151        0.424979    31.872   1.28499   0.0320779              2
        3200   2.24429          0.448929        0.289652    31.8709  1.28549   0.0320727              2
        3202   2.23158          0.34789         0.217264    31.8711  1.28539   0.0320738              2
        3204   2.46277          0.30838         0.185268    31.8715  1.28522   0.0320755              2
        3206   1.86935          0.657298        0.437881    31.872   1.285     0.0320777              2
        3208   1.56627          0.570605        0.38402     31.8712  1.28534   0.0320742              2
        3210   1.84061          0.19485         0.115667    31.8698  1.28598   0.0320676              2
        3212   1.89002          0.108713        0.0524368   31.8703  1.28578   0.0320696              2
        3214   2.09629          0.0859718       0.0194441   31.8703  1.28579   0.0320696              2
        3216   2.13638          0.111811        0.057895    31.8704  1.28574   0.0320701              2
        3218   2.07449          0.311714        0.308327    31.871   1.28543   0.0320733              2
        3220   2.06317          0.27614         0.16721     31.8718  1.28508   0.0320769              2
        3222   2.31265          0.200254        0.106757    31.8725  1.28475   0.0320803              2
        3224   1.99082          0.151163        0.0780242   31.8712  1.28538   0.0320738              2
        3226   1.66753          0.617875        0.420706    31.8703  1.28579   0.0320695              2
        3228   1.8808           0.758209        0.523302    31.8694  1.28618   0.0320655              2
        3230   1.83545          0.297695        0.191319    31.8692  1.28629   0.0320643              2
        3232   1.45396          0.101546        0.0526787   31.8694  1.2862    0.0320653              2
        3234   2.11034          0.513244        0.56551     31.8687  1.28652   0.032062               2
        3236   1.90489          0.207788        0.12701     31.868   1.28683   0.0320588              2
        3238   1.54622          0.404581        0.274511    31.8686  1.28656   0.0320615              2
        3240   2.00362          0.489815        0.333259    31.8679  1.28689   0.0320581              2
        3242   1.85404          0.671883        0.470376    31.8676  1.287     0.0320569              2
        3244   1.81344          0.907138        0.642591    31.8679  1.28689   0.0320581              2
        3246   1.97549          0.493953        0.311733    31.8263  1.28608   0.031587               3
        3248   1.94003          0.544606        0.349349    31.8253  1.2865    0.0315819              3
        3250   2.09466          0.748473        0.819343    31.8248  1.28681   0.0315799              3
        3252   2.00106          0.687182        0.293789    31.6203  1.26975   0.0308                 4
        3254   1.52924          0.976389        0.435785    31.6233  1.2701    0.0308102              4
        3256   1.60632          0.94654         0.367982    31.6264  1.2705    0.0308213              4
        3258   2.12022          0.604572        0.337271    31.625   1.27157   0.0308099              4
        3260   1.98982          0.422117        0.413118    31.6224  1.27295   0.0307878              5
        3262   1.89235          0.572454        0.343995    31.6194  1.27422   0.030768               5
        3264   1.70456          0.679699        0.386795    31.6235  1.27378   0.0307849              5
        3266   1.83266          0.683566        0.328349    31.6301  1.27306   0.0308119              5
        3268   1.23649          0.902074        0.517213    31.6347  1.27248   0.0308304              5
        3270   1.24402          0.697466        0.343136    31.6394  1.27258   0.0308508              5
        3272   1.38334          0.573326        0.254451    31.6436  1.27303   0.030867               5
        3274   1.14543          0.83219         0.575935    31.6484  1.27349   0.0308863              5
        3276   1.41448          0.67621         0.519885    31.6515  1.27397   0.0308976              5
        3278   1.78231          0.625972        0.305235    31.6561  1.274     0.0309166              5
        3280   1.52149          0.699772        0.307125    31.6588  1.27454   0.0309255              5
        3282   1.64703          0.591317        0.389775    31.6624  1.27484   0.0309386              5
        3284   1.5885           0.730237        0.41676     31.6705  1.27499   0.0309723              5
        3286   2.12772          0.879494        0.471006    31.6751  1.27573   0.030987               5
        3288   1.58695          0.897546        0.357435    31.6804  1.27625   0.0310071              5
        3290   1.78874          0.526805        0.228546    31.6818  1.27684   0.0310111              5
        3292   1.92458          0.81882         0.314837    31.6831  1.27708   0.0310134              5
        3294   2.068            0.701628        0.283544    31.6876  1.27689   0.0310334              5
        3296   1.79235          0.895862        0.440135    31.6896  1.27712   0.0310404              5
        3298   1.95568          0.876217        0.611517    31.6933  1.27717   0.0310563              5
        3300   1.81973          0.892924        0.469565    31.6974  1.27749   0.0310761              5
        3302   1.70927          0.868175        0.330239    31.6998  1.27791   0.0310859              5
        3304   1.73376          0.709414        0.465291    31.7     1.27865   0.0310824              5
