# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 6.000000 and phase < 10.000000 and ((dm15_source >= .8 and dm15_source < 1.4) or (dm15_from_fits >= .8 and dm15_from_fits < 1.4)) and globalssfr between -17 and -10.7
# N = 18
# N_spec = 39
# phase = 7.79
# dm15 = 1.18
# z = 0.022

  Wavelength         Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  -----------  ---------------  ---------------  -------  -------  ----------  -------------
        3032   1.44198          0.00939055       0.0105406   7.20517  1.29      0.021905               1
        3034   1.48921          0.00969814       0.0108858   7.20517  1.29      0.021905               1
        3036   1.96761          0.0128136        0.0143828   7.20517  1.29      0.021905               1
        3038   2.7321           0.0177922        0.0199711   7.20517  1.29      0.021905               1
        3040   1.96738          0.0128121        0.0143811   7.20517  1.29      0.021905               1
        3042   1.52997          0.00996357       0.0111838   7.20517  1.29      0.021905               1
        3044   2.54446          0.0165702        0.0185995   7.20517  1.29      0.021905               1
        3046   2.29135          0.0149219        0.0167493   7.20517  1.29      0.021905               1
        3048   2.03164          0.0132306        0.0148509   7.20517  1.29      0.021905               1
        3050   2.26078          0.0147228        0.0165258   7.20517  1.29      0.021905               1
        3052   2.09163          0.0136213        0.0152894   7.20517  1.29      0.021905               1
        3054   1.82622          0.0118928        0.0133493   7.20517  1.29      0.021905               1
        3056   1.83197          0.0119303        0.0133914   7.20517  1.29      0.021905               1
        3058   1.68581          0.0109784        0.0123229   7.20517  1.29      0.021905               1
        3060   1.64253          0.0106966        0.0120065   7.20517  1.29      0.021905               1
        3062   1.68071          0.0109453        0.0122857   7.20517  1.29      0.021905               1
        3064   1.8797           0.0122411        0.0137402   7.20517  1.29      0.021905               1
        3066   2.11185          0.0137529        0.0154372   7.20517  1.29      0.021905               1
        3068   2.44759          0.0159394        0.0178914   7.20517  1.29      0.021905               1
        3070   2.31389          0.0150687        0.0169141   7.20517  1.29      0.021905               1
        3072   1.79383          0.0116819        0.0131125   7.20517  1.29      0.021905               1
        3074   2.50221          0.016295         0.0182906   7.20517  1.29      0.021905               1
        3076   3.02129          0.0196754        0.022085    7.20517  1.29      0.021905               1
        3078   2.63             0.0171273        0.0192248   7.20517  1.29      0.021905               1
        3080   2.15938          0.0140625        0.0157846   7.20517  1.29      0.021905               1
        3082   2.33881          0.0152309        0.0170962   7.20517  1.29      0.021905               1
        3084   2.43006          0.0158252        0.0177632   7.20517  1.29      0.021905               1
        3086   2.41914          0.0157541        0.0176834   7.20517  1.29      0.021905               1
        3088   2.16011          0.0140672        0.01579     7.20517  1.29      0.021905               1
        3090   2.19139          0.0142709        0.0160186   7.20517  1.29      0.021905               1
        3092   2.12159          0.0138164        0.0155084   7.20517  1.29      0.021905               1
        3094   2.333            0.0151932        0.0170538   7.20517  1.29      0.021905               1
        3096   2.1632           0.0140873        0.0158125   7.20517  1.29      0.021905               1
        3098   2.43405          0.0158512        0.0177924   7.20517  1.29      0.021905               1
        3100   2.28279          0.0148662        0.0166868   7.20517  1.29      0.021905               1
        3102   2.1635           0.0140893        0.0158148   7.20517  1.29      0.021905               1
        3104   2.20853          0.0143825        0.0161439   7.20517  1.29      0.021905               1
        3106   2.40813          0.0156824        0.0176029   7.20517  1.29      0.021905               1
        3108   2.17501          0.0141642        0.0158988   7.20517  1.29      0.021905               1
        3110   2.12992          0.0138706        0.0155693   7.20517  1.29      0.021905               1
        3112   2.45101          0.0159616        0.0179164   7.20517  1.29      0.021905               1
        3114   2.37071          0.0154387        0.0173294   7.20517  1.29      0.021905               1
        3116   2.31451          0.0150727        0.0169186   7.20517  1.29      0.021905               1
        3118   2.35538          0.0153389        0.0172173   7.20517  1.29      0.021905               1
        3120   2.17116          0.0141392        0.0158707   7.20517  1.29      0.021905               1
        3122   2.6007           0.0169365        0.0190106   7.20517  1.29      0.021905               1
        3124   2.38473          0.01553          0.0174319   7.20517  1.29      0.021905               1
        3126   2.45845          0.0160101        0.0179708   7.20517  1.29      0.021905               1
        3128   2.50149          0.0162904        0.0182854   7.20517  1.29      0.021905               1
        3130   2.26348          0.0147404        0.0165456   7.20517  1.29      0.021905               1
        3132   2.4381           0.0158776        0.017822    7.20517  1.29      0.021905               1
        3134   2.62416          0.0170892        0.0191821   7.20517  1.29      0.021905               1
        3136   2.85902          0.0186187        0.0208988   7.20517  1.29      0.021905               1
        3138   2.85785          0.0186111        0.0208903   7.20517  1.29      0.021905               1
        3140   2.65274          0.0172754        0.019391    7.20517  1.29      0.021905               1
        3142   2.84636          0.0185362        0.0208063   7.20517  1.29      0.021905               1
        3144   2.77425          0.0180667        0.0202792   7.20517  1.29      0.021905               1
        3146   2.65406          0.0172839        0.0194006   7.20517  1.29      0.021905               1
        3148   2.8531           0.0185802        0.0208556   7.20517  1.29      0.021905               1
        3150   2.72623          0.0177539        0.0199282   7.20517  1.29      0.021905               1
        3152   2.63033          0.0171294        0.0192272   7.20517  1.29      0.021905               1
        3154   2.51203          0.016359         0.0183624   7.20517  1.29      0.021905               1
        3156   2.67648          0.0174299        0.0195645   7.20517  1.29      0.021905               1
        3158   2.8897           0.0188185        0.0211231   7.20517  1.29      0.021905               1
        3160   2.71658          0.0176911        0.0198576   7.20517  1.29      0.021905               1
        3162   2.76548          0.0180095        0.0202151   7.20517  1.29      0.021905               1
        3164   2.7085           0.0176385        0.0197986   7.20517  1.29      0.021905               1
        3166   2.66867          0.0173791        0.0195074   7.20517  1.29      0.021905               1
        3168   2.69924          0.0175782        0.0197309   7.20517  1.29      0.021905               1
        3170   2.49165          0.0162263        0.0182134   7.20517  1.29      0.021905               1
        3172   2.46105          0.016027         0.0179898   7.20517  1.29      0.021905               1
        3174   2.57881          0.0167939        0.0188505   7.20517  1.29      0.021905               1
        3176   2.5198           0.0164096        0.0184192   7.20517  1.29      0.021905               1
        3178   2.58061          0.0168056        0.0188637   7.20517  1.29      0.021905               1
        3180   2.36626          0.0154097        0.0172968   7.20517  1.29      0.021905               1
        3182   2.60945          0.0169934        0.0190745   7.20517  1.29      0.021905               1
        3184   2.69774          0.0175684        0.01972     7.20517  1.29      0.021905               1
        3186   2.45581          0.0159929        0.0179515   7.20517  1.29      0.021905               1
        3188   2.51506          0.0163788        0.0183846   7.20517  1.29      0.021905               1
        3190   2.16519          0.0141003        0.0158271   7.20517  1.29      0.021905               1
        3192   2.4165           0.0157369        0.0176641   7.20517  1.29      0.021905               1
        3194   2.62029          0.017064         0.0191538   7.20517  1.29      0.021905               1
        3196   2.33276          0.0151915        0.017052    7.20517  1.29      0.021905               1
        3198   2.27106          0.0147898        0.016601    7.20517  1.29      0.021905               1
        3200   2.4925           0.0162318        0.0182197   7.20517  1.29      0.021905               1
        3202   2.22329          0.0144787        0.0162518   7.20517  1.29      0.021905               1
        3204   2.42818          0.0158129        0.0177495   7.20517  1.29      0.021905               1
        3206   2.57864          0.0167928        0.0188493   7.20517  1.29      0.021905               1
        3208   2.38732          0.0155468        0.0174508   7.20517  1.29      0.021905               1
        3210   2.32667          0.0151519        0.0170075   7.20517  1.29      0.021905               1
        3212   2.43201          0.0158379        0.0177775   7.20517  1.29      0.021905               1
        3214   2.56693          0.0167166        0.0187638   7.20517  1.29      0.021905               1
        3216   2.63694          0.0171724        0.0192755   7.20517  1.29      0.021905               1
        3218   2.76581          0.0180117        0.0202175   7.20517  1.29      0.021905               1
        3220   2.57063          0.0167406        0.0187908   7.20517  1.29      0.021905               1
        3222   2.55866          0.0166627        0.0187033   7.20517  1.29      0.021905               1
        3224   2.44368          0.0169487        0.460004    7.21996  1.29117   0.0220112              2
        3226   2.44287          0.525106         0.0286151   7.22826  1.28904   0.0220387              3
        3228   2.12899          0.525231         0.0506532   7.38467  1.28029   0.0223737              4
        3230   2.38387          0.620336         0.0753935   7.38535  1.28025   0.0223756              4
        3232   2.38943          0.238565         0.112399    7.38502  1.28028   0.0223748              4
        3234   2.26641          0.535729         0.133961    7.38607  1.28023   0.0223778              4
        3236   2.27771          0.635204         0.08625     7.38748  1.28016   0.0223814              4
        3238   2.2829           0.0638125        0.080555    7.38748  1.28018   0.0223813              4
        3240   2.19475          0.172903         0.105336    7.38882  1.28011   0.0223847              4
        3242   2.24617          0.279679         0.107318    7.38927  1.2801    0.022386               4
        3244   2.49531          0.407002         0.0729896   7.39051  1.28004   0.0223898              4
        3246   2.39173          0.289945         0.0373461   7.39066  1.28004   0.0223904              4
        3248   1.94941          0.804069         0.0725626   7.3906   1.28005   0.0223905              4
        3250   2.00746          0.649998         0.0646374   7.39159  1.28001   0.0223934              4
        3252   2.22685          0.143028         0.0341726   7.39096  1.28006   0.022392               4
        3254   2.06116          0.0519583        0.053243    7.3898   1.28014   0.0223893              4
        3256   2.12667          0.110249         0.043729    7.59352  1.27742   0.0219995              5
        3258   2.29313          0.310507         0.0754465   7.59522  1.2774    0.021998               5
        3260   2.32449          0.0372311        0.108084    7.59707  1.27737   0.021996               5
        3262   2.18115          0.208329         0.0909976   7.59883  1.27733   0.0219963              5
        3264   2.0796           0.49901          0.145109    7.59995  1.2773    0.0219962              5
        3266   1.91986          0.0599871        0.0689718   7.60435  1.27273   0.0224401              6
        3268   2.29854          0.0677531        0.0943813   7.60482  1.27278   0.0224329              6
        3270   2.30402          0.0959977        0.0802127   7.60809  1.27249   0.0224546              6
        3272   2.30537          0.0796889        0.0603617   7.60784  1.27244   0.0224612              6
        3274   2.34648          0.222838         0.0981849   7.60326  1.27319   0.0229422              7
        3276   2.17524          0.316242         0.100373    7.60396  1.27371   0.0231473              7
        3278   2.30635          0.189214         0.107016    7.60291  1.27381   0.0231149              7
        3280   2.19439          0.308961         0.047155    7.60228  1.27369   0.0231684              7
        3282   2.4219           0.305232         0.0876801   7.60428  1.27375   0.0231356              7
        3284   2.34542          0.238404         0.118925    7.60865  1.27356   0.023151               7
        3286   2.3511           0.375074         0.0969637   7.60872  1.27368   0.0231362              7
        3288   2.40608          0.169259         0.0746421   7.61121  1.27345   0.0231302              7
        3290   2.54057          0.193774         0.140003    7.61369  1.27334   0.023137               7
        3292   2.4201           0.280069         0.167251    7.61726  1.27351   0.0231198              7
        3294   2.44034          0.258477         0.176077    7.6246   1.27303   0.0231242              7
        3296   2.3974           0.227739         0.136981    7.63377  1.27262   0.0230939              7
        3298   2.4927           0.439559         0.181226    7.63711  1.27252   0.0230688              7
        3300   2.57772          0.105154         0.14872     7.63172  1.2728    0.0231577              7
        3302   2.77141          0.172455         0.269538    7.6328   1.27244   0.0231797              7
        3304   2.68898          0.125972         0.294593    7.63429  1.27246   0.0231582              7
        3306   2.32751          0.338813         0.0986866   7.63596  1.27261   0.0231758              7
        3308   2.32609          0.373923         0.0702759   7.63908  1.27264   0.0231397              7
        3310   2.48878          0.582502         0.123768    7.6424   1.27265   0.0231255              7
        3312   2.7746           0.283724         0.0873803   7.64496  1.27262   0.0231141              7
        3314   2.72416          0.139377         0.101052    7.64795  1.27272   0.023077               7
        3316   2.8468           0.160182         0.0866702   7.65249  1.27283   0.0230157              7
        3318   2.75755          0.142259         0.0963026   7.65521  1.27277   0.0230126              7
        3320   2.70872          0.0794833        0.138399    7.65736  1.27282   0.0229774              7
        3322   2.75791          0.10219          0.0753672   7.66284  1.27274   0.0229801              7
        3324   2.64288          0.192484         0.0664059   7.66661  1.27278   0.0229793              7
        3326   2.62199          0.122105         0.0924454   7.67108  1.27241   0.0230001              7
        3328   2.71109          0.0659024        0.103719    7.67488  1.27249   0.0229644              7
        3330   2.57553          0.0553932        0.061822    7.67779  1.27235   0.0229782              7
        3332   2.55008          0.176311         0.247093    7.6826   1.27217   0.0229813              7
        3334   2.5529           0.290218         0.108987    7.68705  1.27216   0.022981               7
        3336   2.79527          0.159858         0.0930141   7.69154  1.27186   0.0229996              7
        3338   2.8921           0.14863          0.347312    7.69681  1.27182   0.0230012              7
        3340   2.71378          0.0718161        0.0836654   7.70424  1.2716    0.0229795              7
        3342   2.83461          0.131647         0.0994047   7.70687  1.27141   0.0229396              7
        3344   2.70817          0.165556         0.0620098   7.71081  1.27151   0.0230107              7
        3346   2.55298          0.139923         0.0791176   7.71835  1.27105   0.0230403              7
        3348   2.6402           0.102054         0.114852    7.72396  1.27123   0.0230115              7
        3350   2.71204          0.148649         0.126422    7.73082  1.2708    0.0230181              7
        3352   2.70308          0.087159         0.0602609   7.73573  1.2707    0.0230356              7
        3354   2.78732          0.102565         0.0713715   7.74216  1.27039   0.023064               7
        3356   2.64162          0.0836647        0.134761    7.74697  1.27025   0.0230423              7
        3358   2.75125          0.128388         0.0732554   7.75988  1.27006   0.0230635              7
        3360   2.948            0.107421         0.107594    7.77709  1.26953   0.0230486              7
        3362   3.00259          0.108498         0.121258    7.76812  1.27016   0.0230143              7
        3364   3.18555          0.0938565        0.0976479   7.76458  1.26995   0.0230337              8
        3366   3.15853          0.154311         0.116808    7.7729   1.27      0.0230105              8
        3368   3.15868          0.189116         0.120283    7.78579  1.26978   0.0229915              8
        3370   3.02587          0.208545         0.140401    7.79293  1.26961   0.023001               8
        3372   3.1392           0.22283          0.159149    7.80103  1.26955   0.0229551              8
        3374   3.17977          0.222124         0.173       7.81273  1.26967   0.0230523              9
        3376   3.29168          0.210122         0.266024    7.82078  1.26895   0.0230986              9
        3378   3.18207          0.219676         0.220402    7.82742  1.26866   0.0231266              9
        3380   3.06306          0.124402         0.110537    7.83376  1.26819   0.0231379              9
        3382   3.0277           0.0993485        0.0658949   7.83775  1.26834   0.0231422              9
        3384   2.97653          0.0956517        0.0941133   7.82413  1.27099   0.0232951             10
