# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= -6.000000 and phase < -2.000000 and ((dm15_source >= .8 and dm15_source < 1.4) or (dm15_from_fits >= .8 and dm15_from_fits < 1.4)) and globalssfr between -17 and -10.7
# N = 20
# N_spec = 43
# phase = -3.61
# dm15 = 1.1
# z = 0.027

  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper     Phase     Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  --------  -------  ----------  -------------
        1898  -0.586248         0.000491502      0.0136472    -3.23261  1.14     0.002843                1
        1900  -0.555173         0.000465449      0.0129238    -3.23166  1.14     0.002843                1
        1902  -0.427794         0.000358656      0.00995855   -3.22106  1.14     0.002843                1
        1904  -0.325068         0.000272532      0.0075672    -3.21562  1.14     0.002843                1
        1906   0.057617         0.00134126       4.83053e-05  -3.22363  1.14     0.002843                1
        1908   0.278738         0.0064887        0.00023369   -3.22639  1.14     0.002843                1
        1910   0.15605          0.00363267       0.00013083   -3.22622  1.14     0.002843                1
        1912   0.116993         0.00272346       9.80853e-05  -3.23771  1.14     0.002843                1
        1914   0.142758         0.00332324       0.000119686  -3.23851  1.14     0.002843                1
        1916   0.124705         0.00290299       0.000104551  -3.24396  1.14     0.002843                1
        1918   0.266963         0.00621458       0.000223818  -3.23326  1.14     0.002843                1
        1920   0.367116         0.00854603       0.000307785  -3.23493  1.14     0.002843                1
        1922   0.256696         0.00597558       0.00021521   -3.25031  1.14     0.002843                1
        1924   0.015121         0.000352         1.26772e-05  -3.25934  1.14     0.002843                1
        1926   0.017244         0.000401422      1.44572e-05  -3.26196  1.14     0.002843                1
        1928   0.1179           0.00274458       9.88456e-05  -3.25796  1.14     0.002843                1
        1930  -0.0370423        3.10558e-05      0.000862304  -3.25361  1.14     0.002843                1
        1932  -0.19954          0.000167292      0.00464507   -3.25087  1.14     0.002843                1
        1934  -0.020187         1.69245e-05      0.00046993   -3.25326  1.14     0.002843                1
        1936   0.0457595        0.00106523       3.83642e-05  -3.25294  1.14     0.002843                1
        1938   0.0673247        0.00156724       5.64441e-05  -3.25056  1.14     0.002843                1
        1940   0.234052         0.00544848       0.000196226  -3.25946  1.14     0.002843                1
        1942   0.141205         0.00328709       0.000118384  -3.27596  1.14     0.002843                1
        1944  -0.0282041        2.36459e-05      0.000656559  -3.27066  1.14     0.002843                1
        1946  -0.0571612        4.79232e-05      0.00133065   -3.2497   1.14     0.002843                1
        1948   0.076943         0.00179115       6.45079e-05  -3.242    1.14     0.002843                1
        1950   0.0964869        0.00224611       8.08933e-05  -3.23414  1.14     0.002843                1
        1952   0.0342333        0.000796911      2.87007e-05  -3.2434   1.14     0.002843                1
        1954   0.135122         0.00314549       0.000113285  -3.24842  1.14     0.002843                1
        1956   0.222956         0.00519017       0.000186923  -3.25064  1.14     0.002843                1
        1958   0.232002         0.00540074       0.000194507  -3.27188  1.14     0.002843                1
        1960   0.175861         0.00409384       0.000147439  -3.27262  1.14     0.002843                1
        1962   0.210198         0.00489317       0.000176227  -3.27109  1.14     0.002843                1
        1964   0.286597         0.00667166       0.000240279  -3.27624  1.14     0.002843                1
        1966   0.256773         0.00597739       0.000215275  -3.26225  1.14     0.002843                1
        1968   0.150814         0.00351077       0.00012644   -3.24062  1.14     0.002843                1
        1970   0.162527         0.00378344       0.00013626   -3.24246  1.14     0.002843                1
        1972   0.0715823        0.00166635       6.00136e-05  -3.26017  1.14     0.002843                1
        1974  -0.0458108        3.84071e-05      0.00106642   -3.276    1.14     0.002843                1
        1976  -0.0413423        3.46608e-05      0.000962401  -3.28344  1.14     0.002843                1
        1978  -0.00335887       2.81603e-06      7.81906e-05  -3.27434  1.14     0.002843                1
        1980   0.0375792        0.000874801      3.15059e-05  -3.26263  1.14     0.002843                1
        1982   0.206334         0.00480323       0.000172988  -3.26415  1.14     0.002843                1
        1984   0.226852         0.00528085       0.000190189  -3.26673  1.14     0.002843                1
        1986   0.161732         0.00376493       0.000135594  -3.26719  1.14     0.002843                1
        1988   0.171204         0.00398543       0.000143535  -3.26283  1.14     0.002843                1
        1990   0.186097         0.00433213       0.000156021  -3.2588   1.14     0.002843                1
        1992   0.207373         0.0048274        0.000173859  -3.27195  1.14     0.002843                1
        1994   0.344928         0.00802952       0.000289182  -3.27443  1.14     0.002843                1
        1996   0.46792          0.0108926        0.000392297  -3.27234  1.14     0.002843                1
        1998   0.597806         0.0139162        0.000501192  -3.24585  1.14     0.002843                1
        2000   0.539089         0.0125494        0.000451965  -3.23489  1.14     0.002843                1
        2002   0.443531         0.0103249        0.00037185   -3.25965  1.14     0.002843                1
        2004   0.421093         0.00980257       0.000353039  -3.28271  1.14     0.002843                1
        2006   0.231582         0.00539096       0.000194155  -3.28278  1.14     0.002843                1
        2008   0.118835         0.00276634       9.96293e-05  -3.28758  1.14     0.002843                1
        2010   0.197361         0.00459434       0.000165465  -3.29306  1.14     0.002843                1
        2012   0.179622         0.0041814        0.000150593  -3.28479  1.14     0.002843                1
        2014   0.0242386        0.000564246      2.03213e-05  -3.27328  1.14     0.002843                1
        2016  -0.0618893        5.18871e-05      0.00144071   -3.27244  1.14     0.002843                1
        2018   0.18761          0.00436735       0.00015729   -3.26481  1.14     0.002843                1
        2020   0.466346         0.010856         0.000390978  -3.25657  1.14     0.002843                1
        2022   0.610893         0.0142209        0.000512164  -3.25835  1.14     0.002843                1
        2024   0.421286         0.00980706       0.0003532    -3.26622  1.14     0.002843                1
        2026   0.238485         0.00555167       0.000199943  -3.27063  1.14     0.002843                1
        2028   0.171457         0.00399132       0.000143747  -3.2927   1.14     0.002843                1
        2030   0.25924          0.00603481       0.000217343  -3.30001  1.14     0.002843                1
        2032   0.282562         0.00657773       0.000236896  -3.29872  1.14     0.002843                1
        2034   0.0886845        0.00206447       7.43519e-05  -3.29682  1.14     0.002843                1
        2036  -0.106697         8.94536e-05      0.00248379   -3.27231  1.14     0.002843                1
        2038  -0.119985         0.000100594      0.00279312   -3.26073  1.14     0.002843                1
        2040  -0.0496554        4.16304e-05      0.00115592   -3.27783  1.14     0.002843                1
        2042   0.115055         0.00267836       9.64607e-05  -3.27722  1.14     0.002843                1
        2044   0.115707         0.00269353       9.70072e-05  -3.26468  1.14     0.002843                1
        2046   0.112184         0.00261151       9.40531e-05  -3.26118  1.14     0.002843                1
        2048   0.124828         0.00290586       0.000104654  -3.26383  1.14     0.002843                1
        2050   0.169814         0.00395308       0.00014237   -3.26639  1.14     0.002843                1
        2052   0.0780878        0.00181779       6.54677e-05  -3.27516  1.14     0.002843                1
        2054  -0.0310283        2.60137e-05      0.000722304  -3.28989  1.14     0.002843                1
        2056  -0.0656888        5.50726e-05      0.00152916   -3.29682  1.14     0.002843                1
        2058  -0.0485371        4.06928e-05      0.00112989   -3.28439  1.14     0.002843                1
        2060  -0.00881163       7.38755e-06      0.000205125  -3.28958  1.14     0.002843                1
        2062   0.0209739        0.000488249      1.75842e-05  -3.31685  1.14     0.002843                1
        2064   0.144127         0.00335511       0.000120834  -3.31214  1.14     0.002843                1
        2066   0.236177         0.00549794       0.000198008  -3.29436  1.14     0.002843                1
        2068   0.301362         0.00701537       0.000252658  -3.29784  1.14     0.002843                1
        2070   0.440327         0.0102503        0.000369164  -3.30703  1.14     0.002843                1
        2072   0.571301         0.0132992        0.000478971  -3.29917  1.14     0.002843                1
        2074   0.364112         0.00847611       0.000305266  -3.29799  1.14     0.002843                1
        2076   0.0853855        0.00198768       7.1586e-05   -3.29969  1.14     0.002843                1
        2078   0.115793         0.00269552       9.70789e-05  -3.29059  1.14     0.002843                1
        2080   0.245802         0.00572198       0.000206077  -3.28951  1.14     0.002843                1
        2082   0.216001         0.00502826       0.000181092  -3.29517  1.14     0.002843                1
        2084   0.33444          0.00778539       0.00028039   -3.29457  1.14     0.002843                1
        2086   0.490915         0.0114279        0.000411576  -3.30059  1.14     0.002843                1
        2088   0.422888         0.00984435       0.000354543  -3.2986   1.14     0.002843                1
        2090   0.285552         0.00664733       0.000239403  -3.29625  1.14     0.002843                1
        2092   0.404242         0.00941028       0.00033891   -3.30845  1.14     0.002843                1
        2094   0.656979         0.0152937        0.000550802  -3.31322  1.14     0.002843                1
        2096   0.753697         0.0175452        0.000631889  -3.31139  1.14     0.002843                1
        2098   0.739397         0.0172123        0.0006199    -3.31421  1.14     0.002843                1
        2100   0.745321         0.0173502        0.000624866  -3.30984  1.14     0.002843                1
        2102   0.732641         0.017055         0.000614235  -3.30014  1.14     0.002843                1
        2104   0.6636           0.0154478        0.000556353  -3.28952  1.14     0.002843                1
        2106   0.587386         0.0136737        0.000492456  -3.27289  1.14     0.002843                1
        2108   0.423225         0.0098522        0.000354826  -3.27403  1.14     0.002843                1
        2110   0.34622          0.00805961       0.000290266  -3.28603  1.14     0.002843                1
        2112   0.365742         0.00851406       0.000306633  -3.28291  1.14     0.002843                1
        2114   0.320314         0.00745655       0.000268547  -3.26596  1.14     0.002843                1
        2116   0.22444          0.00522472       0.000188168  -3.26878  1.14     0.002843                1
        2118   0.301164         0.00701075       0.000252491  -3.27944  1.14     0.002843                1
        2120   0.317195         0.00738394       0.000265932  -3.27244  1.14     0.002843                1
        2122   0.262319         0.00610648       0.000219924  -3.27069  1.14     0.002843                1
        2124   0.241833         0.0056296        0.000202749  -3.27813  1.14     0.002843                1
        2126   0.187094         0.00435533       0.000156857  -3.28322  1.14     0.002843                1
        2128   0.147966         0.00344447       0.000124052  -3.27754  1.14     0.002843                1
