# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 2.000000 and phase < 6.000000 and ((dm15_source >= .8 and dm15_source < 1.4) or (dm15_from_fits >= .8 and dm15_from_fits < 1.4)) and globalssfr between -17 and -10.7
# N = 20
# N_spec = 51
# phase = 3.88
# dm15 = 1.13
# z = 0.025

  Wavelength         Flux    1-Sigma Lower    1-Sigma Upper    Phase      Dm15    Redshift    SNe per Bin
------------  -----------  ---------------  ---------------  -------  --------  ----------  -------------
        1800   0.822959        0.0371595        0.000252515  2.1      1.039     0.00146                 1
        1802   0.345642        0.0156069        0.000106056  2.1      1.039     0.00146                 1
        1804  -0.00819407      2.51425e-06      0.00036999   2.1      1.039     0.00146                 1
        1806   0.654115        0.0295355        0.000200707  2.1      1.039     0.00146                 1
        1808   0.521139        0.0235312        0.000159905  2.1      1.039     0.00146                 1
        1810   0.0283326       0.00127931       8.69353e-06  2.1      1.039     0.00146                 1
        1812   0.160073        0.00722786       4.91166e-05  2.1      1.039     0.00146                 1
        1814   0.447223        0.0201937        0.000137225  2.1      1.039     0.00146                 1
        1816   0.0803155       0.00362652       2.46439e-05  2.1      1.039     0.00146                 1
        1818   0.136957        0.00618408       4.20237e-05  2.1      1.039     0.00146                 1
        1820  -0.100497        3.08364e-05      0.00453779   2.1      1.039     0.00146                 1
        1822  -0.0358945       1.10138e-05      0.00162076   2.1      1.039     0.00146                 1
        1824   0.52819         0.0238496        0.000162069  2.1      1.039     0.00146                 1
        1826  -0.010903        3.34545e-06      0.000492307  2.1      1.039     0.00146                 1
        1828   0.242957        0.0109703        7.45485e-05  2.1      1.039     0.00146                 1
        1830   0.551777        0.0249146        0.000169306  2.1      1.039     0.00146                 1
        1832   0.343075        0.015491         0.000105269  2.1      1.039     0.00146                 1
        1834   0.350418        0.0158226        0.000107521  2.1      1.039     0.00146                 1
        1836   0.270254        0.0122029        8.29243e-05  2.1      1.039     0.00146                 1
        1838   0.768793        0.0347137        0.000235895  2.1      1.039     0.00146                 1
        1840   0.266591        0.0120375        8.18002e-05  2.1      1.039     0.00146                 1
        1842   0.156679        0.0070746        4.80751e-05  2.1      1.039     0.00146                 1
        1844   0.100783        0.0045507        3.09241e-05  2.1      1.039     0.00146                 1
        1846   0.377925        0.0170646        0.000115962  2.1      1.039     0.00146                 1
        1848  -0.0550109       1.68794e-05      0.00248393   2.1      1.039     0.00146                 1
        1850  -0.200185        6.14244e-05      0.00903905   2.1      1.039     0.00146                 1
