# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= -2.000000 and phase < 2.000000 and ((dm15_source >= .8 and dm15_source < 1.4) or (dm15_from_fits >= .8 and dm15_from_fits < 1.4)) and globalssfr between -17 and -10.7
# N = 25
# N_spec = 52
# phase = 0.05
# dm15 = 1.16
# z = 0.021

  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper         Phase     Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  ------------  -------  ----------  -------------
        1604   0.0207961        9.27363e-05      3.68316e-05   0.1          1.14     0.002843                1
        1606  -0.304517         0.000539326      0.00135794    0.1          1.14     0.002843                1
        1608   0.0996931        0.000444564      0.000176565   0.1          1.14     0.002843                1
        1610   0.390865         0.001743         0.000692257   0.1          1.14     0.002843                1
        1612   0.16166          0.000720894      0.000286314   0.1          1.14     0.002843                1
        1614  -0.1176           0.000208281      0.000524418   0.1          1.14     0.002843                1
        1616  -0.159804         0.000283027      0.000712619   0.1          1.14     0.002843                1
        1618  -0.0521319        9.23302e-05      0.000232473   0.1          1.14     0.002843                1
        1620  -0.034911         6.18305e-05      0.00015568    0.1          1.14     0.002843                1
        1622   0.221748         0.000988847      0.000392736   0.1          1.14     0.002843                1
        1624   0.095392         0.000425384      0.000168948   0.1          1.14     0.002843                1
        1626  -0.00359632       6.3694e-06       1.60372e-05   0.1          1.14     0.002843                1
        1628   0.0414273        0.000184738      7.33715e-05   0.1          1.14     0.002843                1
        1630  -0.0733506        0.00012991       0.000327094   0.1          1.14     0.002843                1
        1632  -0.0246705        4.36937e-05      0.000110014   0.1          1.14     0.002843                1
        1634  -0.0324517        5.74749e-05      0.000144713   0.1          1.14     0.002843                1
        1636  -0.0250157        4.4305e-05       0.000111553   0.1          1.14     0.002843                1
        1638   0.0172563        7.69514e-05      3.05624e-05   0.1          1.14     0.002843                1
        1640   0.147445         0.000657504      0.000261138   0.1          1.14     0.002843                1
        1642   0.0900231        0.000401442      0.000159439   0.1          1.14     0.002843                1
        1644   0.0646301        0.000288206      0.000114466   0.1          1.14     0.002843                1
        1646   0.0146582        6.53657e-05      2.5961e-05    0.1          1.14     0.002843                1
        1648   0.0602864        0.000268836      0.000106772   0.1          1.14     0.002843                1
        1650   0.041791         0.000186359      7.40155e-05   0.1          1.14     0.002843                1
        1652   0.0256993        0.000114601      4.55157e-05   0.1          1.14     0.002843                1
        1654   0.0136904        6.10498e-05      2.42469e-05   0.1          1.14     0.002843                1
        1656  -0.0075648        1.33979e-05      3.37339e-05   0.1          1.14     0.002843                1
        1658  -0.046232         8.18809e-05      0.000206163   0.1          1.14     0.002843                1
        1660  -0.0560473        9.92646e-05      0.000249933   0.1          1.14     0.002843                1
        1662   0.0481761        0.000214833      8.53242e-05   0.1          1.14     0.002843                1
        1664   0.0714702        0.000318709      0.00012658    0.1          1.14     0.002843                1
        1666   0.101339         0.000451902      0.00017948    0.1          1.14     0.002843                1
        1668   0.0260274        0.000116064      4.60968e-05   0.1          1.14     0.002843                1
        1670   0.0943344        0.000420668      0.000167075   0.1          1.14     0.002843                1
        1672   0.0486464        0.00021693       8.61571e-05   0.1          1.14     0.002843                1
        1674   0.0470439        0.000209784      8.33188e-05   0.1          1.14     0.002843                1
        1676  -0.00509059       9.01589e-06      2.27006e-05   0.1          1.14     0.002843                1
        1678  -0.00816255       1.44566e-05      3.63994e-05   0.1          1.14     0.002843                1
        1680   0.00212548       9.4782e-06       3.76441e-06   0.1          1.14     0.002843                1
        1682   0.0289993        0.000129317      5.13603e-05   0.1          1.14     0.002843                1
        1684   0.0659615        0.000294144      0.000116824   0.1          1.14     0.002843                1
        1686   0.0473648        0.000211215      8.38873e-05   0.1          1.14     0.002843                1
        1688   0.061841         0.000275769      0.000109526   0.1          1.14     0.002843                1
        1690   0.0143207        6.38607e-05      2.53632e-05   0.1          1.14     0.002843                1
        1692   0.00626742       2.79485e-05      1.11002e-05   0.1          1.14     0.002843                1
        1694   0.058362         0.000260255      0.000103364   0.1          1.14     0.002843                1
        1696  -0.00984417       1.74349e-05      4.38983e-05   0.1          1.14     0.002843                1
        1698   0.00518047       2.31014e-05      9.17507e-06   0.1          1.14     0.002843                1
        1700   0.015643         6.97574e-05      2.77052e-05   0.1          1.14     0.002843                1
        1702   0.0266165        0.000118691      4.71401e-05   0.1          1.14     0.002843                1
        1704   0.0197444        8.80466e-05      3.4969e-05    0.1          1.14     0.002843                1
        1706   0.0347256        0.000154853      6.15022e-05   0.1          1.14     0.002843                1
        1708   0.0708661        0.000316015      0.00012551    0.1          1.14     0.002843                1
        1710   0.0503302        0.000224439      8.91392e-05   0.1          1.14     0.002843                1
        1712  -0.0152665        2.70383e-05      6.80782e-05   0.1          1.14     0.002843                1
        1714   0.0181809        8.10746e-05      3.22e-05      0.1          1.14     0.002843                1
        1716   0.0308122        0.000137402      5.45711e-05   0.1          1.14     0.002843                1
        1718   0.0151892        6.77334e-05      2.69013e-05   0.1          1.14     0.002843                1
        1720   0.0178594        7.96407e-05      3.16305e-05   0.1          1.14     0.002843                1
        1722   0.0324898        0.000144883      5.75423e-05   0.1          1.14     0.002843                1
        1724   0.0304264        0.000135681      5.38878e-05   0.1          1.14     0.002843                1
        1726  -0.00133158       2.35834e-06      5.93794e-06   0.1          1.14     0.002843                1
        1728   0.0370282        0.000165121      6.55803e-05   0.1          1.14     0.002843                1
        1730   0.0196239        8.75093e-05      3.47557e-05   0.1          1.14     0.002843                1
        1732   0.00660841       2.9469e-05       1.17041e-05   0.1          1.14     0.002843                1
        1734   0.0361148        0.000161048      6.39625e-05   0.1          1.14     0.002843                1
        1736   0.0108888        4.85565e-05      1.9285e-05    0.1          1.14     0.002843                1
        1738   0.0176222        7.8583e-05       3.12104e-05   0.1          1.14     0.002843                1
        1740  -0.00338611       5.99709e-06      1.50997e-05   0.1          1.14     0.002843                1
